"id","ep_num","segment","title","role","text"
4110001,411,1,"TH GRADE","STAN","Well, here we are, dude, the first day of fourth grade."
4110002,411,1,"TH GRADE","KYLE","Yeah. No more getting pushed around by fourth graders!"
4110003,411,1,"TH GRADE","5TH-GRADER IN MIDDLE","Get out of my way, you little dorks!"
4110004,411,1,"TH GRADE","KYLE","Hey! We're fourth-graders now, too!"
4110005,411,1,"TH GRADE","5TH-GRADER IN MIDDLE","Yeah, but now, we're fifth-graders, you stupid fourth-graders, so move it!"
4110006,411,1,"TH GRADE","KYLE","Ungh, gay, dude."
4110007,411,1,"TH GRADE","STAN","Dude, we gotta find some third-graders to beat up.  Hey, come here"
4110008,411,1,"TH GRADE","YOUNGER BOY","What?"
4110009,411,1,"TH GRADE","STAN","What grade are you going into?"
4110010,411,1,"TH GRADE","YOUNGER BOY","Thi-ird"
4110011,411,1,"TH GRADE","STAN","Stupid third grader!"
4110012,411,1,"TH GRADE","CARTMAN","Yeah,  get out of here!"
4110013,411,1,"TH GRADE","YOUNGER BOY","Uhuhuhow."
4110014,411,1,"TH GRADE","CARTMAN","There, that's better."
4110015,411,1,"TH GRADE","KYLE","You know, I heard our fourth-grade teacher is some new lady from Denver."
4110016,411,1,"TH GRADE","STAN","Denver?"
4110017,411,1,"TH GRADE","CARTMAN","U-hoh, dude, we could walk all over her."
4110018,411,1,"TH GRADE","KYLE","He's right. We have to take a hard stance right now and establish that we're the dominant ones in this relationship!"
4110019,411,1,"TH GRADE","STAN","Alright.  Hey, listen up everybody! We need to stand up to this new teacher and insert ourselves! Let's all do something radical!"
4110020,411,1,"TH GRADE","CLYDE","Like what?"
4110021,411,1,"TH GRADE","STAN","Like... ah, how about right at 8:35 we all jump up on our desks and pull down our pants and shout, ""KISS MY ASS!!!"" all together!"
4110022,411,1,"TH GRADE","THE KIDS","YEAH!!!"
4110023,411,1,"TH GRADE","CARTMAN","Why, that's PERfect!"
4110024,411,1,"TH GRADE","BUTTERS","Well, buh wuh when we pull our pants down,  should we stand frontways or back? I mean, do we show 'er our... behinds, or-ar our w-wieners?"
4110025,411,1,"TH GRADE","STAN","...I think showing her our asses should be quite sufficient, Butters."
4110026,411,1,"TH GRADE","BUTTERS","Uh-uh, maybe we could stand like this , with our wieners pokin' through the back of our legs, you know, and give 'er a nice fruit bowl."
4110027,411,1,"TH GRADE","KYLE","...Yeah. Or we could just show our asses."
4110028,411,1,"TH GRADE","STAN","Okay, so it's decided. When the clock hits 8:35 we all stand up on our desks, pull down our pants and yell, ""KISS MY ASS!!!"""
4110029,411,1,"TH GRADE","KYLE","Together we are strong!"
4110030,411,1,"TH GRADE","THE KIDS","YEAH!!!"
4110031,411,1,"TH GRADE","CLYDE","Hey, Timmy might need some help pulling his pants down."
4110032,411,1,"TH GRADE","STAN","We got you covered, Timmy."
4110033,411,1,"TH GRADE","TIMMY","Timmay!"
4110034,411,2,"TH GRADE","description","The bell rings again, and the kids enter their new classroom a bit awed at the surroundings. Lab sinks and equipment line the walls. New, modern desks greet them. An aquarium and some modern art are also present."
4110035,411,2,"TH GRADE","KYLE","Whoa, dude, this is our new classroom?"
4110036,411,2,"TH GRADE","BUTTERS","Huhuh, look at all this stuff."
4110037,411,2,"TH GRADE","CARTMAN","Hey, what the hell is with these little half-desks?"
4110038,411,2,"TH GRADE","STAN","Dude, look at the walls.  Everythng is written in some strange, foreign language."
4110039,411,2,"TH GRADE","NEW TEACHER","Alright, children, quiet down. Welcome to the fourth grade."
4110040,411,2,"TH GRADE","KYLE","Holy God, dude!"
4110041,411,2,"TH GRADE","KENNY","(Those tittes are fuckin' huge!)"
4110042,411,2,"TH GRADE","NEW TEACHER","My name is Ms. Choksondik."
4110043,411,2,"TH GRADE","STAN","...More like, Ms. Makesmesick."
4110044,411,2,"TH GRADE","KYLE","Yeah!"
4110045,411,2,"TH GRADE","MS. CHOKSONDIK","Play time is over, children! Do you understand me?!  I don't know how your last teacher behaved, but this is the fourth grade!  And it is time to go to work!"
4110046,411,2,"TH GRADE","CARTMAN","KISS MY ASS!!!  Oh, weak, you guys. Seriously weak."
4110047,411,2,"TH GRADE","MS. CHOKSONDIK","Well, young man, I hope you have a good explanation for this."
4110048,411,2,"TH GRADE","CARTMAN","Oh, I'm sure I do."
4110049,411,2,"TH GRADE","MS. CHOKSONDIK","This is the fourth grade! You need to grow up!"
4110050,411,2,"TH GRADE","CARTMAN","I'm trying."
