"id","ep_num","segment","title","role","text"
6120001,612,1,"A LADDER TO HEAVEN","LOLLY","Oh, hello there, kids! Welcome to Lolly's Candy Shop."
6120002,612,1,"A LADDER TO HEAVEN","STAN","We're the kids whose names you called on your commercial last night. We're here to do the shopping spree!"
6120003,612,1,"A LADDER TO HEAVEN","LOLLY","Oh that's great!"
6120004,612,1,"A LADDER TO HEAVEN","CARTMAN","You bet your fat clown ass it is!"
6120005,612,1,"A LADDER TO HEAVEN","LOLLY","Okay! Well I'll just need your ticket stub."
6120006,612,1,"A LADDER TO HEAVEN","CARTMAN","...ticket stub?"
6120007,612,1,"A LADDER TO HEAVEN","LOLLY","Well you know. When you entered the contest you got the other half of this ticket."
6120008,612,1,"A LADDER TO HEAVEN","STAN","Oh shit. Who had the ticket stub??"
6120009,612,1,"A LADDER TO HEAVEN","KYLE","It was such a long time ago!"
6120010,612,1,"A LADDER TO HEAVEN","CARTMAN","Wu-we don't ""really"" need the ticket stub, do we?"
6120011,612,1,"A LADDER TO HEAVEN","LOLLY","Don't need the ticket stub?? Are you high?? How else do I know you're the winners?"
6120012,612,1,"A LADDER TO HEAVEN","STAN","Because our names were called on the commercial last night!"
6120013,612,1,"A LADDER TO HEAVEN","LOLLY","Sh-orry boys. No ticket stub, no candy shopping spree. If you find it, you can come back, but you only have one week to claim the prize. That's called ""The Ticking Clock."" Works great in the movies."
6120014,612,1,"A LADDER TO HEAVEN","CARTMAN","GODDAMNIT!!!"
6120015,612,1,"A LADDER TO HEAVEN","STAN","We're gotta find that ticket!"
6120016,612,1,"A LADDER TO HEAVEN","KYLE","Which one of us took it?! It was so long ago, I c- I can't remember."
6120017,612,1,"A LADDER TO HEAVEN","CARTMAN","You guys we've got to focus! We've got to focus, and remember."
6120018,612,2,"A LADDER TO HEAVEN","description","Lolly's Candy Factory, over a year ago. Kenny is still alive back then."
6120019,612,2,"A LADDER TO HEAVEN","LOLLY","All right. There you go. Hold on to that ticket stub. You'll need it to claim your prize.  Shign up for the five-minute shopping spree!!"
6120020,612,2,"A LADDER TO HEAVEN","STAN","You hold on to this, Cartman. I might lose it."
6120021,612,2,"A LADDER TO HEAVEN","CARTMAN","Nah, I'll lose it for sure. You keep track of it, Kyle."
6120022,612,2,"A LADDER TO HEAVEN","KYLE","Okay.  N-no, ah I don't want that much responsibility. Here, you hold on to it, Kenny."
6120023,612,2,"A LADDER TO HEAVEN","KENNY","(Okay.)"
6120024,612,3,"A LADDER TO HEAVEN","description","back to the present. The boys realize Kenny was the last to hold the stub as their mouths open."
6120025,612,3,"A LADDER TO HEAVEN","CARTMAN","Kenny!!!"
6120026,612,3,"A LADDER TO HEAVEN","STAN, KYLE","AAAHHH!!"
6120027,612,4,"A LADDER TO HEAVEN","description","Kenny's house, later. The boys arrive gasping for air and Kyle rings the doorbell."
6120028,612,4,"A LADDER TO HEAVEN","STUART","Yes?"
6120029,612,4,"A LADDER TO HEAVEN","STAN","Where's Kenny??"
6120030,612,4,"A LADDER TO HEAVEN","STUART","Uh... boys... Kenny died ...last December. Don't you remember?"
6120031,612,4,"A LADDER TO HEAVEN","KYLE","We know he's dead. We mean, where is his body??"
6120032,612,4,"A LADDER TO HEAVEN","KENNY'S MOM","His body? Well, why??"
6120033,612,4,"A LADDER TO HEAVEN","CARTMAN","Because he has the God-damned ticket for the-!"
6120034,612,4,"A LADDER TO HEAVEN","STAN","Uh, look. We just really miss our friend and, ah, andand we need to see his remains for closure."
6120035,612,4,"A LADDER TO HEAVEN","KYLE","Yeah. Closure."
6120036,612,4,"A LADDER TO HEAVEN","CARTMAN","What the fuck is closure?!"
6120037,612,4,"A LADDER TO HEAVEN","KENNY'S MOM","Oh all right boys. Come on in."
6120038,612,5,"A LADDER TO HEAVEN","description","Kenny's house, inside. The boys follow the parents through the house"
6120039,612,5,"A LADDER TO HEAVEN","STUART","We haven't seen you boys for so long, we thought you'd forgotten all about him."
6120040,612,5,"A LADDER TO HEAVEN","KENNY'S MOM","Here he is, boys. Our dear little Kenny."
6120041,612,5,"A LADDER TO HEAVEN","CARTMAN","You turned him into a teapot?"
6120042,612,5,"A LADDER TO HEAVEN","STUART","No. That's an urn, boys. Kenny's inside it."
6120043,612,5,"A LADDER TO HEAVEN","KENNY'S MOM","Your friends are here to see you, Kenny. They miss you an awful lot, like we all do."
6120044,612,5,"A LADDER TO HEAVEN","STUART","Thang-thanks for coming by, boys. Ih-ih, it means a lot to us.  Aw now, honey."
6120045,612,6,"A LADDER TO HEAVEN","description","Kenny's house, nighttime, living room. A circle appears on a window and that piece of window is removed. Cartman sets the circle down and looks around. He reaches up to open the window latch, then opens the window door. He slips in and goes for the urn. He pulls out a fake detector and moves it around"
6120046,612,6,"A LADDER TO HEAVEN","CARTMAN","Wewewewewewe..."
6120047,612,6,"A LADDER TO HEAVEN","STAN","Did you get it?"
6120048,612,6,"A LADDER TO HEAVEN","CARTMAN","Hold on, I'm checking for robot guards. Wewewewewewe..."
6120049,612,6,"A LADDER TO HEAVEN","KYLE","There's not gonna be any robot guards, retard! Just get Kenny!"
6120050,612,6,"A LADDER TO HEAVEN","ROBOT GUARD","Wewewewewewe..."
6120051,612,7,"A LADDER TO HEAVEN","description","Cartman's house, night, kitchen. The boys rush to the counter and climb up on the stools"
6120052,612,7,"A LADDER TO HEAVEN","KYLE","Alright, we made it!"
6120053,612,7,"A LADDER TO HEAVEN","STAN","Kenny'd better have the ticket stub with him in there!"
6120054,612,7,"A LADDER TO HEAVEN","KYLE","Let him out, Cartman!"
6120055,612,7,"A LADDER TO HEAVEN","CARTMAN","...Kenny?  Kenny?!"
6120056,612,7,"A LADDER TO HEAVEN","KYLE","Is he in there?"
6120057,612,7,"A LADDER TO HEAVEN","STAN","I can't see."
6120058,612,7,"A LADDER TO HEAVEN","CARTMAN","What the hell is this?! Chocolate milk mix?!"
6120059,612,7,"A LADDER TO HEAVEN","KYLE","I knew Kenny couldn't fit in that tea pot!"
6120060,612,7,"A LADDER TO HEAVEN","STAN","It wa a trick!"
6120061,612,7,"A LADDER TO HEAVEN","CARTMAN","God-damnit! This isn't even GOOD chocolate milk mix!"
6120062,612,7,"A LADDER TO HEAVEN","STAN","Kenny's parents must be laughing pretty hard about now! We're dumb enough to believe Kenny's body could be in a teapot!"
