"id","ep_num","segment","title","role","text"
4170001,417,1,"A VERY CRAPPY CHRISTMAS","description","Kyle's house, night. The Happy Chanukah sign is up and it is snowing."
4170002,417,1,"A VERY CRAPPY CHRISTMAS","[Kyle's house, night, bathroom. The toilet is seen and on it ","are a glass and a plate of chocolate-chip cookies. Kyle sits in his pajamas underneath a window and next to a night stand and candle opposite the toilet bowl, and holding a small flag which reads,"
4170003,417,1,"A VERY CRAPPY CHRISTMAS","WELCOME",""
4170004,417,1,"A VERY CRAPPY CHRISTMAS","MR. HANKEY",""
4170005,417,1,"A VERY CRAPPY CHRISTMAS","Ike walks in and towards the food]",""
4170006,417,1,"A VERY CRAPPY CHRISTMAS","KYLE","He's gonna be here any minute, Ike."
4170007,417,1,"A VERY CRAPPY CHRISTMAS","IKE","Oooh nooo, poopies."
4170008,417,1,"A VERY CRAPPY CHRISTMAS","KYLE","Heee might not come if you're too close to the toilet bowl, Ike.  Come sit by me."
4170009,417,1,"A VERY CRAPPY CHRISTMAS","KYLE'S MOTHER","It's getting late, boys. Why don't you come on up to bed."
4170010,417,1,"A VERY CRAPPY CHRISTMAS","KYLE","Just let us stay up a little longer, mom. Mr. Hankey's gotta show up. He always does."
4170011,417,1,"A VERY CRAPPY CHRISTMAS","KYLE'S MOTHER","Alright, bubbe.  Oh, and boys? Happy Chanukah."
4170012,417,1,"A VERY CRAPPY CHRISTMAS","KYLE","Happy Chanukah, Mom."
4170013,417,2,"A VERY CRAPPY CHRISTMAS","description","Kyle's house, night, bathroom. ""Silent Night"" plays"
4170014,417,2,"A VERY CRAPPY CHRISTMAS","IKE","Ayaaa ta.  Weee! Weee..."
4170015,417,2,"A VERY CRAPPY CHRISTMAS","KYLE","Go away!"
4170016,417,3,"A VERY CRAPPY CHRISTMAS","description","The ant scurries away. At length, the candle burns down to the plate and goes out. Kyle and Ike are both asleep. Sheila and Gerald look in once again and find the boys asleep. Sheila picks up Ike and Gerald picks up Kyle and take them to their respective rooms. Kyle is then seen asleep in his room. He opens and blinks his eyes, then gasps and sits up. He rushes out of bed and into the restroom, only to find an empty plate and glass. He thinks Mr. Hankey has been by, until he notices something on the floor to the left of the toilet. A look of dismay comes over his face. It's the ant he sees, now bloated and content. Kyle goes to make a phone call."
4170017,417,4,"A VERY CRAPPY CHRISTMAS","description","Stan's house, night, bathroom. ""Silent Night"" continues"
4170018,417,4,"A VERY CRAPPY CHRISTMAS","STAN","A-ah huh."
4170019,417,4,"A VERY CRAPPY CHRISTMAS","KYLE","Stan! Go get the other guys and tell them to meet me at the bos stop in ten minutes!"
4170020,417,4,"A VERY CRAPPY CHRISTMAS","STAN","Ho-o-oh."
4170021,417,5,"A VERY CRAPPY CHRISTMAS","description","South Park, night, bus stop. Kyle, with flashlight and crow bar, is waiting as the others arrive. Kenny arrives in coat, hood, and undies. Cartman in pajamas, cap and coat, and Stan fully dressed, but with his cap askew. A lock of hair is seen"
4170022,417,5,"A VERY CRAPPY CHRISTMAS","KYLE","Okay, good. You're all here."
4170023,417,5,"A VERY CRAPPY CHRISTMAS","STAN","What is this all about, Kyle?"
4170024,417,5,"A VERY CRAPPY CHRISTMAS","KYLE","It's Mr. Hankey! He hasn't shown up yet."
4170025,417,5,"A VERY CRAPPY CHRISTMAS","CARTMAN","Aw, Jesus Christ! I'm going back to bed."
4170026,417,5,"A VERY CRAPPY CHRISTMAS","KYLE","It's only three days until Christmas, you guys! You know how bad thins have been around here. I think it might be because Mr. Hankey hasn't come."
4170027,417,5,"A VERY CRAPPY CHRISTMAS","CARTMAN","Kyle, I have a full day of watching TV tomorrow. I don't have time to go on a poo hunt right now, okay?"
4170028,417,5,"A VERY CRAPPY CHRISTMAS","KYLE","If you guys want thre to be a Christmas, you'd better come help me!"
4170029,417,6,"A VERY CRAPPY CHRISTMAS","description","South Park, night, city streets. Snow is still falling, but a manhole cover has been lifted and set aside. Down below, in the sewer, the boys walk in the muck looking for Mr. Hankey's home"
4170030,417,6,"A VERY CRAPPY CHRISTMAS","CARTMAN","Heh-tchoo!"
4170031,417,6,"A VERY CRAPPY CHRISTMAS","KYLE","Dude, you sneezed on my back!"
4170032,417,6,"A VERY CRAPPY CHRISTMAS","CARTMAN","Oh, sorry, you might get some germs while you're walking around in human feces!"
4170033,417,6,"A VERY CRAPPY CHRISTMAS","KYLE","Hey, look.  Hello?"
4170034,417,6,"A VERY CRAPPY CHRISTMAS","MR. HANKEY","Hoowwddyy ho!"
4170035,417,6,"A VERY CRAPPY CHRISTMAS","KYLE","...Mr. Hankey! Hoh, we were so worried! I was weiting up for you and you didn't come, so I thought that-"
4170036,417,6,"A VERY CRAPPY CHRISTMAS","MR. HANKEY","Oh, no I'm fine, Kyle."
4170037,417,6,"A VERY CRAPPY CHRISTMAS","KYLE","But where have you been? Things aren't the same without you. Nobody seems to have the Christmas spirit."
4170038,417,6,"A VERY CRAPPY CHRISTMAS","MR. HANKEY","I know, Kyle. I've just been awfully busy with my family.  Honey!"
4170039,417,6,"A VERY CRAPPY CHRISTMAS","CARTMAN","Family?"
4170040,417,6,"A VERY CRAPPY CHRISTMAS","MR. HANKEY","Boys, I want you to meet my wife. Autumn."
4170041,417,6,"A VERY CRAPPY CHRISTMAS","AUTUMN","Howdy-hey kids!  Would you like a drink?"
4170042,417,6,"A VERY CRAPPY CHRISTMAS","MR. HANKEY","They're too young to drink, honey."
4170043,417,6,"A VERY CRAPPY CHRISTMAS","AUTUMN","Hey haa, it's Christmas!"
4170044,417,6,"A VERY CRAPPY CHRISTMAS","MR. HANKEY","Come. You have to meet the little nuggets, too. Kids!  This is our son, Cornwallis."
