"id","ep_num","segment","title","role","text"
8050001,805,1,"AWESOM O","description","Butters' house, day. Butters is in the living room eating some soup. The doorbell rings. Butters stops and looks at the door. He rises and opens it, and sees a large wooden crate waiting on the porch"
8050002,805,1,"AWESOM O","BUTTERS","What the heck?  Whoa! What a huge package! ""To Butters Stotch.""  Oh boy! It's for me! It's for me!!  Who is it from? ""Sent from: Japan. Konichi-wa.""  Wow! A package for me from Japan!!  Wow, what can it be? My birthday isn't until September 11th.  Oh boy! I've never gotten a package this big! I've always wanted to have a huge package."
8050003,805,1,"AWESOM O","CARTMAN","Greetings. I am the AWESOM-O 4000."
8050004,805,1,"AWESOM O","BUTTERS","Whoa..."
8050005,805,1,"AWESOM O","CARTMAN","I have been sent from Japan to serve as your personal robot."
8050006,805,1,"AWESOM O","BUTTERS","You... you're my robot?"
8050007,805,1,"AWESOM O","CARTMAN","Yes. I will be your new best friend."
8050008,805,1,"AWESOM O","BUTTERS","Oh wow!"
8050009,805,2,"AWESOM O","description","Moments later, Butters has Cartman sitting on his bed. Butters goes to his desk and makes a few calls."
8050010,805,2,"AWESOM O","BUTTERS","Yep. That's right. He's a real live robot. He can walk and talk and everything. You're like the fourth kid I told already. Well I gotta go Dougie. My robot and I have stuff to do.  Heheh, they're all so jealous!  I'm so glad you came into my life, AWESOM-O. You're the best friend a guy could have."
8050011,805,2,"AWESOM O","CARTMAN","Yes. You can trust AWESOM-O. In face, you should tell AWESOM-O all your most personal secrets. AWESOM-O will not make fun of you or tell your secrets to other people and stuff."
8050012,805,2,"AWESOM O","BUTTERS","Hey yeah! Well I can tell you anything, huh?  Well lessee... Well, for one, I have what's called a heziated colon, which means I sometime can't control my sphincter."
8050013,805,2,"AWESOM O","CARTMAN","Could be."
8050014,805,2,"AWESOM O","BUTTERS","Well, nobody knows it, but sometimes I poop my pants, so I have to wear a diaper to school.  You okay, AWESOM-O?"
8050015,805,2,"AWESOM O","CARTMAN","Yes. AWESOM-O is fine. Please go on."
8050016,805,2,"AWESOM O","BUTTERS","Well, I have to take medicine for it every day. It's a little suppository I have to ...put up my rectom."
8050017,805,2,"AWESOM O","CARTMAN","That, that's very interesting. Tell AWESOM-O more secrets."
8050018,805,2,"AWESOM O","BUTTERS","Hm, okay. Let's see  Oh, my parents don't know, but sometimes I get picked on by this one kid at school; his name is Eric Cartman, and he always tries to play jokes on me and stuff."
8050019,805,2,"AWESOM O","CARTMAN","Oh, really?"
8050020,805,2,"AWESOM O","BUTTERS","Yeah. One time he made me think a meteor had hit the earth, and convinced me to stay down in a bomb shelter for three days."
8050021,805,2,"AWESOM O","CARTMAN","Heh. Wow, that sucks."
8050022,805,2,"AWESOM O","BUTTERS","Yeah. And then this other time, he pretended to be me on the phone to my dad and called him a pussy, so my dad came home and beat me."
8050023,805,2,"AWESOM O","CARTMAN","Wow. Sounds like this Cartman kid is pretty smart."
8050024,805,2,"AWESOM O","BUTTERS","No, he's not smart! He's just an asshole. And he's never gonna play on me ever again!"
8050025,805,2,"AWESOM O","CARTMAN","Really? You think so? Well, guess what, Butters. I have a surprise for you."
8050026,805,2,"AWESOM O","BUTTERS","Yeah, and he's never gonna get me again! 'Cause what Cartman doesn't know is that I know one of his secrets!"
8050027,805,2,"AWESOM O","CARTMAN","What?"
8050028,805,2,"AWESOM O","BUTTERS","When Cartman is playing all alone in his backyard, he likes to dress up like Britney Spears and pretend he's her! Hi sings and dances around with a life-sized cutout of Justin Timberlake."
8050029,805,2,"AWESOM O","CARTMAN","You saw that?"
8050030,805,2,"AWESOM O","BUTTERS","Yeah! And I videotaped him doing it!"
8050031,805,2,"AWESOM O","CARTMAN","Nuh uh."
8050032,805,2,"AWESOM O","BUTTERS","I've got the whole thing on tape! Even him making out with the Justin Timberlake cutout!"
8050033,805,2,"AWESOM O","CARTMAN","No way."
8050034,805,2,"AWESOM O","BUTTERS","Yeah! And if Cartman ever messes with me again, I'm gonna show that video to everybody! Then I'll lhave my revenge, boy howdy!"
8050035,805,2,"AWESOM O","CARTMAN","...Um, where is this videotape, Butters?"
8050036,805,2,"AWESOM O","BUTTERS","Huh? Oh, I dunno. It's around here somewhere. Hey! So what do you wanna do now, AWESOM-O?"
8050037,805,2,"AWESOM O","CARTMAN","Uh, Butters, maybe you should give AWESOM-O the videotape?"
8050038,805,2,"AWESOM O","BUTTERS","How come?"
8050039,805,2,"AWESOM O","CARTMAN","Well, because... AWESOM-O can, like, back it up for you, and make copies and stuff. I am AWESOM-O."
8050040,805,2,"AWESOM O","BUTTERS","Oh, that's all right, AWESOM-O. Come on! I have a lot of things to teach you."
8050041,805,2,"AWESOM O","CARTMAN","Oh, son of a bitch!"
8050042,805,3,"AWESOM O","description","Montage. Butters tosses a basketball with Cartman on the front lawn. Cartman, as AWESOM-O, can't catch it"
