"id","ep_num","segment","title","role","text"
7120001,712,1,"ALL ABOUT THE MORMONS","description","South Park Elementary, day. In Mr. Garrison's classroom the kids enter and go for their desks"
7120002,712,1,"ALL ABOUT THE MORMONS","MR. GARRISON","Okay, children, let's take our seats. We have a new student joining us today who has just moved here from Utah. I want you all to say hi to Gary."
7120003,712,1,"ALL ABOUT THE MORMONS","GARY","Hello everybody. It's relly great to meet you all."
7120004,712,1,"ALL ABOUT THE MORMONS","MR. GARRISON","Gary was state champion in wrestling AND in tennis.  He also maintained a 4.0 grade point average at his old school AND has been on two national commercials for toothpaste."
7120005,712,1,"ALL ABOUT THE MORMONS","GARY","I'm really excited to live in this town and share all kinds of great experiences with you, my new friends!"
7120006,712,1,"ALL ABOUT THE MORMONS","KYLE","Oh, dude, what a little asshole!"
7120007,712,1,"ALL ABOUT THE MORMONS","STAN","Yeah, screw that kid!"
7120008,712,1,"ALL ABOUT THE MORMONS","MR. GARRISON","All right, Gary, why don't you take that empty seat and we'll get started with the lesson?"
7120009,712,1,"ALL ABOUT THE MORMONS","GARY","Hey. My name's Gary."
7120010,712,1,"ALL ABOUT THE MORMONS","CARTMAN","Hi. My name's Eura. Eura Fag."
7120011,712,1,"ALL ABOUT THE MORMONS","GARY","That's funny. You're cool, man."
7120012,712,1,"ALL ABOUT THE MORMONS","MR. GARRISON","Okay now, who can tell me what year the first astronauts landed on the moon?"
7120013,712,1,"ALL ABOUT THE MORMONS","GARY","Oh! Oh oh oh! Nineteen sixty nine!"
7120014,712,1,"ALL ABOUT THE MORMONS","MR. GARRISON","Very good, Gary. Wow, looks like I don't have a class full of retards anymore, doesn't it, children?"
7120015,712,2,"ALL ABOUT THE MORMONS","description","The playground. Gary is kicking a soccer ball around. The other fourth grade boys approach and look. Shown are Craig, Butters, Kyle, Clyde, Stan, Cartman, Token, Kevin, and another boy"
7120016,712,2,"ALL ABOUT THE MORMONS","KYLE","Dude, that new kid is such a douche!"
7120017,712,2,"ALL ABOUT THE MORMONS","CARTMAN","Yeah. Somebody need sto put him in him place!"
7120018,712,2,"ALL ABOUT THE MORMONS","BUTTERS","He's a peckerface, that's what he is!"
7120019,712,2,"ALL ABOUT THE MORMONS","CARTMAN","Go kick his ass, Stan."
7120020,712,2,"ALL ABOUT THE MORMONS","CLYDE","Yeah, go kick his ass."
7120021,712,2,"ALL ABOUT THE MORMONS","STAN","Wull, maybe he won't fight."
7120022,712,2,"ALL ABOUT THE MORMONS","CARTMAN","Will he bleed? That's all we care about."
7120023,712,2,"ALL ABOUT THE MORMONS","KYLE","Come on, dude, somebody needs to wipe that fuckin' smirk off his face!"
7120024,712,2,"ALL ABOUT THE MORMONS","CRAIG","Yeah, little bitch!"
7120025,712,2,"ALL ABOUT THE MORMONS","STAN","All right, I'm gonna go kick his ass."
7120026,712,2,"ALL ABOUT THE MORMONS","CARTMAN","Yeah! Go Stan! Go Stan!  All right, I've got five bucks on the other kid. Who wants in?"
7120027,712,2,"ALL ABOUT THE MORMONS","GARY","Oh hey there! You wanna kick the ball around with me?"
7120028,712,2,"ALL ABOUT THE MORMONS","STAN","No. I'm... I'm gonna kick your ass."
7120029,712,2,"ALL ABOUT THE MORMONS","GARY","'Scuse me?"
7120030,712,2,"ALL ABOUT THE MORMONS","STAN","I'm gonna kick your ass...  bitch."
7120031,712,2,"ALL ABOUT THE MORMONS","GARY","How come you wanna fight me? ...Oh, I get it. I'm the new kid.  Yeah, I guess maybe I deserve it."
7120032,712,2,"ALL ABOUT THE MORMONS","STAN","Huh?"
7120033,712,2,"ALL ABOUT THE MORMONS","GARY","It's really tough being in a totally new place, but I think all you guys are really cool so... I understand if there's initiation rites."
7120034,712,2,"ALL ABOUT THE MORMONS","STAN","Dude, stop it."
7120035,712,2,"ALL ABOUT THE MORMONS","BUTTERS","Let him have it, Stan!"
7120036,712,2,"ALL ABOUT THE MORMONS","STAN","Shut up, Butters!"
7120037,712,2,"ALL ABOUT THE MORMONS","GARY","The other kids are watching. Look, do what you gotta do. I won't fight back. I just hope that maybe afterwards we can... try to be friends someday."
7120038,712,2,"ALL ABOUT THE MORMONS","KYLE","What are they doing?"
7120039,712,2,"ALL ABOUT THE MORMONS","CARTMAN","They're just standing there, talking."
7120040,712,2,"ALL ABOUT THE MORMONS","KYLE","What happened?"
7120041,712,2,"ALL ABOUT THE MORMONS","STAN","I'm...  going over to his house for dinenr tonight."
7120042,712,2,"ALL ABOUT THE MORMONS","TOKEN","What?! How did that happen?"
7120043,712,2,"ALL ABOUT THE MORMONS","STAN","He's a really nice kid."
7120044,712,2,"ALL ABOUT THE MORMONS","CARTMAN","You were supposed to kick his ass, not lick his butthole!"
7120045,712,2,"ALL ABOUT THE MORMONS","KYLE","You're having dinenr with his family? What kind of family has a kid like that?"
7120046,712,3,"ALL ABOUT THE MORMONS","description","Gary's house. His family is enjoying itself at the dinner table, playing a board game, ""LIVING"", and laughing"
