"id","ep_num","segment","title","role","text"
6020001,602,1,"ASSPEN","description","Butters' house, night, kitchen. Linda is serving drinks. The Marshes and the Broflovskis are at table. Sheila holds Ike on her lap"
6020002,602,1,"ASSPEN","SHARON","Thanks for having us all over for dinner, Chris and Linda."
6020003,602,1,"ASSPEN","KYLE'S MOTHER","Yes, it was fabulous."
6020004,602,1,"ASSPEN","LINDA","Oh, we're just really happy that your boys have become such good friends with our little Butters."
6020005,602,1,"ASSPEN","CHRIS","Yeah. We figure that if our boys are goona be great friends, we should all get to be friends, too."
6020006,602,1,"ASSPEN","LINDA","Freinds, by default."
6020007,602,1,"ASSPEN","RANDY","Well, our boys do seem to be spending a lot of time together lately. I think ever since their friend Kenny died they've been looking for someone to fill the void."
6020008,602,1,"ASSPEN","CHRIS","Well, our son is a perfect void-filler. It's nice that he finally has your sons to be his best buddies!"
6020009,602,2,"ASSPEN","description","Butters' house, living room. The four boys sit on the sofa looking at television, except Butters is asleep at one end"
6020010,602,2,"ASSPEN","CARTMAN","Look you guys, Butters is asleep."
6020011,602,2,"ASSPEN","STAN","He's such a douchebag"
6020012,602,2,"ASSPEN","CARTMAN","Hey! Have you guys ever seen this trick? When someone's sleeping, you can take a glass of warm water,  and you put their hand in it..."
6020013,602,2,"ASSPEN","STAN","Yeah, and then what?"
6020014,602,2,"ASSPEN","CARTMAN","And then, you pee on it!  heheh, heheheheheheheh."
6020015,602,2,"ASSPEN","KYLE","No, dude, you're supposed to put their hand in warm water and it makes them pee."
6020016,602,2,"ASSPEN","CARTMAN","Oh, really? ...Oh well, heh, heheheheh, heh"
6020017,602,3,"ASSPEN","description","Butters' house, kitchen. Conversation goes on"
6020018,602,3,"ASSPEN","CHRIS","And we were thinking, since they've all become such close friends, how great it would be for us to all go together to Aspen for a ski weekend."
6020019,602,3,"ASSPEN","KYLE'S FATHER","A-Aspen? Ohhh, we, we can't really afford that."
6020020,602,3,"ASSPEN","CHRIS","No, you see, Linda and I found this ad where you can get two night free at a condo in Aspen if you attend a time-share presentation.."
6020021,602,3,"ASSPEN","RANDY","They let you stay for free?"
6020022,602,3,"ASSPEN","CHRIS","Yes! And all we have to do is attend a thirty-minute meeting!"
6020023,602,3,"ASSPEN","KYLE'S MOTHER","Well that sounds like a good deal."
6020024,602,3,"ASSPEN","RANDY","Sounds good to me; let's go this weekend."
6020025,602,3,"ASSPEN","KYLE'S MOTHER","Oh boy! Skiing in Aspen! I can't wait!"
6020026,602,3,"ASSPEN","CHRIS","Hey boys! We're all going to Aspen fior the weekend!"
6020027,602,3,"ASSPEN","STAN, KYLE, CARTMAN","All right!"
6020028,602,3,"ASSPEN","BUTTERS","Wow, a ski trip with my new best buddies! Oh, I'm all sticky."
6020029,602,4,"ASSPEN","description","The Rocky Mountains, day. Chris Stotch drives all three families and Cartman off to Aspen"
6020030,602,4,"ASSPEN","CHRIS","Here we are, everyone."
6020031,602,5,"ASSPEN","description","Fade in, next morning. The adults sit around a coffee table while the kids sit at the dining table eating breakfast behnd them. The adults are getting dressed for the day"
6020032,602,5,"ASSPEN","KYLE'S MOTHER","Oh, this is gonna be so much fun; I haven't skied in years!"
6020033,602,5,"ASSPEN","CHRIS","Where are Butters and Eric?"
6020034,602,5,"ASSPEN","STAN","They're still asleep."
6020035,602,5,"ASSPEN","CHRIS","Butters? Eric? Come on! We gotta get to the powder!"
6020036,602,5,"ASSPEN","MAN","Hello, folks, I'm Phil and this is Josh . We're with the Aspen Time-Share Company."
6020037,602,5,"ASSPEN","THE PARENTS","Hello."
6020038,602,5,"ASSPEN","JOSH","You folks enjoying the condo?"
6020039,602,5,"ASSPEN","KYLE'S MOTHER","It's lovely. Thank you."
6020040,602,6,"ASSPEN","description","The dining table"
6020041,602,6,"ASSPEN","CARTMAN","You guys, you guys! You're not gonna believe this, this is sooo funny!"
6020042,602,6,"ASSPEN","KYLE","What"
6020043,602,6,"ASSPEN","CARTMAN","So last night, while Butters was asleep, I gave him a Hitler."
6020044,602,6,"ASSPEN","STAN","What's a Hitler?"
6020045,602,6,"ASSPEN","CARTMAN","You know, when somebody is sleeping and you put your finger up your butt and then, wipe it on their upper lip to give them a little Hitler mustache? You've never Hitlered anyone?"
6020046,602,6,"ASSPEN","STAN","No, I never have."
6020047,602,6,"ASSPEN","CARTMAN","Shh-shh, here he comes."
6020048,602,6,"ASSPEN","BUTTERS","Goooood mornin', fellas! All set to go skiin'?  A-huh, u-uh, uh what's so funny?"
6020049,602,6,"ASSPEN","CARTMAN","Nothing, Butters. Right, guys??"
6020050,602,7,"ASSPEN","description","The front door"
6020051,602,7,"ASSPEN","PHIL","Well, we can't wait to show you what Aspen Time-Share is offering investors. Shall we do our thirty-minute meeting?"
6020052,602,7,"ASSPEN","RANDY","Oh, do we have to do it right now?"
6020053,602,7,"ASSPEN","JOSH","Well, best to do it and get it out of the way."
6020054,602,7,"ASSPEN","CHRIS","Okay."
6020055,602,7,"ASSPEN","KYLE'S MOTHER","Boys, we have to go to this time-share presentation real quick, but you go meet your ski instructor on the bunny hill."
6020056,602,7,"ASSPEN","THE BOYS","Okay."
6020057,602,7,"ASSPEN","CHRIS","We'll meet you boys on the slopes."
6020058,602,7,"ASSPEN","BUTTERS","Hey, do you guys smell that?"
6020059,602,7,"ASSPEN","STAN","Smell what?"
6020060,602,7,"ASSPEN","BUTTERS","Ehh, it kind of smells stinky in this condo."
6020061,602,7,"ASSPEN","CARTMAN","I don't smell anythng. Do you guys?"
6020062,602,8,"ASSPEN","description","Music fades in. Exterior shots of the resort are shown .The bunny slope is shown. Lifts go up and down as kids practice skiing moves. The four boys and Ike are shown waiting for their instructor."
6020063,602,8,"ASSPEN","BUTTERS","Do you guys smell that? It smells bad out here, too. I'm starting to think this whole town smells like doodoo."
6020064,602,8,"ASSPEN","CARTMAN","Yeah, well, that why they call is Asspen."
6020065,602,8,"ASSPEN","SKIER","All right, little dudes,  great to see you out here. My name is Thumper, and I'm gonna be your cool ski instructor."
6020066,602,8,"ASSPEN","CARTMAN","His name is Thumper?"
6020067,602,8,"ASSPEN","THUMPER","We're gonna take it slow, take it easy, make sure everybody has a goood time. 'Cause what is skiing about? Having a good...?  Tiime, that's right. Now, just a few safety things to keep in mind: First of all, look straight ahead when you ski. You look down, you're gonna fall, you're gonna have a bad time. Also, be aware of skiers around you. You run into another skier, your skis are gonna cross, gonna have a bad time."
6020068,602,8,"ASSPEN","BUTTERS","So where's the part where we have a good time?"
6020069,602,8,"ASSPEN","THUMPER","Hey, little dude, you got some crap right here."
6020070,602,8,"ASSPEN","BUTTERS","Wuh that's my face, sir."
6020071,602,8,"ASSPEN","THUMPER","Alright, we're gonna do this without any poles until we know our two primary feet positions. To go slow, we wedge our skis together , in the shape of a slice... of pizza. Then to go faster, we put 'em parallel, like... French fries.  You see that?  Pizza,  French fries,  Pizza,  French fries."
6020072,602,8,"ASSPEN","BUTTERS","Ah hey, this is gonna be just like eatin' at Shakey's, huh fellas?"
6020073,602,8,"ASSPEN","THUMPER","Okay, let's have the little dude at the end try first! What's your name?"
6020074,602,8,"ASSPEN","IKE","Iiiiike!"
6020075,602,8,"ASSPEN","THUMPER","Okay, Mike, ski down to me!"
6020076,602,8,"ASSPEN","KYLE","Go on, Ike."
6020077,602,8,"ASSPEN","IKE","Pee-za, Fron fries. Pee-za, Fron fries. Fron friiiies.  Peeee-zaaa"
