"id","ep_num","segment","title","role","text"
6100001,610,1,"BEBE S BOOBS DESTROY SOCIETY","description","Cartman's house, morning. Stan, Kyle, and Tweek show up. Stan rings the doorbell. Liane comes to the door"
6100002,610,1,"BEBE S BOOBS DESTROY SOCIETY","LIANE","Oh, hello boys."
6100003,610,1,"BEBE S BOOBS DESTROY SOCIETY","STAN","Hi. Uh, the school called and said we all have to start going to class again."
6100004,610,1,"BEBE S BOOBS DESTROY SOCIETY","LIANE","Oh, but I thought your teacher died."
6100005,610,1,"BEBE S BOOBS DESTROY SOCIETY","KYLE","She did, but now they're saying we have to start going back to school anyways. It's totally gay."
6100006,610,1,"BEBE S BOOBS DESTROY SOCIETY","LIANE","Oh. Well, I'll tell Eric. He's just down in the basement playing with his dolls."
6100007,610,1,"BEBE S BOOBS DESTROY SOCIETY","TWEEK","Cartman likes to play with dolls?"
6100008,610,2,"BEBE S BOOBS DESTROY SOCIETY","description","Cartman's basement. He's playing with a rubber lamb at the edge of a hole in the basement."
6100009,610,2,"BEBE S BOOBS DESTROY SOCIETY","CARTMAN","Hello, Precious. Yes, that's a good Precious.  Now it takes the lotion from the basket."
6100010,610,2,"BEBE S BOOBS DESTROY SOCIETY","POLLY PRISSY PANTS","Oh please, mister. Please let me out of here."
6100011,610,2,"BEBE S BOOBS DESTROY SOCIETY","CARTMAN","It puts the lotion on its skin or else it gets the hose again."
6100012,610,2,"BEBE S BOOBS DESTROY SOCIETY","POODLE","Bark bark bark bark!"
6100013,610,2,"BEBE S BOOBS DESTROY SOCIETY","CARTMAN","Yes, that's a good Precious. Okay, now it puts the lotion back in the basket."
6100014,610,2,"BEBE S BOOBS DESTROY SOCIETY","POLLY PRISSY PANTS","Please, mister, let me out."
6100015,610,2,"BEBE S BOOBS DESTROY SOCIETY","CARTMAN","It puts the lotion back in the basket!"
6100016,610,2,"BEBE S BOOBS DESTROY SOCIETY","POLLY PRISSY PANTS","I miss my Mom, mister. I wanna see my Mommy-"
6100017,610,2,"BEBE S BOOBS DESTROY SOCIETY","CARTMAN","Put the lotion in the fuckin' basket!"
6100018,610,2,"BEBE S BOOBS DESTROY SOCIETY","LIANE","Sweetie."
6100019,610,2,"BEBE S BOOBS DESTROY SOCIETY","CARTMAN","Yes Mom?"
6100020,610,2,"BEBE S BOOBS DESTROY SOCIETY","LIANE","You have to get ready for school"
6100021,610,2,"BEBE S BOOBS DESTROY SOCIETY","CARTMAN","...No, our teacher's dead. Remember?"
6100022,610,2,"BEBE S BOOBS DESTROY SOCIETY","LIANE","Yes, but they said two weeks off was enough, and they want everyone back."
6100023,610,2,"BEBE S BOOBS DESTROY SOCIETY","CARTMAN","Two weeks isn't enough. I'm not over our teacher's tragic death. I'm still sh-shooken up."
6100024,610,2,"BEBE S BOOBS DESTROY SOCIETY","LIANE","You'll get over it, honey."
6100025,610,2,"BEBE S BOOBS DESTROY SOCIETY","CARTMAN","But I wanna plaaayyy."
6100026,610,3,"BEBE S BOOBS DESTROY SOCIETY","description","South Park Elementary, Fourth Grade. The kids pour into the classroom, chattering. Wendy walks up and starts talking to Red and Jordan"
6100027,610,3,"BEBE S BOOBS DESTROY SOCIETY","WENDY","I can't believe it's been two weeks since I've seen you guys. What have you been doing?"
6100028,610,3,"BEBE S BOOBS DESTROY SOCIETY","BEBE","Hey guys."
6100029,610,3,"BEBE S BOOBS DESTROY SOCIETY","WENDY","Hey Bebe."
6100030,610,3,"BEBE S BOOBS DESTROY SOCIETY","BEBE","You guys uh,  notice anything different?"
6100031,610,3,"BEBE S BOOBS DESTROY SOCIETY","WENDY","Oh my God, Bebe. You got boobs."
6100032,610,3,"BEBE S BOOBS DESTROY SOCIETY","BEBE","Yeah, they started coming in last week. At first I thought they were just mosquito bites, but, then they didn't go away."
6100033,610,3,"BEBE S BOOBS DESTROY SOCIETY","COUNSELOR MACKEY","M'kay kids, let's take our seats, m'kay? I know this has been a difficult couple o'weeks for you all with the untimely death of your teacher, but it's time for us to try to move on and learn, m'kay?"
6100034,610,3,"BEBE S BOOBS DESTROY SOCIETY","CARTMAN","Mr. Mackey, I don't think I'm over the teacher's tragic death yet. I need more time. It's just... it still hurts, you know? Can I go home?"
6100035,610,3,"BEBE S BOOBS DESTROY SOCIETY","COUNSELOR MACKEY","No. Eric, what we're gonna do is learn to hide our emotions with math problems. M'kay, so let's start with some multiplication tables over here, m'kay. First we'll do uh, four time four, m'kay?"
6100036,610,3,"BEBE S BOOBS DESTROY SOCIETY","KYLE","Dude, look at Bebe.  Something seems different about her."
6100037,610,3,"BEBE S BOOBS DESTROY SOCIETY","STAN","Yeah, I noticed that too. Did she get a haircut or something?"
6100038,610,3,"BEBE S BOOBS DESTROY SOCIETY","KYLE","I don't know."
