"id","ep_num","segment","title","role","text"
9040001,904,1,"BEST FRIENDS FOREVER","description","Dawn over Cartman's house. He runs into his mother's bedroom"
9040002,904,1,"BEST FRIENDS FOREVER","CARTMAN","Mom! Mom! Get up, we have to go!  MOM, GET UP!"
9040003,904,1,"BEST FRIENDS FOREVER","LIANE","Oh, Poopie-kins, it's very early."
9040004,904,1,"BEST FRIENDS FOREVER","CARTMAN","Mom, I told you! The new Sony PSP game machines go on sale at seven a.m. today. I have to be the first to get one! Come on!"
9040005,904,1,"BEST FRIENDS FOREVER","LIANE","Sweetie, can't we go after school?"
9040006,904,1,"BEST FRIENDS FOREVER","CARTMAN","Everyone's moms are taking their kids after school! We're outsmarting everyone by getting to the store right when it opens! Let's go!"
9040007,904,2,"BEST FRIENDS FOREVER","description","Liane's car, some time later. She and Cartman drive along, Cartman bouncing happily in his seat"
9040008,904,2,"BEST FRIENDS FOREVER","CARTMAN","I can't wait to see the look on everyone's faces when I show up to school with a PSP! I wonder if Kyle will cry? Oh PLEASE let Kyle cry!  What the hell?!"
9040009,904,3,"BEST FRIENDS FOREVER","description","Before them is a long line of people in front of Luau's Toys waiting for the PSP. The camera reaches the front of the line only to find Kenny right at the front door. He's the first one in line. Cartman approaches Kenny"
9040010,904,3,"BEST FRIENDS FOREVER","CARTMAN","Kenny, when did you get here?"
9040011,904,3,"BEST FRIENDS FOREVER","KENNY","(Friday)"
9040012,904,3,"BEST FRIENDS FOREVER","CARTMAN","Friday?! Aw, Jesus!  I'll just... sort of get in here- in here."
9040013,904,3,"BEST FRIENDS FOREVER","TALL GOTH","Hey dickhole! What do you think you're doing?"
9040014,904,3,"BEST FRIENDS FOREVER","CARTMAN","Uh, my friend Kenny was saving my place in line."
9040015,904,3,"BEST FRIENDS FOREVER","SIXTH GRADER","There's no saving place, fourthie! Get to the back or we'll beat your face in!"
9040016,904,3,"BEST FRIENDS FOREVER","CARTMAN","Oh, Goddamnit!  They'd better not sell out!"
