"id","ep_num","segment","title","role","text"
1040001,104,1,"BIG GAY AL S BIG GAY BOATRIDE","gonna be late for football practice.",""
1040002,104,1,"BIG GAY AL S BIG GAY BOATRIDE","A dog comes walking up to Stan wagging it's tail.",""
1040003,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Hiya Sparky!"
1040004,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KYLE","Who's that?"
1040005,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","That's my new dog, Sparky. (Proudly) He followed me to the busstop!"
1040006,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KYLE","Wow, cool!"
1040007,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Good boy, Sparky! Who's my best buddy? Who's your boy? Who's your buddy?"
1040008,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","Ugh, you're making me sick, dude."
1040009,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","He's part Doberman, and part wolf! He's the toughest dog on the mountain!"
1040010,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","No way. Everybody knows that Sylvester is the toughest dog in South Park!"
1040011,104,1,"BIG GAY AL S BIG GAY BOATRIDE","WHIP PAN to a mangy mutt bull dog sitting on the curb that ","looks ridiculously fierce and pissed off."
1040012,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","He's not meaner than Sparky!"
1040013,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","Oh yeah? Let's see... HEY SYLVESTER!"
1040014,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Sylvester angrily walks over to the boys. He and Sparky ","immediately growl at each other."
1040015,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Sparky'll kick his ass!"
1040016,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","I'll put a dollar on Sylvester!"
1040017,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KYLE","You're on, dude!"
1040018,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Sparky and the other dog circle each other. Finally Sparky ","lunges!"
1040019,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","That's it, Sparky kick his ass!"
1040020,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Sparky hops on top of the dog. We see only the top part of ","Sparky and the boys' faces, which all look confused."
1040021,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","Huh... He's doing something to his ass. He's not kicking his ass, but he's definitely doing something to his ass."
1040022,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Sparky?! Bad dog."
1040023,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KENNY","Mphph rmph rm rmph!"
1040024,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","WHAT?"
1040025,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","Yeah dude, I think your dog is gay!"
1040026,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","What do you mean?"
1040027,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","That dog is a gay homosexual."
1040028,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","(To the boys) He's just confused."
1040029,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KYLE","I think the OTHER dog's the one that's confused."
1040030,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KENNY","Mph rmph rmph!"
1040031,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Sick, shut up, dude!"
1040032,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Finally, Sylvester runs away yelping.",""
1040033,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","(Singing) Stan's dog's a homo! Stan's dog's a homo!"
1040034,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Cartman is cut off by the big yellow bus entering frame.",""
1040035,104,1,"BIG GAY AL S BIG GAY BOATRIDE","EXT. FOOTBALL FIELD - DAY",""
1040036,104,1,"BIG GAY AL S BIG GAY BOATRIDE","The large football field sits behind South Park Elementary. ","The boys are all dressed in cute little football uniforms, with ""South Park Cows"" on the jerseys and a cow's head on the helmet."
1040037,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CHEF","Okay children, I know that you're all extremely excited, nervous and anxious about the homecoming game against Middle Park --"
1040038,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KYLE","Who's Middle Park?"
1040039,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","What's homecoming?"
1040040,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CHEF","-- But just remember what I taught you: That football is like making love to a really beautiful women; You can't always score, but when you do it makes all the trying worth while."
1040041,104,1,"BIG GAY AL S BIG GAY BOATRIDE","The kids blink.",""
1040042,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CHEF","Now let's start practice!"
1040043,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Chef blows his whistle and the kids put on their helmets and ","walk to the field."
1040044,104,1,"BIG GAY AL S BIG GAY BOATRIDE","PIP","Ah, Mr. Chef, sir?"
1040045,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CHEF","Yes, Pip, what is it?"
1040046,104,1,"BIG GAY AL S BIG GAY BOATRIDE","PIP","Well I still don't have a helmet."
1040047,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CHEF","I know, Pip, the school can't afford helmets for everybody."
1040048,104,1,"BIG GAY AL S BIG GAY BOATRIDE","PIP","Yes, but, couldn't we ROTATE who doesn't have a helmet every week? Does it always have to be me?"
1040049,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CHEF","Yes, Pip, I'm afraid it does."
1040050,104,1,"BIG GAY AL S BIG GAY BOATRIDE","PIP","Oh."
1040051,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CHEF","Sorry, son, now get your ass in there."
1040052,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Pip joins the other kids, who are in huddled positions at ","the line of scrimmage."
1040053,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Stan plays quaterback.",""
1040054,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","HUT! HUT! HUT! HUT! HUT! HUT! HUT! HUT! HUT! HUT! HUT! HUT!"
1040055,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CHEF","HIKE THE DAMN BALL!!"
1040056,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Cartman snaps the ball, which goes flying past Stan.",""
1040057,104,1,"BIG GAY AL S BIG GAY BOATRIDE","The kids all yell and run around in circles. Kyle charges ","Pip head first, smashing Pip's helmetless head open."
1040058,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Chef rolls his eyes as Jimbo and Ned come walking up.",""
1040059,104,1,"BIG GAY AL S BIG GAY BOATRIDE","JIMBO","Hey, how's practice coming there, Chef?"
1040060,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CHEF","Huh? Oh, fine, fine."
1040061,104,1,"BIG GAY AL S BIG GAY BOATRIDE","JIMBO","I don't have to remind you just how important this game is to us South Park alumni."
1040062,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CHEF","Elementary school alumni?"
1040063,104,1,"BIG GAY AL S BIG GAY BOATRIDE","JIMBO","That's as far as most of us got. You think we have a shot at beating the spread against Middle Park this year?"
1040064,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CHEF","I don't know? What's the spread?"
1040065,104,1,"BIG GAY AL S BIG GAY BOATRIDE","JIMBO","Middle Park by seventy points."
1040066,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CHEF","Hmmm..."
1040067,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Chef looks over at the kids who are running around in circles. ","Cartman takes the ball and immediately falls over on top of Kenny."
1040068,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CHEF","I don't think we have a chance."
1040069,104,1,"BIG GAY AL S BIG GAY BOATRIDE","JIMBO","Nonsense, not with MY nephew at quaterback! Right, Stanly?!"
1040070,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Huh?"
1040071,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Stan turns and gets smacked in the head with the football. ","He falls down, but then quickly gets up, grabs the ball and throws an incredible long bomb..."
1040072,104,1,"BIG GAY AL S BIG GAY BOATRIDE","At the other end, Kyle catches the ball!",""
1040073,104,1,"BIG GAY AL S BIG GAY BOATRIDE","JIMBO","Atta boy!!"
1040074,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CHEF","Great pass, Stan!"
1040075,104,1,"BIG GAY AL S BIG GAY BOATRIDE","JIMBO","C'mon, Ned, we gotta get our asses to the bookie!"
1040076,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Jimbo and Ned dash off.",""
1040077,104,1,"BIG GAY AL S BIG GAY BOATRIDE","EXT. NEAR FOOTBALL FIELD - DAY",""
1040078,104,1,"BIG GAY AL S BIG GAY BOATRIDE","The boys are all taking off their uniforms.",""
1040079,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CHEF","Okay, that was a good practice children, we'll see you here again tomorrow."
1040080,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KYLE","Hey Stan, isn't that your dog?"
1040081,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Stan looks to see that Sparky is prancing onto the playing ","field."
1040082,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Yeah, he must have followed me to football practice. You see? He IS smart!"
1040083,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KID (CLYDE)","Aw, my dog Rex follows me to football practice all the time."
1040084,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Little Rex just sits there. Sparky walks over to it.",""
1040085,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Yeah, but MY dog found his own way here! That makes him smarter than your -- SPARKY get down!!"
1040086,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KID","OH MY GOD, WHAT IS HE DOING TO MY DOG?!?!"
1040087,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","There he goes again!"
1040088,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","GET DOWN SPARKY! DOWN!"
1040089,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","Stan forgot to mention that his dog is a gay homosexual."
1040090,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KID","Make him stop!!"
1040091,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Finally, Rex runs away, yelping with his tail between his ","legs. All the other children start to laugh."
1040092,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KID #2","Ha, ha! I'm sure glad MY dog isn't gay!"
1040093,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KID #3","Yeah, maybe you should name your dog SparkETTE Stan!"
1040094,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KID #2","Gay dog!"
1040095,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Stan looks at Sparky and sulks.",""
1040096,104,1,"BIG GAY AL S BIG GAY BOATRIDE","INT. CLASSROOM",""
1040097,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Cartman is at the head of the class, giving what appears to ","be a book report."
1040098,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","And so you see, Simon and Simon were not brothers in real life, only on television."
1040099,104,1,"BIG GAY AL S BIG GAY BOATRIDE","MR. GARRISON","Thank you for that presentation, Eric, but the assignment was on Asian cultures. You get a D-."
1040100,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","Aw, Dammit!"
1040101,104,1,"BIG GAY AL S BIG GAY BOATRIDE","MR. GARRISON","Who should we call on next, Mr. Hat?"
1040102,104,1,"BIG GAY AL S BIG GAY BOATRIDE","MR. HAT","Well how about Stan, our little South Park quarterback star?"
1040103,104,1,"BIG GAY AL S BIG GAY BOATRIDE","MR. GARRISON","Oh, good idea. Okay, Stanly, you're next."
1040104,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Stan gets up.",""
1040105,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Umm... I'm not really prepared either."
1040106,104,1,"BIG GAY AL S BIG GAY BOATRIDE","MR. GARRISON","Well, just make something up like Eric did."
1040107,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Okay... Uh... Asian culture has... plagued our fragile Earth for many years. We must end it --"
1040108,104,1,"BIG GAY AL S BIG GAY BOATRIDE","MR. GARRISON","Excellent! A-."
1040109,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","AY!"
1040110,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Wow, cool!"
1040111,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","Wait a minute! Why the hell does he get an A-?!"
1040112,104,1,"BIG GAY AL S BIG GAY BOATRIDE","MR. GARRISON","Eric, Stanly just might lead our team to victory against the Middle Park Cowboys for the first time in decades, and we treat star athletes better, because they're better people."
1040113,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","That's not fair!"
1040114,104,1,"BIG GAY AL S BIG GAY BOATRIDE","MR. HAT","Life isn't fair, kiddo, get used to it."
1040115,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","(To himself) Stupid puppet."
1040116,104,1,"BIG GAY AL S BIG GAY BOATRIDE","The school bell rings. The kids all start to get up.",""
1040117,104,1,"BIG GAY AL S BIG GAY BOATRIDE","MR. GARRISON (CONT'D)","Don't forget your assignments tonight, children. They're due tomorrow for everybody but Stan."
1040118,104,1,"BIG GAY AL S BIG GAY BOATRIDE","The kids all walk out, but Stan stays behind and walks up to ","Garrison's desk."
1040119,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Mr. Garrison, can I ask you a question?"
1040120,104,1,"BIG GAY AL S BIG GAY BOATRIDE","MR. GARRISON","Of course Stanly, what is it?"
1040121,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","What's a... homosexual?"
1040122,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Mr. Garrison's eyes get a little wide, he takes a deep breath.",""
1040123,104,1,"BIG GAY AL S BIG GAY BOATRIDE","MR. GARRISON","Oh... Well, Stanly, I guess you came to the right person... Sit down."
1040124,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Stan sits down, Mr. Garrison folds his hands.",""
1040125,104,1,"BIG GAY AL S BIG GAY BOATRIDE","MR. GARRISON","(Soft and calm) Stanly... Gay people... Well, gay people are evil. Evil right down to their cold black hearts, which pump not blood like yours and mine, but rather a thick, vomitus oil that oozes through their rotten veins and clots in their pea sized brains which becomes the cause of their Nazi-esque patterns of violent behavior. Do you understand?"
1040126,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","I guess."
1040127,104,1,"BIG GAY AL S BIG GAY BOATRIDE","MR. GARRISON","Good, I'm glad we could have this little talk, Stanly. Now you go outside and practice football like a good little heterosexual."
1040128,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Stan blinks.",""
1040129,104,1,"BIG GAY AL S BIG GAY BOATRIDE","EXT. BUSSTOP",""
1040130,104,1,"BIG GAY AL S BIG GAY BOATRIDE","The boys get off the bus and head home.",""
1040131,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","You see me block that defense today? I was kicking ass."
1040132,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KYLE","You're gonna need to kick more ass than that to beat the Cowboys."
1040133,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","Hey, speaking of pounding ass, here comes Stan's little homo dog."
1040134,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Shut up, dude!"
1040135,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Sparky walks up wearing a pink scarf.",""
1040136,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Sparky! Where'd you get that pink scarf?!"
1040137,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Sparky wags his tail. Stan grabs the scarf, pulls it off and ","tosses it away. Sparky barks extremely gayly."
1040138,104,1,"BIG GAY AL S BIG GAY BOATRIDE","SPARKY","(Feminine) Bark, bark."
1040139,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","Man, that is the gayest dog I have ever seen."
1040140,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","He just needs some training, that's all... Sit Sparky!"
1040141,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Sparky sits.",""
1040142,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Good boy... Now, Shake..."
1040143,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Sparky gives Stan his paw.",""
1040144,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Good boy... Now, DON'T BE GAY."
1040145,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Sparky cocks his head to one side. Stan holds out a doggie ","snack."
1040146,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","DON'T BE GAY, Spark. DON'T BE GAY."
1040147,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Sparky frowns.",""
1040148,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KYLE","Did it work?"
1040149,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","I dunno."
1040150,104,1,"BIG GAY AL S BIG GAY BOATRIDE","CARTMAN","He still looks pretty gay to me."
1040151,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Some of the other kids walk by.",""
1040152,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KID","Hey Stan, your dog been to any pride marches lately?"
1040153,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KID 2","Yeah, maybe you should take him to a Barbara Streisand concert."
1040154,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KID","Ha Ha Yea."
1040155,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KID 2","Stupid little gay dog."
1040156,104,1,"BIG GAY AL S BIG GAY BOATRIDE","KID","Gay dog."
1040157,104,1,"BIG GAY AL S BIG GAY BOATRIDE","The mean kids walk away. Stan fumes.",""
1040158,104,1,"BIG GAY AL S BIG GAY BOATRIDE","STAN","Come on you guys, I have an idea!"
1040159,104,1,"BIG GAY AL S BIG GAY BOATRIDE","EXT. SMALL WOODEN BUILDING",""
1040160,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Jimbo and Ned walk up to the humble, small building and open ","the door."
1040161,104,1,"BIG GAY AL S BIG GAY BOATRIDE","INT. SPORTS BAR",""
1040162,104,1,"BIG GAY AL S BIG GAY BOATRIDE","The interior is ridiculously huge. Like the sports book at ","Ceasars Palace."
1040163,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Ned and Jimbo walk up to the booking counter.",""
1040164,104,1,"BIG GAY AL S BIG GAY BOATRIDE","JIMBO","I want five hundred dollars on the South Park Cows!"
1040165,104,1,"BIG GAY AL S BIG GAY BOATRIDE","BOOKIE","Are you crazy?"
1040166,104,1,"BIG GAY AL S BIG GAY BOATRIDE","JIMBO","No siree, I'm telling you I got the line. My nephew Stan is the best quarterback the school has ever seen. I GUARANTEE they'll beat the spread!!"
1040167,104,1,"BIG GAY AL S BIG GAY BOATRIDE","Suddenly, all the South Park residents go crazy placing bets ","at the counter."
1040168,104,1,"BIG GAY AL S BIG GAY BOATRIDE","TOWNSPERSON 1","I'm gonna put all my money on the Cows!"
1040169,104,1,"BIG GAY AL S BIG GAY BOATRIDE","TOWNSPERSON 2","I'll put three hundred on the cows if they guarantee it."
1040170,104,1,"BIG GAY AL S BIG GAY BOATRIDE","TOWNSPERSON 3","Hey I wanna put some money on the cows too!"
1040171,104,1,"BIG GAY AL S BIG GAY BOATRIDE","TOWNSPERSON 1","He guarantees it?"
1040172,104,1,"BIG GAY AL S BIG GAY BOATRIDE","JIMBO","Uh -- Woa... Woa... Don't get TOO carried away, now... I..."
1040173,104,1,"BIG GAY AL S BIG GAY BOATRIDE","The place is an absolute frenzy, everyone in South Park is ","betting their life savings."
1040174,104,1,"BIG GAY AL S BIG GAY BOATRIDE","TOWNSPERSON 3","You better be right about this, Jimbo."
1040175,104,1,"BIG GAY AL S BIG GAY BOATRIDE","JIMBO","(A little uneasy) Huh, huh... yea, don't, don't worry yourself."
1040176,104,1,"BIG GAY AL S BIG GAY BOATRIDE","NED","Are you sure Stan is that good?"
1040177,104,1,"BIG GAY AL S BIG GAY BOATRIDE","JIMBO","(Quietly) Not THAT sure... I think we better come up with a back up plan... Uh let's see. Hey Bookie, what's the half time show gonna be?"
1040178,104,1,"BIG GAY AL S BIG GAY BOATRIDE","BOOKIE","You haven't heard? John Stamos' older brother Richard Stamos is gonna sing 'Loving You'."
1040179,104,1,"BIG GAY AL S BIG GAY BOATRIDE","NED","I love that song."
1040180,104,1,"BIG GAY AL S BIG GAY BOATRIDE","JIMBO","Loving You?? THAT'S PERFECT!!! Come on Ned, Middle Park's gonna get a halftime show they'll never forget!"
1040181,104,1,"BIG GAY AL S BIG GAY BOATRIDE","COMMERCIAL BREAK #1",""
