"id","ep_num","segment","title","role","text"
7130001,713,1,"BUTT OUT","description","South Park Elementary, gymnasium, day. A school meeting is called and kids file in. Between two basketball backboards hangs a blue banner with the words ""BUTT OUT!"" The O doubles as a no-smoking symbol. There's plenty of chatter in the gym."
7130002,713,1,"BUTT OUT","COUNSELOR MACKEY","M'kay, kids, can I have it quiet, please? M'kay? M'kay, quiet now, the assembly's about to start, m'kay. M'kay, quiet ple-m k-m'kay?  M'kay. Uh, now kids, we have a really fun motivational group today who are gonna talk to you about the dangers of smoking, hm'kay? So please give a very big South Park Cows welcome to, ""Butt Out!"""
7130003,713,1,"BUTT OUT","BUTT OUT!","Butt out! Yeah yeah! Kids, that cigarette butt is gross!"
7130004,713,1,"BUTT OUT","Butt out! Uh huh! Smokin's got to go! [the music stops and the ","troupe members strike poses]"
7130005,713,1,"BUTT OUT","KYLE","Oh no..."
7130006,713,1,"BUTT OUT","BUTT OUT!","Yeah! All right! Woohoo!!"
7130007,713,1,"BUTT OUT","BUTT OUT! LADY","Hey students, how are we all feelin' today? Woooo!"
7130008,713,1,"BUTT OUT","BUTT OUT! MAN 1","Hey, did you guys know that each year over six hundred thousand people a year die from smoking? A year!"
7130009,713,1,"BUTT OUT","BUTT OUT! MAN 2","Six hundred thousand?? Are you sure you're not just blowing smoke?"
7130010,713,1,"BUTT OUT","BUTT OUT! LADY","Blow smoke? Us? No way! Because we don't need to smoke and neither do you, right kids? Butt out! Break it down!"
7130011,713,1,"BUTT OUT","BUTT OUT!","Butt out! Yeah yeah! It's cool to say no!"
7130012,713,1,"BUTT OUT","Butt out! Uh huh! Smokin's got to go!",""
7130013,713,1,"BUTT OUT","BUTT OUT! MAN 3","Smoking, no. No smoking."
7130014,713,1,"BUTT OUT","BUTT OUT! MAN 2","Freestyle!"
7130015,713,1,"BUTT OUT","BUTT OUT! LADY","Vernon!"
7130016,713,1,"BUTT OUT","VERNON","Don't smoke! Don't ever smoke!"
7130017,713,1,"BUTT OUT","BUTT OUT!","Kyle!"
7130018,713,1,"BUTT OUT","KYLE","B to the U to the T to the T to the O to the U to the T to the C to the I to the G to the A to the R to the E to the T to the T to the E! Butt out, cigarette!"
7130019,713,1,"BUTT OUT","KYLE","Dude, this is unbearable."
7130020,713,1,"BUTT OUT","CARTMAN","I'm going to kill myself"
7130021,713,1,"BUTT OUT","BUTT OUT!","Randy!"
7130022,713,1,"BUTT OUT","RANDY","Smoke you know has got to go. You go, you got to know to say the ""no"" to the smoke, you go go..  ... you gotta get it!"
7130023,713,1,"BUTT OUT","BUTT OUT!","Pam!"
7130024,713,1,"BUTT OUT","PAM","Don's smoke."
7130025,713,1,"BUTT OUT","BUTT OUT!","Woohoo!"
7130026,713,1,"BUTT OUT","CARTMAN","You guys, Kenny's eating his own hands."
7130027,713,1,"BUTT OUT","KYLE","Hey! What's the big deal? I like smoking, and it makes me cool!"
7130028,713,1,"BUTT OUT","PAM","Ohoh, really?? Do you think lung cancer is cool, too??"
7130029,713,1,"BUTT OUT","RANDY","What about emphysema?? Is that cool??"
7130030,713,1,"BUTT OUT","VERNON","And what about abortion, and AIDS?"
7130031,713,1,"BUTT OUT","RANDY","Pfft! That's none's the cool."
7130032,713,1,"BUTT OUT","PAM","Word."
7130033,713,1,"BUTT OUT","VERNON","Yeah. So butt out!"
7130034,713,1,"BUTT OUT","BUTT OUT!","Butt out! Yeah yeah! Give that cigarette butt a throw!"
7130035,713,1,"BUTT OUT","STAN","Huh, Jesus Christ!"
7130036,713,1,"BUTT OUT","BUTT OUT!","Butt out! Uh huh! Smokin's got to go!"
7130037,713,1,"BUTT OUT","VERNON","Remember, kids, if you smoke, you could grow up to be a failure."
7130038,713,1,"BUTT OUT","PAN","Worse yet, you could grow up to be dead."
7130039,713,1,"BUTT OUT","KYLE","So don't believe what those evil tobacco companies tell you!"
7130040,713,1,"BUTT OUT","RANDY","Yeah, because if you don't smoke, you can grow up to be-"
7130041,713,1,"BUTT OUT","BUTT OUT!","Just Like Us."
7130042,713,2,"BUTT OUT","description","South Park Elementary, loading area. The boys are there next to a trash bin, smoking ... and coughing"
7130043,713,2,"BUTT OUT","STAN","Give me a hit. Give me another one, give me another one."
7130044,713,2,"BUTT OUT","KYLE","Aw dude, this is really hard."
7130045,713,2,"BUTT OUT","CARTMAN","Oh shit, here comes Mr. Mackey."
7130046,713,2,"BUTT OUT","KYLE","Throw 'em away!  Dudes, here he comes. Guys, stop coughing."
7130047,713,2,"BUTT OUT","COUNSELOR MACKEY","Boys, what are you doing back here? I asked you a question: What are you doing back here, 'k?!"
7130048,713,2,"BUTT OUT","CARTMAN","Nothing."
7130049,713,2,"BUTT OUT","COUNSELOR MACKEY","What??"
7130050,713,2,"BUTT OUT","CARTMAN","Nothin' Na- Due-nothing."
7130051,713,2,"BUTT OUT","KYLE","D'awww sick!"
7130052,713,2,"BUTT OUT","CARTMAN","Gross dude!"
7130053,713,2,"BUTT OUT","COUNSELOR MACKEY","Well hey, if I didn't know any better, I'd think you boys have been smoking!"
7130054,713,2,"BUTT OUT","CARTMAN","No... No, Mr. Mackey... We don't have any cigarettes."
7130055,713,2,"BUTT OUT","COUNSELOR MACKEY","Well you'd better not! Because let me tell you some'n' about smokin'!  Uh, smokin's bad, m'kay.  And uh, if you start smokin' at an early age, m'kay, ih it's gonna be bad.  M'kay, because uh, smoking can lead to all kinds of health problems like cancer.  M'kay, and let me tell you something about cancer, m'kay. Cancer's bad. M'kay, and uh, eh, what?  What the?  Holy shit! M'kay?!"
7130056,713,2,"BUTT OUT","MR. SLAVE","Oh! Jethuth Chritht!"
7130057,713,2,"BUTT OUT","STAN","...Woops."
7130058,713,3,"BUTT OUT","description","The Principal's office ...er, the remains, anyway. Only the door and the desk remain. The bookshelves are burnt up except for the bottom shelf. The cabinets are charred. The desk is charred and two of its legs are burnt off"
7130059,713,3,"BUTT OUT","PRINCIPAL VICTORIA","Well, you boys have certainly done it this time!"
7130060,713,3,"BUTT OUT","CARTMAN","We're sorry."
7130061,713,3,"BUTT OUT","PRINCIPAL VICTORIA","Not as sorry as you're going to be when your parents get here! Ah, here they come now."
7130062,713,3,"BUTT OUT","KYLE","Oh God..."
7130063,713,3,"BUTT OUT","PRINCIPAL VICTORIA","Come on in."
7130064,713,3,"BUTT OUT","SHARON","Stanley, what did you do this time?!"
7130065,713,3,"BUTT OUT","PRINCIPAL VICTORIA","You'd better brace yourself, parents. The boys were caught... smoking!"
