"id","ep_num","segment","title","role","text"
5140001,514,1,"BUTTERS  VERY OWN EPISODE","description","Butters' home, night. Butters enters the living room with a gift in hand. He walks up to his parents. His mom is polishing an end table while his father reads the newspaper on the sofa beside it."
5140002,514,1,"BUTTERS  VERY OWN EPISODE","BUTTERS","Heh-alright, Mom, I'm all done wrappin' Dad's anniversary present for ya."
5140003,514,1,"BUTTERS  VERY OWN EPISODE","DAD","Oh, is it soneone's anniversary soon?"
5140004,514,1,"BUTTERS  VERY OWN EPISODE","MOM","Oh, you!"
5140005,514,1,"BUTTERS  VERY OWN EPISODE","DAD","Just kidding.  Oh, I wonder what it is."
5140006,514,1,"BUTTERS  VERY OWN EPISODE","BUTTERS","It's a-  Awww, shucks,  I can't tell you. Uh but it's really nifty."
5140007,514,1,"BUTTERS  VERY OWN EPISODE","DAD","Well, looks like we're gonna have to do somethin' extra-special for Mommy and Daddy's anniversary this year. How about on Saturday we all go have dinner at Bennigan's!"
5140008,514,1,"BUTTERS  VERY OWN EPISODE","BUTTERS","Bennigan's?? Oh, boy, you mean it?? Whoopee, at Bennigan's I'm goona get the Rain Champ baby-back ribs!"
5140009,514,1,"BUTTERS  VERY OWN EPISODE","MOM","Calm down there, cowboy. You've still got four days."
5140010,514,1,"BUTTERS  VERY OWN EPISODE","BUTTERS","Four days? Oh, I don't know how I'm gonna wait that long!"
5140011,514,1,"BUTTERS  VERY OWN EPISODE","CHOIR","Who's the boy who can laugh at a storm cloud?"
5140012,514,1,"BUTTERS  VERY OWN EPISODE","Turn a frown into a smile for free?",""
5140013,514,1,"BUTTERS  VERY OWN EPISODE","Who's the kid with the heart full of magic?",""
5140014,514,1,"BUTTERS  VERY OWN EPISODE","Everyone know it's Butters!",""
5140015,514,2,"BUTTERS  VERY OWN EPISODE","description","'It's ""The Butters Show""' appears over a wallpaper design of Butters' head. This is the show's splash screen"
5140016,514,2,"BUTTERS  VERY OWN EPISODE","BUTTERS","That's me."
5140017,514,3,"BUTTERS  VERY OWN EPISODE","description","NEXT SCENES Butters in Mr. Mackey's basement. Butters tied to the feet of the Provider, a statue of John Elway. Butters keeping his class informed of what the kindergartners were doing while the class practices its play. Butters asking a question in class about using shit in the expletive. Butters delivering a tape to a reporter. Butters peeking through a door in the hotel NAMBLA is meeting at. Butters figuring out how to open the condom. Stan grabbing Butters angrily. Butters rubbing some cow dung on his jacket after finding the dung sticky. Butters calling upon Pele to make his volcano work."
5140018,514,3,"BUTTERS  VERY OWN EPISODE","CHOIR","Who's the boy with the eyes full of wonder?"
5140019,514,3,"BUTTERS  VERY OWN EPISODE","Thinks being yourself is the best thing to be?",""
5140020,514,3,"BUTTERS  VERY OWN EPISODE","Who's that rascal with the tweezers in his pocket?",""
5140021,514,3,"BUTTERS  VERY OWN EPISODE","Everyone know it's Butters!",""
5140022,514,3,"BUTTERS  VERY OWN EPISODE","BUTTERS","That's me."
5140023,514,4,"BUTTERS  VERY OWN EPISODE","description","NEXT SCENES Butters jumps into a puddle. Butters runs down the hall to the theater proper. Butters petting a white goat. Butters holds a picture of himself and John Elway. Butters talking in the playground, holding his tooth. Kyle finds Butters on the street, after Butters tags a wall. Butters in a truck, wth hockey mask on his head. Butters wondering how to not get anthrax. Butters as a Confederate officer. Butters taking over for Cartman on the phone. Butters talking in class. Butters talking to some kids in the playground. Butters as a gas station attendant after the adults are sent to prison for molesting their children. Butters with Stan and Kyle in the orientation meeting at David Blaine's complex. Butters at his window. Butters fainting after holding his breath too long trying to not get anthrax."
5140024,514,4,"BUTTERS  VERY OWN EPISODE","CHOIR","Jumpin' in puddles, skippin' down the hallway"
5140025,514,4,"BUTTERS  VERY OWN EPISODE","Pettin' at the petting zoo. He loves John Alway.",""
5140026,514,4,"BUTTERS  VERY OWN EPISODE","Who's that tyke with the cutest little dimples,",""
5140027,514,4,"BUTTERS  VERY OWN EPISODE","Battin' his eyes at every puppy he sees?",""
5140028,514,4,"BUTTERS  VERY OWN EPISODE","If you look inside yourself, you might be surprised when you ","find"
5140029,514,4,"BUTTERS  VERY OWN EPISODE","A little boy named Butters!",""
5140030,514,4,"BUTTERS  VERY OWN EPISODE","BUTTERS","Thaat's that's me,  Yeah. ."
5140031,514,5,"BUTTERS  VERY OWN EPISODE","description","Return to Butters' living room. His mom is dusting off a portrait on the wall as his dad returns to reading the newspaper"
5140032,514,5,"BUTTERS  VERY OWN EPISODE","BUTTERS","Three more days till we eat at Bennigan's. That's s-seventy-two hours. Aw gee whiz."
5140033,514,5,"BUTTERS  VERY OWN EPISODE","DAD","Well, if you two will excuse me, I need to go and buy a certain special lady her anniversary present."
5140034,514,5,"BUTTERS  VERY OWN EPISODE","MOM","I hope he means me, haha."
5140035,514,5,"BUTTERS  VERY OWN EPISODE","BUTTERS","Don't be silly, Mom. Of course he means you."
5140036,514,5,"BUTTERS  VERY OWN EPISODE","DAD","I'll be back in a little bit.  Butters, you're in charge of the house."
5140037,514,5,"BUTTERS  VERY OWN EPISODE","BUTTERS","Yes sir!"
5140038,514,5,"BUTTERS  VERY OWN EPISODE","MOM","Oh, I wonder what he's gonna get me this year?"
5140039,514,5,"BUTTERS  VERY OWN EPISODE","BUTTERS","We won't know until we're at Bennigan's."
5140040,514,5,"BUTTERS  VERY OWN EPISODE","MOM","Every year it's the same. Your father gets me some great gift and my gift to him falls short.  I've just got to outdo him this year, I've just got to."
5140041,514,5,"BUTTERS  VERY OWN EPISODE","BUTTERS","Dad's a good shopper all right."
5140042,514,5,"BUTTERS  VERY OWN EPISODE","MOM","Butters, maybe you could secretly follow your dad and see what he's getting me."
5140043,514,5,"BUTTERS  VERY OWN EPISODE","BUTTERS","You mean, spy on him? Uh but... ain't that kind of like... fibbin'?"
5140044,514,5,"BUTTERS  VERY OWN EPISODE","MOM","No, it's a little different. You remember when the nice policeman gave yuu a badge and made you an honorary inspector?"
5140045,514,5,"BUTTERS  VERY OWN EPISODE","BUTTERS","Sure I do!"
5140046,514,5,"BUTTERS  VERY OWN EPISODE","MOM","Why, I think Inspector Butters could find out what Daddy'd getting Mommy without him ever knowing.  What do you say?"
5140047,514,5,"BUTTERS  VERY OWN EPISODE","BUTTERS","Inspector Butters in on the case, ma'am!"
5140048,514,6,"BUTTERS  VERY OWN EPISODE","description","""The Butters Show"" splash screen, but now only ""Butters"" is on the screen."
5140049,514,6,"BUTTERS  VERY OWN EPISODE","CHOIR","Everyone know it's Butters!"
5140050,514,6,"BUTTERS  VERY OWN EPISODE","BUTTERS","Uh, that's me!"
5140051,514,7,"BUTTERS  VERY OWN EPISODE","description","South Park, night, the seedy side of town. Butter's father walks down the street and stops at a corner. He sees a pawn shop across the street and walks towards it. He turns and faces the street for a few seconds, then puts on a hat and turns up the collar on his shirt. He walks back the way he came. Butters has arrived and sees him from behind a bush across the street. Butters has on his own disguise - a handlebar mustache - and carries a note pad, on which he takes notes of his father's every move. He pops out from behind the bush. His father looks around to make sure no one is following and arrives at Studcat Theater to see ""Fisting Firemen 9."" He looks around as he enters, and the doors close behind him"
5140052,514,7,"BUTTERS  VERY OWN EPISODE","BUTTERS","Hm. Dad's going to see a movie. How nice."
5140053,514,8,"BUTTERS  VERY OWN EPISODE","description","Butters' father soon leaves the theater and walks towards a men's bath house, the White Swallow Spa. He arrives and rings the doorbell. He looks around both ways and enters as soon as the buzzer sounds. Butters looks on from behind a trash can across the street"
5140054,514,8,"BUTTERS  VERY OWN EPISODE","BUTTERS","""White Swallow Bath House"""
