"id","ep_num","segment","title","role","text"
4050001,405,1,"CARTMAN JOINS NAMBLA","description","Kneey's house, day. Stan, Kyle, Cartman and Kenny sit around a Monopoly-type board game in Kenny's room"
4050002,405,1,"CARTMAN JOINS NAMBLA","CARTMAN","Okay, Stan, I'm gonna you... a UFO crash-landing card!  You can deny it, or cover it up."
4050003,405,1,"CARTMAN JOINS NAMBLA","STAN","Dude, I don't understand this game at all."
4050004,405,1,"CARTMAN JOINS NAMBLA","CARTMAN","It's ""Investigative Reports with Bill Curtis"" funtime game. You have to decide if you deny it or cover it up."
4050005,405,1,"CARTMAN JOINS NAMBLA","STAN","Um, deny it?"
4050006,405,1,"CARTMAN JOINS NAMBLA","CARTMAN","Okay, let's see what Bill Curtis says."
4050007,405,1,"CARTMAN JOINS NAMBLA","ELECTRONIC HEAD","Hello, I'm Bill Curtis. Many believe that the U.S. Government... covered it up. I'm Bill Curtis."
4050008,405,1,"CARTMAN JOINS NAMBLA","KYLE","Alright, Cartman. I'm gonna give you... a jail-time card.  You lose a turn."
4050009,405,1,"CARTMAN JOINS NAMBLA","STAN","Sweet."
4050010,405,1,"CARTMAN JOINS NAMBLA","CARTMAN","Oh yeah?! Well, I'm gonna give you... AIDS!"
4050011,405,1,"CARTMAN JOINS NAMBLA","KYLE","What?"
4050012,405,1,"CARTMAN JOINS NAMBLA","CARTMAN","I just gave you AIDS."
4050013,405,1,"CARTMAN JOINS NAMBLA","KYLE","AIDS?!"
4050014,405,1,"CARTMAN JOINS NAMBLA","STAN","Dude, that's not cool. Don't give Kyle AIDS."
4050015,405,1,"CARTMAN JOINS NAMBLA","CARTMAN","Kyle has AIDS, and now loses 47 turns and 800 points."
4050016,405,1,"CARTMAN JOINS NAMBLA","MRS. MCCORMICK","Kenny, your dad and I are thinking about having another baby. Wouldn't you like to have another brother or sister?"
4050017,405,1,"CARTMAN JOINS NAMBLA","KENNY","(No.)"
4050018,405,1,"CARTMAN JOINS NAMBLA","STUART","We just might get workin' on it later tonight, huh huh huh."
4050019,405,1,"CARTMAN JOINS NAMBLA","CARTMAN","God-damnit, poor people suck! Your family is already on welfare, and now they're gonna bring another kid into the world. Poor people are turning out babies, adding to the overpopulation, and they're expecting me to pay for it with my tax dollars."
4050020,405,1,"CARTMAN JOINS NAMBLA","STAN","You don't pay tax dollars, Cartman! You're eight!"
4050021,405,1,"CARTMAN JOINS NAMBLA","CARTMAN","...You see.  Gaw, this is just what I've been talkin' about! I can't even relate to you guys anymore because you're too immature!"
4050022,405,1,"CARTMAN JOINS NAMBLA","KYLE","What?"
4050023,405,1,"CARTMAN JOINS NAMBLA","CARTMAN","I've gotta start hanging out with friends that are a little more intelligent, and understand ...politics and stuff. It's just that... I'm up on this level up here , and all my friends are down here ."
4050024,405,1,"CARTMAN JOINS NAMBLA","KYLE","You don't know what you're talking about, fatass!"
4050025,405,1,"CARTMAN JOINS NAMBLA","CARTMAN","Nononono! Me h'myah , you guys myah!  maybe a little mo down, down in hyah. SCREW YOU GUYS, I'M GOING HOME."
4050026,405,1,"CARTMAN JOINS NAMBLA","ELECTRONIC HEAD","I'm Bill Curtis."
4050027,405,2,"CARTMAN JOINS NAMBLA","description","Cartman's house, a few minutes later. Cartman paces the floor in his room. Next to him is a computer"
4050028,405,2,"CARTMAN JOINS NAMBLA","CARTMAN","I've outgrown all my friends. I need to meet more mature people, Clyde Frog. Oh, great idea, Clyde Frog!  I can meet new friends on the Internet!  Here's a chat room: ""Men Who Like Young Boys"" That's perfect.  Hi everybody! I am a young boy seeking an older male for good times. I am eight years old and would li-  Wow! Look at all these guys who wanna be my friend! I'll pick... Tony316. Hi Tony.  ""So what are you into?"" Oh, you know, the usual stuff. Smiley-face. ""Kewl. Wanna get together?  Smiley-face?"" Sure, Tony! That would be... kewl. Winking, smiley, face.  ""Meet me at Mel's Buffet restaurant tomorrow morning.""  Sounds good. See you then! Clown hat, curly hair, smiley-face.  You see that, Clyde Frog? Tomorrow I'm gaonna meet my first mature friend!"
4050029,405,3,"CARTMAN JOINS NAMBLA","description","Mel's Buffet, next day. Cartman enters and approaches a man seated alone in a booth."
4050030,405,3,"CARTMAN JOINS NAMBLA","CARTMAN","Hi, are you Tony?"
4050031,405,3,"CARTMAN JOINS NAMBLA","TONY","Yeah. You're -Eric?"
4050032,405,3,"CARTMAN JOINS NAMBLA","CARTMAN","Yeah!"
4050033,405,3,"CARTMAN JOINS NAMBLA","TONY","I brought you some candy."
4050034,405,3,"CARTMAN JOINS NAMBLA","CARTMAN","Wow, cool!"
4050035,405,3,"CARTMAN JOINS NAMBLA","TONY","And some books on Kama Sutra."
4050036,405,3,"CARTMAN JOINS NAMBLA","CARTMAN","Neato! Having older friends kicks ass, uh! You see, I've, I've really been having a tough time. I've kind of matured faster than my other friends ; we don't really relate anymore, and, and uh, alright uh, all my friends seem so childish now."
4050037,405,3,"CARTMAN JOINS NAMBLA","TONY","Yahahahah like having your back rubbed?"
4050038,405,3,"CARTMAN JOINS NAMBLA","CARTMAN","Heh, yeah! That feels real nice! Thanks."
4050039,405,3,"CARTMAN JOINS NAMBLA","AGENT","Hold it right there, scumbag!"
4050040,405,3,"CARTMAN JOINS NAMBLA","TONY","Huh?"
4050041,405,3,"CARTMAN JOINS NAMBLA","CARTMAN","Huh?"
4050042,405,3,"CARTMAN JOINS NAMBLA","AGENT","We monitored your little online chat. Now you're coming with us!"
4050043,405,3,"CARTMAN JOINS NAMBLA","TONY","No!"
4050044,405,3,"CARTMAN JOINS NAMBLA","CARTMAN","What the hell just happened?"
4050045,405,4,"CARTMAN JOINS NAMBLA","description","Kenny's house, early morn. Kenny's tossing in bed, apparently in a nightmare. His dreams are shown, and in each a parent carries a baby"
4050046,405,4,"CARTMAN JOINS NAMBLA","MOM","You can't eat, Kenny. We have to save food for the baby."
4050047,405,4,"CARTMAN JOINS NAMBLA","DAD","Your mom and I are going out for a few weeks, Kenny. Take care of the baby."
4050048,405,4,"CARTMAN JOINS NAMBLA","MOM","Kenny, you have to change the baby's diapers!"
4050049,405,4,"CARTMAN JOINS NAMBLA","DAD","You have to share your room with the baby!"
4050050,405,4,"CARTMAN JOINS NAMBLA","MOM","The baby."
4050051,405,4,"CARTMAN JOINS NAMBLA","DAD","The baby!"
4050052,405,4,"CARTMAN JOINS NAMBLA","MOM","The baby!!"
4050053,405,4,"CARTMAN JOINS NAMBLA","KENNY","(HAAAAAAAAGH!)"
4050054,405,5,"CARTMAN JOINS NAMBLA","description","Kenny's house, living room sofa, later. Stuart is still trying to get his wife in the mood"
4050055,405,5,"CARTMAN JOINS NAMBLA","MRS. MCCORMICK","Stop it!"
4050056,405,5,"CARTMAN JOINS NAMBLA","STUART","Come on, let's go try to get you pregnant again."
4050057,405,5,"CARTMAN JOINS NAMBLA","MRS. MCCORMICK","Oh, alright."
4050058,405,5,"CARTMAN JOINS NAMBLA","KENNY","(Dad, I wanna play catch.)"
4050059,405,5,"CARTMAN JOINS NAMBLA","STUART","Huh? Uh, I'll play catch with your later, son."
4050060,405,5,"CARTMAN JOINS NAMBLA","KENNY","(But I wanna play now!)"
4050061,405,5,"CARTMAN JOINS NAMBLA","MRS. MCCORMICK","Oh, go ahead. We can make love afterwards."
4050062,405,5,"CARTMAN JOINS NAMBLA","STUART","Aw, alright."
4050063,405,6,"CARTMAN JOINS NAMBLA","description","Kenny's house, front lawn. Kenny stands in the driveway and Stuart stands in front of the tattered sofa"
4050064,405,6,"CARTMAN JOINS NAMBLA","STUART","Well alright, here comes a pop fly. See if you can catch it!  Good job. Now throw me one.  Ohp! Guhhogh!"
4050065,405,6,"CARTMAN JOINS NAMBLA","MRS. MCCORMICK","What happened?!"
4050066,405,6,"CARTMAN JOINS NAMBLA","STUART","Aw, he smacked me in the balls!"
4050067,405,6,"CARTMAN JOINS NAMBLA","KENNY","(Woohoo!)"
