"id","ep_num","segment","title","role","text"
1010001,101,1,"CARTMAN GETS AN ANAL PROBE","KIDS","(Singing) School days school days, teacher's golden-"
1010002,101,1,"CARTMAN GETS AN ANAL PROBE","Kyle's little brother, IKE, bounces into frame.",""
1010003,101,1,"CARTMAN GETS AN ANAL PROBE","KYLE","-Ah damn it, my little brother's trying to follow me to school again."
1010004,101,1,"CARTMAN GETS AN ANAL PROBE","IKE tries to talk.",""
1010005,101,1,"CARTMAN GETS AN ANAL PROBE","IKE","BaBa Simi"
1010006,101,1,"CARTMAN GETS AN ANAL PROBE","KYLE","Ike, you can't come to school with me!"
1010007,101,1,"CARTMAN GETS AN ANAL PROBE","IKE","BaBa Simi ba baa."
1010008,101,1,"CARTMAN GETS AN ANAL PROBE","CARTMAN","Yeah, go home you little dildo."
1010009,101,1,"CARTMAN GETS AN ANAL PROBE","KYLE","Dude! Don't call my brother a dildo."
1010010,101,1,"CARTMAN GETS AN ANAL PROBE","STAN","What's a dildo?"
1010011,101,1,"CARTMAN GETS AN ANAL PROBE","KYLE","I don't know... and I'll bet Cartman doesn't know either!"
1010012,101,1,"CARTMAN GETS AN ANAL PROBE","CARTMAN","I know what it means!"
1010013,101,1,"CARTMAN GETS AN ANAL PROBE","KYLE","Well, what?!"
1010014,101,1,"CARTMAN GETS AN ANAL PROBE","CARTMAN","...I'm not telling you."
1010015,101,1,"CARTMAN GETS AN ANAL PROBE","STAN","What's a dildo, Kenny?"
1010016,101,1,"CARTMAN GETS AN ANAL PROBE","Kenny talks, but we can't understand him through his thick ","coat."
1010017,101,1,"CARTMAN GETS AN ANAL PROBE","KENNY","Mph rmph phrmph m phrmph mmr."
1010018,101,1,"CARTMAN GETS AN ANAL PROBE","The boys all laugh.",""
1010019,101,1,"CARTMAN GETS AN ANAL PROBE","CARTMAN","HA YEAH! THAT'S WHAT KYLE'S LITTLE BROTHER IS ALRIGHT!!"
1010020,101,1,"CARTMAN GETS AN ANAL PROBE","Suddenly, Kyle grabs Ike by the feet, swings him around, and ","bashes Cartman in the face."
1010021,101,1,"CARTMAN GETS AN ANAL PROBE","CARTMAN","OW!"
1010022,101,1,"CARTMAN GETS AN ANAL PROBE","STAN","Dude that kicks ass!"
1010023,101,1,"CARTMAN GETS AN ANAL PROBE","KYLE","Yeah! Check this one out! (to Ike) Ready Ike? Kick the baby"
1010024,101,1,"CARTMAN GETS AN ANAL PROBE","IKE","Don't kick the baby."
1010025,101,1,"CARTMAN GETS AN ANAL PROBE","KYLE","Kick the baby."
1010026,101,1,"CARTMAN GETS AN ANAL PROBE","Kyle kicks his brother down the icy road.",""
1010027,101,1,"CARTMAN GETS AN ANAL PROBE","IKE","Wahhhhh!"
1010028,101,1,"CARTMAN GETS AN ANAL PROBE","Ike shoots down the road with a playful scream, and crashes ","head first into a group of mail boxes."
1010029,101,1,"CARTMAN GETS AN ANAL PROBE","Cartman yawns grotesquely.",""
1010030,101,1,"CARTMAN GETS AN ANAL PROBE","STAN","Whoa, Cartman, looks like you didn't get much sleep last night."
1010031,101,1,"CARTMAN GETS AN ANAL PROBE","CARTMAN","That's 'cause I was having these bogus nightmares."
1010032,101,1,"CARTMAN GETS AN ANAL PROBE","KYLE","Really, what about?"
1010033,101,1,"CARTMAN GETS AN ANAL PROBE","CARTMAN","Well, I dreamt that I was lying in my bed... In the dark..."
1010034,101,1,"CARTMAN GETS AN ANAL PROBE","INT. CARTMAN'S BEDROOM - DREAM SEQUENCE",""
1010035,101,1,"CARTMAN GETS AN ANAL PROBE","Cartman is lying in his bed.",""
1010036,101,1,"CARTMAN GETS AN ANAL PROBE","CARTMAN(V.O.)","...When all of a sudden this bright blue light filled the room."
1010037,101,1,"CARTMAN GETS AN ANAL PROBE","A bright light fills the room.",""
1010038,101,1,"CARTMAN GETS AN ANAL PROBE","CARTMAN","And slowly my bedroom door began to open... And then the next thing I remember, I was being drug through a hallway!"
1010039,101,1,"CARTMAN GETS AN ANAL PROBE","INT. ALIEN SHIP - DREAM SEQUENCE",""
1010040,101,1,"CARTMAN GETS AN ANAL PROBE","Cartman is being dragged by his ankles down a dark, organic ","corridor like the one seen in 'Fire In The Sky'."
1010041,101,1,"CARTMAN GETS AN ANAL PROBE","CARTMAN","Then I was lying on a table, and these scary aliens wanted to operate on me!  And they had big heads... And big black eyes-"
1010042,101,1,"CARTMAN GETS AN ANAL PROBE","EXT. BUSSTOP - (REALITY)",""
1010043,101,1,"CARTMAN GETS AN ANAL PROBE","The boys are listening to Cartman's story with wide eyes and ","open mouths. Even little Ike is enthralled."
1010044,101,1,"CARTMAN GETS AN ANAL PROBE","STAN","Dude! Visitors!"
1010045,101,1,"CARTMAN GETS AN ANAL PROBE","KYLE","Totally!"
1010046,101,1,"CARTMAN GETS AN ANAL PROBE","CARTMAN","What?"
1010047,101,1,"CARTMAN GETS AN ANAL PROBE","STAN","That wasn't a dream, Cartman, those were visitors!"
1010048,101,1,"CARTMAN GETS AN ANAL PROBE","CARTMAN","(Nervous) No, it was just a dream. My mom said so!"
