"id","ep_num","segment","title","role","text"
8130001,813,1,"CARTMAN S INCREDIBLE GIFT","description","Cartman's yard, side of the house, day. The fourth grade boys are gathered there for some reason"
8130002,813,1,"CARTMAN S INCREDIBLE GIFT","CLYDE","I don't know, that looks pretty high up."
8130003,813,1,"CARTMAN S INCREDIBLE GIFT","BUTTERS","Yeah. I think it'd be better to start lower."
8130004,813,1,"CARTMAN S INCREDIBLE GIFT","STAN","Dude, I really don't think it's smart, Cartman."
8130005,813,1,"CARTMAN S INCREDIBLE GIFT","CARTMAN","This is gonna be totally cool, you guys."
8130006,813,1,"CARTMAN S INCREDIBLE GIFT","STAN","It's not gonna work; just come down from there."
8130007,813,1,"CARTMAN S INCREDIBLE GIFT","CARTMAN","...Geez, this looks a lot higher from up here."
8130008,813,1,"CARTMAN S INCREDIBLE GIFT","KYLE","What's going on?"
8130009,813,1,"CARTMAN S INCREDIBLE GIFT","STAN","Cartman thinks he can fly off of his roof."
8130010,813,1,"CARTMAN S INCREDIBLE GIFT","KYLE","Do it! Do it!"
8130011,813,1,"CARTMAN S INCREDIBLE GIFT","CARTMAN","I'm gonna."
8130012,813,1,"CARTMAN S INCREDIBLE GIFT","CRAIG","I wouldn't if I were you."
8130013,813,1,"CARTMAN S INCREDIBLE GIFT","TOKEN","Those wings don't look very strong."
8130014,813,1,"CARTMAN S INCREDIBLE GIFT","KYLE","Don't listen to 'em, Cartman! I'm sure it'll work. Go for it. Yaaay Cartman! Fly fly fly!"
8130015,813,1,"CARTMAN S INCREDIBLE GIFT","CARTMAN","Okay, here we go.  Since the days of Copernicus, man has dreamed of flight. On this historic day, let us go on to"
8130016,813,1,"CARTMAN S INCREDIBLE GIFT","KYLE","Awww, go on and do it already!"
8130017,813,1,"CARTMAN S INCREDIBLE GIFT","CARTAMN","Hold on, I'm givin' my speech! On this historic day, we remember the Wright Brothers: Orville and Redenbacher, whose dreams and visions inspired generations."
8130018,813,1,"CARTMAN S INCREDIBLE GIFT","STAN","He's not gonna do it."
8130019,813,1,"CARTMAN S INCREDIBLE GIFT","CARTMAN","And now, again, one man's vision ushers in a new era of aerial travel, proving the power of imagination and intellect. The magic... of flight!"
8130020,813,2,"CARTMAN S INCREDIBLE GIFT","description","Hell's Pass Hospital, day. Cartman is in a recovery room with bruises on his face and a black left eye. The medical staff attends him. Outside, Mrs. Cartman appears and rushes in to see Cartman"
8130021,813,2,"CARTMAN S INCREDIBLE GIFT","LIANE","Oh my God! Eric! Eric,  Mommy's here. Sweetie?  Oh what's wrong with him?"
8130022,813,2,"CARTMAN S INCREDIBLE GIFT","DR. KELS","I'm afraid that your son is... incredibly stupid. He thought he could fly with cardboard wings. The stupidity is so severe that it caused a fall, which has... put him into a deep coma."
8130023,813,2,"CARTMAN S INCREDIBLE GIFT","LIANE","Coma... My God, for- for how long?"
8130024,813,2,"CARTMAN S INCREDIBLE GIFT","DR. KELS","There's no telling. He may never recover. We'll just have to wait. And see."
8130025,813,3,"CARTMAN S INCREDIBLE GIFT","description","Hell's Pass, some time later. The camera pans down back onto Cartman, who is now covered in facial hair and a bandage around his head."
8130026,813,3,"CARTMAN S INCREDIBLE GIFT","SINGERS","Seasons change, time passes by."
8130027,813,3,"CARTMAN S INCREDIBLE GIFT","As the weeks become the months become the years.",""
8130028,813,3,"CARTMAN S INCREDIBLE GIFT","CARTMAN","Eugh..."
8130029,813,3,"CARTMAN S INCREDIBLE GIFT","LIANE","Oh my... Doctor!  He's awake!"
8130030,813,3,"CARTMAN S INCREDIBLE GIFT","CARTMAN","Wheh? Where am I?"
8130031,813,3,"CARTMAN S INCREDIBLE GIFT","LIANE","Oh, you've finally come back! It's a miracle!"
8130032,813,3,"CARTMAN S INCREDIBLE GIFT","DR. KELS","You're at the hospital, Eric. You've... been in a coma for some time."
8130033,813,3,"CARTMAN S INCREDIBLE GIFT","CARTMAN","Coma... How long?"
8130034,813,3,"CARTMAN S INCREDIBLE GIFT","DR. KELS","It's been two days. Nurse, you can remove his face-warmer now."
8130035,813,3,"CARTMAN S INCREDIBLE GIFT","NURSE","Yse, Doctor."
8130036,813,3,"CARTMAN S INCREDIBLE GIFT","DR. KELS","Now, Eric, you've suffered massive head traume. Your road to recovery will be long and arduous. At least another two days."
8130037,813,3,"CARTMAN S INCREDIBLE GIFT","SINGERS","Seasons change, time passes by."
8130038,813,3,"CARTMAN S INCREDIBLE GIFT","As the weeks become the months become the years.",""
8130039,813,3,"CARTMAN S INCREDIBLE GIFT","LIANE","You're doing so much better, muffin."
8130040,813,3,"CARTMAN S INCREDIBLE GIFT","CARTMAN","Why the hell do I have to share my room with other patients? This is bullcrap!"
8130041,813,3,"CARTMAN S INCREDIBLE GIFT","LIANE","Oh, you're sounding just like your old self again."
8130042,813,3,"CARTMAN S INCREDIBLE GIFT","DR. KELS","I'm sorry, detectives, there was nothing we could do."
8130043,813,3,"CARTMAN S INCREDIBLE GIFT","DETECTIVE","Damnit! Another murder victim! For three years the Left-Hand killer has been at large and I've exhausted every lead! Maybe... I just don't have what it takes to be a cop anymore."
8130044,813,3,"CARTMAN S INCREDIBLE GIFT","MURPHY","We'd better get back to the station, sir."
8130045,813,3,"CARTMAN S INCREDIBLE GIFT","CARTMAN","Good, because you assholes have kept me up for three hours!"
8130046,813,3,"CARTMAN S INCREDIBLE GIFT","DETECTIVE","All right, let's go, Murphy. Hang on a second, where are, where are my car keys?"
8130047,813,3,"CARTMAN S INCREDIBLE GIFT","CARTMAN","Probably in your front pocket, dumbass!"
8130048,813,3,"CARTMAN S INCREDIBLE GIFT","DETECTIVE","Doctor, didn't you say that kid suffereed head trauma?"
8130049,813,3,"CARTMAN S INCREDIBLE GIFT","DR. KELS","Yes, it was pretty severe."
8130050,813,3,"CARTMAN S INCREDIBLE GIFT","MURPHY","What is it, Lou?"
8130051,813,3,"CARTMAN S INCREDIBLE GIFT","LOU","I've... heard cases where people suffering head trauma awaken to some psychic abilities."
8130052,813,3,"CARTMAN S INCREDIBLE GIFT","MURPHY","Aw, come on, sir."
8130053,813,3,"CARTMAN S INCREDIBLE GIFT","LOU","I know it's ridiculous , but I'm gonna explore every possibility I can.  Hello, young man, could we have a quick word with you?"
8130054,813,3,"CARTMAN S INCREDIBLE GIFT","CARTMAN","Not now! The nurse is gonna walk in any minute with my lunch."
8130055,813,3,"CARTMAN S INCREDIBLE GIFT","NURSE 2","Twelve-thirty, Eric. Lunch time."
8130056,813,3,"CARTMAN S INCREDIBLE GIFT","LOU","Young man, how did you know the nurse was gonna walk in just now?"
8130057,813,3,"CARTMAN S INCREDIBLE GIFT","CARTMAN","I don't know, I just knew it.  Aww man, this smells like meatloaf. Again?!"
8130058,813,3,"CARTMAN S INCREDIBLE GIFT","NURSE 2","Yep, meatload again."
8130059,813,3,"CARTMAN S INCREDIBLE GIFT","MURPHY","Jesus, how did he...?"
8130060,813,3,"CARTMAN S INCREDIBLE GIFT","LOU","Little boy...  Well it's a snowball's chance in hell but...  we were wondering if you could come down and see if your... new powers could help us catch the killer."
8130061,813,3,"CARTMAN S INCREDIBLE GIFT","LIANE","His new... powers?"
8130062,813,4,"CARTMAN S INCREDIBLE GIFT","description","Stark's Pond, newly restored from the demolished Wall*Mart, much bigger than it was before, night. A crime scene at the docks is shown, complete with boat floating around"
8130063,813,4,"CARTMAN S INCREDIBLE GIFT","FEMALE DETECTIVE","All right, make sure you get pictures of everything in this crime scene."
8130064,813,4,"CARTMAN S INCREDIBLE GIFT","OFFICER 1","Who's the kid?"
8130065,813,4,"CARTMAN S INCREDIBLE GIFT","OFFICER 2","He's supposed to be some kind of psychic."
8130066,813,4,"CARTMAN S INCREDIBLE GIFT","OFFICER 1","Aw Christ."
8130067,813,4,"CARTMAN S INCREDIBLE GIFT","LOU","This is... where the body was found. Multiple stab wounds, just like all the others."
8130068,813,4,"CARTMAN S INCREDIBLE GIFT","CARTMAN","How come the outline is missing its hand?"
