"id","ep_num","segment","title","role","text"
4020001,402,1,"CARTMAN S SILLY HATE CRIME","description","South Park Elementary, Monday during the day. The kids are out on the playground. The camera pans to the right, showing kids on the hobby elephants, the swings, and the jungle gym. It rests on Butters holding a starting flag."
4020002,402,1,"CARTMAN S SILLY HATE CRIME","BUTTERS","Wuh-okay! You guys ready up there!?"
4020003,402,1,"CARTMAN S SILLY HATE CRIME","Sledders	[three teams of four boys apiece] Ready!",""
4020004,402,1,"CARTMAN S SILLY HATE CRIME","BUTTERS","On your marks! Get set! Uh-go!"
4020005,402,1,"CARTMAN S SILLY HATE CRIME","STAN","We win again!"
4020006,402,1,"CARTMAN S SILLY HATE CRIME","TOKEN","That's not fair! Cartman's ass is so fat he makes your sled go faster!"
4020007,402,1,"CARTMAN S SILLY HATE CRIME","CARTMAN","Ey! Don't call me fat, Token!"
4020008,402,1,"CARTMAN S SILLY HATE CRIME","GIRL IN PINK","We want to use the sleds now, butt pirates!"
4020009,402,1,"CARTMAN S SILLY HATE CRIME","STAN","Sleds are for guys."
4020010,402,1,"CARTMAN S SILLY HATE CRIME","CARTMAN","Yeah! Why don't you chicks go wash some dishes or get pregnant or something?!"
4020011,402,1,"CARTMAN S SILLY HATE CRIME","GIRL IN PINK","These are the school's sleds, ass rammers, not yours!"
4020012,402,1,"CARTMAN S SILLY HATE CRIME","STAN","Look, girls don't even know how to sled. Do something else."
4020013,402,1,"CARTMAN S SILLY HATE CRIME","THE REST OF THE BOYS","Yeah!"
4020014,402,1,"CARTMAN S SILLY HATE CRIME","GIRL IN PINK","I bet we can sled ten times better than you, doughnut punchers!"
4020015,402,1,"CARTMAN S SILLY HATE CRIME","KYLE","Oh yeah?!"
4020016,402,1,"CARTMAN S SILLY HATE CRIME","THE GIRLS","Yeah!"
4020017,402,1,"CARTMAN S SILLY HATE CRIME","CARTMAN","We'd kick your girlie ass in sledding!"
4020018,402,1,"CARTMAN S SILLY HATE CRIME","GIRL IN PINK","How about a race down a real hill, then?!"
4020019,402,1,"CARTMAN S SILLY HATE CRIME","THE GIRLS","Yeah!"
4020020,402,1,"CARTMAN S SILLY HATE CRIME","STAN","You got it!"
4020021,402,1,"CARTMAN S SILLY HATE CRIME","THE REST OF THE BOYS","Yeah!"
4020022,402,1,"CARTMAN S SILLY HATE CRIME","A FEW OTHERS","Yeah!"
4020023,402,1,"CARTMAN S SILLY HATE CRIME","GIRL IN PINK","Your best four sledders agains our best four sledders!"
4020024,402,1,"CARTMAN S SILLY HATE CRIME","STAN","Noo problem!"
4020025,402,1,"CARTMAN S SILLY HATE CRIME","GIRL IN PINK","Then we'll see you this Saturday on Phil Collins Hill!"
4020026,402,1,"CARTMAN S SILLY HATE CRIME","KYLE","Phil Collins Hill on Saturday! You got it!"
4020027,402,1,"CARTMAN S SILLY HATE CRIME","GIRL IN PINK","See you there! And may the best woman win, turd burglars!"
4020028,402,1,"CARTMAN S SILLY HATE CRIME","STAN","Oh, boy! We'll show them!"
4020029,402,1,"CARTMAN S SILLY HATE CRIME","BUTTERS","Yeah. Oo-oo-why, us men will show those skanky hos who's who!"
4020030,402,1,"CARTMAN S SILLY HATE CRIME","CLYDE","Yeah. Those girls don't realize what good sledders Stan, Kyle, and Kenny are."
4020031,402,1,"CARTMAN S SILLY HATE CRIME","TOKEN","Yeah! And with Cartman's enormously fat ass, the boys are sure to win!"
4020032,402,1,"CARTMAN S SILLY HATE CRIME","CARTMAN","Token, I swear to God, if you call me fat one more time  I'm gonna smack you on the head with this rock!"
