"id","ep_num","segment","title","role","text"
1130001,113,1,"Cartman s Mom Is A Dirty Slut","STAN","Dude, the bus will be here any minute and Cartman didn't show up for school."
1130002,113,1,"Cartman s Mom Is A Dirty Slut","KYLE","Yeah, this is like the third day in a row. I wonder what's wrong."
1130003,113,1,"Cartman s Mom Is A Dirty Slut","KENNY","Mph rmph rm rmph rm."
1130004,113,1,"Cartman s Mom Is A Dirty Slut","The boys all laugh.",""
1130005,113,1,"Cartman s Mom Is A Dirty Slut","KYLE","Yeah!"
1130006,113,1,"Cartman s Mom Is A Dirty Slut","STAN","Hey, maybe we should ditch school and go check on him."
1130007,113,1,"Cartman s Mom Is A Dirty Slut","But just then, the school bus pulls up.",""
1130008,113,1,"Cartman s Mom Is A Dirty Slut","MS. CRABTREE","COME ON, WE'RE RUNNING LATE!!!"
1130009,113,1,"Cartman s Mom Is A Dirty Slut","STAN","We're not getting on, you fat, ugly bitch."
1130010,113,1,"Cartman s Mom Is A Dirty Slut","MS. CRABTREE","WHAT DID YOU SAY?!"
1130011,113,1,"Cartman s Mom Is A Dirty Slut","STAN","I said 'We're not getting on, you fat ugly bitch'."
1130012,113,1,"Cartman s Mom Is A Dirty Slut","MS. CRABTREE","Oh, alright then."
1130013,113,1,"Cartman s Mom Is A Dirty Slut","Ms. Crabtree closes the door and drives away.",""
1130014,113,1,"Cartman s Mom Is A Dirty Slut","KYLE","Woa, dude!!"
1130015,113,1,"Cartman s Mom Is A Dirty Slut","STAN","I always wondered if that would work."
1130016,113,1,"Cartman s Mom Is A Dirty Slut","EXT. CARTMAN'S HOUSE",""
1130017,113,1,"Cartman s Mom Is A Dirty Slut","The boys walk up to Cartman's door and knock. Cartman's mother ","answers."
1130018,113,1,"Cartman s Mom Is A Dirty Slut","MS. CARTMAN","Hello, boys!"
1130019,113,1,"Cartman s Mom Is A Dirty Slut","KYLE","Hi, we were wondering why fat ass -- I mean, Cartman -- hasn't been showing up for school."
1130020,113,1,"Cartman s Mom Is A Dirty Slut","MS. CARTMAN","Oh, he's just been feeling under the weather. Maybe you boys can cheer him up. He's in the back yard."
1130021,113,1,"Cartman s Mom Is A Dirty Slut","The boys look at each other suspiciously.",""
1130022,113,1,"Cartman s Mom Is A Dirty Slut","STAN","In the back yard?"
1130023,113,1,"Cartman s Mom Is A Dirty Slut","EXT. CARTMAN'S BACK YARD",""
1130024,113,1,"Cartman s Mom Is A Dirty Slut","It's a nice little yard. Cartman is sitting at a small, ","rectangular table covered with a white tablecloth. Cartman is at the head of the table, serving tea with an adorable little plastic tea set."
1130025,113,1,"Cartman s Mom Is A Dirty Slut","Also seated at the table, are five of Cartman's stuffed ","animals, one in each chair, and each with a little teacup and saucer in front of them."
1130026,113,1,"Cartman s Mom Is A Dirty Slut","CARTMAN","Would you like some more tea, Polly Prissy Pants?"
1130027,113,1,"Cartman s Mom Is A Dirty Slut","CARTMAN","(Polly voice) Yes, Eric, I would love some tea, thank you."
1130028,113,1,"Cartman s Mom Is A Dirty Slut","CARTMAN","You're very welcome, Polly Prissypants."
