"id","ep_num","segment","title","role","text"
2020001,202,1,"Cartman s Mom Is Still A Dirty Slut","Previously, on 'South Park'...",""
2020002,202,1,"Cartman s Mom Is Still A Dirty Slut","The scene is just as we had left it on episode 113.",""
2020003,202,1,"Cartman s Mom Is Still A Dirty Slut","NARRATOR","An air of sobriety fills the laboratory as the men of South Park gather to find out which one of them fathered this boy --"
2020004,202,1,"Cartman s Mom Is Still A Dirty Slut","ANGLE CARTMAN",""
2020005,202,1,"Cartman s Mom Is Still A Dirty Slut","Cartman bites into a doughnut and sips at a drink.",""
2020006,202,1,"Cartman s Mom Is Still A Dirty Slut","NARRATOR","Who is Eric Cartman's father? At the end of tonight's episode, you WILL KNOW the answer!!"
2020007,202,1,"Cartman s Mom Is Still A Dirty Slut","ROLL SOUTH PARK OPENING SEQUENCE",""
2020008,202,1,"Cartman s Mom Is Still A Dirty Slut","EXT. MEPHESTO'S LAB - NIGHT",""
2020009,202,1,"Cartman s Mom Is Still A Dirty Slut","Establishing.",""
2020010,202,1,"Cartman s Mom Is Still A Dirty Slut","INT. MEPHESTO'S LAB",""
2020011,202,1,"Cartman s Mom Is Still A Dirty Slut","Everyone is gathered around in Mephesto's office, waiting in ","anticipation."
2020012,202,1,"Cartman s Mom Is Still A Dirty Slut","MEPHESTO","And now... To continue, the father is indeed someone in this room!"
2020013,202,1,"Cartman s Mom Is Still A Dirty Slut","CARTMAN","Man, this feels like the longest minute of my life!"
2020014,202,1,"Cartman s Mom Is Still A Dirty Slut","Stan and Kyle stand there waiting. Kenny suddenly appears ","next to them."
2020015,202,1,"Cartman s Mom Is Still A Dirty Slut","STAN","(Confused) Oh, hey Kenny..."
2020016,202,1,"Cartman s Mom Is Still A Dirty Slut","Mephesto takes out the card and reads it.",""
2020017,202,1,"Cartman s Mom Is Still A Dirty Slut","MEPHESTO","Gentlemen, the father is..."
2020018,202,1,"Cartman s Mom Is Still A Dirty Slut","Everyone's eyes get big. Music SWELLS.",""
2020019,202,1,"Cartman s Mom Is Still A Dirty Slut","But then, suddenly, the lights go out!",""
2020020,202,1,"Cartman s Mom Is Still A Dirty Slut","MR. GARRISON","(In darkness) Hey, what the hell's going on?"
2020021,202,1,"Cartman s Mom Is Still A Dirty Slut","JIMBO","It's a power outage!"
2020022,202,1,"Cartman s Mom Is Still A Dirty Slut","Suddenly, we hear BANG! BANG! BANG-BANG!",""
2020023,202,1,"Cartman s Mom Is Still A Dirty Slut","The lights come back on, and everyone looks around.",""
2020024,202,1,"Cartman s Mom Is Still A Dirty Slut","CHEF","Is everybody okay? That sounded like a gunshot!"
2020025,202,1,"Cartman s Mom Is Still A Dirty Slut","OFFICER BARBRADY","Oh my God! LOOK!!"
2020026,202,1,"Cartman s Mom Is Still A Dirty Slut","Mephesto is lying on the floor, bleeding from gunshot wounds.",""
2020027,202,1,"Cartman s Mom Is Still A Dirty Slut","KENNY","(Oh my God! They've killed Mephesto!) Mph mm Mrm! Mrphph mrph MrphMprhMrph!!"
2020028,202,1,"Cartman s Mom Is Still A Dirty Slut","KYLE","You bastards!"
2020029,202,1,"Cartman s Mom Is Still A Dirty Slut","MR. GARRISON","Mephesto's been shot!!"
2020030,202,1,"Cartman s Mom Is Still A Dirty Slut","Everyone rushes over to Mephesto's body.",""
2020031,202,1,"Cartman s Mom Is Still A Dirty Slut","CHEF","Is he dead?!"
2020032,202,1,"Cartman s Mom Is Still A Dirty Slut","JIMBO","Hey, this window is shot out, too! That means the killer was NOT somebody in this room!"
2020033,202,1,"Cartman s Mom Is Still A Dirty Slut","MR. GARRISON","Then who was it?!"
2020034,202,1,"Cartman s Mom Is Still A Dirty Slut","Suddenly, the narrator's voice bursts in again.",""
2020035,202,1,"Cartman s Mom Is Still A Dirty Slut","NARRATOR (V.O.)","Who shot Mephesto? Was it the school counselor? (As pictures fly past) Or was it Ms. Crabtree? Or was it --"
2020036,202,1,"Cartman s Mom Is Still A Dirty Slut","CARTMAN","Hey! Wait a minute! I didn't find out who my father was!"
2020037,202,1,"Cartman s Mom Is Still A Dirty Slut","NARRATOR (V.O.)","(Pictures continue) Or was it Ms. Broslofsky?"
2020038,202,1,"Cartman s Mom Is Still A Dirty Slut","Chef is leaning down by Mephesto.",""
2020039,202,1,"Cartman s Mom Is Still A Dirty Slut","CHEF","Wait! He's still breathing! He's not dead!"
2020040,202,1,"Cartman s Mom Is Still A Dirty Slut","A few people help Chef lift up Mephesto and lead him towards ","the door. Cartman gets in Mephesto's face."
2020041,202,1,"Cartman s Mom Is Still A Dirty Slut","CARTMAN","GOD DAMMIT! WHO'S MY FATHER?!"
2020042,202,1,"Cartman s Mom Is Still A Dirty Slut","But Mephesto is not conscious.",""
2020043,202,1,"Cartman s Mom Is Still A Dirty Slut","CHEF","We have to get him to the hospital!"
2020044,202,1,"Cartman s Mom Is Still A Dirty Slut","CARTMAN","You've got to be kidding me!!!!"
2020045,202,1,"Cartman s Mom Is Still A Dirty Slut","CHEF","Come on, children!"
2020046,202,1,"Cartman s Mom Is Still A Dirty Slut","The boys follow Chef out the door.",""
2020047,202,1,"Cartman s Mom Is Still A Dirty Slut","CARTMAN","Oh!"
2020048,202,1,"Cartman s Mom Is Still A Dirty Slut","MR. BROVLOFSKI","Oh, that poor kid. It must be hell for him going through all this."
2020049,202,1,"Cartman s Mom Is Still A Dirty Slut","Ms. Cartman is standing right next to him. When she hears ","this, she lowers her head and walks away."
2020050,202,1,"Cartman s Mom Is Still A Dirty Slut","JIMBO","There's a murderer free in South Park! We have to find out who it is before they kill again!"
2020051,202,1,"Cartman s Mom Is Still A Dirty Slut","MR. GARRISON","Yeah, God only knows who they'll kill next?"
2020052,202,1,"Cartman s Mom Is Still A Dirty Slut","NARRATOR","Who will they kill next? Will it be Jimbo? (Slides again) Barbrady? The Denver Broncos...?"
2020053,202,1,"Cartman s Mom Is Still A Dirty Slut","INT. CHEF'S CAR - NIGHT",""
2020054,202,1,"Cartman s Mom Is Still A Dirty Slut","Chef drives with Cartman in the front seat and the boys in ","back, with an unconscious Mephesto in the way back."
2020055,202,1,"Cartman s Mom Is Still A Dirty Slut","CARTMAN","Is he awake yet?"
2020056,202,1,"Cartman s Mom Is Still A Dirty Slut","KYLE","He's bleeding pretty bad back here."
2020057,202,1,"Cartman s Mom Is Still A Dirty Slut","CHEF","Don't let him bleed on my Meredith Baxter Birney memorial towel."
2020058,202,1,"Cartman s Mom Is Still A Dirty Slut","KYLE","What's a Meredith Baxter Birney Memorial towel?"
2020059,202,1,"Cartman s Mom Is Still A Dirty Slut","CHEF","I actually was with Meredith Baxter Birney in this very car, and afterwards, we used that towel to... Wait a minute, why am I telling you this?"
2020060,202,1,"Cartman s Mom Is Still A Dirty Slut","Meanwhile, Stan is looking incredibly sick.",""
2020061,202,1,"Cartman s Mom Is Still A Dirty Slut","STAN","Could you pull over so I can get out?"
2020062,202,1,"Cartman s Mom Is Still A Dirty Slut","CHEF","What? We have to get to the hospital!"
2020063,202,1,"Cartman s Mom Is Still A Dirty Slut","STAN","I have to get out first, I'm not gonna make it. I can't stand hospitals!"
2020064,202,1,"Cartman s Mom Is Still A Dirty Slut","CHEF","Sorry, Stan. We just gotta drop Mephesto off, and then we can get out of there, alright?"
2020065,202,1,"Cartman s Mom Is Still A Dirty Slut","KYLE","Man, it's really starting to snow, I hope they don't close the roads."
2020066,202,1,"Cartman s Mom Is Still A Dirty Slut","CARTMAN","They can't! Mephesto can't die!!!"
2020067,202,1,"Cartman s Mom Is Still A Dirty Slut","KYLE","Maybe it's better you don't know who your father is, Cartman."
2020068,202,1,"Cartman s Mom Is Still A Dirty Slut","CARTMAN","No way dude, I can't stand to leave things unfinished. It's like when you hear the first part of that song ""Come Sail Away"" by Styx. If I hear the first part I have to finish it."
2020069,202,1,"Cartman s Mom Is Still A Dirty Slut","Everybody looks at each other, confused.",""
2020070,202,1,"Cartman s Mom Is Still A Dirty Slut","KYLE","Really?"
2020071,202,1,"Cartman s Mom Is Still A Dirty Slut","CARTMAN","Yeah. I can't do anything until it's done."
2020072,202,1,"Cartman s Mom Is Still A Dirty Slut","KYLE","I'm sailingg awayyy..."
2020073,202,1,"Cartman s Mom Is Still A Dirty Slut","CARTMAN","No! Don't!"
2020074,202,1,"Cartman s Mom Is Still A Dirty Slut","KYLE","Set an open course for the Virgin Sea..."
2020075,202,1,"Cartman s Mom Is Still A Dirty Slut","Kyle stops abruptly. Cartman sits and shakes. He turns red ","like he's trying desperately to hold back. Finally, his mouth opens and it comes bursting forth."
2020076,202,1,"Cartman s Mom Is Still A Dirty Slut","CARTMAN","-- Cause I've got to be free to carry on. Duh-dun (and so on)"
2020077,202,1,"Cartman s Mom Is Still A Dirty Slut","KYLE","Woa, dude!"
2020078,202,1,"Cartman s Mom Is Still A Dirty Slut","EXT. MOUNTAIN ROAD - DAY",""
2020079,202,1,"Cartman s Mom Is Still A Dirty Slut","Chef's car speeds up the mountain road.",""
2020080,202,1,"Cartman s Mom Is Still A Dirty Slut","A small, single snowflake falls from the sky and lands on ","the sign that reads 'Hell's Pass Hospital - 35 miles'"
2020081,202,1,"Cartman s Mom Is Still A Dirty Slut","OMINOUS MUSIC STING.",""
2020082,202,1,"Cartman s Mom Is Still A Dirty Slut","INT. MAYOR'S OFFICE - NIGHT",""
2020083,202,1,"Cartman s Mom Is Still A Dirty Slut","Everyone is gathered in the Mayor's Office. She tries to ","calm them down."
2020084,202,1,"Cartman s Mom Is Still A Dirty Slut","JIMBO","What are we going to do, Mayor? This killer is on the loose!!"
2020085,202,1,"Cartman s Mom Is Still A Dirty Slut","KYLE'S MOTHER","We can't even leave our homes for fear of our children's safety!"
2020086,202,1,"Cartman s Mom Is Still A Dirty Slut","STAN'S MOTHER","Uh... Where are our children?"
2020087,202,1,"Cartman s Mom Is Still A Dirty Slut","Everyone looks around.",""
2020088,202,1,"Cartman s Mom Is Still A Dirty Slut","MAYOR","Officer Barbrady... Let's pretend for one second that we had a competent law enforcer in this town. What would HE do?"
2020089,202,1,"Cartman s Mom Is Still A Dirty Slut","BARBRADY","Hmm... That's a good question, Mayor... Let me get right on that with thinking."
2020090,202,1,"Cartman s Mom Is Still A Dirty Slut","Barbrady goes into a trance.",""
2020091,202,1,"Cartman s Mom Is Still A Dirty Slut","Suddenly, a crew of people carrying film equipment rush in.",""
2020092,202,1,"Cartman s Mom Is Still A Dirty Slut","DIRECTOR","Mayor! Mayor!"
2020093,202,1,"Cartman s Mom Is Still A Dirty Slut","MAYOR","The press is here!"
2020094,202,1,"Cartman s Mom Is Still A Dirty Slut","DIRECTOR","My name is Sid Greenfield. I'm the director from Los Angeles for 'America's Most Wanted'."
2020095,202,1,"Cartman s Mom Is Still A Dirty Slut","MAYOR","You certainly made it up here quickly."
2020096,202,1,"Cartman s Mom Is Still A Dirty Slut","DIRECTOR","We're desperate for stories. (Catching himself) AND this one is so compelling!"
2020097,202,1,"Cartman s Mom Is Still A Dirty Slut","MAYOR","Really?"
2020098,202,1,"Cartman s Mom Is Still A Dirty Slut","DIRECTOR","Sure! This story has everything! People... furniture... talking... It's a real American story."
2020099,202,1,"Cartman s Mom Is Still A Dirty Slut","BARBRADY","Hey, I thought of something! (Pause) Er... No wait, that's subtraction..."
2020100,202,1,"Cartman s Mom Is Still A Dirty Slut","MAYOR","(Ignoring this) Mr. Director person, what exactly do you want to do?"
2020101,202,1,"Cartman s Mom Is Still A Dirty Slut","JIMBO","Mayor, shouldn't we be focusing on --"
2020102,202,1,"Cartman s Mom Is Still A Dirty Slut","MAYOR","Shh!"
2020103,202,1,"Cartman s Mom Is Still A Dirty Slut","DIRECTOR","We just want to do a recreation of the story for our show. Then we'll flash a number on the screen that people can call if they have any information regarding the identity or location of the shooter. That's it. You win. We win. America wins."
2020104,202,1,"Cartman s Mom Is Still A Dirty Slut","MAYOR","Are you sure this wouldn't make our little town look dangerous?"
2020105,202,1,"Cartman s Mom Is Still A Dirty Slut","DIRECTOR","Don't worry, Mayor, America's Most Wanted is not about violence, it's about family."
2020106,202,1,"Cartman s Mom Is Still A Dirty Slut","CAMERA GUY","It is?"
2020107,202,1,"Cartman s Mom Is Still A Dirty Slut","MAYOR","Well, in that case, I guess it's okay."
2020108,202,1,"Cartman s Mom Is Still A Dirty Slut","DIRECTOR","Great! We'll get started with auditions immediately. What part should we cast first?"
2020109,202,1,"Cartman s Mom Is Still A Dirty Slut","Again the Narrator's voice bursts in.",""
2020110,202,1,"Cartman s Mom Is Still A Dirty Slut","NARRATOR","WHO WILL THE DIRECTOR CAST FIRST?! WILL IT BE MR. GARRISON? OFFICER BARBRADY? CHEF...?"
2020111,202,1,"Cartman s Mom Is Still A Dirty Slut","EXT. UNPLANNED PARENTHOOD - DAY",""
2020112,202,1,"Cartman s Mom Is Still A Dirty Slut","The snow falls on this small, humble clinic.",""
2020113,202,1,"Cartman s Mom Is Still A Dirty Slut","MS. CARTMAN (V.O.)","I want to have an abortion."
2020114,202,1,"Cartman s Mom Is Still A Dirty Slut","INT. UNPLANNED PARENTHOOD - DAY",""
2020115,202,1,"Cartman s Mom Is Still A Dirty Slut","SOCIAL WORKER","Oh, well we can do that. This must be a very difficult time for you Mrs..."
2020116,202,1,"Cartman s Mom Is Still A Dirty Slut","MS. CARTMAN","Cartman... Yes, It's such a hard decision. But I just don't feel I can raise a child in this screwy world."
2020117,202,1,"Cartman s Mom Is Still A Dirty Slut","SOCIAL WORKER","Yes, Ms. Cartman, if you don't feel fit to raise a child, an abortion probably is the answer. Do you know the actual time of conception?"
2020118,202,1,"Cartman s Mom Is Still A Dirty Slut","MS. CARTMAN","About eight years ago."
2020119,202,1,"Cartman s Mom Is Still A Dirty Slut","The Social Worker looks confused.",""
2020120,202,1,"Cartman s Mom Is Still A Dirty Slut","SOCIAL WORKER","I see... So the fetus is..."
2020121,202,1,"Cartman s Mom Is Still A Dirty Slut","MS. CARTMAN","Eight years old."
2020122,202,1,"Cartman s Mom Is Still A Dirty Slut","SOCIAL WORKER","Ms. Cartman, eight years old is a little late to be considering abortion."
2020123,202,1,"Cartman s Mom Is Still A Dirty Slut","MS. CARTMAN","Really?"
2020124,202,1,"Cartman s Mom Is Still A Dirty Slut","SOCIAL WORKER","Yes, this is what we would refer to as the FORTIETH trimester."
