"id","ep_num","segment","title","role","text"
5060001,506,1,"CARTMANLAND","description","A bright, sunny day, with some clouds in the sky. The camera pans down to a funeral scene in a cemetery with robust trees"
5060002,506,1,"CARTMANLAND","PRIEST","...And so it is with heavy hearts that we say good-bye to Mabel Louise Cartman. She was a good woman, a community leader, a caring wife, a providing mother , and a loving grandmother ."
5060003,506,1,"CARTMANLAND","CARTMAN","Mom, it's 3:30! This is taking up my whole Saturday!"
5060004,506,1,"CARTMANLAND","LIANE","Ssshhh, pumpkin, it's almost over."
5060005,506,1,"CARTMANLAND","CARTMAN","Why couldn't the funeral have been on a school day?"
5060006,506,1,"CARTMANLAND","PRIEST","And now, let us bow our heads in a moment of silence and reflect on how Mabel touched our lives."
5060007,506,1,"CARTMANLAND","CARTMAN","God! She didn't take this long to die!"
5060008,506,1,"CARTMANLAND","PRIEST","And now we release the doves to symbolize the Lord taking Mabel into his arms and giving her everlasting peace."
5060009,506,1,"CARTMANLAND","ASSISTANT","Peace."
5060010,506,1,"CARTMANLAND","CARTMAN","Great! Now can we go?!"
5060011,506,1,"CARTMANLAND","LIANE","No, sweetie, we have to tend to some of Grandma's business."
5060012,506,1,"CARTMANLAND","CARTMAN","Ogh! God-damnit!!"
5060013,506,1,"CARTMANLAND","JOHNSON'S & ASSOCIATES",""
5060014,506,1,"CARTMANLAND","LAW FIRM",""
5060015,506,2,"CARTMANLAND","description","The city, day"
5060016,506,2,"CARTMANLAND","EXECUTOR","...And so I leave my stocks and bonds, worth an estimate fourteen dollars and twelve cents, to be divided amongst my loving family."
5060017,506,2,"CARTMANLAND","CARTMAN","Mom, I wanna go home!"
5060018,506,2,"CARTMANLAND","LIANE","In a minute, sweetie. This is important."
5060019,506,2,"CARTMANLAND","EXECUTOR","To my loving son, Stinky: I leave you the house in Nebraska. Look after it as your father and I did."
5060020,506,2,"CARTMANLAND","CARTMAN","Bluh bluh bluhbluh bluh bluh!"
5060021,506,2,"CARTMANLAND","EXECUTOR","To my grandson Eric: You are always my favorite fat little man, my perfect round little pudding-piler."
5060022,506,2,"CARTMANLAND","CARTMAN","Oh, God, do you have to embarrass me even in death, Grandma?!"
5060023,506,2,"CARTMANLAND","EXECUTOR","For you, Eric, I leave from my life savings, the sum of one million dollars, to be transferred to you immediately."
5060024,506,2,"CARTMANLAND","CARTMAN","Hoosajiggawha?"
5060025,506,2,"CARTMANLAND","LIANE","A million dollars?"
5060026,506,2,"CARTMANLAND","EXECUTOR","Eric is the primary benefactor of my estate, since it is likely the rest of you would spend the money on crack."
5060027,506,2,"CARTMANLAND","LIANE","Oh my."
5060028,506,2,"CARTMANLAND","UNCLE STINKY","That can't be!"
5060029,506,2,"CARTMANLAND","CARTMAN","Uh yah sir, excuse me: Du- Does this mean that I... have... one... million dollars?"
