"id","ep_num","segment","title","role","text"
7110001,711,1,"CASA BONITA","description","Stan's house, day. Stan, Kenny, and Cartman watch TV from the couch. Cartman is eating a bowl of chips"
7110002,711,1,"CASA BONITA","STAN","Dude, I wonder where Kyle is."
7110003,711,1,"CASA BONITA","CARTMAN","Maybe he caught a disease and died. That'd be so awesome."
7110004,711,1,"CASA BONITA","STAN","Dude that's not funny. You shouldn't joke about that."
7110005,711,1,"CASA BONITA","KENNY","(Yeah.)"
7110006,711,1,"CASA BONITA","CARTMAN","Who's joking?"
7110007,711,1,"CASA BONITA","KYLE","You guys! You guys! I have awesome news!"
7110008,711,1,"CASA BONITA","CARTMAN","You have AIDS?"
7110009,711,1,"CASA BONITA","KYLE","No. This Saturday, for my birthday, my Mom says she's takin' me to Casa Bonita, in Denver, and I get to invite three friends!."
7110010,711,1,"CASA BONITA","CARTMAN","Wow! Casa Bonita?!"
7110011,711,1,"CASA BONITA","KENNY","(Woohoo!)"
7110012,711,1,"CASA BONITA","STAN","What's Casa Bonita?"
7110013,711,1,"CASA BONITA","CARTMAN","Dude, haven't you ever been there?! It's a big Mexican restaurant where they have, like, cliff jumpers and Black Bart's Cave and  all kinds of stuff!"
7110014,711,1,"CASA BONITA","KYLE","It's like the Disneyland of Mexican restaurants."
7110015,711,1,"CASA BONITA","CARTMAN","This Saturday! Awesone!  Casa Bonita! Casa Bonita! Food and fun in a festive atmosphere.  Casa Bonita!"
7110016,711,1,"CASA BONITA","KYLE","Who said I'm inviting you?"
7110017,711,1,"CASA BONITA","CARTMAN","You... your Mom said you could take three friends."
7110018,711,1,"CASA BONITA","KYLE","Yes. Three friends. You're not my friend."
7110019,711,1,"CASA BONITA","CARTMAN","Wuh ih uh... Weh come on, Kyle, who the hell else are you gonna take besides Stan and Kenny?"
7110020,711,1,"CASA BONITA","KYLE","I'm gonna take Butters. He invited me to his birthday party last month, so I owe him one."
7110021,711,1,"CASA BONITA","CARTMAN","Butters?! You're gonna take THAT butthole?! Why?!"
7110022,711,1,"CASA BONITA","KYLE","Because Butters isn't a total dick to me!"
