"id","ep_num","segment","title","role","text"
3070001,307,1,"CAT ORGY","description","The Cartman house, night. Cartman's room. Cartman plays off-camera while his plush lizard, Rumpertumskin, sits on the bed. Cartman does all the voices..."
3070002,307,1,"CAT ORGY","RUMPERTUMSKIN","Heheheheh! Now I will kill the President and Salma Hayek!"
3070003,307,1,"CAT ORGY","POLLY","Oh, save me! Who will save me?"
3070004,307,1,"CAT ORGY","CARTMAN","I will! James West, cowboy and rap star!  Quick, Artemus Clyde Frog! We've got to save Salma Hayek!"
3070005,307,1,"CAT ORGY","CLYDE FROG","If we save her, I am going to take off her pants and play Slip'N'Slide!"
3070006,307,1,"CAT ORGY","CARTMAN","Are you okay, Salma Hayek?"
3070007,307,1,"CAT ORGY","POLLY","Yes, but I need to get out of here and eat some tacos and burritos. Me gusta tacos mucho!"
3070008,307,1,"CAT ORGY","RUMPERTUMSKIN","You cannot stop me, James West!"
3070009,307,1,"CAT ORGY","CARTMAN","Look out, Artemus Clyde Frog! It's a giant metal spider!  Bang! Bangbang! Yoyoyo, jiggity jiggy with it! Bang bang bang!  We saved the day! The Wild Wild West, The Wild Wild Wild West. Uhyo wicky wicky scratch, Uh wicky wicky scratch..."
3070010,307,1,"CAT ORGY","LIANE","Eric.  The babysitter's here. Come on downstairs."
3070011,307,1,"CAT ORGY","CARTMAN","But mmmooom, I'm playing Wild Wild West."
3070012,307,1,"CAT ORGY","LIANE","I have to leave soon, Eric."
3070013,307,1,"CAT ORGY","CARTMAN","But mom, me and Artemus Clyde Frog still have to do our love scene with Salma Ha-yek."
3070014,307,1,"CAT ORGY","LIANE","Come down as soon as you're done."
3070015,307,1,"CAT ORGY","CARTMAN",""
3070016,307,2,"CAT ORGY","description","silence, then he begins to rap"
3070017,307,2,"CAT ORGY","Well, I'm a badass cowboy living in a cowboy's",""
3070018,307,2,"CAT ORGY","Age wicky wicky scratch yo yo bang bang",""
3070019,307,2,"CAT ORGY","Me and Artemus Clyde Frog go save",""
3070020,307,2,"CAT ORGY","Salma Hayek from the big metal spider",""
3070021,307,2,"CAT ORGY","Wicky wicky wick, wicky wicky wick, Fresh",""
3070022,307,2,"CAT ORGY","Cowboy from the Westside-",""
3070023,307,3,"CAT ORGY","description","The kitchen. Liane fixes herself as Shelly looks on"
3070024,307,3,"CAT ORGY","LIANE","Thank you so much for babysitting little Eric, Shelley."
3070025,307,3,"CAT ORGY","SHELLEY","Okay."
3070026,307,3,"CAT ORGY","LIANE","All those other babysitters won't come back."
3070027,307,3,"CAT ORGY","SHELLEY","I charge $5 for the first hour, 5% bumps every hour after that up to six hours, which enters into golden time."
3070028,307,3,"CAT ORGY","LIANE","Oh, that sounds fine. I'm going to a meteor shower party. The number where I'll be is on the refrigerator. Eric's nookie time is 9 o'clock sharp. If his little woogums get cold, you can turn up the heat over here. And if he gets cranky, just play tummy-rub-rubs with him, and make sure he wipes good after he makes bears."
3070029,307,3,"CAT ORGY","SHELLEY","Bears?"
3070030,307,3,"CAT ORGY","LIANE","Oh! And don't mind the cat. She's just being loud because she's in heat."
3070031,307,4,"CAT ORGY","description","The living room. Cartman is on the sofa watching TV now, and Kitty is near him"
3070032,307,4,"CAT ORGY","KITTY","Meowrowr!"
3070033,307,4,"CAT ORGY","CARTMAN","No, Kitty! I don't have anything!"
3070034,307,4,"CAT ORGY","KITTY","Meow rowrrowrrowrrowrrowr!"
3070035,307,4,"CAT ORGY","CARTMAN","What the hell is wrong with you?! Stop it, Kitty!"
3070036,307,4,"CAT ORGY","KITTY","Rowrrowrrowrrowrrowr!"
3070037,307,4,"CAT ORGY","CARTMAN","No Kitty, that a bad God-damned kitty!"
3070038,307,4,"CAT ORGY","LIANE","Okay, muffin. Mommy's leaving now. You do what the babysitter tells you, okay?"
3070039,307,4,"CAT ORGY","CARTMAN","Uh-huh."
3070040,307,4,"CAT ORGY","LIANE","Be good."
3070041,307,4,"CAT ORGY","CARTMAN","Right."
3070042,307,4,"CAT ORGY","LIANE","Come give Mommy Eskimo kisses!"
3070043,307,4,"CAT ORGY","CARTMAN","Aw, Ma."
3070044,307,4,"CAT ORGY","LIANE","Eskimo kisses for Mom-my!"
3070045,307,4,"CAT ORGY","CARTMAN","Jesus Christ."
3070046,307,4,"CAT ORGY","LIANE","Bye, kids."
3070047,307,4,"CAT ORGY","CARTMAN","Well, go put that pizza in the oven, bitch! I'm hungry!  Ow!"
3070048,307,4,"CAT ORGY","SHELLEY","Alright, turd, listen up! Now that your mom is gone, I'm in charge. I don't know how you treat your other babysitters, but when I'm babysitting, you're nothing but a little turd. You're a stinky dried-up stupid turd! Got it?!"
3070049,307,4,"CAT ORGY","CARTMAN","You can't hit me! Didn't you see those nanny videos on TV?"
3070050,307,4,"CAT ORGY","SHELLEY","My boyfriend is coming over, so you go to the kitchen, and you make us that pizza before I snap you in half like the little turd-stick you are!"
3070051,307,4,"CAT ORGY","CARTMAN","You're not allowed to have people over!"
3070052,307,4,"CAT ORGY","SHELLEY","Move!"
3070053,307,5,"CAT ORGY","description","The kitchen. Cartman walks to the refrigerator"
3070054,307,5,"CAT ORGY","CARTMAN","This is bullcrap!  I can't reach the freezer!"
3070055,307,5,"CAT ORGY","SHELLEY","Figure it out, turd!"
3070056,307,5,"CAT ORGY","CARTMAN","God damnit!  Shut up, Kitty!  Any problems, contact Eric's Mommy at 303... Aha!  I'm gonna call mom and tell her that the babysitter is having her boyfriend come over! Then we'll see who's the turd!"
3070057,307,5,"CAT ORGY","SHELLEY","...So I said, ""you're a little turd!"" and he w-"
3070058,307,5,"CAT ORGY","CARTMAN","Damnit!"
3070059,307,5,"CAT ORGY","SHELLEY","...But when you've seen one turd, you've seen them all.  ...stupid turd! The one night-"
3070060,307,5,"CAT ORGY","CARTMAN","Ey! I need to use the phone!"
3070061,307,5,"CAT ORGY","SHELLEY","Oh. Hold on a second, Carrie."
3070062,307,5,"CAT ORGY","CARTMAN","Ey! Aaah! Uh-ow! Ah!"
3070063,307,5,"CAT ORGY","SHELLEY","I placed his underwear over his head."
3070064,307,5,"CAT ORGY","CARTMAN","I'm gonna get her, Kitty! Mark my words!! SHUT THE HELL UP, KITTY!!"
3070065,307,6,"CAT ORGY","description","The living room. Cartman watches TV"
3070066,307,6,"CAT ORGY","ANNOUNCER","And now, back to the movie of the week, Aliens."
3070067,307,6,"CAT ORGY","NEWT","They mostly come at night, mostly."
3070068,307,6,"CAT ORGY","CARTMAN","They mostly come at night, mostly. Ey, I was watching Aliens on TV!"
3070069,307,6,"CAT ORGY","SHELLEY","Well, I'm watching Friends, turd!  That's my boyfriend. Go answer the door while I make sure I don't have food in my braces."
3070070,307,6,"CAT ORGY","DUDE","Hey there, is Shelley around?"
3070071,307,6,"CAT ORGY","CARTMAN","Who the hell are you?"
3070072,307,6,"CAT ORGY","DUDE","I'm the guy who's gonna put a boot up your ass if you don't tell me where Shelley is!"
3070073,307,6,"CAT ORGY","SHELLEY","Hey, Skyler."
3070074,307,6,"CAT ORGY","CARTMAN","You know this guy?"
3070075,307,6,"CAT ORGY","SHELLEY","He's my boyfriend!"
3070076,307,6,"CAT ORGY","CARTMAN","Christ, he's like 50 years old!"
3070077,307,6,"CAT ORGY","SHELLEY","He's 22!"
3070078,307,6,"CAT ORGY","CARTMAN","Dude, that's not cool."
3070079,307,6,"CAT ORGY","SHELLEY","You're a turd! You're the Turdman of Alcatraz!"
3070080,307,6,"CAT ORGY","SKYLER","Ye Yeah-ha."
3070081,307,6,"CAT ORGY","CARTMAN","Dude, when my mom finds out that my babysitters have their boyfriends over, she mostly gets really mad, mostly. Yaaah. Eeyy! Ey, God damnit!"
3070082,307,6,"CAT ORGY","SHELLEY","Turd wedgie. Come in the kitchen, Skyler. There's refreshments"
3070083,307,6,"CAT ORGY","ANNOUNCER","And now, back to Wild Animal World"
3070084,307,6,"CAT ORGY","HOST","Here in the more arid regions of Africa, the gold-coat lions are in the throes of mating season.  The male lion positions himself behind the female and prepares to insert his lionhood. Notice his large swollen balls.  The female lion relaxes her body and says ""hello"" to Mr. Winky. The male lion is enticed by the female's supple breasts and firm backside.  Quickly and suddenly, the male is finished. Now he wants to be alone, so he kindly asks the female to leave. He promises he'll call her tomorrow. But the female doesn't leave. Nope, she's moving right in. Looks like the male lion... is screwed."
3070085,307,7,"CAT ORGY","description","The kitchen. Cartman cooked the pizza after all. Shelley and Skyler finish it"
3070086,307,7,"CAT ORGY","SKYLER","Mmmmm."
3070087,307,7,"CAT ORGY","SHELLEY","No, Skyler. Quit it."
3070088,307,7,"CAT ORGY","SKYLER","Come on, babe. How long have we known each other?"
3070089,307,7,"CAT ORGY","SHELLEY","Eight days tomorrow."
3070090,307,7,"CAT ORGY","SKYLER","And I still don't get any action."
3070091,307,7,"CAT ORGY","SHELLEY","I don't know, Skyler. It's just kind of strange to me that you're 22 and all."
3070092,307,7,"CAT ORGY","SKYLER","But I'm still in high school. I told you: I'm a very immature 22-year old."
3070093,307,7,"CAT ORGY","SHELLEY","Well, maybe just one kiss."
3070094,307,7,"CAT ORGY","SKYLER","Mmmmm"
3070095,307,7,"CAT ORGY","CARTMAN","Hey, what are you doing?"
3070096,307,7,"CAT ORGY","SKYLER","Beat it, chubby!"
3070097,307,7,"CAT ORGY","SHELLEY","Go on, Astroturd!"
3070098,307,7,"CAT ORGY","SKYLER","Mmmmm"
3070099,307,7,"CAT ORGY","CARTMAN","I'm gonna tell my mom on you."
3070100,307,7,"CAT ORGY","SHELLEY","Turd Rock From the Sun!"
3070101,307,7,"CAT ORGY","CARTMAN","Ey! You ate all the pizza!"
3070102,307,7,"CAT ORGY","SHELLEY","We left you some crusts!"
3070103,307,7,"CAT ORGY","CARTMAN","That does it! I'm calling my mom right now, and bustin' your ass!"
3070104,307,7,"CAT ORGY","SHELLEY","Guess again, Richard the Turd!"
3070105,307,7,"CAT ORGY","CARTMAN","Give me that phone number!"
3070106,307,7,"CAT ORGY","SKYLER","Come on, babe. Let's go to the living room."
3070107,307,7,"CAT ORGY","CARTMAN","I am not gonna be bossed around by a chick!  Maybe I'll just use my Wild Wild West techniques and get proof that Shelley had a boyfriend over."
3070108,307,7,"CAT ORGY","KITTY","Meow."
3070109,307,7,"CAT ORGY","CARTMAN","God damnit, Kitty, you have to calm down! Here, I'll get you some catnip."
3070110,307,7,"CAT ORGY","KITTY","Meow."
3070111,307,7,"CAT ORGY","CARTMAN","Okay, okay, I'm finding the catnip."
3070112,307,7,"CAT ORGY","KITTY","Meowrowrowrowrowrowrowrowr."
3070113,307,8,"CAT ORGY","description","The living room. Skyler strums on the guitar as Shelley listens"
3070114,307,8,"CAT ORGY","SKYLER","Red Rocket spills my icy soul."
