"id","ep_num","segment","title","role","text"
4070001,407,1,"CHEF GOES NANNERS","description","The Mayor's office, day. The mayor is at her desk, flanked by her assistants. Before her are Chef and Jimbo. The meeting starts"
4070002,407,1,"CHEF GOES NANNERS","MAYOR","Gentlemen, I understand you are here to present both sides of an issue. I wanna hear you both out and do this in a civil and constructive manner so that I can give you both the time and attention you deserve. Jimbo, why don't you begin?"
4070003,407,1,"CHEF GOES NANNERS","JIMBO","Mayor, it's about the South Park flag."
4070004,407,1,"CHEF GOES NANNERS","MAYOR","Oh, Jesus Christ, not this again!"
4070005,407,1,"CHEF GOES NANNERS","JIMBO","We cannot change the South Park flag, Mayor!"
4070006,407,1,"CHEF GOES NANNERS","CHEF","Mayor, as I've said before, I find that flag to be racist and insensitive!"
4070007,407,1,"CHEF GOES NANNERS","JIMBO","Chef, I respect you very much, but you have to understand that this has been the South Park flag since some of our ancestors, like my great-grandfather, founded this land!"
4070008,407,1,"CHEF GOES NANNERS","CHEF","That flag represents a time when blacks were persecuted by whites! How can a black man not be bothered by it?!"
4070009,407,1,"CHEF GOES NANNERS","MAYOR","Ahalright, Chef, I'll have my assistants hold up the flag.  and you tell me what exactly you find racist about it."
4070010,407,1,"CHEF GOES NANNERS","CHEF","You don't see anything wrong with that flag?!"
4070011,407,1,"CHEF GOES NANNERS","JIMBO","Chef, what about the baseball team, the Cleveland Indians, huh? Should they change their name because it's racist?"
4070012,407,1,"CHEF GOES NANNERS","CHEF","Yeah!"
4070013,407,1,"CHEF GOES NANNERS","JIMBO","No, because it's their history!"
4070014,407,1,"CHEF GOES NANNERS","CHEF","Look, I have gone to every quiet protest I could! I have written everyone; I've put up signs! But now I'm telling you , THIS FLAG WILL BE CHANGED!"
4070015,407,1,"CHEF GOES NANNERS","JIMBO","And I'm telling you it WON'T!"
4070016,407,1,"CHEF GOES NANNERS","MAYOR","Oh, boy."
4070017,407,2,"CHEF GOES NANNERS","description","South Park Elementary, day. The class bell rings and the kids are in their seats. Timmy is now shown with the class."
4070018,407,2,"CHEF GOES NANNERS","MR. WYLAND","Okay, children, in Mr. Garrison's absence, I would like to turn the class's attention to current issues. Some people think the South Park flag should be changed, while others believe that changing the flag is wrong. I think this is a perfect subject for your debate club."
4070019,407,2,"CHEF GOES NANNERS","CLASS","Aaaaah!"
4070020,407,2,"CHEF GOES NANNERS","MR. WYLAND","I see that you've already had a lot of interesting debates this year.  Pro-Choice vs. Cartman, Pro-Gun Control vs. Cartman, a-and People Against the Clubbing of Baby Seals vs. Cartman. And apparently, the winner of all your debates so far has been... Cartman."
4070021,407,2,"CHEF GOES NANNERS","CARTMAN","Thaaat's ri-ight."
4070022,407,2,"CHEF GOES NANNERS","KYLE","Cartman doesn't always win! He just gets pissed off and goes home so we can't debate anymore!"
4070023,407,2,"CHEF GOES NANNERS","CLASS","Yeah."
4070024,407,2,"CHEF GOES NANNERS","CARTMAN","Nah-ah! I'm just a better debater than you guys!"
4070025,407,2,"CHEF GOES NANNERS","STAN","You don't even know what you're debating about half the time!"
4070026,407,2,"CHEF GOES NANNERS","CARTMAN","Yes I do!"
4070027,407,2,"CHEF GOES NANNERS","CRAIG","No you don't!"
4070028,407,2,"CHEF GOES NANNERS","CARTMAN","Oh yeah?! Well, screw you guys, I'm going home!"
4070029,407,2,"CHEF GOES NANNERS","KYLE","Told ya."
4070030,407,2,"CHEF GOES NANNERS","MR. WYLAND","Alright, children, well, unlike Mr. Garrison, I want you all to go out and research this debate before we pick teams. Tomorrow, you'll need to choose which side of this poignant debate you are on."
4070031,407,3,"CHEF GOES NANNERS","description","Jimbo and Ned's lodge, after school. They're sitting on the front porch."
4070032,407,3,"CHEF GOES NANNERS","JIMBO","This is about history, kids.  If you don't have respect for your past, then you can never expect to- BIRD!  -then you can never expect to have a future. Nowadays, everyone wants to change mascots and flags because they're not  ""politically correct."" Well, where does it end? I mean, people are gonna start sayin' that the Denver Broncos are offensive to horses. And then we'll have to- a SQUIRREL!  Aand then we'll have to change everything, and pretty soon all our history will be forgotten. But to REALLY understand the South Park's flag's importance, you need to know about South Park's history. Ned here's a big history buff, and he can tell you the whole story. Ned?"
4070033,407,3,"CHEF GOES NANNERS","NED","Nnneh, in 1867, fourteen pioneers from the East Coast traveled across the Plains-"
4070034,407,3,"CHEF GOES NANNERS","STAN","Uh that, that's okay, dude, I think we got it."
4070035,407,3,"CHEF GOES NANNERS","KYLE","Yeah, we got it."
4070036,407,3,"CHEF GOES NANNERS","JIMBO","You sure?"
4070037,407,3,"CHEF GOES NANNERS","STAN, KYLE","Yup."
4070038,407,3,"CHEF GOES NANNERS","JIMBO","You boys go make me proud now and win that debate- Chris Peterson!  God-damnit, we missed him again!"
4070039,407,4,"CHEF GOES NANNERS","description","South Park Supermarket, after school. Chef is at the entrance with a petition in his hands. With him are Wendy, Bebe, Clyde, and Butters. Some folks head for the store..."
4070040,407,4,"CHEF GOES NANNERS","CHEF","Sign up to join me, and come marchng to the Mayor's office in protest of the South Park flag!  You see that, children?! Nobody wants to get involved! Randy! Sign up to march with me against the South Park flag on Wednesday?"
4070041,407,4,"CHEF GOES NANNERS","RANDY","Oh, uuhh, look, Chef, you know I'm-m not a racist, but uh, I just don't really feel strongly one way or another about the flag."
4070042,407,4,"CHEF GOES NANNERS","CHEF","Well, alright, Marsh, you're entitled to your own opinion.  That's how it is in this town. I haven't gotten one signature on this damn sheet, and I've been here all day!"
4070043,407,4,"CHEF GOES NANNERS","WENDY","We'll march with you, Chef."
4070044,407,4,"CHEF GOES NANNERS","CHEF","That's nice, but I need the support of some registered voters.  Ey, Mackey! Sign up to march on Wednesday?"
4070045,407,4,"CHEF GOES NANNERS","COUNSELOR MACKEY","Oo, Wednesday? Uh-Wednesday's tough. I guess- maybe I could do somthin' uh, Thursday afternoon."
4070046,407,4,"CHEF GOES NANNERS","CHEF","Alright, fudge it, Thursday. Anyone else wanna go Thursday?"
4070047,407,4,"CHEF GOES NANNERS","PRINCIPAL VICTORIA","Thursday's no good, we've got chior council."
4070048,407,4,"CHEF GOES NANNERS","COUNSELOR MACKEY","Oh, yeah."
4070049,407,4,"CHEF GOES NANNERS","PRINCIPAL VICTORIA","What about next Sunday?"
4070050,407,4,"CHEF GOES NANNERS","CHEF","Fine! Next Sunday!"
4070051,407,4,"CHEF GOES NANNERS","MAN 1","You mean, during the ball game?"
4070052,407,4,"CHEF GOES NANNERS","MAN 2","Oh, yeah. We can't do Sunday."
4070053,407,4,"CHEF GOES NANNERS","CHEF","Monday??"
4070054,407,4,"CHEF GOES NANNERS","PRINCIPAL VICTORIA","Oh, I can't do Monday."
4070055,407,4,"CHEF GOES NANNERS","MAN 3","I could do Tuesday."
4070056,407,4,"CHEF GOES NANNERS","COUNSELOR MACKEY","Yeah, Tuesday morning's good."
4070057,407,4,"CHEF GOES NANNERS","MAN 1","You know what would be better for me is Saturday afternoon."
4070058,407,4,"CHEF GOES NANNERS","MAN 2","Saturday is perfect for me."
4070059,407,4,"CHEF GOES NANNERS","PRINCIPAL VICTORIA","Yeah. How about Saturday at 11:30?"
4070060,407,4,"CHEF GOES NANNERS","MAN 3","Mm hmm."
4070061,407,4,"CHEF GOES NANNERS","MAN 2, WOMAN 2","Yeah."
4070062,407,4,"CHEF GOES NANNERS","MAN 1","Yeah."
4070063,407,4,"CHEF GOES NANNERS","MAN 3","That sounds good."
4070064,407,4,"CHEF GOES NANNERS","MAN 2","Mm hmm."
4070065,407,4,"CHEF GOES NANNERS","COUNSELOR MACKEY","Yeah, I think that's the best day."
4070066,407,4,"CHEF GOES NANNERS","CHEF","Okay! On Saturday, we march!"
4070067,407,4,"CHEF GOES NANNERS","MAN 2","Oh, march? What are we marching for?"
4070068,407,4,"CHEF GOES NANNERS","CHEF","To bring down the South Park Flag!"
4070069,407,4,"CHEF GOES NANNERS","MAN 2","...Oh."
4070070,407,4,"CHEF GOES NANNERS","MAN 3","Oohh, I gotta go."
4070071,407,4,"CHEF GOES NANNERS","MAN 1","I know what I may like. I dont like marching"
4070072,407,4,"CHEF GOES NANNERS","WOMAN 2","Uh, marching's really not for me."
4070073,407,4,"CHEF GOES NANNERS","MAN 2","See you later."
4070074,407,4,"CHEF GOES NANNERS","MR. WYLAND","Well I've counted up all your secret ballots, childen, and it look like about half of you think the flag should stary, and half think the flag should be changed."
4070075,407,4,"CHEF GOES NANNERS","WENDY","How could any of you think that flag should stay the way it is?!"
4070076,407,4,"CHEF GOES NANNERS","MR. WYLAND","Save it for the debate, Wendy. Now I'm going to assign the debate leaders. Who wants to lead the ""Flag Should Stay The Way It Is"" team?"
4070077,407,4,"CHEF GOES NANNERS","STAN, KYLE","Me. Me. Me. Me."
4070078,407,4,"CHEF GOES NANNERS","WENDY","Stan?! How could you be so insensitive?!"
4070079,407,4,"CHEF GOES NANNERS","STAN","Whoa, dude, I don't see anything wrong with that flag."
4070080,407,4,"CHEF GOES NANNERS","KYLE","Yeah, me neither."
4070081,407,4,"CHEF GOES NANNERS","Mr. Wyland	Alright. Stan and Kyle, [turns and writes on the board] ","you can both be the team leaders for the ""Flag should stay the way it is"" team. [turns around. Their names are there now] Now, who wants to lead the ""Flag should be changed"" team? [an angry Wendy raises her hand. Cartman looks over at her, then raises his hand and chuckles] Okay, Wendy and Eric can team up. [writes their names on the board]"
4070082,407,4,"CHEF GOES NANNERS","WENDY","Nooo!"
4070083,407,4,"CHEF GOES NANNERS","MR. WYLAND","Alright, children. Do your homework, and let's get ready for a great debate!"
4070084,407,5,"CHEF GOES NANNERS","description","South Park Elementary, cafeteria. Kids enjoy their meals. Craig enters the kitchen, followed by Stan, Kyle, Butters, and someone else"
4070085,407,5,"CHEF GOES NANNERS","STAN, KYLE","Hello, Chef."
4070086,407,5,"CHEF GOES NANNERS","CHEF","My name isn't Chef anymore, children. I've converted to Islam."
4070087,407,5,"CHEF GOES NANNERS","STAN","Islam??"
4070088,407,5,"CHEF GOES NANNERS","CHEF","From now on, my name is  Abdul Mohammed Jabar  Rauf Kareem Ali.  With everyone in town so insensitive about the flag, I find it no longer fitting to use my slave name!"
4070089,407,5,"CHEF GOES NANNERS","STAN","Well, we need help with our debate club. We have to explain why we think the flag should not be changed."
4070090,407,5,"CHEF GOES NANNERS","CHEF","You WHAT?!  You don't think they should change the flag?!"
4070091,407,5,"CHEF GOES NANNERS","KYLE","Not really."
4070092,407,5,"CHEF GOES NANNERS","STAN","Yeah, we don't see what the big deal is."
4070093,407,5,"CHEF GOES NANNERS","CHEF","Well, that figures you don't! Because your cracker-ass parents turned you into little cracker-ass cracker-racists! I never thought I'd live to see this many of the people I considered friends turn against me!"
4070094,407,5,"CHEF GOES NANNERS","STAN","But Chef, we don't know what you're talking about."
4070095,407,5,"CHEF GOES NANNERS","CHEF","But nothin'!  ""But"" my ass! Fix your own damn food!"
4070096,407,6,"CHEF GOES NANNERS","description","South Park Elementary, school library. Wendy has assembled her team and leads them through preliminary items. In her team are Bebe, Clyde, Butters, Token, Kevin, and three others. Cartman is not there yet."
4070097,407,6,"CHEF GOES NANNERS","WENDY","Okay. Now, in order for us the debate to change the South Park flag, we will need to do a lot of research. Now, my plan is to divide up into three research teams. We will present our arguments based on things that w-"
4070098,407,6,"CHEF GOES NANNERS","CARTMAN","It's okay, I'm here."
4070099,407,6,"CHEF GOES NANNERS","WENDY","Nice of you to show up! We were just discussing how we should state our case."
4070100,407,6,"CHEF GOES NANNERS","CARTMAN","Yes. This is a difficult case. In order to win the debate, we will need to attack Stan and Kyle's credibility."
4070101,407,6,"CHEF GOES NANNERS","WENDY","What??"
4070102,407,6,"CHEF GOES NANNERS","CARTMAN","That's how you win these things: attack your opponents' credibility!  Butters! Take some kids and go dig up whatever dirt you can on Kyle's past. I'm talkin' booby magazines, whatever."
4070103,407,6,"CHEF GOES NANNERS","BUTTERS","Wwuhuh-o-kay!"
4070104,407,6,"CHEF GOES NANNERS","CARTMAN","The rest of you, go get the goods on Stan! His mom grounded him once for setting something on fire. Let's find out what that something was, and then lie and say it was a puppy."
4070105,407,6,"CHEF GOES NANNERS","CLYDE","Right."
4070106,407,6,"CHEF GOES NANNERS","CARTMAN","Mmmm."
4070107,407,6,"CHEF GOES NANNERS","WENDY","Cartman, we can't just attack Stan and Kyle's credibility. We need to present our side of the debate."
4070108,407,6,"CHEF GOES NANNERS","CARTMAN","You're right. We'll need to look like we prepared a case, too, so that they look all the weaker. Good plan. Sooo, what's the issue again?"
4070109,407,6,"CHEF GOES NANNERS","WENDY","The South Park flag!"
4070110,407,6,"CHEF GOES NANNERS","CARTMAN","Interesting. Aaand, what side are we on?"
4070111,407,6,"CHEF GOES NANNERS","WENDY","D'aaaaahhh!"
4070112,407,6,"CHEF GOES NANNERS","CARTMAN","Whoa! Calm down, ho."
4070113,407,7,"CHEF GOES NANNERS","description","South Park City Hall, day. A Channel 4 field reporter is on scene. Chef is in the background dressed in a daishiki facing the Hall, with his fist up. Two groups of people are there, one on either side of him. The mayor and her assistants look out over the scene from her office"
4070114,407,7,"CHEF GOES NANNERS","REPORTER","Tom, I'm standing out front of the South Park Mayor's Office, where both sides of this debate have gathered."
4070115,407,7,"CHEF GOES NANNERS","CHEF","Change the flag!"
4070116,407,7,"CHEF GOES NANNERS","JIMBO","Don't change history!"
4070117,407,7,"CHEF GOES NANNERS","MAYOR","Oh brother, what now?!"
4070118,407,7,"CHEF GOES NANNERS","CHEF","Change the flag! Change the flag!..."
4070119,407,7,"CHEF GOES NANNERS","REPORTER","Earlier, the South Park townspeople voiced their opinion."
4070120,407,7,"CHEF GOES NANNERS","MAN 4","Well, I think the flag is racist! Huh, but then again, it is part of our history."
4070121,407,7,"CHEF GOES NANNERS","MAN 5","Well, I guess the flag is part of history, ...but I can see how it is racist."
4070122,407,7,"CHEF GOES NANNERS","MAN 6","I think it is history. I think it is racist."
4070123,407,7,"CHEF GOES NANNERS","REPORTER","Well, one things for sure, tensions are high and pressure is mounting on the South Park Mayor to do something."
4070124,407,7,"CHEF GOES NANNERS","CHEF","...Change the flag! Change the flag! Change the flag! Change the flag!  In the 1960's there was a monk  who set himself on fire to protest! You have left me no choice!  To protest your lack of humanity, I will now do the same thing!"
4070125,407,7,"CHEF GOES NANNERS","MONK","Huh! Haaaaaaaaaaaah!"
4070126,407,7,"CHEF GOES NANNERS","THE KKK","White Power! White Power! White Power! White Power! White Power! White Power! White Power!"
4070127,407,7,"CHEF GOES NANNERS","REPORTER","What's this? Uh, Tom, it looks as if the KKK have shown up to espress their opinion."
4070128,407,7,"CHEF GOES NANNERS","KKK LEADER","Hello, brother.  We are here to support your noble cause."
4070129,407,7,"CHEF GOES NANNERS","JIMBO","Huh? Uh hey now, uh. We don't want your support. We're not racists; this is about history."
4070130,407,7,"CHEF GOES NANNERS","NED","Yeah."
4070131,407,7,"CHEF GOES NANNERS","KKK LEADER","Well, whether you want our support or not, we're on your side!"
4070132,407,7,"CHEF GOES NANNERS","THE KKK","White Power! White Power!  White Power! White Power!  White Power! White Power! White Power! White Power!"
4070133,407,7,"CHEF GOES NANNERS","KYLE'S MOTHER","Mr. Garrison, you're a Klan member?"
4070134,407,7,"CHEF GOES NANNERS","MR. GARRISON","NO, no,  but Mr. Hat is."
4070135,407,7,"CHEF GOES NANNERS","MR. HAT","White Power! White Power!"
4070136,407,7,"CHEF GOES NANNERS","MR. GARRISON","Ogh! You're such a racist bastard, Mr. Hat."
4070137,407,7,"CHEF GOES NANNERS","THE KKK","White Power!"
4070138,407,7,"CHEF GOES NANNERS","CHEF","Change the flag!"
4070139,407,7,"CHEF GOES NANNERS","JIMBO","Don't change history!"
4070140,407,7,"CHEF GOES NANNERS","MAYOR","Ooh, Jesus. What a mess."
4070141,407,8,"CHEF GOES NANNERS","description","South Park City Hall, Mayor's office, later."
4070142,407,8,"CHEF GOES NANNERS","MAYOR","Chef, we realize that you find the South Park flag racist, and we certainly understand your case.  We have been diligently working on this problem, put in a lot of hours, and we have finally altered the flag in a way that we think will make you very happy. Gentlemen?  There. Is that better?"
4070143,407,8,"CHEF GOES NANNERS","CHEF","No, damnit!"
