"id","ep_num","segment","title","role","text"
2140001,214,1,"CHEF AID","Stinky britches, you've got stinky britches",""
2140002,214,1,"CHEF AID","Stinky stinky britches, you've got stinky-",""
2140003,214,1,"CHEF AID","KYLE","What the hell are you singin', Cartman?"
2140004,214,1,"CHEF AID","CARTMAN","This new song by Alanis Morissette. I can't get it out of my head. Stinky britches, you've got stinky britches!"
2140005,214,1,"CHEF AID","MR. GARRISON","Hello children. Ready for lunch?"
2140006,214,1,"CHEF AID","CARTMAN","Stinky britches, you've got stinky stinky-!"
2140007,214,1,"CHEF AID","MR. GARRISON","Eric, is there a problem?"
2140008,214,1,"CHEF AID","CARTMAN","Yeah, I can't get this stupid song out of my head!"
2140009,214,1,"CHEF AID","MR. GARRISON","""Stinky Britches,"" by Alanis Morissette?"
2140010,214,1,"CHEF AID","CARTMAN","Yeah. You stinky stinky britches!"
2140011,214,1,"CHEF AID","MR. GARRISON","Children, did you say 'hi' to Mr. Twig?"
2140012,214,1,"CHEF AID","MR. TWIG","Hi, boys. How are you?"
2140013,214,1,"CHEF AID","KYLE","When is Mr. Hat coming back?"
2140014,214,1,"CHEF AID","MR. GARRISON","I told you never to say his name in my presence!"
2140015,214,1,"CHEF AID","STAN","But we hate Mr. Twig. Mr. Twig sucks."
2140016,214,1,"CHEF AID","STUDENT","Yeah."
2140017,214,1,"CHEF AID","CARTMAN","Stinky britches, you've got stinky br-"
2140018,214,1,"CHEF AID","MR. GARRISON","It just so happens that Mr. Twig is far more stable than Mr. Hat could ever be! So he's the better puppet!"
2140019,214,1,"CHEF AID","KYLE","He'd be better used as a coat rack."
2140020,214,1,"CHEF AID","MR. GARRISON","How DARE you?! Come on, Mr. Twig!"
2140021,214,2,"CHEF AID","description","The kids enter the kitchen. Jordan left the line, leaving Stan behind Kevin."
2140022,214,2,"CHEF AID","CHEF","Hello there, children."
2140023,214,2,"CHEF AID","ALL FOUR","Hey, Chef."
2140024,214,2,"CHEF AID","CARTMAN","You've got stinky britches. Stinky sti-"
2140025,214,2,"CHEF AID","CHEF","What did you say??"
2140026,214,2,"CHEF AID","KYLE","He's singin' some new hit song."
2140027,214,2,"CHEF AID","CHEF","Eric? Wwhere did you hear that song?"
2140028,214,2,"CHEF AID","CARTMAN","It's all over the place: on the radio, MTV, everywhere."
2140029,214,2,"CHEF AID","CHEF","Well, I'll be sodomized on Christmas."
2140030,214,2,"CHEF AID","KYLE","What, dude??"
2140031,214,2,"CHEF AID","CHEF","Children, I wrote that song twenty years ago!"
2140032,214,2,"CHEF AID","CARTMAN","You wrote it?"
2140033,214,2,"CHEF AID","CHEF","Yeah! Back when I used to be in the rock business. And now it looks like some big record company has published one of my songs."
