"id","ep_num","segment","title","role","text"
2090001,209,1,"CHEF S CHOCOLATE SALTY BALLS","and a woman]",""
2090002,209,1,"CHEF S CHOCOLATE SALTY BALLS","ROBERT REDFORD","Why do we hold the Sundance Film Festival here, Phyllis? It's so painfully crowded."
2090003,209,1,"CHEF S CHOCOLATE SALTY BALLS","PHYLLIS","Because. People from L.A. love to come to a quaint little mountain town for a few days, and this gives them an excuse."
2090004,209,1,"CHEF S CHOCOLATE SALTY BALLS","ROBERT REDFORD","No, this used to be a quaint little mountain town. Now look at it. Sushi restaurants, upscale clothes stores, $25 parking, Liam Neeson I tell you, Phyllis, I think we've tapped this town's resource out. We must move this festival to another small mountain town and begin again."
2090005,209,1,"CHEF S CHOCOLATE SALTY BALLS","PHYLLIS","That's not a bad idea. But where?"
2090006,209,2,"CHEF S CHOCOLATE SALTY BALLS","description","South Park. Winter is indeed back. A man hums as he arrives at the town flag pole with a purple flag and runs it up to the top. It unfurls, revealing"
2090007,209,2,"CHEF S CHOCOLATE SALTY BALLS","1ST ANNUAL",""
2090008,209,2,"CHEF S CHOCOLATE SALTY BALLS","SOUTH PARK",""
2090009,209,2,"CHEF S CHOCOLATE SALTY BALLS","FILM FESTIVAL",""
2090010,209,3,"CHEF S CHOCOLATE SALTY BALLS","description","a crowd instantly pours in and mills about"
2090011,209,3,"CHEF S CHOCOLATE SALTY BALLS","MAN IN BACKGROUND","Ching ching cha-ching."
2090012,209,3,"CHEF S CHOCOLATE SALTY BALLS","MAN IN FOREGROUND","Whoa."
2090013,209,4,"CHEF S CHOCOLATE SALTY BALLS","description","South Park Elementary"
2090014,209,4,"CHEF S CHOCOLATE SALTY BALLS","MR. GARRISON","Okay, children. I have some very exciting news for you Oo-why don't you tell them, Mr. Twig?"
2090015,209,4,"CHEF S CHOCOLATE SALTY BALLS","MR. TWIG","That's right, Mr. Garrison. The First Annual South Park Film Festival begins today."
2090016,209,4,"CHEF S CHOCOLATE SALTY BALLS","WENDY","Wow! Cool!"
2090017,209,4,"CHEF S CHOCOLATE SALTY BALLS","KYLE","They're not gonna show that stupid-ass Godzilla movie again, are they?"
2090018,209,4,"CHEF S CHOCOLATE SALTY BALLS","MR. GARRISON","Nono, Kyle. These are independent films."
2090019,209,4,"CHEF S CHOCOLATE SALTY BALLS","STAN","Hoohh, like Independence Day? That sucked ass, too."
2090020,209,4,"CHEF S CHOCOLATE SALTY BALLS","CARTMAN","No, dude, independent films are those black and white hippie movies. They're always about gay cowboys eating pudding."
2090021,209,4,"CHEF S CHOCOLATE SALTY BALLS","WENDY","No they're not! Independent films are produced outside the Hollywood system. They're movies about all the glitz and glamour of Hollywood."
2090022,209,4,"CHEF S CHOCOLATE SALTY BALLS","CARTMAN","Byeh, sure. Well, you show me one independent film that  isn't about gay cowboys eating pudding!"
2090023,209,4,"CHEF S CHOCOLATE SALTY BALLS","WENDY","Once again, you have no idea what you're talking about, fatass!"
2090024,209,4,"CHEF S CHOCOLATE SALTY BALLS","CARTMAN","I'm not fat! I just haven't grown into my body yet, skinny bitch!"
2090025,209,4,"CHEF S CHOCOLATE SALTY BALLS","WENDY","Hrmph!"
2090026,209,4,"CHEF S CHOCOLATE SALTY BALLS","MR. GARRISON","Eric, if you call Wendy a bitch one more time, I'm sending you to the principal's office!"
2090027,209,4,"CHEF S CHOCOLATE SALTY BALLS","CARTMAN","bitch."
2090028,209,4,"CHEF S CHOCOLATE SALTY BALLS","MR. GARRISON","That's it Eric, you-!"
2090029,209,4,"CHEF S CHOCOLATE SALTY BALLS","CARTMAN","I'm going!"
2090030,209,4,"CHEF S CHOCOLATE SALTY BALLS","MR. GARRISON","Anyway, children, I want you all to see at least one independent film at the festival and then write a paper about it.  The first film showing is called Witness To Denial, and it's a sexual exploration piece about two women in love."
2090031,209,4,"CHEF S CHOCOLATE SALTY BALLS","STAN","Oh, my uncle Jimbo has a ton of those movies in his dresser drawer."
2090032,209,4,"CHEF S CHOCOLATE SALTY BALLS","1ST ANNUAL SOUTH PARK FILM FESTIVAL",""
2090033,209,5,"CHEF S CHOCOLATE SALTY BALLS","description","there's certainly a lot of people now. Two of them are talking to their people back home."
2090034,209,5,"CHEF S CHOCOLATE SALTY BALLS","DIRECTOR 1","Norma, I want to shoot the script next month with Demi Moore instead."
2090035,209,5,"CHEF S CHOCOLATE SALTY BALLS","DIRECTOR 2","Well you can tell Spielberg he can kiss my ass!"
2090036,209,5,"CHEF S CHOCOLATE SALTY BALLS","MAYOR","Wow, look at this, Johnson. Traffic jams at every intersection, hordes of people pushing their way through the crowd. It's almost like we're a real city."
2090037,209,6,"CHEF S CHOCOLATE SALTY BALLS","description","After school and the kids are out in the town"
2090038,209,6,"CHEF S CHOCOLATE SALTY BALLS","CARTMAN","I can't believe I got sent to the principal's office because of your stupid girlfriend!"
2090039,209,6,"CHEF S CHOCOLATE SALTY BALLS","STAN","She's not my girlfriend."
2090040,209,6,"CHEF S CHOCOLATE SALTY BALLS","KENNY","(Yeah, that's because you vomit on her all the time.)"
2090041,209,6,"CHEF S CHOCOLATE SALTY BALLS","KYLE","Sick, Kenny."
2090042,209,6,"CHEF S CHOCOLATE SALTY BALLS","STAN","Damn, dude. Look at all these people."
2090043,209,6,"CHEF S CHOCOLATE SALTY BALLS","DIRECTOR 3","I'm late for a screening, I'll call you from the theater."
2090044,209,6,"CHEF S CHOCOLATE SALTY BALLS","KYLE","All this for a bunch of stupid movies?"
2090045,209,7,"CHEF S CHOCOLATE SALTY BALLS","description","They come upon a stand that says"
2090046,209,7,"CHEF S CHOCOLATE SALTY BALLS","CHEF'S",""
2090047,209,7,"CHEF S CHOCOLATE SALTY BALLS","SOUL FOOD",""
