"id","ep_num","segment","title","role","text"
4060001,406,1,"CHEROKEE HAIR TAMPONS","description","South Park Elementary, day. Mr. Garrison's classroom. But this day, a substitute teacher enters with a bag of stuff and makes an announcement."
4060002,406,1,"CHEROKEE HAIR TAMPONS","SUBSTITUTE","Good morning, children. Mr. Garrison is away today. I am your substitute teacher, Mr. Wyland."
4060003,406,1,"CHEROKEE HAIR TAMPONS","CARTMAN","Oh, sweet, dude. Substitute teacher."
4060004,406,1,"CHEROKEE HAIR TAMPONS","MR. WYLAND","Now, I understand that some students in this class like to mess with substitute teachers.  But if we all behave and respect each other, I'm sure we can make this a fun and productive day. Let's start with roll call. Let's see, mmmmm.  Eric Cartman?"
4060005,406,1,"CHEROKEE HAIR TAMPONS","STAN","Here!"
4060006,406,1,"CHEROKEE HAIR TAMPONS","MR. WYLAND","Alright, and how about Stan Marsh?"
4060007,406,1,"CHEROKEE HAIR TAMPONS","KENNY","(Here.)"
4060008,406,1,"CHEROKEE HAIR TAMPONS","WENDY","It's not that funny, you guys. Jesus."
4060009,406,1,"CHEROKEE HAIR TAMPONS","MR. WYLAND","Okay, and where iiiiss... Kenny McCormick?"
4060010,406,1,"CHEROKEE HAIR TAMPONS","CARTMAN","(Here.)  Oh, hoho. Ow."
4060011,406,1,"CHEROKEE HAIR TAMPONS","STAN","Dude, what the hell was that?"
4060012,406,1,"CHEROKEE HAIR TAMPONS","CARTMAN","Oh, huh. Oh, geez, you know, when you're laughin' so hard that the milk comes out your nose? Uh ho ho, man!"
4060013,406,1,"CHEROKEE HAIR TAMPONS","STAN","...Dude, you weren't drinking any milk."
4060014,406,1,"CHEROKEE HAIR TAMPONS","CARTMAN","Huh?"
4060015,406,1,"CHEROKEE HAIR TAMPONS","STAN","You have to be drinking milk for that to happen."
4060016,406,1,"CHEROKEE HAIR TAMPONS","CARTMAN","Not with me, man."
4060017,406,1,"CHEROKEE HAIR TAMPONS","MR. WYLAND","Alright. Look, why don't we skip roll call? Here's what we're gonna do today. I've been told that one of your classmates has been ill for several days  Kyle Broflovski?"
4060018,406,1,"CHEROKEE HAIR TAMPONS","STAN","He's fakin'!"
4060019,406,1,"CHEROKEE HAIR TAMPONS","MR. WYLAND","Well, I've been told that in Mr. Garrison's absence, our activity for the day is to make a get-well card for Kyle. So I got this large piece of poster board, and we're all gonna come up and use glitter.and glue to decorate it."
4060020,406,1,"CHEROKEE HAIR TAMPONS","THE CLASS","Awww."
4060021,406,1,"CHEROKEE HAIR TAMPONS","CARTMAN","He's fakin'!"
4060022,406,1,"CHEROKEE HAIR TAMPONS","MR. WYLAND","Kenny, you come and decorate the get-well card, too."
4060023,406,1,"CHEROKEE HAIR TAMPONS","CARTMAN","But I don't want Kyle to get well. I hate Kyle."
4060024,406,1,"CHEROKEE HAIR TAMPONS","MR. WYLAND","I don't care! Get down here and do it!"
4060025,406,1,"CHEROKEE HAIR TAMPONS","BUTTERS","Hey, watch it!  Hey, what are you doin'?"
4060026,406,1,"CHEROKEE HAIR TAMPONS","Get Well",""
4060027,406,1,"CHEROKEE HAIR TAMPONS","Kyle",""
4060028,406,1,"CHEROKEE HAIR TAMPONS","STAN","Now, that's a get-well card!"
4060029,406,2,"CHEROKEE HAIR TAMPONS","description","Denver, day. The Denver School Administration building is shown. Inside, the South Park School Board is meeting. Principal Victoria is present among the three people seated around a horseshoe-shaped table."
4060030,406,2,"CHEROKEE HAIR TAMPONS","CHAIRMAN","Mr. Garrison, after very careful review the school board believes that you should take a... hiatus from teaching. Indefinitely."
4060031,406,2,"CHEROKEE HAIR TAMPONS","MR. GARRISON","What??"
4060032,406,2,"CHEROKEE HAIR TAMPONS","BOARD MEMBER","Frankly, your conduct has been somewhat disconcerting."
4060033,406,2,"CHEROKEE HAIR TAMPONS","CHAIRMAN","Did you know that not one of your students knew who Sam Adams was?"
4060034,406,2,"CHEROKEE HAIR TAMPONS","MR. GARRISON","Well, who cares about a guy that makes beer?! Jesus Christ, I'm trying to teach history!"
4060035,406,2,"CHEROKEE HAIR TAMPONS","CHAIRMAN","...Frankly, Mr. Garrison, it isn't even your educational record that we're most concerned about.  It's your somewhat substantial police record."
4060036,406,2,"CHEROKEE HAIR TAMPONS","MR. GARRISON","Oh, whatever!"
4060037,406,2,"CHEROKEE HAIR TAMPONS","PRINCIPAL VICTORIA","Mr. Garrison, last week's charges of attempting to solicit sex from a minor wa-"
4060038,406,2,"CHEROKEE HAIR TAMPONS","MR. GARRISON","That was not me, that was Mr. Hat!"
4060039,406,2,"CHEROKEE HAIR TAMPONS","BOARD MEMBER","All we're saying is, perhaps you should take a little hiatus from teaching until this little  ""child molestation"" thing dies down a bit."
4060040,406,2,"CHEROKEE HAIR TAMPONS","MR. GARRISON","Gentlemen, teaching is all I know. It is the air that I breathe."
4060041,406,2,"CHEROKEE HAIR TAMPONS","CHAIRMAN","We're sorry, Mr. Garrison, we have no choice."
4060042,406,2,"CHEROKEE HAIR TAMPONS","MR. GARRISON","Very well. I guess... I'm not a teacher anymore.  I suppose you'll be wanting my badge and gun..."
4060043,406,2,"CHEROKEE HAIR TAMPONS","CHAIRMAN","Mr. Garrison, most teachers do not carry a gun!"
4060044,406,2,"CHEROKEE HAIR TAMPONS","MR. GARRISON","Oh, sorry. So I can keep it then?"
4060045,406,3,"CHEROKEE HAIR TAMPONS","description","Kyle's house, day, Kyle's room. He's in bed delirious and mumbling. His door opens and in walks Sheila with Sharon and Stan."
4060046,406,3,"CHEROKEE HAIR TAMPONS","KYLE'S MOTHER","Kyle, Stan and his mother came over to visit you."
4060047,406,3,"CHEROKEE HAIR TAMPONS","SHARON","Hello, sweetie."
4060048,406,3,"CHEROKEE HAIR TAMPONS","STAN","Dude, you can stop faking now. We got a substitute teacher."
4060049,406,3,"CHEROKEE HAIR TAMPONS","KYLE'S MOTHER","They say it's his kidneys. Kyle always has been a diabetic and lately his kidneys have just been shutting down."
4060050,406,3,"CHEROKEE HAIR TAMPONS","SHARON","Well, the kids at school made you a card, Kyle. Look."
4060051,406,3,"CHEROKEE HAIR TAMPONS","STAN","Go on, Butters!"
4060052,406,3,"CHEROKEE HAIR TAMPONS","BUTTERS","Ho, I don't wanna!"
4060053,406,3,"CHEROKEE HAIR TAMPONS","STAN","Butters, go on!"
4060054,406,3,"CHEROKEE HAIR TAMPONS","BUTTERS","Oh, uhuh alright, then."
4060055,406,3,"CHEROKEE HAIR TAMPONS","We're so sorry you're not feeling well.",""
