"id","ep_num","segment","title","role","text"
2100001,210,1,"CHICKEN POX","hospital in time.",""
2100002,210,1,"CHICKEN POX","SHARON","But what's wrong with her?"
2100003,210,1,"CHICKEN POX","DR. DOCTOR","It's chicken pox. There seems to be a small epidemic going around. Your daughter never had the chicken pox as a little child, I take it?"
2100004,210,1,"CHICKEN POX","SHARON","No, uh-no, she's been perfectly healthy."
2100005,210,1,"CHICKEN POX","DR. DOCTOR","Well, that's the problem. You see, chicken pox is a pretty normal thing for young children. But as you get older it becomes more and more a- ferocious disease."
2100006,210,1,"CHICKEN POX","SHARON","Shelley, look who's come to visit you; your little brother, Stan."
2100007,210,1,"CHICKEN POX","SHELLEY","Oh, whoo-peee!"
2100008,210,1,"CHICKEN POX","DR. DOCTOR","You know, most people don't realize that chicken pox is actually a form of herpes."
2100009,210,1,"CHICKEN POX","STAN","Dude, you've got herpes on your face!"
2100010,210,1,"CHICKEN POX","SHELLEY","Shut up, brat!"
2100011,210,1,"CHICKEN POX","SHARON","Will my daughter be okay?"
2100012,210,1,"CHICKEN POX","DR. DOCTOR","She'll be fine."
2100013,210,1,"CHICKEN POX","SHELLEY","Stop it!"
2100014,210,1,"CHICKEN POX","DR. DOCTOR","We just want to be cautious and monitor her here."
2100015,210,1,"CHICKEN POX","STAN","OOOWWW!"
2100016,210,1,"CHICKEN POX","SHARON","Come on, Stanley. Give your sister a kiss and then we have to go."
2100017,210,2,"CHICKEN POX","description","The Broflovski house. Sharon, Sheila, and Liane are seated at the dining room table. Ike is playing in his high chair"
2100018,210,2,"CHICKEN POX","SHARON","and then the doctor said that it's much worse as you get older. My daughter is in pretty bad shape now, but if she were in her twenties, she could die."
2100019,210,2,"CHICKEN POX","KYLE'S MOTHER","My God, I never knew chicken pox was such a dangerous illness."
2100020,210,2,"CHICKEN POX","LIANE","I guess it's much better to get it when you're young."
2100021,210,2,"CHICKEN POX","SHARON","So tell me if I'm crazy, but I started thinking that we should intentionally have our boys play with a child who has the chicken pox. Let them get it now, while they're young."
2100022,210,2,"CHICKEN POX","KYLE'S MOTHER","That's not crazy at all, Sharon. Mothers do it all the time."
2100023,210,2,"CHICKEN POX","LIANE","Oh, yes. When I was a child, my mother had me go over to a little girl's house who had the chicken pox, just so I would get it."
2100024,210,2,"CHICKEN POX","SHARON","So it's not such a crazy idea after all?"
2100025,210,2,"CHICKEN POX","KYLE'S MOTHER","Noo, no. And I'm pretty sure that strange little boy Kenny has the chicken pox right now."
2100026,210,2,"CHICKEN POX","KYLE","Are you guys having a meeting or something?"
2100027,210,2,"CHICKEN POX","KYLE'S MOTHER","How would you boys like to have a little slumber party at your friend Kenny's house tonight?"
2100028,210,2,"CHICKEN POX","CARTMAN","No way, dude. Kenny's family's poor; they live in the ghetto."
2100029,210,2,"CHICKEN POX","KYLE","Yeah. Let's just have a slumber party here."
2100030,210,2,"CHICKEN POX","SHARON","Boys, you're going to sleep over at Kenny's, and that's final!"
2100031,210,2,"CHICKEN POX","CARTMAN","Oh weak!"
2100032,210,3,"CHICKEN POX","description","The boys have gone home to gather their things. Now they meet up and walk to Kenny's house"
2100033,210,3,"CHICKEN POX","KYLE","I wonder why our moms want us to sleep over at Kenny's so bad."
2100034,210,3,"CHICKEN POX","STAN","Yeah, it's pretty weird."
2100035,210,3,"CHICKEN POX","KYLE","Well, all I can say is, he's better have Nintendo!  Well, here's Kenny's house."
2100036,210,3,"CHICKEN POX","CARTMAN","In the ghetto"
2100037,210,3,"CHICKEN POX","On a cold and gray Chicago morn another little baby child is ","born"
2100038,210,3,"CHICKEN POX","In the ghetto In the ghetto",""
2100039,210,3,"CHICKEN POX","MR. MCCORMICK","Yeah?"
2100040,210,3,"CHICKEN POX","STAN","We're here to have a slumber party with Kenny."
2100041,210,3,"CHICKEN POX","MR. MCCORMICK","What? Don't you know Kenny's sick with-?"
2100042,210,3,"CHICKEN POX","MRS. MCCORMICK","That's the whole point, remember?? Their moms want them to catch it while they're young."
2100043,210,3,"CHICKEN POX","MR. MCCORMICK","Oh yeah."
2100044,210,3,"CHICKEN POX","STAN","Catch what?"
2100045,210,3,"CHICKEN POX","MRS. MCCORMICK","Nothin'. Uhco-uh, come on in, I was jus' makin' dinner."
2100046,210,3,"CHICKEN POX","CARTMAN","And his momma cried"
2100047,210,3,"CHICKEN POX","'Cause if there's one thing that she don't need is another little ","hungry mouth to feed"
2100048,210,3,"CHICKEN POX","In the ghetto In the ghetto",""
2100049,210,3,"CHICKEN POX","STAN","Sshh! Cartman!"
2100050,210,3,"CHICKEN POX","CARTMAN","What?"
2100051,210,3,"CHICKEN POX","MRS. MCCORMICK","Kenny, your little friends are here! Come play with them!"
2100052,210,3,"CHICKEN POX","KENNY","(No, Mom, I'm seriously sick!)"
2100053,210,3,"CHICKEN POX","MRS. MCCORMICK","I know you're sick! Now get your buns out here!"
2100054,210,3,"CHICKEN POX","KYLE","Heheheh, bun."
2100055,210,3,"CHICKEN POX","KENNY","(Hey you guys, what's goin' on?)"
2100056,210,3,"CHICKEN POX","STAN","Whoa, dude! You've got herpes on your face, too!"
2100057,210,3,"CHICKEN POX","CARTMAN","Where is the- Nintendo?"
2100058,210,3,"CHICKEN POX","MR. MCCORMICK","We don't have a Nintendo. We got a ColecoVision hooked up to the black-and-white TV."
2100059,210,3,"CHICKEN POX","KYLE","Oh my God. This is like a third-world country."
2100060,210,3,"CHICKEN POX","MRS. MCCORMICK","Throw your sleeping bags in Kenny's room and then come grab some dinner."
2100061,210,3,"CHICKEN POX","CARTMAN","Oh, good. I'm starving."
2100062,210,4,"CHICKEN POX","description","The boys are seated, as are Kenny's parents. Kenny's older brother comes to table. All there is to eat is a plate of 5 or 6 frozen waffles and a toaster to toast them in. The boys can only wonder"
2100063,210,4,"CHICKEN POX","MRS. MCCORMICK","Let's say grace."
2100064,210,4,"CHICKEN POX","MR. MCCORMICK","Lord, we thank you for this staggering payload of frozen waffles you have bestowed upon us. Andn since we have been faithful to you, we know that you will send us some good fortune one of these days, even though you sure as hell seem to be taking your sweet time. Amen."
2100065,210,4,"CHICKEN POX","ALL","Amen."
2100066,210,4,"CHICKEN POX","CARTMAN","Pfff"
2100067,210,4,"CHICKEN POX","MRS. MCCORMICK","Okay, let's dig in."
2100068,210,4,"CHICKEN POX","KENNY'S BROTHER","That one's mine, that one's mine!"
2100069,210,4,"CHICKEN POX","CARTMAN","What kind of side dishes will we be enjoying this evening with our frozen waffles?  Am I to understand there will be no side dishes?"
2100070,210,4,"CHICKEN POX","MR. MCCORMICK","So, Kyle, your dad's still bringing home those big, fat, lawyer paychecks?"
2100071,210,4,"CHICKEN POX","KYLE","I don't know."
2100072,210,4,"CHICKEN POX","MRS. MCCORMICK","Stuart, don't even get started!"
2100073,210,4,"CHICKEN POX","STUART","What? I'm just askin' a question. You know, your dad and I used to be best friends when we were teenagers. We would work together at Pizza Shack. But he got promoted and went off to community college and I didn't. And you know why? 'Cause your dad's Jewish!"
2100074,210,4,"CHICKEN POX","CARTMAN","Puh. I heard that!"
2100075,210,4,"CHICKEN POX","MRS. MCCORMICK","That aint why, Stuart!  It's because you are an alcoholic retard and he had dreams of not eating frozen waffles for dinner every night!"
2100076,210,4,"CHICKEN POX","STUART","Hey, is it my fault you don't know how to cook?!"
2100077,210,4,"CHICKEN POX","MRS. MCCORMICK","What am I supposed to do with frozen waffles, clamhead?! You put 'em in the toaster and you cook 'em!"
