"id","ep_num","segment","title","role","text"
2030001,203,1,"Chickenlover","out in front of the school.",""
2030002,203,1,"Chickenlover","GARRISON","Okay, children. Each of you gets to choose two books from the booktastic bus."
2030003,203,1,"Chickenlover","CARTMAN","Reading sucks ass."
2030004,203,1,"Chickenlover","GARRISON","Eric! Shut up!"
2030005,203,1,"Chickenlover","The boys are looking at a wide selection of books that adorn ","the shelves of the bookmobile."
2030006,203,1,"Chickenlover","KYLE","Boring... Boring... Gay... Boring... Boring."
2030007,203,1,"Chickenlover","Stan digs at the front of the bookmobile.",""
2030008,203,1,"Chickenlover","STAN","Hey you guys, check out these books."
2030009,203,1,"Chickenlover","The other boys join him.",""
2030010,203,1,"Chickenlover","STAN","(reading the cover) 'Sabrina Unchained'."
2030011,203,1,"Chickenlover","The boys all grab books in the Sabrina series.",""
2030012,203,1,"Chickenlover","KYLE","Wow, these books look cool!"
2030013,203,1,"Chickenlover","The boys open them. Their eyes grow wide.",""
2030014,203,1,"Chickenlover","CARTMAN","(Flipping through) Hey, there's a lot of big words in these books!"
2030015,203,1,"Chickenlover","KENNY","Mrm pr mpm rpm rpmrp!"
2030016,203,1,"Chickenlover","Just then the Bookmobile driver, a fruity little guy wearing ","a rainbow shirt, notices them."
2030017,203,1,"Chickenlover","BOOKMOBILE DRIVER","Hello kids! I see you're discovering the magic of reading!"
2030018,203,1,"Chickenlover","KYLE","Who are you?"
2030019,203,1,"Chickenlover","BOOKMOBILE DRIVER","I drive the booktastic bus! Where magic begins! You see, reading opens up whole new worlds to you. You can take a canoe down the Amazon, or go back in time to Camelot, or become a race car driver... all by just opening a book. Just like magic! The magic of reading!"
2030020,203,1,"Chickenlover","CARTMAN","God, shut up, dude."
2030021,203,1,"Chickenlover","BOOKMOBILE DRIVER","Go ahead and pick any books you like. Then give in... Give in to the magic!"
2030022,203,1,"Chickenlover","He skips away.",""
2030023,203,1,"Chickenlover","STAN","If we read are we gonna become like that guy?"
2030024,203,1,"Chickenlover","KYLE","Yeah, this is stupid. Books aren't magical."
