"id","ep_num","segment","title","role","text"
6110001,611,1,"CHILD ABDUCTION IS NOT FUNNY","description","Tweek's house, night. He's on the sofa looking at news."
6110002,611,1,"CHILD ABDUCTION IS NOT FUNNY","NEWS ANCHOR","And in other news, another school shooting has taken place, this time in Idaho. As these kinds of shooting increase, one thing becomes clear: Your children are not safe at school."
6110003,611,1,"CHILD ABDUCTION IS NOT FUNNY","TWEEK","Oh God!  Change it! Change it!"
6110004,611,1,"CHILD ABDUCTION IS NOT FUNNY","NEWS ANCHOR","This was the second time a terrorist threat has been made on a theme park, leaving everyone to realize that children are not safe outside."
6110005,611,1,"CHILD ABDUCTION IS NOT FUNNY","TWEEK","Agh! God, change it!!"
6110006,611,1,"CHILD ABDUCTION IS NOT FUNNY","NEWS ANCHOR","And it seems there's a new danger to look out for: children who are taken by strangers. The bottom line: children are not safe... in their own homes!"
6110007,611,1,"CHILD ABDUCTION IS NOT FUNNY","TWEEK","Aaaah!!"
6110008,611,1,"CHILD ABDUCTION IS NOT FUNNY","TWEEK'S MOM","Tweek."
6110009,611,1,"CHILD ABDUCTION IS NOT FUNNY","TWEEK","Gahahghah"
6110010,611,1,"CHILD ABDUCTION IS NOT FUNNY","TWEEK'S MOM","Come to the kitchen, sweetie. We need to see you real quick."
6110011,611,2,"CHILD ABDUCTION IS NOT FUNNY","description","Kitchen. Richard is at table as Tweek arrives. Tweek's mom is serving coffee. There are two coffee makers in the background"
6110012,611,2,"CHILD ABDUCTION IS NOT FUNNY","TWEEK","Oh God. They're gonna get me."
6110013,611,2,"CHILD ABDUCTION IS NOT FUNNY","RICHARD","Sit down and have some coffee, son. Tweek, there's starting to be a lot of reports in the news about kids being abducted, and we thought we should talk."
6110014,611,2,"CHILD ABDUCTION IS NOT FUNNY","TWEEK","I s-I saw! Uuuh!"
6110015,611,2,"CHILD ABDUCTION IS NOT FUNNY","TWEEK'S MOM","You know never to talk to strangers, right Tweek? You can't trust anybody."
6110016,611,2,"CHILD ABDUCTION IS NOT FUNNY","TWEEK","Oh God! Huh!"
