"id","ep_num","segment","title","role","text"
7090001,709,1,"CHRISTIAN ROCK HARD","description","Stan and the boys are in the Marsh garage belting out tunes, but their musical styles are scattered. Cartman sings lead, Stan and Kyle on are guitars, Kenny is on the drums"
7090002,709,1,"CHRISTIAN ROCK HARD","CARTMAN","God damnit!"
7090003,709,1,"CHRISTIAN ROCK HARD","RANDY","Stan, are you okay?"
7090004,709,1,"CHRISTIAN ROCK HARD","STAN","Yeah, dad. We're just rehearsing our band."
7090005,709,1,"CHRISTIAN ROCK HARD","RANDY","Ooohhh, I thought a group of Vietnamese people were having their intestines pulled out through their mouths."
7090006,709,1,"CHRISTIAN ROCK HARD","CARTMAN","Heheheheheh heheheheheh."
7090007,709,1,"CHRISTIAN ROCK HARD","KYLE","He's right, dude. We have to define our style if we're ever going to make a platinum album. I mean, ah I'm a fusion guy, but Kenny's background is more Latin Jazz."
7090008,709,1,"CHRISTIAN ROCK HARD","KENNY","(What? Is it?)"
7090009,709,1,"CHRISTIAN ROCK HARD","STAN","Yeah, and I'm more hip-hop and R-and-B oriented."
7090010,709,1,"CHRISTIAN ROCK HARD","KYLE","I think out band better buy a whole bunch of music CDs to listen to for inspiration."
7090011,709,1,"CHRISTIAN ROCK HARD","CARTMAN","Inspiration. Wait a minute,  that's it. Inspiration, you guys. Don't you see?"
7090012,709,1,"CHRISTIAN ROCK HARD","STAN","See what?"
7090013,709,1,"CHRISTIAN ROCK HARD","CARTAMN","Our band should play Christian rock!"
7090014,709,1,"CHRISTIAN ROCK HARD","KYLE","Christian rock?!"
7090015,709,1,"CHRISTIAN ROCK HARD","CARTMAN","Think about it! It's the easiest crappiest music in the world, right? If we just play songs about how much we love Jesus, all the Christiand will buy our crap!"
7090016,709,1,"CHRISTIAN ROCK HARD","KYLE","That's a retarded idea, Cartman!"
7090017,709,1,"CHRISTIAN ROCK HARD","CARTMAN","It worked for Creed!"
7090018,709,1,"CHRISTIAN ROCK HARD","STAN","I don't wanna be in a stupid Christian rock band!"
7090019,709,1,"CHRISTIAN ROCK HARD","CARTMAN","You just start that way, Stan, then you cross over. It's genious!"
7090020,709,1,"CHRISTIAN ROCK HARD","KYLE","Just get the hell out of here, Cartman! You're not serious and you're a detriment to the band!"
7090021,709,1,"CHRISTIAN ROCK HARD","CARTMAN","Oh yeah?! I will bet you ten bucks that if I start a Christian rock band that I can get a platinum album before you guys do!"
7090022,709,1,"CHRISTIAN ROCK HARD","KYLE","You're on, fat boy!"
7090023,709,1,"CHRISTIAN ROCK HARD","CARTMAN","Okay, fine! Ready?! First one to have a platinum album wins! Go!"
7090024,709,1,"CHRISTIAN ROCK HARD","KYLE","What a stupid asshole!"
7090025,709,2,"CHRISTIAN ROCK HARD","description","The neighborhood, day. Cartman runs through the streets. He appears over a rise on one of the streets"
7090026,709,2,"CHRISTIAN ROCK HARD","CARTMAN","Platinum album! Platinum album! Gotta make a platinum album before Kyle!"
7090027,709,2,"CHRISTIAN ROCK HARD","BUTTERS","Oh, hi Eric."
7090028,709,2,"CHRISTIAN ROCK HARD","CARTMAN","Butters! Get your drum set and meet me at my house! We have to make a platinum album! Hurry, Butters!"
7090029,709,2,"CHRISTIAN ROCK HARD","BUTTERS","...Ohhh!"
7090030,709,3,"CHRISTIAN ROCK HARD","description","Token's mansion. Cartman runs up to the front door"
7090031,709,3,"CHRISTIAN ROCK HARD","CARTMAN","No time to waste! Platinum album! Must beat Kyle!  Token! Get the bass guitar out of your basement and meet me over at my house!"
7090032,709,3,"CHRISTIAN ROCK HARD","TOKEN","What?! We don't have a bass guitar."
