"id","ep_num","segment","title","role","text"
2070001,207,1,"CITY ON THE EDGE OF FOREVER","two-tiered chocolate cake on his laps. And a fork]",""
2070002,207,1,"CITY ON THE EDGE OF FOREVER","MS. CRABTREE","BE QUIET BACK THERRE! THESE ROADS ARE SLIICK!"
2070003,207,1,"CITY ON THE EDGE OF FOREVER","STAN","Hey, Cartman!"
2070004,207,1,"CITY ON THE EDGE OF FOREVER","CARTMAN","What?"
2070005,207,1,"CITY ON THE EDGE OF FOREVER","STAN","Are you gonna share any of that cake with the rest of us?"
2070006,207,1,"CITY ON THE EDGE OF FOREVER","CARTMAN","Hmmm, let me see. No!"
2070007,207,1,"CITY ON THE EDGE OF FOREVER","KYLE","Come on, fatass! You shouldn't be eating all that cake anyway!"
2070008,207,1,"CITY ON THE EDGE OF FOREVER","CARTMAN","Mmm. It's chocolaty and delightful."
2070009,207,1,"CITY ON THE EDGE OF FOREVER","STAN","Give us some, Cartman!"
2070010,207,1,"CITY ON THE EDGE OF FOREVER","MS. CRABTREE","BE QUIET BACK THERRE!"
2070011,207,1,"CITY ON THE EDGE OF FOREVER","KYLE","Whoa, dude. The road is really snowy out there."
2070012,207,1,"CITY ON THE EDGE OF FOREVER","STAN","Dude, the road is always snowy."
2070013,207,1,"CITY ON THE EDGE OF FOREVER","KYLE","I know, but, it's really snowy today."
2070014,207,1,"CITY ON THE EDGE OF FOREVER","CARTMAN","Mmm. I can't possibly finish this whoole cake. Oh, yes I can."
2070015,207,1,"CITY ON THE EDGE OF FOREVER","STAN","Shut up, Cartman!"
2070016,207,1,"CITY ON THE EDGE OF FOREVER","Ms. Crabtree	[slams the brakes on, opens a box, and pulls out ","a bunny] Okay, that does it! Y'all be quiet or the cute little bunny dies! [points a gun at its head. The class gasps and look at her for a while. Sure that she has made her point, she puts the bunny back in the box and resumes driving]"
2070017,207,1,"CITY ON THE EDGE OF FOREVER","STAN","Dude, she always tries to quiet us down by threatening to kill that bunny, but I wonder if she ever would."
2070018,207,1,"CITY ON THE EDGE OF FOREVER","KYLE","Oh, she would, dude. She would."
2070019,207,1,"CITY ON THE EDGE OF FOREVER","MS. CRABTREE","GOODD!"
2070020,207,1,"CITY ON THE EDGE OF FOREVER","ROAD",""
2070021,207,1,"CITY ON THE EDGE OF FOREVER","CLOSED",""
