"id","ep_num","segment","title","role","text"
2120001,212,1,"CLUBHOUSES","STAN","Sgt. Stanley Marsh is trapped behind enemy lines. His only chance of survival is to sneak past the Bosnian guard who stands watch.  Sgt. Marsh knows it's now or never. He must make a run for it.  American base is only a few feet away."
2120002,212,1,"CLUBHOUSES","CARTMAN","Master thief, halt!  It will take more than your weak American weapons to destroy me!"
2120003,212,1,"CLUBHOUSES","STAN","Cartman, we shot your Bosnian fat ass!"
2120004,212,1,"CLUBHOUSES","KYLE","Yeah! You're dead!"
2120005,212,1,"CLUBHOUSES","CARTMAN","I have Class 4 armor on, that, uh, ih-ih-"
2120006,212,1,"CLUBHOUSES","STAN","No, you don't!"
2120007,212,1,"CLUBHOUSES","CARTMAN","-special armor, that's impenetrable to American bullets."
2120008,212,1,"CLUBHOUSES","KYLE","Dude! Every time we play Americans vs. Bosnians, you cheat!"
2120009,212,1,"CLUBHOUSES","STAN","Yeah, Cartman, you suck! If you want to play Americans vs. Bosnians any more, you can just play with yourself!"
2120010,212,1,"CLUBHOUSES","CARTMAN","That's fine! I'd like playing with myself! I'll play with myself all day long! What?"
2120011,212,2,"CLUBHOUSES","description","Some distance away from Cartman"
2120012,212,2,"CLUBHOUSES","KYLE","Well? Now what are we going to do?"
2120013,212,2,"CLUBHOUSES","STAN","Huh-I donno."
2120014,212,2,"CLUBHOUSES","WENDY","Hi, Stan."
2120015,212,2,"CLUBHOUSES","STAN","Hi, Wendy."
2120016,212,2,"CLUBHOUSES","WENDY","Kyle, doesn't Bebe look pretty today?"
2120017,212,2,"CLUBHOUSES","KYLE","I donno."
2120018,212,2,"CLUBHOUSES","WENDY","She does. She looks very pretty."
2120019,212,2,"CLUBHOUSES","KYLE","Okay."
2120020,212,2,"CLUBHOUSES","WENDY","Stan, can I talk to you for a second? Stan, wouldn't it be fun if we fixed Kyle up with Bebe?"
2120021,212,2,"CLUBHOUSES","STAN","No."
2120022,212,2,"CLUBHOUSES","WENDY","If Bebe and Kyle were a couple, then we can invite them over to your clubhouse for dinner and play parlor games and have meaningful conversations and sip cognac by the fireplace."
2120023,212,2,"CLUBHOUSES","STAN","We could?"
2120024,212,2,"CLUBHOUSES","WENDY","Yeah, Stan."
2120025,212,2,"CLUBHOUSES","STAN","But dude, I don't have a clubhouse."
2120026,212,2,"CLUBHOUSES","WENDY","You don't?? I thought all guys had clubhouses."
2120027,212,2,"CLUBHOUSES","STAN","Just how many guys' clubhouses have you been in?"
2120028,212,3,"CLUBHOUSES","description","Back near the tree, Cartman is sitting on Kenny"
2120029,212,3,"CLUBHOUSES","CARTMAN","El Commandant Cartman has ways of making you talk!"
2120030,212,3,"CLUBHOUSES","KENNY","(Heellp!!)"
2120031,212,3,"CLUBHOUSES","WENDY","Stan, you have to build a clubhouse! Then all four of us can sit in it and play Truth or Dare!"
2120032,212,3,"CLUBHOUSES","STAN","Truth or Dare? Wow.  Come on, Kyle. We've got work to do."
2120033,212,3,"CLUBHOUSES","KYLE","We do?"
2120034,212,3,"CLUBHOUSES","STAN","We're gonna build a clubhouse. I have to ask my dad for help."
2120035,212,3,"CLUBHOUSES","BEBE","Did it work?"
2120036,212,3,"CLUBHOUSES","WENDY","I think it did, Bebe. If all goes as planned, Kyle will be your new boyfriend."
2120037,212,3,"CLUBHOUSES","BEBE","I hope so Wendy. He's got such a hot ass."
2120038,212,4,"CLUBHOUSES","description","The Marsh house. Randy turns on the TV and ends up on Terrance and Phillip. They are in a church."
2120039,212,4,"CLUBHOUSES","TERRANCE","Hey, Phillip, pull my finger."
2120040,212,4,"CLUBHOUSES","PHILLIP","All right, Terrance."
2120041,212,4,"CLUBHOUSES","TERRANCE","Hurgh. Oh, wait wait wait. Pull harder."
2120042,212,4,"CLUBHOUSES","PHILLIP","Well, all right."
2120043,212,4,"CLUBHOUSES","TERRANCE","Hurgh, urgh.  Damn it! Pull really hard, Phillip!"
2120044,212,4,"CLUBHOUSES","PHILLIP","Okay."
2120045,212,4,"CLUBHOUSES","TERRANCE","Hurgh-rrh. Waiwait, wait wait. Hrhrhrhrh. Aha! Hr-rhrh. Oh my! Yeee-aaa!  Hurh. Uhwaiwait. Ye-aauraah-  Caught you there!"
2120046,212,4,"CLUBHOUSES","RANDY","Uh oh!"
2120047,212,4,"CLUBHOUSES","PHILLIP","God. Oh, you got me, Terrance!"
2120048,212,4,"CLUBHOUSES","TERRANCE","Yes, I sure did!"
2120049,212,4,"CLUBHOUSES","KYLE","Whoa, dude. Your dad is watching Terrnace and Phillip."
2120050,212,4,"CLUBHOUSES","RANDY","No, I was just uh flipping through the channels"
2120051,212,4,"CLUBHOUSES","STAN","Hey, Dad, we need to build a clubhouse."
2120052,212,4,"CLUBHOUSES","RANDY","Okay"
2120053,212,4,"CLUBHOUSES","STAN","How do we do it?"
2120054,212,4,"CLUBHOUSES","RANDY","Uhyou just get a hammer and some wood. What? Uh some girls wanna play Truth or Dare or something?"
2120055,212,4,"CLUBHOUSES","STAN","Yeah, dude! How'd you know?"
2120056,212,4,"CLUBHOUSES","RANDY","How do you think I met your mother?"
2120057,212,4,"CLUBHOUSES","SHARON","Randy, my wedding ring! I lost it down the garbage disposal!"
2120058,212,4,"CLUBHOUSES","RANDY","Oh, brother."
2120059,212,4,"CLUBHOUSES","SHARON","Stanley, I thought I told you not to watch this horrible cartoon!"
2120060,212,4,"CLUBHOUSES","RANDY","Yeah, Stanley, you should know better."
2120061,212,4,"CLUBHOUSES","STAN","Dude!"
2120062,212,4,"CLUBHOUSES","SHARON","Here, Stanley, You watch nice cartoons like Fat Abbot."
2120063,212,4,"CLUBHOUSES","STAN","Tsk-aw!"
2120064,212,4,"CLUBHOUSES","SHARON","Randy, will you please come get my wedding ring out of the sink!"
2120065,212,4,"CLUBHOUSES","RANDY","Okay, okay."
2120066,212,4,"CLUBHOUSES","FAT ABBOT","Hey hey hey. What's goin' on, Rudy?"
2120067,212,4,"CLUBHOUSES","RUDY","Man, Fat Abbot, you need to lose weight!"
2120068,212,4,"CLUBHOUSES","FAT ABBOT","I'll lose weight when I feel like it, bitch! Shut yo bitchass mouth, ho!"
2120069,212,4,"CLUBHOUSES","RUDY","Bitch, I'll kick yo ass!"
2120070,212,4,"CLUBHOUSES","KYLE","Whoa, dude!"
2120071,212,4,"CLUBHOUSES","STAN","Sweet!"
2120072,212,4,"CLUBHOUSES","FAT ABBOT","You think you're slick, you punkass blasphemous dope-fiend bitch! I had my jimmy whacked seven times last week! I'll bust a cap in yo nigga ass, shithole!"
2120073,212,4,"CLUBHOUSES","KYLE","Wow, cartoons are getting really dirty!"
2120074,212,5,"CLUBHOUSES","description","in the kitchen"
2120075,212,5,"CLUBHOUSES","SHARON","Did you find it?"
2120076,212,5,"CLUBHOUSES","RANDY","Give me a second, would you?!"
2120077,212,5,"CLUBHOUSES","SHARON","Don't snap at me!"
2120078,212,5,"CLUBHOUSES","RANDY","I didn't snap at you."
2120079,212,5,"CLUBHOUSES","SHARON","You snapped at me!"
2120080,212,5,"CLUBHOUSES","RANDY","Whatever."
2120081,212,5,"CLUBHOUSES","SHARON","What ever?! In fifteen years you've never said, ""whatever,"" to me!"
2120082,212,5,"CLUBHOUSES","RANDY","Nuh- I don't wanna fight. I'm sorry."
2120083,212,5,"CLUBHOUSES","SHARON","I'm sorry, too."
2120084,212,5,"CLUBHOUSES","RANDY","Uh I think I found it."
2120085,212,5,"CLUBHOUSES","SHARON","That's not it, you idiot!"
2120086,212,5,"CLUBHOUSES","RANDY","Hey, back off, cunt!"
2120087,212,5,"CLUBHOUSES","SHARON","You just said the C-word!"
2120088,212,5,"CLUBHOUSES","RANDY","Did I?"
2120089,212,6,"CLUBHOUSES","description","Stan and Kyle are outside working on their clubhouse. The steps, supports, and floor are in place, and they start work on the railing"
2120090,212,6,"CLUBHOUSES","STAN","This is a sweet spot for a clubhouse."
2120091,212,6,"CLUBHOUSES","KYLE","Yeah. Hey Stan, wwhat did your dad mean when he said we're gonna play Truth or Dare?"
2120092,212,6,"CLUBHOUSES","STAN","Oh uh, just that, mmmaybe when we're finished, Wendy anduh Bebe can come over and play."
2120093,212,6,"CLUBHOUSES","KYLE","Dude, what kind of sick joke is that? Girls suck ass."
2120094,212,6,"CLUBHOUSES","STAN","Well-uhuh, of course they do, but uh, wouldn't it be sweet toob, to play Truth or Dare with them?"
2120095,212,6,"CLUBHOUSES","KYLE","What? Why?"
2120096,212,6,"CLUBHOUSES","STAN","Because, dude. Wwe could make them ddo really gross stuff, like eat bugs."
2120097,212,6,"CLUBHOUSES","KYLE","Hey yeah! That'd be sweet! We could totally ruin their lives!"
2120098,212,6,"CLUBHOUSES","CARTMAN","What are you guys doing?"
2120099,212,6,"CLUBHOUSES","STAN","We're building a clubhouse"
2120100,212,6,"CLUBHOUSES","CARTMAN","A clubhouse? Heheh, that's the lamest thing I've ever heard!"
2120101,212,6,"CLUBHOUSES","KYLE","It's not lame, it's sweet! After we build this clubhouse, we're gonna get girls to play Truth or Dare!"
2120102,212,6,"CLUBHOUSES","CARTMAN","Wwwhy??"
2120103,212,6,"CLUBHOUSES","KYLE","Because, dumbass, we can dare them to do gross stuff and make them cry! What? Were you born yesterday?"
2120104,212,6,"CLUBHOUSES","STAN","Yeah, now beat it you guys. This clubhouse is private!"
2120105,212,6,"CLUBHOUSES","CARTMAN","That's fine. We'll build our own clubhouse!"
2120106,212,6,"CLUBHOUSES","KYLE","Fine!"
2120107,212,6,"CLUBHOUSES","CARTMAN","Fine! And then we'll get girls to play Truth or Dare, too!"
2120108,212,6,"CLUBHOUSES","STAN","Fine!"
2120109,212,6,"CLUBHOUSES","CARTMAN","Fine!"
2120110,212,6,"CLUBHOUSES","KYLE","Fine!"
2120111,212,6,"CLUBHOUSES","KENNY","(Fine!)"
2120112,212,6,"CLUBHOUSES","KYLE","Fine!"
2120113,212,6,"CLUBHOUSES","CARTMAN","Fine! That's fine."
2120114,212,6,"CLUBHOUSES","STAN","Fine!"
2120115,212,6,"CLUBHOUSES","CARTMAN","Fine!"
2120116,212,7,"CLUBHOUSES","description","THE CARTMAN HOUSE. CARTMAN AND KENNY ARE LOOKING OVER THE CLUBHOUSE KIT CARTMAN HAS APPARENTLY ORDERED the Ewok Village 2000 Deluxe Club House Kit w/Elevator. It has a two-story design. Cartman is wearing a yellow hard hat, and Kenny is trying to get a better look at the blueprints"
2120117,212,7,"CLUBHOUSES","CARTMAN","No, Kenny, you can't look! I'm the foreman!"
2120118,212,7,"CLUBHOUSES","KENNY","(Well, why the fuck do I have to do everything while you stand around in the snow lookin-)"
2120119,212,7,"CLUBHOUSES","CARTMAN","Because, Kenny, your family's poor! You have to be the worker!"
2120120,212,7,"CLUBHOUSES","KENNY","(Uh-)"
2120121,212,7,"CLUBHOUSES","CARTMAN","Nno, Kenny."
2120122,212,7,"CLUBHOUSES","LIANE","How's the treehouse coming along, hon?"
2120123,212,7,"CLUBHOUSES","CARTMAN","Mom, it's not a treehouse, it's a clubhouse!"
2120124,212,7,"CLUBHOUSES","LIANE","Sorry, hon."
2120125,212,7,"CLUBHOUSES","CARTMAN","Mom? Can we pull up the carpeting in the living room?"
2120126,212,7,"CLUBHOUSES","LIANE","Well, I don't know, Eric. If you did that, then the floors would be bare."
2120127,212,7,"CLUBHOUSES","CARTMAN","But Mmmom, the blueprint says we need carpeting in the clubhouse!"
2120128,212,7,"CLUBHOUSES","LIANE","Well, all right."
2120129,212,7,"CLUBHOUSES","CARTMAN","Kenny, my mom says you can go get carpeting in the living room now."
2120130,212,7,"CLUBHOUSES","KENNY","(You suck ass and you suck dick!)"
2120131,212,7,"CLUBHOUSES","CARTMAN","And stop your bitchin!"
2120132,212,8,"CLUBHOUSES","description","the Marsh house. Stan enters the kitchen and tries to get at a jar as his mom washes dishes. She's upset"
2120133,212,8,"CLUBHOUSES","SHARON","What are you doing sweetheart?!"
2120134,212,8,"CLUBHOUSES","STAN","Getting a cookie. We're building a clubhouse and then we're-"
2120135,212,8,"CLUBHOUSES","SHARON","You men are all alike! First you get a cookie and then you criticize the way I dress and then it's the way I cook! I suppose next you'll be telling me that you need your space and that I'm sabotaging your creativity. Go ahead, Stanley. Get your God-damned cookie!"
2120136,212,8,"CLUBHOUSES","STAN","'K."
2120137,212,9,"CLUBHOUSES","description","South Park Elementary. Class is now in session. Mr. Twig is still there"
2120138,212,9,"CLUBHOUSES","MR. GARRISON","And so, children, today we're gonna focus on American history, right Mr. Twig?"
2120139,212,9,"CLUBHOUSES","MR. TWIG","Uhthat's right, Mr. Garrison. American history is very important."
2120140,212,9,"CLUBHOUSES","KYLE","When is Mr. Hat coming back?"
2120141,212,9,"CLUBHOUSES","MR. GARRISON","What did you say?!"
2120142,212,9,"CLUBHOUSES","KYLE","When is Mr. HAT coming back?"
2120143,212,9,"CLUBHOUSES","MR. GARRISON","I told you to never mention that name in my classroom again! Mr. Hat is a two-timin' whore! And now we all learn from Mr. Twig!"
2120144,212,9,"CLUBHOUSES","STAN","But Mr. Twig sucks."
2120145,212,9,"CLUBHOUSES","CLASS","Yeah."
2120146,212,9,"CLUBHOUSES","MR. GARRISON","That is enough! Mr. Hat is gone, and he isn't coming back, and I don't wanna hear it! Anyway, children, lets turn our history textbooks to page 105, which should be right after page 104"
2120147,212,9,"CLUBHOUSES","CARTMAN","So, how's your lame-ass clubhouse, Stan?"
2120148,212,9,"CLUBHOUSES","STAN","Better than yours, fat boy."
2120149,212,9,"CLUBHOUSES","CARTMAN","We'll see about that.  Don't forget you need to cut school early and wait for the hot tub, Kenny."
2120150,212,9,"CLUBHOUSES","KENNY","(Yes, sir!)"
2120151,212,9,"CLUBHOUSES","WENDY","Is the clubhouse ready?"
2120152,212,9,"CLUBHOUSES","STAN","Almost."
2120153,212,9,"CLUBHOUSES","MR. GARRISON","Stan? Are you paying attention?"
2120154,212,9,"CLUBHOUSES","STAN","Yes, Mr. Garrison."
2120155,212,9,"CLUBHOUSES","MR. GARRISON","Well, then, Stanley. What did I just say?"
2120156,212,9,"CLUBHOUSES","STAN","Um. Yyou said that even though- Charo appeared twelve times on the Love Boat, the episode with Captain and Tenille got- higher ratings."
2120157,212,9,"CLUBHOUSES","MR. GARRISON","Well, okay. I suppose you were paying attention.  Anyway, children, the Love Boat did go on for about eight years. They tried to bring it back recently, but it didn't work. Probably 'cause Robert Urich had to weigh"
2120158,212,9,"CLUBHOUSES","KYLE","Good guess, dude!"
2120159,212,9,"CLUBHOUSES","STAN","Phew."
2120160,212,9,"CLUBHOUSES","BEBE","Pass this up."
2120161,212,9,"CLUBHOUSES","SWANSON","Pass this up."
2120162,212,9,"CLUBHOUSES","KEVIN","Pass this up."
2120163,212,9,"CLUBHOUSES","FOSSE","P-huh pass this h-up."
2120164,212,9,"CLUBHOUSES","MR. GARRISON","Stanley, are you passing notes to Kyle?!"
2120165,212,9,"CLUBHOUSES","STAN","No, I just-"
