"id","ep_num","segment","title","role","text"
2050001,205,1,"CONJOINED FETUS LADY","gonna play dodgeball!",""
2050002,205,1,"CONJOINED FETUS LADY","KYLE","We don't wanna play dodgeball. It hurts."
2050003,205,1,"CONJOINED FETUS LADY","STAN","Yeah."
2050004,205,1,"CONJOINED FETUS LADY","CHEF","So let's have half the children on this side  and half the children on that side"
2050005,205,1,"CONJOINED FETUS LADY","PIP","Uuh. Excuse me a moment, gentlemen. I don't believe I know how to play dodgeball."
2050006,205,1,"CONJOINED FETUS LADY","CARTMAN","What? Don't you have dodgeball in France?"
2050007,205,1,"CONJOINED FETUS LADY","PIP","Well, no. And actually, I'm not from France-"
2050008,205,1,"CONJOINED FETUS LADY","STAN","Look, Pip, the rules are simple. A kid from that team is gonna try to bean a kid on our team in the head with a big red ball."
2050009,205,1,"CONJOINED FETUS LADY","PIP","Oh, dear."
2050010,205,1,"CONJOINED FETUS LADY","STAN","If the ball hits you, you're out, but if you catch the ball, he's out, and the last team to still have anybody standing wins."
2050011,205,1,"CONJOINED FETUS LADY","PIP","Oh, what jolly good fun!"
2050012,205,1,"CONJOINED FETUS LADY","KYLE","No it isn't, it hurts! I can't believe they let us play this in school."
2050013,205,1,"CONJOINED FETUS LADY","[THE TEAMS ARE AS FOLLOWS",""
2050014,205,1,"CONJOINED FETUS LADY","TEAM 1","Kyle, Clyde, Kenny, Stan, Cartman, Pip, Jordan, Swanson, and one other"
2050015,205,1,"CONJOINED FETUS LADY","TEAM 2","Bill, Fosse, Kevin, Bebe, and five others]"
2050016,205,1,"CONJOINED FETUS LADY","CHEF","Play ball!"
2050017,205,1,"CONJOINED FETUS LADY","CLYDE","Ow! Ahow-ow-ooooowww!"
2050018,205,1,"CONJOINED FETUS LADY","STAN","Dammit, we lost one already!"
2050019,205,1,"CONJOINED FETUS LADY","CHEF","Aheeheh, you're out, Clyde! Heheheh."
2050020,205,1,"CONJOINED FETUS LADY","STAN","Jordan, Swanson, pull forward! We need backup!"
2050021,205,1,"CONJOINED FETUS LADY","JORDAN","Aaaaah!"
2050022,205,1,"CONJOINED FETUS LADY","STAN","We're losing men fast out here!"
2050023,205,1,"CONJOINED FETUS LADY","CHEF","Concentrate on your ge-hame! Be the buhaw-hall!"
2050024,205,1,"CONJOINED FETUS LADY","KYLE","I caught it! I caught it!"
2050025,205,1,"CONJOINED FETUS LADY","CHEF","Great catch, Kyle! Now your team's on offense!"
2050026,205,1,"CONJOINED FETUS LADY","KYLE","Here, Pip. You throw."
2050027,205,1,"CONJOINED FETUS LADY","PIP","Ugh. On, no, I couldn't."
2050028,205,1,"CONJOINED FETUS LADY","KYLE","Come on, limey, don't be a wuss! Are you just gonna be a little French pig your whole life?"
2050029,205,1,"CONJOINED FETUS LADY","PIP","I'm not French-"
2050030,205,1,"CONJOINED FETUS LADY","KYLE","Throw the ball, you stupid frog!  God-damn, maybe if you didn't eat all those croissants , you'd be able to thr-ow!"
2050031,205,1,"CONJOINED FETUS LADY","CHEF","Okay, that was pretty good, Pip. But you're supposed to hit the kids on the other team."
2050032,205,1,"CONJOINED FETUS LADY","KYLE","Ow, my nose! You broke my nose!"
2050033,205,1,"CONJOINED FETUS LADY","CARTMAN","Damn, Pip. I didn't know you had it in you."
2050034,205,1,"CONJOINED FETUS LADY","PIP","Ogh! I'm dreadfully sorry!"
2050035,205,1,"CONJOINED FETUS LADY","CHEF","That nose is bleeding pretty bad, Kyle. I think you might have to go to the nurse's office."
2050036,205,1,"CONJOINED FETUS LADY","KYLE","No. No, it'll be okay!"
2050037,205,1,"CONJOINED FETUS LADY","CHEF","Sorry, son. You'll have to let the nurse look at it. Come on"
2050038,205,1,"CONJOINED FETUS LADY","KYLE","Oh. Noooo!"
2050039,205,1,"CONJOINED FETUS LADY","CARTMAN","Dude! He's going to the nurse's office."
2050040,205,1,"CONJOINED FETUS LADY","CLYDE","I heard the school nurse is hideously deformed."
