"id","ep_num","segment","title","role","text"
2130001,213,1,"COW DAYS","the final round. Are you ready to play ","for the grand prize?"
2130002,213,1,"COW DAYS","TOM AND MARY","We're ready, Bob!"
2130003,213,1,"COW DAYS","BOB","Any particular prize you're hoping for?"
2130004,213,1,"COW DAYS","MARY","Well, Hawaii's nice, but Tahiti would be fun, too!"
2130005,213,1,"COW DAYS","TOM","Oh, anywhere would be great!"
2130006,213,1,"COW DAYS","BOB","Polynesian diggities. I wish you luck. Here we go. What is the thin flap of skin that runs from the base of the penis to the scrotum?"
2130007,213,1,"COW DAYS","TOM","Oh. Oh wait wait, I know this."
2130008,213,1,"COW DAYS","MARY","The upper vascular hood."
2130009,213,1,"COW DAYS","BOB","I'm sorry, but YOU'RE ABSOLUTELY RIGHT. Heheh, tell them what they've won."
2130010,213,1,"COW DAYS","ANNOUNCER","Tom and Mary, put on your cowboy hats, because you're going to beautiful South Park, Colorado!"
2130011,213,1,"COW DAYS","MARY","Where?"
2130012,213,1,"COW DAYS","ANNOUNCER","That's right, just in time for Cows Days, the world's 45th biggest rodeo and carnival.  Every fall, South Park celebrates Cow Days, and you're gonna be a part of it. You'll stay at the spectacular Super 7 hotel on Bernhardt Road , and enjoy festivities, including prizes, rides, and of course, the world-famous Running of the Cows!  Congratulations, Tom and Mary."
2130013,213,1,"COW DAYS","BOB","Well, Tom, Mary, you must be very excited."
2130014,213,1,"COW DAYS","TOM","What was second prize again?"
2130015,213,1,"COW DAYS","BOB","That's all for now. See you tomorrow on  ""Ooo, What The Hell Is That!"""
2130016,213,1,"COW DAYS","MARY","Shit!"
2130017,213,1,"COW DAYS","RODEO",""
2130018,213,2,"COW DAYS","description","South Park, the rodeo ring. A rider falls from his horse as it jumps some barrels."
2130019,213,2,"COW DAYS","14th ANNUAL COWDAYS",""
2130020,213,3,"COW DAYS","description","the carnival stage, on which the Mayor and her aides now stand"
2130021,213,3,"COW DAYS","THE MAYOR","Ladies and gentlemen, I am pleased to kick off the 14th Annual South Park Cow Days!  As most of you know, Cow Days is when we all get together to celebrate and thank the noble, gentle cows.  And now, the chairman of Cow Days, Jimbo Kern!"
2130022,213,3,"COW DAYS","JIMBO","This year is a very special Cow Days because we are revealing our all-new Cow Memorial!  Which will live forever in South Park from this day forth. Release the curtain!"
2130023,213,3,"COW DAYS","MARY","This is the most ridiculous thing I've ever seen!"
2130024,213,3,"COW DAYS","TOM","Now, Mary, this is our only vacation for years. We have to make the best of it"
2130025,213,3,"COW DAYS","MARY","Oh you're right. I'm sorry, honey. We just need to stay positive."
2130026,213,3,"COW DAYS","THE MAYOR","Now get out to the carnival and enjoy the amazing rides and the wonderful games!"
2130027,213,4,"COW DAYS","description","the carnival gets underway. People mill around"
2130028,213,4,"COW DAYS","TOSS-A-BALL OPERATOR","Hey, come on over here, kids. Win fabulous prizes."
2130029,213,4,"COW DAYS","KYLE","Wow, dude, check it out! We can win Terrance and Phillip dolls."
2130030,213,4,"COW DAYS","STAN","Are those REAL Terrance and Phillip dolls? They look all crappy."
2130031,213,4,"COW DAYS","KYLE","Yeah, they look like cheap rip-offs."
2130032,213,4,"COW DAYS","OPERATOR","Sure they're real. They're even made in Canada."
2130033,213,4,"COW DAYS","STAN","Really?"
2130034,213,4,"COW DAYS","OPERATOR","Yeah, look. They're even signed by Terrance and Phillip themselves."
2130035,213,4,"COW DAYS","CARTMAN","Wwow!"
2130036,213,4,"COW DAYS","KYLE","Dude, that kicks ass!"
2130037,213,4,"COW DAYS","CARTMAN","Oh, dude, I gotta win those. How much to play?"
2130038,213,4,"COW DAYS","OPERATOR","Five dollars for three balls."
2130039,213,4,"COW DAYS","CARTMAN","Five dollars?! Jesus Christ!"
2130040,213,4,"COW DAYS","OPERATOR","Don't worry, kid, it's easy. You just gotta put one ball through Jennifer Love Hewitt's mouth."
2130041,213,4,"COW DAYS","CARTMAN","That's easy!"
2130042,213,4,"COW DAYS","OPERATOR","Okay, we've got a player!"
2130043,213,4,"COW DAYS","CARTMAN","Ay! Check it out!  Damn it!"
2130044,213,4,"COW DAYS","OPERATOR","Okay, son, you've still got two balls to try and get through her yapper."
2130045,213,4,"COW DAYS","CARTMAN","Take this, Jennifer Love Hewitt!"
2130046,213,4,"COW DAYS","KYLE","You suck, Cartman!"
2130047,213,4,"COW DAYS","CARTMAN","I'd like to see you do better!"
2130048,213,4,"COW DAYS","KYLE","Give me that!  Hey! It hit her right in the mouth!"
2130049,213,4,"COW DAYS","OPERATOR","It's gotta go through her mouth"
2130050,213,4,"COW DAYS","KYLE","But ih-"
2130051,213,4,"COW DAYS","OPERATOR","Sorry, kid, try again. Just five more dollars."
2130052,213,4,"COW DAYS","KYLE","Here, give me some money, Cartman! Lend me money, fat boy!"
2130053,213,4,"COW DAYS","CARTMAN","I only have three dollars left, asshole!"
2130054,213,4,"COW DAYS","KYLE","Damn it! Come on! I'll try to get more money from my mom."
2130055,213,4,"COW DAYS","JIMBO","Okay, everybody! It's time for the Running of the Cows!"
2130056,213,4,"COW DAYS","KYLE","Mom, give me some money!"
2130057,213,4,"COW DAYS","KYLE'S MOTHER","Kyle, what are you doing here?! This is very dangerous!"
2130058,213,4,"COW DAYS","KYLE","I need $17 so we can win Terrance and Phlllip dolls."
2130059,213,4,"COW DAYS","KYLE'S MOTHER","Kyle, get back into the carnival this instant! You can't be out in the street!"
2130060,213,4,"COW DAYS","KYLE","I will if you give me money!"
2130061,213,4,"COW DAYS","KYLE'S MOTHER","Okay, here!"
2130062,213,4,"COW DAYS","CARTMAN","Sweet."
2130063,213,5,"COW DAYS","description","Back on stage, Jimbo has some more things to tell the guests"
