"id","ep_num","segment","title","role","text"
5020001,502,1,"CRIPPLE FIGHT","description","South park, night. Randy is driving the boys, including Timmy on the truck bed, through the town. Stuart is with them, but Kyle is not. The boys are in Scout gear."
5020002,502,1,"CRIPPLE FIGHT","RANDY","Well, you boys must be pretty excited: your first night of Scouts."
5020003,502,1,"CRIPPLE FIGHT","STAN","It's gonna suck. There's gonna be all like, new kids there we don't know."
5020004,502,1,"CRIPPLE FIGHT","KENNY","(Yeah.)"
5020005,502,1,"CRIPPLE FIGHT","STUART","Well, now, that's part of the fun!"
5020006,502,1,"CRIPPLE FIGHT","RANDY","Yeah. Both Kenny's dad and I were in Scouts for years."
5020007,502,1,"CRIPPLE FIGHT","STAN","Was your dad in Scouts, Cartman? Oh yeah, you don't have a dad."
5020008,502,1,"CRIPPLE FIGHT","CARTMAN","That's not funny! Jesus Christ!"
5020009,502,1,"CRIPPLE FIGHT","STAN","Are you excited for your first night of Scouts, Timmy??"
5020010,502,1,"CRIPPLE FIGHT","TIMMY","Hyeahahah Timmay!"
5020011,502,1,"CRIPPLE FIGHT","CARTMAN","Yeah, he's excited."
5020012,502,2,"CRIPPLE FIGHT","description","Park County Community Center, night, outside shot, then inside shot. The doors open and the group walks in. A shot of the many kids inside, then back to the doors. Butters walks up."
5020013,502,2,"CRIPPLE FIGHT","BUTTERS","Uh hey, fellas!"
5020014,502,2,"CRIPPLE FIGHT","CARTMAN","Hey, Butters."
5020015,502,2,"CRIPPLE FIGHT","BUTTERS","Huhboiy, am I glad to see you guys! There's lots of kids here from other schools, and I don't know anybody."
5020016,502,2,"CRIPPLE FIGHT","RANDY","Alright, boys, we're gonna head to the bar. We'll be back to pick you up at nine."
5020017,502,2,"CRIPPLE FIGHT","STUART","You boys just make sure to obey the scout leader now. He's the man in charge."
5020018,502,2,"CRIPPLE FIGHT","BIG GAY AL","Hellooo scouts."
5020019,502,2,"CRIPPLE FIGHT","STAN","Hey, it's Big Gay Al!"
5020020,502,2,"CRIPPLE FIGHT","BIG GAY AL","Hello, Stanley. I was happy to see you and your little friends' names on the list!"
5020021,502,2,"CRIPPLE FIGHT","TIMMY","Timmay!"
5020022,502,2,"CRIPPLE FIGHT","RANDY","You're the new scout leader?"
5020023,502,2,"CRIPPLE FIGHT","BIG GAY AL","I just got transferred in.  I think everyone's here now, so we can get started. Come on, Scouts. We've got work to do!"
5020024,502,2,"CRIPPLE FIGHT","BOYS","Hooray!"
5020025,502,2,"CRIPPLE FIGHT","STAN","See ya, Dad!"
5020026,502,2,"CRIPPLE FIGHT","BIG GAY AL","Hey, are you parents gonna stand there all night? This meeting is for scouts only, you silly gooses.  Now, before we get started, scouts, I want to introduce you to someone very special here tonight. He's a brave little boy with disabilities who proves just by being here that Scouts are for everyone!"
5020027,502,2,"CRIPPLE FIGHT","Timmy!	[happily] Timmay!",""
5020028,502,2,"CRIPPLE FIGHT","BIG GAY AL","So let's all give a big round of applause to little... Jimmy!"
5020029,502,2,"CRIPPLE FIGHT","JIMMY","Oo-well hello everyoneh."
5020030,502,2,"CRIPPLE FIGHT","TIMMY","Jim- Jim-mih?"
5020031,502,3,"CRIPPLE FIGHT","description","The bar, nearby. There's some argument going on inside"
5020032,502,3,"CRIPPLE FIGHT","STUART","Look! I'm not saying the new scout leader's a bad person, I just don't think he should be a scout leader!"
5020033,502,3,"CRIPPLE FIGHT","RANDY","Well he got to where he is by being a good scout; maybe we should just leave him alone."
5020034,502,3,"CRIPPLE FIGHT","MAN","Well how gay is he?"
5020035,502,3,"CRIPPLE FIGHT","STUART","He's really, really gay."
