"id","ep_num","segment","title","role","text"
1060001,106,1,"DEATH","ridiculous number of number of candles.",""
1060002,106,1,"DEATH","STAN & FAMILY","Happy birthday to you! Happy birthday to you! Happy birthday dear grandpa!"
1060003,106,1,"DEATH","Grandpa drools a little from his wheelchair.",""
1060004,106,1,"DEATH","STAN & FAMILY","Happy birthday to you!"
1060005,106,1,"DEATH","STAN'S MOTHER","Now blow out the candles grandpa!"
1060006,106,1,"DEATH","Grandpa manages the smallest wheeze, which doesn't even make ","the flames of the candles flicker."
1060007,106,1,"DEATH","Stan's family members all applaud.",""
1060008,106,1,"DEATH","STAN'S FATHER","How does it feel to be a hundred and two, paps?"
1060009,106,1,"DEATH","GRANDPA","Shoot me."
1060010,106,1,"DEATH","STAN'S MOM","Make a wish grandpa!"
1060011,106,1,"DEATH","GRANDPA","I wish I were dead."
1060012,106,1,"DEATH","FATHER","Ha, ha! That's our silly grandpa!"
1060013,106,1,"DEATH","GRANDPA","I'm not being silly! Kill me! I'd do it myself, but I'm too damn old!"
1060014,106,1,"DEATH","STAN'S MOM","Oh, who wants ice cream with their cake?"
1060015,106,1,"DEATH","STAN","I will."
1060016,106,1,"DEATH","FATHER","Me."
1060017,106,1,"DEATH","Stan looks up and the clock and gasps.",""
1060018,106,1,"DEATH","STAN","It's eight o'clock! My favorite T.V. show is on!"
1060019,106,1,"DEATH","SHELLEY","That show's for babies, it's so stupid!"
1060020,106,1,"DEATH","STAN","Can I eat my cake in the living room, mom? Please? Can I?"
1060021,106,1,"DEATH","STAN'S MOM","Oh, alright. But take your grandpy with you."
1060022,106,1,"DEATH","STAN","Aw, dammit."
1060023,106,1,"DEATH","STAN'S MOM","Language!"
1060024,106,1,"DEATH","INT. LIVING ROOM - CONTINUOUS",""
1060025,106,1,"DEATH","Stan is sitting on the couch watching television and eating ","cake."
1060026,106,1,"DEATH","NARRATOR","And now back to Terrance and Phillip!"
1060027,106,1,"DEATH","ANGLE - TELEVISION",""
1060028,106,1,"DEATH","Two average looking teens (animated in a slightly different ","style) are sitting on a couch."
1060029,106,1,"DEATH","PHILLIP","Hey Terrance, I think I have to fart."
1060030,106,1,"DEATH","Stan laughs.",""
1060031,106,1,"DEATH","TERRANCE","Wait! before you do, Pull my thumb."
1060032,106,1,"DEATH","Phillip pulls Terrance's thumb. Terrance FARTS loudly.",""
1060033,106,1,"DEATH","The laugh track laughs. Stan laughs.",""
1060034,106,1,"DEATH","PAN OVER to reveal grandpa, who is trying to point a shotgun ","at his head."
1060035,106,1,"DEATH","Grandpa pulls the trigger -- BLAM!! He misses, blowing a ","picture of the wall."
1060036,106,1,"DEATH","GRANDPA","Aw Dammit!!"
1060037,106,1,"DEATH","Grandpa looks at Stan.",""
