"id","ep_num","segment","title","role","text"
9020001,902,1,"DIE HIPPIE  DIE","description","An elderly woman's home. Cartman rings her doorbell, and she answers it. Cartman is dressed in an orange hazmat suit and is carrying a tank of something on his back"
9020002,902,1,"DIE HIPPIE  DIE","CARTMAN","Hello, ma'am. I'm working to clean up the neighborhood from parasites. Do you mind if I take a quick look around your house? I'm afraid you may have hippies."
9020003,902,1,"DIE HIPPIE  DIE","ELDERLY WOMAN","Hippies?"
9020004,902,1,"DIE HIPPIE  DIE","CARTMAN","Yeah, they've been poppin' up all over the neighborhood lately. Ms. Nelson next door had seven hippies in her basement; they usually live in colonies.  Hm, I don't like the sound of that. Could I take a look in your attic?"
9020005,902,2,"DIE HIPPIE  DIE","description","The attic. He opens the door and looks in. He gets out a flashlight, turns it on, and looks around again. He stops after a few seconds."
9020006,902,2,"DIE HIPPIE  DIE","CARTMAN","Oh yeah, boy. Take a look at this, ma'am. See that? Hippies."
9020007,902,2,"DIE HIPPIE  DIE","ELDERLY WOMAN","Oh my."
9020008,902,2,"DIE HIPPIE  DIE","CARTMAN","These are what we call the uh giggling stoners. Pretty common form of hippie, usually found in the attics. Problem is, if you see one hippie, there's probably a whole lot more you're not seein'. Uh, whe-where's the backyard."
9020009,902,3,"DIE HIPPIE  DIE","description","The backyard. The elderly lady opens the door and Cartman walks out onto the back porch"
9020010,902,3,"DIE HIPPIE  DIE","CARTMAN","Yep, that's what I thought. See that? You've got a drum circle in your backyard."
9020011,902,3,"DIE HIPPIE  DIE","ELDERLY WOMAN","Oh, well they showed up a few days ago, but I didn't think they were hurting anything."
9020012,902,3,"DIE HIPPIE  DIE","CARTMAN","Yeah. You know, I had a guy in Jackson county. He had a little drum circle in his backyard. It turned into a drum circle four miles in diameter. You get a few hippies playing drums and next thing you know, you got yourself a colony."
9020013,902,3,"DIE HIPPIE  DIE","ELDERLY WOMAN","Oh dear."
9020014,902,4,"DIE HIPPIE  DIE","description","back inside the house"
9020015,902,4,"DIE HIPPIE  DIE","ELDERLY WOMAN","Oh, well, so, so what do I do?"
9020016,902,4,"DIE HIPPIE  DIE","CARTMAN","Well, your attic could be so we can fumigate with polymerethane. The drum circle we're gonna have to gas.  Goddamnit!"
9020017,902,4,"DIE HIPPIE  DIE","HIPPIE 1","Whoa, how did I get here? Man, I'm so high."
9020018,902,4,"DIE HIPPIE  DIE","CARTMAN","Goddamn hippie!"
9020019,902,4,"DIE HIPPIE  DIE","HIPPIE 1","Whoa, dude!"
9020020,902,4,"DIE HIPPIE  DIE","CARTMAN","Get out of here!"
9020021,902,4,"DIE HIPPIE  DIE","HIPPIE 1","Not cool!  What's up?!"
9020022,902,4,"DIE HIPPIE  DIE","CARTMAN","Ma'am, I need to clear out your giggling stoners and your drum-cricle hippies RIGHT NOW, or soon they're gonna attract something much worse!"
9020023,902,4,"DIE HIPPIE  DIE","ELDERLY WOMAN","Ooooo.what's that?"
9020024,902,4,"DIE HIPPIE  DIE","CARTMAN","The college know-it-all hippies."
9020025,902,5,"DIE HIPPIE  DIE","description","The neighborhood, day. A red car pulls up to the curb. On the back window is a decal which says ""University of Colorado at Boulder"" Three men and three women step out of the car"
9020026,902,5,"DIE HIPPIE  DIE","DRIVER","Wow, my friend Brittany was right. This is a really laid-back place."
9020027,902,5,"DIE HIPPIE  DIE","WOMAN 1","Yeah, this will be a great place to spend spring break."
9020028,902,5,"DIE HIPPIE  DIE","KYLE","Hey, let's ask them."
9020029,902,5,"DIE HIPPIE  DIE","STAN","All right.  'Scuse me.  Hello, we are selling magazine subscriptions for our community youth program. Would you like to help young people like us by purchasing a subscription of your choice?"
9020030,902,5,"DIE HIPPIE  DIE","DRIVER","Oh wow, you guys shouldn't be doing that. Don't you know what you're doing to the world?"
9020031,902,5,"DIE HIPPIE  DIE","KYLE","Wha- whataya mean?"
9020032,902,5,"DIE HIPPIE  DIE","MAN 1","You're playing into the corporate game! See, the corporations are trying to turn you into little Eichmanns so that they can make money."
9020033,902,5,"DIE HIPPIE  DIE","STAN","Who are the corporations?"
9020034,902,5,"DIE HIPPIE  DIE","WOMAN 2","The corporations run the entire world. And now they fooled you into working for them."
9020035,902,5,"DIE HIPPIE  DIE","STAN","Are you serious?? We never heard that."
9020036,902,5,"DIE HIPPIE  DIE","DRIVER","We just spent our first semester at college. Our professors opened our eyes. The government is using its corporate ties to make you sell magazines so they can get rich."
9020037,902,5,"DIE HIPPIE  DIE","KYLE","Ugh! Those dirty liars!"
9020038,902,5,"DIE HIPPIE  DIE","KENNY","(Sonofabitch!)"
9020039,902,5,"DIE HIPPIE  DIE","MAN 2","This is a really nice town you have here. That's why the corporations are trying to use you to take it down."
9020040,902,5,"DIE HIPPIE  DIE","STAN","Well... Well what do we do?"
9020041,902,5,"DIE HIPPIE  DIE","DRIVER","Just hang with us for a bit. We'll fill you in on everything you haven't been told."
9020042,902,6,"DIE HIPPIE  DIE","description","Cartman's basement. He's gathered a bunch of hippies in there and one of them pounds the door to get out"
9020043,902,6,"DIE HIPPIE  DIE","HIPPIE 2","It is time to let us out! I'm sending your names! Open this door right now!"
9020044,902,6,"DIE HIPPIE  DIE","CARTMAN","All right, in you go."
9020045,902,6,"DIE HIPPIE  DIE","HIPPIE 2","What are you doing, man?!"
9020046,902,6,"DIE HIPPIE  DIE","HIPPIE 3","Let us out!"
9020047,902,6,"DIE HIPPIE  DIE","CARTMAN","Get back. Get back or you're all gonna get maced!"
9020048,902,6,"DIE HIPPIE  DIE","HIPPIE 2","What's up, man?! You can't keep us down here like this!"
9020049,902,6,"DIE HIPPIE  DIE","HIPPIE 4","What's wrong with you?!"
9020050,902,6,"DIE HIPPIE  DIE","CARTMAN","What's wrong is that there's more of you showing up every day and I need to find out why!"
9020051,902,6,"DIE HIPPIE  DIE","HIPPIE 5","What makes you think you could tell us where to live?!"
9020052,902,6,"DIE HIPPIE  DIE","HIPPIE 6","This is a free country, man!"
9020053,902,6,"DIE HIPPIE  DIE","CARTMAN","Brah, I'm not gonna argue with you, all right? Just go with it."
9020054,902,6,"DIE HIPPIE  DIE","HIPPIE 3","Just go with it? We've been down here for days!"
9020055,902,6,"DIE HIPPIE  DIE","CARTMAN","And you're gonna be here a little longer, brah, all right? Here, here's some joints , and a guitar!"
9020056,902,6,"DIE HIPPIE  DIE","SINGER","What's goin' on in this world o'mine?"
9020057,902,6,"DIE HIPPIE  DIE","There's a whole lot of killin' in this world o'mine.",""
9020058,902,6,"DIE HIPPIE  DIE","Somebody's gotta help this world o'mine...",""
9020059,902,7,"DIE HIPPIE  DIE","description","Stan's house, at about the same time. He's sitting at the edge of the porch playing a guitar quietly. On his cap he wears a peace sign"
9020060,902,7,"DIE HIPPIE  DIE","STAN","Sign, sign everywhere. Sign"
9020061,902,7,"DIE HIPPIE  DIE","Done something to my mind.",""
9020062,902,7,"DIE HIPPIE  DIE","SHARON","Stan, sweetie, we're gonna go to the mall. Do you wanna come?"
9020063,902,7,"DIE HIPPIE  DIE","STAN","Mom, the mall is a way for the corporate fatcats to imprison you into a life of servitude. I've got some stuff you should read."
9020064,902,7,"DIE HIPPIE  DIE","SHARON","Okay, sweetie."
9020065,902,8,"DIE HIPPIE  DIE","description","City Hall, City Council meeting. Mayor McDaniels is seated at the head of a boardroom table, with leading citizens of the town sitting on either side."
9020066,902,8,"DIE HIPPIE  DIE","MAYOR MCDANIELS","All right, people, we can move onto issue number 14B."
9020067,902,8,"DIE HIPPIE  DIE","CHEF","Mayor, we have got to do somethin' about all these potholes on our roads!"
9020068,902,8,"DIE HIPPIE  DIE","LINDA STOTCH","We don't have it in the budget to fix them right now."
9020069,902,8,"DIE HIPPIE  DIE","KYLE'S FATHER","We'll wish we spent the money when we have a lawsuit on our hands."
9020070,902,8,"DIE HIPPIE  DIE","CHEF","We-"
9020071,902,8,"DIE HIPPIE  DIE","GUARD","You can't go in there!"
9020072,902,8,"DIE HIPPIE  DIE","CARTMAN","Please, I have to talk to you all right now!"
9020073,902,8,"DIE HIPPIE  DIE","MAYOR MCDANIELS","Kid, we're have a city council meeting."
9020074,902,8,"DIE HIPPIE  DIE","CARTMAN","Mayor, something very big is happening, and if you all don't give me a moment of your time, there may be no more South Park to council over!"
9020075,902,8,"DIE HIPPIE  DIE","RANDY","What are you talking about?"
