"id","ep_num","segment","title","role","text"
4090001,409,1,"DO THE HANDICAPPED GO TO HELL","description","South Park, the church, day. The congregation is heard singing along with an organ. Inside, the town has assembled for services"
4090002,409,1,"DO THE HANDICAPPED GO TO HELL","CONGREGATION","I walk hand-in-hand with Jesus"
4090003,409,1,"DO THE HANDICAPPED GO TO HELL","Over at the park by where he lives",""
4090004,409,1,"DO THE HANDICAPPED GO TO HELL","I tell him all my problems [the cantor is shown at the pulpit]",""
4090005,409,1,"DO THE HANDICAPPED GO TO HELL","And sometimes he tells me his",""
4090006,409,1,"DO THE HANDICAPPED GO TO HELL","What a friend I have in Jesus [Stan, Kenny, and Cartman are shown]",""
4090007,409,1,"DO THE HANDICAPPED GO TO HELL","I can say that honestly [other townsfolk are shown]",""
4090008,409,1,"DO THE HANDICAPPED GO TO HELL","He's not like all my other friends",""
4090009,409,1,"DO THE HANDICAPPED GO TO HELL","Who really don't care about me.",""
4090010,409,1,"DO THE HANDICAPPED GO TO HELL","Amen.",""
4090011,409,1,"DO THE HANDICAPPED GO TO HELL","STAN","Bo-ring."
4090012,409,1,"DO THE HANDICAPPED GO TO HELL","CANTOR","And now Mr. Mackey will read his favorite psalm for us, Psalm 46."
4090013,409,1,"DO THE HANDICAPPED GO TO HELL","COUNSELOR MACKEY","Uh, God is our refuge and strength, m'kay. A very present help in trouble, m'kay.  Therefore will not we fear, though the earth be removed, and though the mountains be carried into the midst of the sea..."
4090014,409,1,"DO THE HANDICAPPED GO TO HELL","CARTMAN","Hey, you guys, you wanna know what my favorite psalm is? ""It's a man's obligation to stick his boneration in a woman's separation.  This sort of penetration will increase the population of the younger generation."""
4090015,409,1,"DO THE HANDICAPPED GO TO HELL","COUNSELOR MACKEY","God is in the midst of her, m'kay. She shall not be moved, m'kay.  Though the waters thereof roar and be troubled, m'kay, though the mountains shake with the swelling thereof, m'kay. There is a river, the streams whereof shall make glad the city of God, the holy place-"
4090016,409,1,"DO THE HANDICAPPED GO TO HELL","STAN","Waiwaiwaiwaiwait. ""It's a man's obligation to stick his boneration in a woman's..."""
4090017,409,1,"DO THE HANDICAPPED GO TO HELL","CARTMAN","""It's a man's obligation to stick his boneration in a woman's separation to increase the population of the younger generation."""
4090018,409,1,"DO THE HANDICAPPED GO TO HELL","KENNY","(It's a man's obligation to stick his boneration in a woman's operation-)"
4090019,409,1,"DO THE HANDICAPPED GO TO HELL","CARTMAN","No no, no. Separation."
4090020,409,1,"DO THE HANDICAPPED GO TO HELL","STAN","""It's a man's obligation to stick his boneration in a woman's-"""
4090021,409,1,"DO THE HANDICAPPED GO TO HELL","PRIEST MAXI","BOYS! You are in CHURCH!"
4090022,409,1,"DO THE HANDICAPPED GO TO HELL","CARTMAN","Ugh!"
4090023,409,1,"DO THE HANDICAPPED GO TO HELL","Mr. Mackey. 	-m'kay. The God of Jacob is our refuge, m'kay. [walks ","from the pulpit back to his seat. The priest replaces him]"
4090024,409,1,"DO THE HANDICAPPED GO TO HELL","PRIEST MAXI","Thank you, Mr. Mackey. Hello, everyone. Today, we're going to talk about hell. Hell is not a very nice place. Burning, searing, flames. Screaming, torture. For eternity. Once you are in hell, you cannot escape. You live forever in horrible pain, in burning agony. All sinners are there in misery, dying over and over and over.  If you be cast down into this black bog of stench, then woe is thou,  for Satan has made it the most miserable place in the universe! And he will be your ruler!  Your rulet of pain and agony!"
4090025,409,1,"DO THE HANDICAPPED GO TO HELL","SINGERS","Are we going to the Hukilau?"
4090026,409,1,"DO THE HANDICAPPED GO TO HELL","The Huki Huki Huki Huki Hukilau? [Satan joins them]",""
4090027,409,1,"DO THE HANDICAPPED GO TO HELL","Are we going to the Hukilau?",""
4090028,409,1,"DO THE HANDICAPPED GO TO HELL","The Huki Huki Huki Huki Hukilau? [Jerry Garcia is seen]",""
4090029,409,1,"DO THE HANDICAPPED GO TO HELL","Everybody loves a hukilau-",""
4090030,409,1,"DO THE HANDICAPPED GO TO HELL","GENE SISKEL","I do!"
4090031,409,1,"DO THE HANDICAPPED GO TO HELL","SINGERS","Where the laulau is the kaukau at the luau"
4090032,409,1,"DO THE HANDICAPPED GO TO HELL","We throw our nets out into the sea [Satan does throw out a net]",""
4090033,409,1,"DO THE HANDICAPPED GO TO HELL","And all the ama-ama come swimmin' to me [two demons retrieve ","the net, with fish in it]"
4090034,409,1,"DO THE HANDICAPPED GO TO HELL","Are we going to the Hukilau?",""
4090035,409,1,"DO THE HANDICAPPED GO TO HELL","The Huki Huki Huki Huki Hukilau?",""
4090036,409,1,"DO THE HANDICAPPED GO TO HELL","HULA DANCERS","Are we going to the Hukilau?"
4090037,409,1,"DO THE HANDICAPPED GO TO HELL","THREE TORTURED SOULS","The Huki Huki Huki Huki Hukilau?"
4090038,409,1,"DO THE HANDICAPPED GO TO HELL","HULA DANCERS","Everybody loves a Hukilau,"
4090039,409,1,"DO THE HANDICAPPED GO TO HELL","MALES","Where the laulau is the kaukau at the luau"
4090040,409,1,"DO THE HANDICAPPED GO TO HELL","ALL","We throw our nets out into the sea."
4090041,409,1,"DO THE HANDICAPPED GO TO HELL","And all the ama-ama come a-swimming to me [The demons harvest ","the catch, Tiny Tim surfs and plays his ukulele]"
4090042,409,1,"DO THE HANDICAPPED GO TO HELL","Are we going to the hukilau? [A three-person band of monsters ","sings and plays, then a group shot of Satan and others]"
4090043,409,1,"DO THE HANDICAPPED GO TO HELL","The Huki Huki Huki Huki Hukilau?",""
4090044,409,1,"DO THE HANDICAPPED GO TO HELL","Huki......... Luki......... Lau?......... [the camera pulls back to show everyone. ","An Aloha sign appears above.]"
4090045,409,1,"DO THE HANDICAPPED GO TO HELL","SATAN","Yeah!"
4090046,409,1,"DO THE HANDICAPPED GO TO HELL","DEMON","Hennnh!"
4090047,409,1,"DO THE HANDICAPPED GO TO HELL","MAN","Aaawwwwwww!"
4090048,409,1,"DO THE HANDICAPPED GO TO HELL","GARY","Great luau, Satan."
4090049,409,1,"DO THE HANDICAPPED GO TO HELL","SATAN","Thanks. See ya, Gary. Thanks for comin'. Oh- Hi, Marsha."
4090050,409,1,"DO THE HANDICAPPED GO TO HELL","WALTER","Satan, a few of us are gonna go pound some brews. You wanna join us?"
4090051,409,1,"DO THE HANDICAPPED GO TO HELL","SATAN","Oh, I'd love to, Mr. Matthau, but I can't. Chris and I just moved to the west side and we have to unpack."
4090052,409,1,"DO THE HANDICAPPED GO TO HELL","WALTER","Oh, well, maybe next time. Great luau!"
4090053,409,1,"DO THE HANDICAPPED GO TO HELL","SATAN","Bye."
4090054,409,2,"DO THE HANDICAPPED GO TO HELL","description","Hell, a marina. Boats, yachts, and one big ship are docked on the liquid lava below. A complex of buildings is shown. A woman somewhere screams. At the main entrance the sign reads, ""RIVER STYX CONDOMINIUMS. UNITS STILL AVAILABLE."" Inside his condo, Satan sets up a ceramic doll display and hums a bit"
4090055,409,2,"DO THE HANDICAPPED GO TO HELL","SATAN","Chris?"
4090056,409,2,"DO THE HANDICAPPED GO TO HELL","CHRIS","Yeah?"
4090057,409,2,"DO THE HANDICAPPED GO TO HELL","SATAN","Did you, uh, see my ""Boy With An Umbrella"" Hummel?"
