"id","ep_num","segment","title","role","text"
8080001,808,1,"DOUCHE AND TURD","description","South Park Elementary, day. Grass shows up around the edges of the snow-covered lawns and around the flagpole."
8080002,808,2,"DOUCHE AND TURD","description","The school gym. Six cheerleaders, all fourth-graders, lead a Pep Rally '04."
8080003,808,2,"DOUCHE AND TURD","CHEERLEADERS","We are South Park, Green and White. Let's go, Cows! Fight fight fight! Nobody can beat a Cow! Let's gooo, South Park!"
8080004,808,2,"DOUCHE AND TURD","RED","Hey, South Park! Do you have school spirit?"
8080005,808,2,"DOUCHE AND TURD","STUDENTS","Moooooooo!"
8080006,808,2,"DOUCHE AND TURD","BEBE","I think us Cows have the best school spirit. Huh, Mandy?"
8080007,808,2,"DOUCHE AND TURD","MANDY","Yeah, and South Park is really gonna stick it to Littleton next week!"
8080008,808,2,"DOUCHE AND TURD","BEBE","Let's bring out our mascot and get this pep rally going!"
8080009,808,2,"DOUCHE AND TURD","BUTTERS","It's Billy! Uh, Billy will wave for me! Wave for me, Billy!"
8080010,808,2,"DOUCHE AND TURD","BLONDE PETA WOMAN","We are People for the Ethical Treatment of Animals! We protest your insensitive use of cows as your school mascot!"
8080011,808,2,"DOUCHE AND TURD","MR. GARRISON","Oh Jesus, not PETA again."
8080012,808,2,"DOUCHE AND TURD","DREADLOCKED PETA MAN","Culled or maimed and slaughtered and used as a commodity!"
8080013,808,2,"DOUCHE AND TURD","BLOND PETA MAN","This is unfair to the cows! This is your insensitivity!"
8080014,808,2,"DOUCHE AND TURD","STUDENTS","EWWW!"
8080015,808,2,"DOUCHE AND TURD","MAN WEARING GAS MASK","The cow is a slave! The cow is a commodity! To be thrown away by a society gone wrong!"
8080016,808,3,"DOUCHE AND TURD","description","Mr. Garrison's class, day. The class is seated"
8080017,808,3,"DOUCHE AND TURD","MR. GARRISON","All right, children, I have just been informed that since our school has been attacked by eco-terrorists for the 47th time, we are going to change our school mascot."
8080018,808,3,"DOUCHE AND TURD","CLASS","AWWWWWWWWW!!!"
8080019,808,3,"DOUCHE AND TURD","STAN","Buh, Mr. Garrision, if we change our mascot, that means the eco-terrorists win!"
8080020,808,3,"DOUCHE AND TURD","MR. GARRISON","That's right, Stanley, the eco-terrorists win.  Now, I have here a mascot selection sheet. Every student is supposed to check the box next to the mascot they like the most. And the most popular selection will be the school's new mascot."
8080021,808,3,"DOUCHE AND TURD","CLYDE","But we like being the Cows!"
8080022,808,3,"DOUCHE AND TURD","DREADLOCKED PETA MAN","You're responsible for the enslavement and genocide of millions!"
8080023,808,3,"DOUCHE AND TURD","MR. GARRISON","Get, get outta here, PETA! We're changin' the mascot already!"
8080024,808,3,"DOUCHE AND TURD","DREADLOCKED PETA MAN","Who'll speak for those who cannot speak for themselves??"
