"id","ep_num","segment","title","role","text"
9070001,907,1,"ERECTION DAY","description","South Park Elementary, day. The school bell rings"
9070002,907,1,"ERECTION DAY","COUNSELOR MACKEY","N'kay, kids, as your counselor, I know it can sometimes be difficult to talk about subjects like drugs and sex and alcohol, m'kay? So, as you remember, last week I told you to write down any difficult questions you had and put them in this box anonymously so we could discuss in class, m'kay? I got a lot o' responses, so let's read some aloud. ""Mr. Mackey is gay.""  Okay kids, that is not funny! Unkay?! This box is supposed to be used for serious questions! About, about serious issues! M'kay, let's let's stop the tomfoolery!  M'kay, this looks like a real one here.  ""Dear Mr. Mackey, you are gay.""  All right, all right. That's enough, kids. Let's quiet down and try to be mature, 'kay?  Uh here we go. Okay, ""Mr. Mackey, sometimes my parents hit me, and you are gay."" Damnit, is there not one serious question in here?!  ""Mr. Mackey is gay, Mr. Mackey is gay""  Okay, here.  I am a boy at South Park Elementary. Sometimes, when I'm sitting in class, my penis becomes hard for no reason. What should I do? All right kids, all right kids, that's enough!  If you all can't be serious about the question box,  then we'll just do drug identification exercises, unkay?!"
9070003,907,1,"ERECTION DAY","CLASS","Awwwww!"
9070004,907,1,"ERECTION DAY","COUNSELOR MACKEY","M'kay, uhh, Jimmy, why don't you come up here and write down the names of two narcotics?"
9070005,907,1,"ERECTION DAY","JIMMY","Uh no, that that's okay, Mr. Mackey."
9070006,907,1,"ERECTION DAY","COUNSELOR MACKEY","Jimmy, I'm not asking you, I'm telling you!"
9070007,907,1,"ERECTION DAY","JIMMY","Uhhh, just uh uh ahh not right this second, Mr. Mackey."
9070008,907,1,"ERECTION DAY","COUNSELOR MACKEY","Well why the hell not?!"
9070009,907,1,"ERECTION DAY","JIMMY","Uh..."
9070010,907,1,"ERECTION DAY","COUNSELOR MACKEY","He's what... Oh, you do? R r right now, right now it is? on'kay, on'kay. Don't worry, Jimmy.  N'kay, uhhh, let's pick someone else, um. Eric, why don't you come up here?"
9070011,907,1,"ERECTION DAY","CARTMAN","Hey, that's bullcrap?! How come Jimmy doesn't have to do it?!"
9070012,907,1,"ERECTION DAY","COUNSELOR MACKEY","Well, because uh, Jimmy is pitching a tent right now."
9070013,907,1,"ERECTION DAY","STAN","He's what??"
9070014,907,2,"ERECTION DAY","description","South Park Elementary hallway. Kids milling around notice a poster on the pegboard among the lockers and talk amongst themselves."
9070015,907,2,"ERECTION DAY","STAN","A hundred dollar gift certificate to South Park Mall?  Maybe we should do the talent show."
9070016,907,2,"ERECTION DAY","KYLE","Well, what's the point? Jimmy always wins with his stand-up comedy."
9070017,907,2,"ERECTION DAY","JIMMY","Hey fellas."
9070018,907,2,"ERECTION DAY","STAN","Dude, didja see, Jimmy? They're giving away a hundred dollar first prize for the talent show."
9070019,907,2,"ERECTION DAY","JIMMY","Oh I sure have. I've been working on my ruh... ruh,,, routine all year long"
9070020,907,2,"ERECTION DAY","KYLE","I don't know how you do it, dude. How do you get up in front of that many people?"
9070021,907,2,"ERECTION DAY","JIMMY","Well fellas, entertainment is my life. I love being in front of everyone. Aaah!"
9070022,907,2,"ERECTION DAY","KYLE","Huh wuh, what's the matter?"
