"id","ep_num","segment","title","role","text"
7050001,705,1,"FAT BUTT AND PANCAKE HEAD","CELEBRATE CULTURAL DIVERSITY",""
7050002,705,2,"FAT BUTT AND PANCAKE HEAD","description","South Park Elementary, day. Kyle is speaking to the school in the school gym, which is nicely decorated in the flags of many nations, both on the rafters and on the small stage set up at one end of the basketball court."
7050003,705,2,"FAT BUTT AND PANCAKE HEAD","KYLE","And in conclusion, the Latino community has provided America, and indeed, the entire world with innovations that we would be lost without. And that is my presentation on the role of Hispanics in American technology. Thank you."
7050004,705,2,"FAT BUTT AND PANCAKE HEAD","PRINCIPAL VICTORIA","Okay, thank you, Kyle Broflovski."
7050005,705,2,"FAT BUTT AND PANCAKE HEAD","COUNSELOR MACKEY","That was very good, Kyle. I think the Latino Endowment Council was very happy with your presentation. Looks like you might win."
7050006,705,2,"FAT BUTT AND PANCAKE HEAD","KYLE","Cool."
7050007,705,2,"FAT BUTT AND PANCAKE HEAD","PRINCIPAL VICTORIA","All right, students, members of the school board. Our last speaker will discuss the important role of Latinos in the arts. Here is... Eric Cartman. Eric Cartman?"
7050008,705,2,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Thank you. The Latino culture has been very influential on the arts in America. But you don't have to ask me. You can ask my special guest. Miss Jennifer Lopez."
7050009,705,2,"FAT BUTT AND PANCAKE HEAD","KIDS","Jennifer Lopez?"
7050010,705,2,"FAT BUTT AND PANCAKE HEAD","KYLE","No way."
7050011,705,2,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Miss Lopez, come on out here."
7050012,705,2,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Hallooo."
7050013,705,2,"FAT BUTT AND PANCAKE HEAD","PRINCIPAL VICTORIA","Oh, Jesus Christ."
7050014,705,2,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","My name is Hennifer Lopez. I eat tacos, y burritos."
7050015,705,2,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Ms. Lopez, would you like to talk about Lations and the arts?"
7050016,705,2,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Oh sí, sí. But first I would like to put on my pretty dress."
7050017,705,2,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Oh, you mean this one?"
7050018,705,2,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Oh sí sí sí. I like it very much."
7050019,705,2,"FAT BUTT AND PANCAKE HEAD","CARTMAN","There we go, Saright?"
7050020,705,2,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Saright."
7050021,705,2,"FAT BUTT AND PANCAKE HEAD","CARTMAN","That's a very pretty dress."
7050022,705,2,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","It better be! I am Hennifer Lopez!"
7050023,705,2,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Nonono, you're Jennifer Lopez"
7050024,705,2,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Sí sí.  Hennifer Lopez!"
7050025,705,2,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Nono, Jeh-"
7050026,705,2,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Heh-"
7050027,705,2,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Jeh-"
7050028,705,2,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Heh-"
7050029,705,2,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Jeh"
7050030,705,2,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Jeh"
7050031,705,2,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Jennifer Lopez"
7050032,705,2,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Hennifer Lopez"
7050033,705,2,"FAT BUTT AND PANCAKE HEAD","A COUNCIL MEMBER","Hahahahaha, oh my."
7050034,705,2,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Ms. Lopez, could you show everyone your example of Latino arts?"
7050035,705,2,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Don't be fooled by all my money. I still like to eat tacos, honey. So crispy on the outside, so super good and yummy."
7050036,705,2,"FAT BUTT AND PANCAKE HEAD","CARTMAN","And that is my presentation on Latinos in the arts. Thank you."
7050037,705,3,"FAT BUTT AND PANCAKE HEAD","description","South Park Mall, later. The boys walk down one side inside the mall. Cartman leads the way"
7050038,705,3,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Oh-hoh man! A twenty-dollar gift certificate at the mall! I can buy whatever I want! Cultural Diversity Day kicks ass!"
7050039,705,3,"FAT BUTT AND PANCAKE HEAD","KYLE","It isn't fair. I spent weeks preparing my speech on Latino culture."
7050040,705,3,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Hey, I spent weeks preparing too, Kyle."
7050041,705,3,"FAT BUTT AND PANCAKE HEAD","KYLE","No you didn't, asshole! What you did was totally stupid and racist! And you only did it to screw me over!"
7050042,705,3,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Awww, I don't think Kyle likes you, Ms. Lopez."
7050043,705,3,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Aww, that makes me muy triste."
7050044,705,3,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Ms. Lopez, do you like Kyle?"
7050045,705,3,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Oh sí sí, very much."
7050046,705,3,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Ms. Lopez, would you like to give Kyle a kiss?"
7050047,705,3,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Oh sí, sí sí, my kisses taste like tacos."
7050048,705,3,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Is nice?"
7050049,705,3,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Is bery nice. He's so hansome."
7050050,705,3,"FAT BUTT AND PANCAKE HEAD","KYLE","Stop it!"
7050051,705,3,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Hey, come one guys! We can use part of my gift certificate to buy food at the food court."
7050052,705,3,"FAT BUTT AND PANCAKE HEAD","KENNY","(Woohoo!)"
7050053,705,4,"FAT BUTT AND PANCAKE HEAD","description","South Park Mall, later. The boys walk down the mall. Cartman's hand is finishing off a taco as he looks at it."
7050054,705,4,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Mmm, tacos! So yummy!"
7050055,705,4,"FAT BUTT AND PANCAKE HEAD","KYLE","Stop wasting the tacos on your hand, Cartman!"
7050056,705,4,"FAT BUTT AND PANCAKE HEAD","CARTMAN","Hey, Ms. Lopez has to eat, too."
7050057,705,4,"FAT BUTT AND PANCAKE HEAD","KYLE","She's not eating it, it's just comint out her backside!"
7050058,705,4,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","When you eat a taco it comes out your backside too, cholo!"
7050059,705,4,"FAT BUTT AND PANCAKE HEAD","KENNY","(Heheehee, heheh yeahah)"
7050060,705,4,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","Look look! Make your own music video!"
7050061,705,4,"FAT BUTT AND PANCAKE HEAD","KYLE","Nonono, we're not going into one of those cheesy places, Cartman!"
7050062,705,4,"FAT BUTT AND PANCAKE HEAD","CARTMAN","I agree. Those places are stupid."
7050063,705,4,"FAT BUTT AND PANCAKE HEAD","""JENNIFER LOPEZ""","It's not stupid. I need to make music video."
