"id","ep_num","segment","title","role","text"
4150001,415,1,"FAT CAMP","description","South Park Elementary, day, Ms. Choksondik's classroom. Ms. Choksondik enters and stands before the blackboard."
4150002,415,1,"FAT CAMP","MS. CHOKSONDIK","Alright, children, as I'm sure you all remember, today we are going to continue our biology lesson... b dissecting an organism."
4150003,415,1,"FAT CAMP","CLASS","Yeah!"
4150004,415,1,"FAT CAMP","BEBE, NEW KUD","Woohoo."
4150005,415,1,"FAT CAMP","MS. CHOKSONDIK","Now, what we are going to dissect today is the West Indian manatee.  Manatees are mammals that live in the oceans and are often called the gentle clowns of the sea."
4150006,415,1,"FAT CAMP","WENDY","Aha, Ms. Choksondik, aren't manatees endangered?"
4150007,415,1,"FAT CAMP","MS. CHOKSONDIK","They sure are, Wendy, and that's why we must learn what's inside them.  Now, we don't have quite enough  manatees to go around, so I think we're gonna have to split up into groups of four."
4150008,415,1,"FAT CAMP","BUTTERS","Hey! Ours is still alive!"
4150009,415,1,"FAT CAMP","MS. CHOKSONDIK","Oh, hold on.  Now, children, our first incision will be along the abdomen."
4150010,415,1,"FAT CAMP","STAN","I can't do it, dude."
4150011,415,1,"FAT CAMP","KYLE","Aw, don't be such a baby!  You do it, Kenny."
4150012,415,1,"FAT CAMP","KENNY","(Nuh uh!)"
4150013,415,1,"FAT CAMP","KYLE","Come, on, Kenny! I'll give you five bucks to do it!"
4150014,415,1,"FAT CAMP","KENNY","(FIVE BUCKS???)"
4150015,415,1,"FAT CAMP","STAN","Too bad Cartman's missng this. He must be really sick."
4150016,415,2,"FAT CAMP","description","The Cartman house, living room. Cartman and his mom watch TV. Cartman laughs. Terrance and Phillip are on. They are dressed as detectives They look at a corpse with a dagger stabbed into the chest"
4150017,415,2,"FAT CAMP","PHILLIP","Say Terrance, this body appears to have been moved since the murder. Look at the forensic evidence around the torso."
4150018,415,2,"FAT CAMP","TERRANCE","I don't see anything."
4150019,415,2,"FAT CAMP","PHILLIP","Look closer.  Closer.  Hunh-nh."
4150020,415,2,"FAT CAMP","TERRANCE","I still don't see anything, Phillip."
4150021,415,2,"FAT CAMP","PHILLIP","Waitwait. Hunh."
4150022,415,2,"FAT CAMP","CARTMAN","I know what's gonna happen, Mom. You wanna know what's gonna happen?"
4150023,415,2,"FAT CAMP","PHILLIP","Keep looking, Terrance. The forensic evidence is right around here.  Ah! Af!"
4150024,415,2,"FAT CAMP","TERRANCE","AAHahahahahahaaa!"
4150025,415,2,"FAT CAMP","CARTMAN","Whoa! That totally surprised me!  I can't believe how the show manages to stay fresh."
4150026,415,2,"FAT CAMP","LIANE","Eh yes, sweetie."
4150027,415,2,"FAT CAMP","CARTMAN","Mom.can you go make me a toaster pastry chocolate-mix butter bar?"
4150028,415,2,"FAT CAMP","LIANE","Oohh, honey, why don't you make it yourself? Mommy's  expecting  some company."
4150029,415,2,"FAT CAMP","CARTMAN","God, I have to everythng around here!"
4150030,415,3,"FAT CAMP","description","The Cartman house, kitchen. Cartman grabs a stool and walks over to the kitchen counter with it. He starts singing softly as he prepares his dish. He pulls out some Pop Toasties and puts them in a toaster, gets some powdered chocolate milk and a stick of butter, rolls the butter in the powdered milk, gets the Pop Toasties, and places the chocolate-covered butter between the two Pop Toasties. He squeezes down for good measure and makes his way out of the kitchen."
