"id","ep_num","segment","title","role","text"
6030001,603,1,"FREAK STRIKE","description","Commercial"
6030002,603,1,"FREAK STRIKE","ANNOUNCER","Today on the Maury Povich show, these poor unfortunate people  all have horrible disfigurements,  and you won't believe how we exploit them for your amusement!"
6030003,603,2,"FREAK STRIKE","description","Stan's house, living room. He, Kyle, and Cartman watch television from the sofa"
6030004,603,2,"FREAK STRIKE","STAN","Hm, that sounds pretty good."
6030005,603,2,"FREAK STRIKE","""KENNY""","(Hey guys. What's going on here?)"
6030006,603,2,"FREAK STRIKE","STAN","Hey Kenny!"
6030007,603,2,"FREAK STRIKE","""KENNY""","(Gosh darn it, my name's not Kenny!)"
6030008,603,2,"FREAK STRIKE","CARTMAN","That's awesome, Kenny."
6030009,603,2,"FREAK STRIKE","BUTTERS","Eh now gosh darnit, fellas, my name's not Kenny! Kenny's dead."
6030010,603,2,"FREAK STRIKE","KYLE","Okay, Not-Kenny."
6030011,603,2,"FREAK STRIKE","BUTTERS","And I'm not gonna wear this coat anymore, neither!  I should be able to be you guys' friend without wearin' Kenny's old coat!"
6030012,603,2,"FREAK STRIKE","STAN","Sh be quite, Not-Kenny, the Maury Povish freak show is on."
6030013,603,2,"FREAK STRIKE","BUTTERS","Oh, all right, then."
6030014,603,3,"FREAK STRIKE","description","Maury Povich show"
6030015,603,3,"FREAK STRIKE","MAURY","Our next guest is a little girl who was born without a midsection. Please welcome Damla Jones"
6030016,603,3,"FREAK STRIKE","DAMLA","Hello, Maury."
6030017,603,4,"FREAK STRIKE","description","cut to Cartman and the boys"
6030018,603,4,"FREAK STRIKE","CARTMAN","Aww, sick dude!"
6030019,603,5,"FREAK STRIKE","description","cut to show"
6030020,603,5,"FREAK STRIKE","MAURY","You're a very brave little girl, and I'm very proud of you."
6030021,603,5,"FREAK STRIKE","DAMLA","Thank you"
6030022,603,5,"FREAK STRIKE","MAURY","Can you tell the audience how miseable your life is?"
6030023,603,5,"FREAK STRIKE","DAMLA","Uh-uh, yes. It is."
6030024,603,5,"FREAK STRIKE","MAURY","You're a cutey. Do the other kids at school sometimes make fun of you?"
6030025,603,5,"FREAK STRIKE","DAMLA","Sometimes."
6030026,603,5,"FREAK STRIKE","MAURY","Do people sometimes stare at you?"
6030027,603,5,"FREAK STRIKE","DAMLA","Sometimes"
6030028,603,5,"FREAK STRIKE","MAURY","Do they go, ""Oh, gross. What the hell is that thing""?"
6030029,603,5,"FREAK STRIKE","DAMLA","Mmm-I don't know."
6030030,603,5,"FREAK STRIKE","MAURY","Well your mommy told us you like to listen to music."
6030031,603,5,"FREAK STRIKE","DAMLA","Yes."
6030032,603,5,"FREAK STRIKE","MAURY","Well guess what, Damla. We're gonna give you a three hundred dollar gift certificate to CD World in Torrance! All right, everyone. Stay tuned, because next we're gonna meet a woman who head was smashed in on a locker! And we're gonna giver her a makeover!"
6030033,603,6,"FREAK STRIKE","description","cut to sofa"
6030034,603,6,"FREAK STRIKE","KYLE","This is terrible, dude! Maury Povich parades these poor people around on his show like carnival freaks! And then gives them prizes at the end after they joked about it. What a dick!"
6030035,603,7,"FREAK STRIKE","description","cut to show"
6030036,603,7,"FREAK STRIKE","ANNOUNCER","Do you or someone you know have a disfigurement or disability that we can exploit on the Maury Povish show? If so, call 1-555-HEY MAURY!"
6030037,603,8,"FREAK STRIKE","description","cut to sofa"
6030038,603,8,"FREAK STRIKE","STAN","Dude! One of us should make up some disease and get on the Maury Povich show so we can win a prize!"
6030039,603,8,"FREAK STRIKE","KYLE","Cool!"
6030040,603,8,"FREAK STRIKE","CARTMAN","Oh YES!!"
6030041,603,8,"FREAK STRIKE","BUTTERS","Oh, that'd be awesome!"
6030042,603,8,"FREAK STRIKE","KYLE","Do you think they'll believe it?"
6030043,603,8,"FREAK STRIKE","STAN","What disease should we say?"
6030044,603,8,"FREAK STRIKE","CARTMAN","Shhh. Be quite, you guys!  Hello, is this Maury Povish?  Oh, well who the hell are you?  Oh. Well I'm calling about your ad for freaks?  Ye-right, people with disabilities?  Yeah, I have a friend; he has a deformity; I think he'd be perfect for your show.  Great! Hih-his condition?  Uh, he has a condition called ""chinballalitis.""  Yeah, his balls actually hang from his chin. Shut uh- shut up you guys.  Yes.  Yes, of course he's very upset about it. Yes, he cries all the time.  Miserable, uh huh.  You wha- Really?"
6030045,603,8,"FREAK STRIKE","STAN","What?"
6030046,603,8,"FREAK STRIKE","CARTMAN","Dude, they say they'll fly him out day after tomorrow!"
6030047,603,8,"FREAK STRIKE","KYLE","Awesome!"
6030048,603,8,"FREAK STRIKE","BUTTERS","Cool!"
6030049,603,8,"FREAK STRIKE","CARTMAN","Uh yes, I'm sure I can convince him to come on the show.  There will of course be a prize involved?  Great. I'll call you back in an hour.  No, thank you.  YES!"
6030050,603,8,"FREAK STRIKE","STAN","This is gonna be so funny!"
6030051,603,8,"FREAK STRIKE","BUTTERS","Uh, it sure is!"
6030052,603,8,"FREAK STRIKE","KYLE","But how are we gonna get the balls put on Butters' chin?"
6030053,603,8,"FREAK STRIKE","BUTTERS","Hah yeah, how are we go-? Wait... Butters' chin?"
6030054,603,8,"FREAK STRIKE","KYLE","Yeah."
6030055,603,8,"FREAK STRIKE","BUTTERS","Uh, but that's me. I'm Butters."
6030056,603,8,"FREAK STRIKE","STAN","We know. You're the one doing it, Butters. Who'd you think we were talkin' about?"
6030057,603,8,"FREAK STRIKE","BUTTERS","We-ell hold on a second, you guys."
6030058,603,8,"FREAK STRIKE","CARTMAN","Hey, I know how we get the balls on Butter's chin. Those Star Trek dorks down the street! They're always making crasy masks and special effects for their dumb movies."
6030059,603,8,"FREAK STRIKE","BUTTERS","Hang on now."
6030060,603,8,"FREAK STRIKE","KYLE","Yeah. I bet they could make a fake set of balls. Come on, Butters!"
6030061,603,8,"FREAK STRIKE","BUTTERS","Wait! W-why does it have to be me??"
6030062,603,8,"FREAK STRIKE","STAN","It has to be you, Butters. Think about it."
6030063,603,8,"FREAK STRIKE","CARTMAN","Yeah."
6030064,603,8,"FREAK STRIKE","BUTTERS","But fellas, if I go on Maury Povish, with- with my balls on my chin, my parents are gonna get really mad."
6030065,603,8,"FREAK STRIKE","KYLE","We'll just tell your parents we're going on a camping trip with my parents. They'll never know."
6030066,603,8,"FREAK STRIKE","BUTTERS","I'm sorry, but the answer is un uh, uh uh, uh uh."
6030067,603,8,"FREAK STRIKE","STAN","Kenny woulda done it."
6030068,603,8,"FREAK STRIKE","BUTTERS","...So? I told you guys before:  I'm not Kenny."
6030069,603,8,"FREAK STRIKE","KYLE","We know. Believe me, we know. We're reminded every day that you're not Kenny because Kenny... was cool."
6030070,603,8,"FREAK STRIKE","CARTMAN","Yeah. God, I wish Kenny was still alive. He'd put balls on his chin. He was such an awesome friend."
6030071,603,8,"FREAK STRIKE","STAN","Well, come on guys. If Butters won't even put his balls on his chin for us, I guess we know where we stand."
6030072,603,8,"FREAK STRIKE","CARTMAN","Yeah."
6030073,603,8,"FREAK STRIKE","BUTTERS","Aw, gee whiz, yih, yo, you promise my mom and dad won't find out?"
6030074,603,9,"FREAK STRIKE","description","The Trekkers' place down the street, next day. The two Trekkers work on Butters"
6030075,603,9,"FREAK STRIKE","BRUNET TREKKER","Now, we're going to apply the latex with some spearmint gum."
6030076,603,9,"FREAK STRIKE","BUTTERS","Hey that spearmint gum sure is stinky."
6030077,603,9,"FREAK STRIKE","STAN","Where's you get the balls from?"
6030078,603,9,"FREAK STRIKE","BRUNET TREKKER","We made a plastic mold of his chin, and then made a latex scrotum and put two golf balls inside."
6030079,603,9,"FREAK STRIKE","CARTMAN","Nice."
6030080,603,9,"FREAK STRIKE","BLOND TREKKER","Now we just blend the skin tones, add a little hair,  and presto!"
6030081,603,9,"FREAK STRIKE","STAN","Wow!"
6030082,603,9,"FREAK STRIKE","KYLE","That looks awesome!"
