"id","ep_num","segment","title","role","text"
6090001,609,1,"FREE HAT","description","The Bijou, day, inside. The four boys are seated in the front row in the nearly empty theater. A couple sits near the back, just three rows behind."
6090002,609,1,"FREE HAT","STAN","Oh, cool. A preview."
6090003,609,1,"FREE HAT","ANNOUNCER","Coming this summer , it's the classic film that changed America. E.T.: The Extraterrestrial, the new, redone version for 2002.  All the E.T. effects have been digitally upgraded.  All the guns have been digitally changed to walkie-talkies. And the word ""TERRORIST"" has been changed to ""HIPPIE."""
6090004,609,1,"FREE HAT","STAN","Aw, dude, why would they do that?"
6090005,609,1,"FREE HAT","CARTMAN","Yeah, hippies and terrorists are the same thing."
6090006,609,1,"FREE HAT","KYLE","No, dude. They only changed ""terrorist"" to ""hippie"" to make E.T. more P.C."
6090007,609,1,"FREE HAT","STAN","That's gay."
6090008,609,1,"FREE HAT","ANNOUNCER","Coming this summer, it's the motion picture that changed America. Saving Private Ryan, the RE-RE-RELEASE, where the word ""NAZI"" has been changed to ""PERSONS WITH POLITICAL DIFFERENCES,"" and all their guns have been replaced by walkie-talkies."
6090009,609,1,"FREE HAT","STAN","Why the hell do these directors keep updating their movies?"
6090010,609,1,"FREE HAT","ANNOUNCER","And now, for your feature presentation: the classic RE-RE-RE-RELEASE of Star Wars: The Empire Strikes Back"
6090011,609,1,"FREE HAT","THE BOYS","Woohoo!"
6090012,609,1,"FREE HAT","ANNOUNCER","In the version, the word ""WOOKIE"" has been changed to ""HAIR CHALLENGED ANIMAL"" and the entire cast has been digitally replaced by Ewoks."
6090013,609,1,"FREE HAT","THE BOYS","AWWWW!!!"
6090014,609,2,"FREE HAT","description","The Bijou, day, outside. The boys exit the theater"
6090015,609,2,"FREE HAT","STAN","Goddamnit, that pissed me off!"
6090016,609,2,"FREE HAT","CARTMAN","Yeah, we want our money back!"
6090017,609,2,"FREE HAT","SHLOMO","Sorry, suckers!"
6090018,609,2,"FREE HAT","CARTMAN","You asshole!"
6090019,609,2,"FREE HAT","KYLE","Why don't they leave those movies alone? We liked them the way they were!"
6090020,609,2,"FREE HAT","TWEEK","Don't you see what this means? All our favorite movies are going to be changed, and updated, until we can't even recognize them anymore."
6090021,609,2,"FREE HAT","STAN","Tweek is right. It isn't fair for those asshole directors to keep changing their movies and making them different! Movies are art, and art shouldn't be modified!"
6090022,609,2,"FREE HAT","KYLE","Yeah, what if they had modified the Roman Coliseum every year? It would just be another big douchey stadium now."
6090023,609,2,"FREE HAT","STAN","We have to do something. Let's form a club."
6090024,609,2,"FREE HAT","CARTMAN","Yeah! We can form a club that takes food stamps from poor people and then sells them back to the government for a profit."
6090025,609,2,"FREE HAT","STAN","No, fatass! I mean a club to protect films from their directors, so they can't be messed with!"
6090026,609,2,"FREE HAT","KYLE","Yeah. We'll be the ""Save Films From Their Own Directors"" club"
6090027,609,2,"FREE HAT","CARTMAN, STAN","Yeah"
6090028,609,2,"FREE HAT","TWEEK","NO! Nono, ah I don't wanna form a club! That's too much pressure! Look, ah-I'm supposed to take it easy; just, watch the clouds, sit on the grass. And, if we form a club there'll be responsibilites. Commitments!"
6090029,609,2,"FREE HAT","CARTMAN","Tweek, now Goddamnit, we picked you to be our new friend to replace Kenny because we thought you were a team player!"
6090030,609,2,"FREE HAT","TWEEK","I'm not! I'm not a team player!"
6090031,609,2,"FREE HAT","CARTMAN","Now, either you stop with these faggotronics or we'll find someone to replace YOU!"
6090032,609,2,"FREE HAT","TWEEK","D'oh-ho! Oh Jesus!"
6090033,609,3,"FREE HAT","description","South Park, later. The boys stand next to a phone pole and Stan nails a sign onto it. He finishes and backs up to have a good look at it."
6090034,609,3,"FREE HAT","CARTMAN","Dude, that sign sucks! Nobody's gonna show up!"
6090035,609,3,"FREE HAT","STAN","Well what's wrong with it?"
6090036,609,3,"FREE HAT","CARTMAN","Look at it, dude. You're not offereing any fabulous prizes. You have to offer fabulous prizes if you want people to show up for your stupid crap. Here."
6090037,609,3,"FREE HAT","KYLE","""Free hat?"""
6090038,609,3,"FREE HAT","CARTMAN","Yeah, if you offer free hats, m-maybe people will show up."
6090039,609,3,"FREE HAT","TWEEK","But we don't have hats!"
6090040,609,3,"FREE HAT","CARTMAN","Well we can just make them out of paper."
6090041,609,3,"FREE HAT","TWEEK","Aahh!"
6090042,609,3,"FREE HAT","CARTMAN","It's not hard, it's just a stupid little paper hat. People just need free stuff - don't you guys know anything?!"
6090043,609,3,"FREE HAT","TWEEK","You see?? First we were just forming a club, now we have to make hats! When does it end??"
6090044,609,3,"FREE HAT","STAN","Alright, let's go get the gymnasium ready. Tweek, you go make fifty hats."
