"id","ep_num","segment","title","role","text"
2170001,217,1,"GNOMES","difficult news. This is going to make ","you all very sad.  The school board is considering firing me as your teacher. There's a possibility that I will be let go and never allowed to teach you again.  Yes, Stanley?"
2170002,217,1,"GNOMES","STAN","That's okay with us."
2170003,217,1,"GNOMES","KYLE","Yeah."
2170004,217,1,"GNOMES","KID","Yeah, we don't care."
2170005,217,1,"GNOMES","CARTMAN","Yeah, that's fine."
2170006,217,1,"GNOMES","MR. GARRISON","No it isn't it makes you very sad. Now, apparently, the school board thinks that I don't teach you anything about current events, so tomorrow they're going to have you do presentations for the whole board."
2170007,217,1,"GNOMES","CLASS","Aawwww!"
2170008,217,1,"GNOMES","MR. GARRISON","""Current Events in South Park."" Now, I want you all to read a newspaper, or better yet, watch television, and come up with something current in South Park to do a report on."
2170009,217,1,"GNOMES","CLASS","Aawwww!"
2170010,217,1,"GNOMES","MR. GARRISON","Now, this'll be a group project, so I'm going to place you all into groups of five. Let's see, uh. Wendy, Bebe, Clyde, Pip, and Token , you'll be Group 1, and Group 2 will be Stan, Kyle, Eric, Kenny, aaand, and Tweek."
2170011,217,1,"GNOMES","TWEEK","AAAghah heheh."
2170012,217,1,"GNOMES","STAN","Oh, not Tweek."
2170013,217,1,"GNOMES","KYLE","We don't wanna be in a group with Tweek."
2170014,217,1,"GNOMES","MR. GARRISON","There's nothing wrong with Tweek. I bet he'll do a great job in your group."
2170015,217,1,"GNOMES","TWEEK","I can't take that kind of pressure. No, Sweet Jesus, ple-hehease!"
2170016,217,1,"GNOMES","STAN","Dude, we can't work with this kid."
2170017,217,1,"GNOMES","TWEEK","Yuh-ugh!"
2170018,217,1,"GNOMES","MR. GARRISON","That's what Chad Everett thought when the new female intern joined the cast of Medical Center. He thought. ""Who is this woman with her gazungas and high heels? What does she know about medicine?"" Well, that intern soon saved Chad Everett's brother with a kidney transplant. So, you see?"
2170019,217,1,"GNOMES","STAN","No."
2170020,217,1,"GNOMES","MR. GARRISON","Well, let me put it another way. You have to give your oral report to the entire South Park Town Committee tomorrow! And if it doesn't kick ass, and you make me look bad, Mr. Hat is gonna smack you bitches up!"
2170021,217,1,"GNOMES","TWEEK","Waah!"
2170022,217,2,"GNOMES","description","SOUTH PARK, DOWNTOWN. OFF TO THE RIGHT OF TOM'S RHINOPLASTY IS A COFFEE STORE Tweek Bros. A businessman walks in with briefcase."
2170023,217,2,"GNOMES","MR. TWEEK","Hello there, customer."
2170024,217,2,"GNOMES","CUSTOMER","Hello. How are you today?"
2170025,217,2,"GNOMES","MR. TWEEK","Great. What can I get for you? Large coffee, small coffee?"
2170026,217,2,"GNOMES","CUSTOMER","I'm actually interested in something else. I'm John Postem from the Harbucks Coffee Corporation"
2170027,217,2,"GNOMES","MR. TWEEK","Oh, you're that corporate guy who's been calling."
2170028,217,2,"GNOMES","POSTEM","That's right. How come yuu don't call me back? All we wanna do is buy out your coffee shop here."
2170029,217,2,"GNOMES","MR. TWEEK","Oh, forget it, my my store is not for sale."
2170030,217,2,"GNOMES","POSTEM","My company's prepared to make you a veerry generous offer.  This is a Cramsonite briefcase. All leather, it has four compartments and a keyless lock. Interested?"
2170031,217,2,"GNOMES","MR. TWEEK","Uh, I don't think so. My coffee shop is worth a lot to me."
2170032,217,2,"GNOMES","POSTEM","Well all right.  How about $500,000?"
2170033,217,2,"GNOMES","MR. TWEEK","The answer is still no, Mr. Postem. You see, when my father opened this store 30 yars ago, he cared about only one thing: making a great cup of coffee. Sure, we may take a little longer to brew a cup, and we may not call it fancy names, but I guess we just care a little more.  And that's why Tweek Coffee is still home-brewed from the finest beans we can muster. Yes, Tweek Coffee is a simpler cup, for a simpler America."
2170034,217,2,"GNOMES","POSTEM","Well, that's too bad. We're just gonna have to open our Harbucks right next door to you."
2170035,217,2,"GNOMES","MR. TWEEK","But that could put me out of business."
2170036,217,2,"GNOMES","POSTEM","Hey, this is a capitalist country, pal! Get used to it!"
2170037,217,2,"GNOMES","BARBRADY","Hello, Mr. Tweek."
2170038,217,2,"GNOMES","MR. TWEEK","Hi, Officer Barbrady."
2170039,217,2,"GNOMES","BARBRADY","Who was that?"
2170040,217,2,"GNOMES","MR. TWEEK","Oh, just some dong. What can I get for you."
2170041,217,2,"GNOMES","BARBRADY","Ths usual.  Ogh. Thanks. See you tomorrow."
2170042,217,2,"GNOMES","MR. TWEEK","Bye-bye."
2170043,217,3,"GNOMES","description","South Park Elementary. The class is now in groups of five. Tweek is still wired"
2170044,217,3,"GNOMES","STAN","Okay, we have to do this stupid report, sooo-"
2170045,217,3,"GNOMES","TWEEK","AAAaaagh. Ugh, ugh, huh, aarrrnnn. Aaarrrhaharn."
2170046,217,3,"GNOMES","STAN","Sooo, let's figure out what to do it about."
2170047,217,3,"GNOMES","CARTMAN","How about we do it on that Raymond guy on TV, you know, Everybody Loves Raymond."
2170048,217,3,"GNOMES","KYLE","No, Cartman, we can't do it on Raymond again! It has to be on a current event in South Park. Tweek, do you have any ideas?"
2170049,217,3,"GNOMES","TWEEK","Uuurrnnn, too much pressure!"
2170050,217,3,"GNOMES","STAN","Great. A lot of help you are, kid."
2170051,217,3,"GNOMES","TWEEK","The gnomes!"
2170052,217,3,"GNOMES","STAN","What?"
2170053,217,3,"GNOMES","TWEEK","We can do our report on the gnomes."
2170054,217,3,"GNOMES","STAN","What gnomes?"
2170055,217,3,"GNOMES","TWEEK","The underpants gnomes. The little guys that, that come into your room late, late at night and steal your underpants."
2170056,217,3,"GNOMES","CARTMAN","Oh, so that's where all my underpants go."
2170057,217,3,"GNOMES","KYLE","Dude, that's the dumbest thing I've ever heard."
