"id","ep_num","segment","title","role","text"
4140001,414,1,"GREAT EXPECTATIONS","description","The camera pans across a nicely appointed study, rests a bit, and ""SOUTH PARK classics"" appears on screen as a classical piece plays"
4140002,414,1,"GREAT EXPECTATIONS","A BRITISH PERSON","Aaah.  Dickens. The imagery of cobblestone streets, cragging London buildings, and nutmeg-filled Yorkshire puddings. Hello, I'm a British person. For years now, the character Pip has been featured prominently in the American show, South Park. However, many Americans don't realize where Pip came from. He's the prowling little adorable Englishman from Charles Dickens' timeless classic, ""Great Expectations""  And so tonight, the makers of South Park have agreed to take a break from their regular show, and instead present the prestigious Dickens tale in its entirety from beginning to end. Indeed, after watching this show, you'll know the timeless classic as if you'd... read the Cliff Notes themselves. Our story is set in England, in the small town of Drop-A-Chair-Upon-Top-Snot, where a young blond-haired boy named Pip was on his way to see his parents."
4140003,414,2,"GREAT EXPECTATIONS","description","Drop-A-Chair-Upon-Top-Snot, day. Pip leaves the town, crosses an open field, enters an enclosed lot and stops right in front of the camera"
4140004,414,2,"GREAT EXPECTATIONS","PIP","'Ello Mom. 'Ello Dad. It certainly is nice to see you again.  Don't worry. Sister is still taking very good care of me. She just loves to smack me in the face and tell me I'm worthless. O, we have such fun together.  But it's getting dark, Mom and Dad. I'll see you again soon.  Wa-a-ah!"
4140005,414,2,"GREAT EXPECTATIONS","EX-CONVICT","Wha' are you doin' 'ere, you little whippersham!"
4140006,414,2,"GREAT EXPECTATIONS","PIP","Oh, hello. Why, you look like an escaped convict. Did we breaky-wakys out of prison?  Oh dear! But you're shackled. Here, let me help you."
4140007,414,2,"GREAT EXPECTATIONS","EX-CONVICT","Wha' are you doin' wit' those?"
4140008,414,2,"GREAT EXPECTATIONS","PIP","I'm an apprentice blacksmith.  There you are.  And here's a sandwich. You must be starving!"
4140009,414,2,"GREAT EXPECTATIONS","EX-CONVICT","Here. W-why are you easy to help me?"
4140010,414,2,"GREAT EXPECTATIONS","PIP","Well, it's not for me to judge you, sir. We are all the same.  Don't quite outmart this thing, I'm afraid."
4140011,414,2,"GREAT EXPECTATIONS","MRS. JOE","Pip, where 'ave you been?!"
4140012,414,2,"GREAT EXPECTATIONS","PIP","Waaah!  Lovely day, isn't it?"
4140013,414,2,"GREAT EXPECTATIONS","MRS. JOE","What the hell's lovely about it?!  Joe, teach this boy some bloody cynicsim!"
4140014,414,2,"GREAT EXPECTATIONS","JOE","I don't know about that. I just thought I'd keep to me blacksmithing.  Ey, look! I've made me a metal fire poker."
4140015,414,2,"GREAT EXPECTATIONS","MRS. JOE","A lot of bloody good a fire poker's gonna do while I'm starvin' to death! Why don't you make us some bloody food to eat!"
4140016,414,2,"GREAT EXPECTATIONS","JOE","Alright. Look 'ere, I made me a metal orange."
4140017,414,2,"GREAT EXPECTATIONS","MRS. JOE","STOP your metal orange, you bastard! You never want a tablespoon of nigh'ingale droppin's, you me'al-poundin' fairy! And you! Why don't you ge' a job?! You're eight years old now!"
4140018,414,2,"GREAT EXPECTATIONS","JOE","Oh, lookie heeah!  I've gone and made a metal newspaper!"
4140019,414,2,"GREAT EXPECTATIONS","MRS. JOE","Shut up, you silly lip! What are we supposed to do with a metal newspaper?"
4140020,414,2,"GREAT EXPECTATIONS","JOE","Well, for starters we can look in the want ads and see if we can find Pip a job. Ohhh, lookie here! Young man wanted for paid position!"
4140021,414,2,"GREAT EXPECTATIONS","MRS. JOE","Where?"
4140022,414,2,"GREAT EXPECTATIONS","PIP","Where?"
4140023,414,2,"GREAT EXPECTATIONS","MRS. JOE","""Havesham residence seeks young boy to play with lonely daughter. Will pay up to..."" TWENTY QUID A DAY??"
4140024,414,2,"GREAT EXPECTATIONS","PIP","That's a lot of  money-loney."
4140025,414,2,"GREAT EXPECTATIONS","JOE","You can keep a little girl company for 20 quid a day, Pip. And Old Mrs. Havesham is the wealthiest woman in the town."
4140026,414,3,"GREAT EXPECTATIONS","description","The Havesham Residence is shown from the gates, next day."
4140027,414,4,"GREAT EXPECTATIONS","description","The South Park Classics study. The British is seated in an armchair reading a book"
4140028,414,4,"GREAT EXPECTATIONS","A BRITISH PERSON","Well, the very next day, Pip went to Old Ms. Havesham's house to inquire about the job.  and it was there that he met the girl of his dreams."
4140029,414,5,"GREAT EXPECTATIONS","description","A girl approached the gate at the Havesham Residence. She's got flowing blonde hair and a bowler for a hat"
4140030,414,5,"GREAT EXPECTATIONS","GIRL","Who are you?!"
4140031,414,5,"GREAT EXPECTATIONS","PIP","...I've come to answer the want ad."
