"id","ep_num","segment","title","role","text"
7100001,710,1,"GREY DAWN","SOUTH PARK FARMER'S MARKET",""
7100002,710,2,"GREY DAWN","description","Day. A crowd is gathered under this banner and listens to Father Maxi as he delivers a service."
7100003,710,2,"GREY DAWN","FATHER MAXI","Friends, we gather in this place to mourn the victims of yesterday's tragedy: nine good people who were run over in the street by an elderly woman driver."
7100004,710,2,"GREY DAWN","CARTMAN","Oh God, memorial services are sooo boring."
7100005,710,2,"GREY DAWN","KYLE","You insensitive asshole, Cartman! Nine people died!"
7100006,710,2,"GREY DAWN","CARTMAN","Yeah, but like, eight of them were hippies. Mostly hippies go to farmer's markets. Mostly"
7100007,710,2,"GREY DAWN","FATHER MAXI","It is sometimes hard, in times like these, to understand God's way. Why would he allow nine innocent people to be run down in the prime of their lives by a senior citizen who, perhaps, shouldn't be driving? It is then that we must understand, God's sense of humor is very different from our own. He does not laugh at the simple ""man walks into a bar"" joke. No, God needs complex irony and subtle farcical twists that seem macabre to you and me. All that we can hope for is that God got his good laugh and a tragedy such as this will never happen again."
7100008,710,2,"GREY DAWN","MR. GARRISON","Look out!!"
7100009,710,2,"GREY DAWN","ELDERLY DRIVER","Huh? Was that a stop sign back there? Ooooh, I think I hit a pot hole."
7100010,710,3,"GREY DAWN","description","Stan's house, night. The family is eating dinner - tacos, nachos, rice, milk"
7100011,710,3,"GREY DAWN","STAN","Hey Dad, how come they let old people drive?"
7100012,710,3,"GREY DAWN","RANDY","Well, Stan, it's a very fragile issue."
7100013,710,3,"GREY DAWN","STAN","But they kill people."
7100014,710,3,"GREY DAWN","RANDY","Sometimes, yes, but senior citizens have to be dealt with very gingerly, Stan. We can't just take their licenses away."
7100015,710,3,"GREY DAWN","MARVIN","I'll be God-damned if they think they can take my license away!"
7100016,710,3,"GREY DAWN","SHARON","Oooh, hi Dad."
7100017,710,3,"GREY DAWN","MARVIN","I heard what you said! You wanna take drivin' privileges away from seniors! Well let me tell you something, peckerface! I worked fifty five years in the steel mill!"
7100018,710,3,"GREY DAWN","RANDY","Yes Dad."
7100019,710,3,"GREY DAWN","MARVIN","And I flew Spitfires over Germany in World War II!"
7100020,710,3,"GREY DAWN","RANDY","Yes I know."
7100021,710,3,"GREY DAWN","MARVIN","And I will be God-damned if the government thinks it can step in and take away my right to drive!"
7100022,710,3,"GREY DAWN","STAN","I think old people should have rights, Grandpa. I just don't wanna die."
7100023,710,4,"GREY DAWN","description","Stark's Pond, night. A lone man is fishing in the middle of the pond. He senses something ominous and looks around. On the road nearby, a brown Buick drives by slowly. A short old woman is at the wheel"
7100024,710,4,"GREY DAWN","ELDERLY MAN","Damnit Mona, this isn't the fastest way to Country Kitchen Buffet!"
