"id","ep_num","segment","title","role","text"
4130001,413,1,"HELEN KELLER  THE MUSICAL","description","A stage, rehearsal, day. Stan, Kyle, and Wendy are in costume on stage. Stan is dressed in a white suit and bowtie, and a fake beard and moustache. Kyle is dressed as a country doctor with starched collar, and Wendy is dressed in white pants, purple coat and beret, and bowtie. The stage itself has a door prop and a tripod table with a bowl and jar atop it. Kyle enters through the door."
4130002,413,1,"HELEN KELLER  THE MUSICAL","WENDY","Doctor, doctor! Will our daughter be okay?"
4130003,413,1,"HELEN KELLER  THE MUSICAL","KYLE","I am sorry, Mr. and Mrs. Keller, but I'm afraid your daughter Helen still cannot see, hear, or speak."
4130004,413,1,"HELEN KELLER  THE MUSICAL","WENDY","Oh no! NO!"
4130005,413,1,"HELEN KELLER  THE MUSICAL","STAN","'Ere 'ere, my good wife, 'ere is nothing we can do."
4130006,413,1,"HELEN KELLER  THE MUSICAL","WENDY","My poor little Helen."
4130007,413,1,"HELEN KELLER  THE MUSICAL","TIMMY","Timmiihhh!"
4130008,413,1,"HELEN KELLER  THE MUSICAL","WENDY","She can't see or hear us, John."
4130009,413,1,"HELEN KELLER  THE MUSICAL","TIMMY","Heh-aaaah, Timmih!"
4130010,413,1,"HELEN KELLER  THE MUSICAL","STAN","E-yes. Perhaps she should go to an asyluh."
4130011,413,1,"HELEN KELLER  THE MUSICAL","CARTMAN","Stan, what the hell is wrong with you? I can't understand your lines!"
4130012,413,1,"HELEN KELLER  THE MUSICAL","STAN","'Cause the 'eard 'urts my 'ace."
4130013,413,1,"HELEN KELLER  THE MUSICAL","KYLE","Can we take a lunch break now?"
4130014,413,1,"HELEN KELLER  THE MUSICAL","CARTMAN","No! If we want our play to be better than the kindergartners' play, we have to rehearse as much as possible! Now let's continue the scene!"
4130015,413,1,"HELEN KELLER  THE MUSICAL","BEBE","Hello. My name is Anne Sullivan, and I believe I can teach this child to communicate."
4130016,413,1,"HELEN KELLER  THE MUSICAL","STAN","Uh-eally? Uh you think so?"
4130017,413,1,"HELEN KELLER  THE MUSICAL","BEBE","Water, Helen! Waaa-terr!"
4130018,413,1,"HELEN KELLER  THE MUSICAL","TIMMY","Agh oh-ight, Timmih!"
4130019,413,1,"HELEN KELLER  THE MUSICAL","CARTMAN","God-damnit, Timmy! Helen Keller isn't suposed to talk!"
4130020,413,1,"HELEN KELLER  THE MUSICAL","BUTTERS","Hey you guys! We got a big problem!"
4130021,413,1,"HELEN KELLER  THE MUSICAL","KYLE","What is it, Butters?"
4130022,413,1,"HELEN KELLER  THE MUSICAL","BUTTERS","The kidnergartners! I just came from their dress rehearsal. Hoh, it's good, you guys. It's real good!"
4130023,413,1,"HELEN KELLER  THE MUSICAL","CARTMAN","How good?"
4130024,413,1,"HELEN KELLER  THE MUSICAL","BUTTERS","They got Pilgrim outfits! And Indian ones, too! They've got singing and dancing and boy you've never seen such a show! Why, it's a Thanksgiving extravaganza!"
4130025,413,1,"HELEN KELLER  THE MUSICAL","Clyde	Oh, no!",""
4130026,413,1,"HELEN KELLER  THE MUSICAL","KYLE","We can't be outdone by the kindergartners!"
4130027,413,1,"HELEN KELLER  THE MUSICAL","CLYDE","Oh, now what?"
4130028,413,1,"HELEN KELLER  THE MUSICAL","STAN","Oh yeah, we can't!"
4130029,413,1,"HELEN KELLER  THE MUSICAL","CARTMAN","Alright, alright! Quiet down! Look, we still got four days until the Thanksgiving festival; that's plenty of time to revamp our play!"
4130030,413,1,"HELEN KELLER  THE MUSICAL","KYLE","Revamp how? The rules are that the fourth grade class has to perform the Helen Keller Story."
4130031,413,1,"HELEN KELLER  THE MUSICAL","CARRTMAN","Yeah, but nobody told us how we had to do it. We can have Thanksgiving stuff and music numbers, too."
4130032,413,1,"HELEN KELLER  THE MUSICAL","CLYDE","Well, we can add music numbers, but how do we make the Helen Keller story more Thanksgivingy?"
4130033,413,1,"HELEN KELLER  THE MUSICAL","WENDY","I know! How about, instead of a dog, Helen Keller has a pet turkey."
4130034,413,1,"HELEN KELLER  THE MUSICAL","TOKEN","Yeah, a turkey that could do tricks."
4130035,413,1,"HELEN KELLER  THE MUSICAL","KIDS","Yeah"
4130036,413,1,"HELEN KELLER  THE MUSICAL","CARTMAN","That's the spirit, gang! Alright. Stan and Wendy, you go out and find some musical instruments! Kenny and Clyde, take some kids and buy some Thanksgiving decorations for the set! Kyle and Timmy, you go out and find a turkey!"
4130037,413,1,"HELEN KELLER  THE MUSICAL","KYLE","Okay!"
4130038,413,1,"HELEN KELLER  THE MUSICAL","CARTMAN","This is gonna be the best version of the Miracle Worker ever!"
4130039,413,1,"HELEN KELLER  THE MUSICAL","KIDS","Yay!"
4130040,413,2,"HELEN KELLER  THE MUSICAL","description","a barn, with no snow around it. Cows are grazing on the grass outside. Inside, a rancher shows Timmy and Kyle around the barn."
4130041,413,2,"HELEN KELLER  THE MUSICAL","RANCHER","What kind of turkey are you lookin' for?"
4130042,413,2,"HELEN KELLER  THE MUSICAL","KYLE","A smart one, that can do tricks."
4130043,413,2,"HELEN KELLER  THE MUSICAL","RANCHER","Well, I ain't got a whole lot left, it bein' almost Thanksgiving and all. Go ahead, just pick one out."
4130044,413,2,"HELEN KELLER  THE MUSICAL","TIMMY","Timmaay!"
