"id","ep_num","segment","title","role","text"
5120001,512,1,"HERE COMES THE NEIGHBORHOOD","description","South Park Elementary, day. Butters stands in front of the class witha small volcano - his science experiment."
5120002,512,1,"HERE COMES THE NEIGHBORHOOD","BUTTERS","...And so, just like in nature, ah I can add the mixture into the volcano and..."
5120003,512,1,"HERE COMES THE NEIGHBORHOOD","O Pele! God of Fire! Show us you uh-",""
5120004,512,1,"HERE COMES THE NEIGHBORHOOD","[the belching volcano draws his attention as it coughs up the ","""lava""] Aw, it's all uh g-gooey."
5120005,512,1,"HERE COMES THE NEIGHBORHOOD","MS. CHOKSONDIK","Okay, good job, Butters. You get a check."
5120006,512,1,"HERE COMES THE NEIGHBORHOOD","BUTTERS","Ah, thank you, Ms. Choksondik!  I got a check. That's like a C!"
5120007,512,1,"HERE COMES THE NEIGHBORHOOD","MS. CHOKSONDIK","Okay. Whose project should we look at next? How aboouuut Eric?  Eric Cartman?"
5120008,512,1,"HERE COMES THE NEIGHBORHOOD","CARTMAN","Stand by, please."
5120009,512,1,"HERE COMES THE NEIGHBORHOOD","MS. CHOKSONDIK","NOW Eric!"
5120010,512,1,"HERE COMES THE NEIGHBORHOOD","CARTMAN","Oh, God-damnit!"
5120011,512,1,"HERE COMES THE NEIGHBORHOOD","KYLE","Haha"
5120012,512,1,"HERE COMES THE NEIGHBORHOOD","CARTMAN","Shutup, Jew!  Yes, well. For my project, I made a pencil, taped to a pen. In this way we see the duality of writing devices that occur in nature."
5120013,512,1,"HERE COMES THE NEIGHBORHOOD","MS. CHOKSONDIK","You just put that thing together just now! I'm giving you a check minus."
5120014,512,1,"HERE COMES THE NEIGHBORHOOD","CARTMAN","Oh GOD-DAMNIT I HATE CHECK-MINUS!"
5120015,512,1,"HERE COMES THE NEIGHBORHOOD","MS. CHOKSONDIK","Siddown"
5120016,512,1,"HERE COMES THE NEIGHBORHOOD","CARTMAN","I'll make you eat your parents!"
5120017,512,1,"HERE COMES THE NEIGHBORHOOD","MS. CHOKSONDIK","What did you say?!"
5120018,512,1,"HERE COMES THE NEIGHBORHOOD","CARTMAN","Nothing!"
5120019,512,1,"HERE COMES THE NEIGHBORHOOD","MS. CHOKSONDIK","Alright, Token, you're next."
5120020,512,1,"HERE COMES THE NEIGHBORHOOD","TOKEN","Using my laptop computer, I hooked into the Internet and found a meteorology Web site.  I donwloaded the data, and with my dad's video projector, I can show you the graph I made of predictable weather patterns over the next three months."
5120021,512,1,"HERE COMES THE NEIGHBORHOOD","CLYDE","Wwooww."
5120022,512,1,"HERE COMES THE NEIGHBORHOOD","TOKEN","I also printed out the results on my color printer. Here you are, Ms. Choksondik."
5120023,512,1,"HERE COMES THE NEIGHBORHOOD","MS. CHOKSONDIK","Very very good, Token. You get a check plus."
5120024,512,1,"HERE COMES THE NEIGHBORHOOD","TOKEN","Alright!"
5120025,512,1,"HERE COMES THE NEIGHBORHOOD","CARTMAN","Aw, that is such bullcrap!"
5120026,512,1,"HERE COMES THE NEIGHBORHOOD","MS. CHOKSONDIK","Eric, for the love of God."
5120027,512,1,"HERE COMES THE NEIGHBORHOOD","CARTMAN","No! No, see, this is the fundamental flaw with the check check-plus check-minus system! The only reason Token was able to do all that is because his family is rich!"
5120028,512,1,"HERE COMES THE NEIGHBORHOOD","TOKEN","My family isn't rich."
5120029,512,1,"HERE COMES THE NEIGHBORHOOD","CARTMAN","Oh, come on, Token! Your new house is four times the size of anyone else's in town! And who else gets crab cakes and, and lobster tail in their lunch boxes?!"
5120030,512,1,"HERE COMES THE NEIGHBORHOOD","STAN","Your family is rich, dude."
5120031,512,1,"HERE COMES THE NEIGHBORHOOD","TOKEN","But I..."
5120032,512,1,"HERE COMES THE NEIGHBORHOOD","CARTMAN","Let's just see where Token's clothes come from, shall we?  Ooooo, Armani Exchange!"
5120033,512,1,"HERE COMES THE NEIGHBORHOOD","KYLE","Aharmani Exchange?"
5120034,512,1,"HERE COMES THE NEIGHBORHOOD","CARTMAN","All the rest of us have to buy our clothes at J mart! Have you even been inside a J mart, Token?!  I didn't think so!"
5120035,512,1,"HERE COMES THE NEIGHBORHOOD","STAN","Yeah, dude, your family is so rich they have their own pool table."
5120036,512,1,"HERE COMES THE NEIGHBORHOOD","BUTTERS","Yeah. And their own sprinkler system. You don't think you're rich?"
5120037,512,2,"HERE COMES THE NEIGHBORHOOD","description","Token's house, after school. His parents are at the sofa. His father reads a newspaper; his mother, a book. Token walks in"
5120038,512,2,"HERE COMES THE NEIGHBORHOOD","LINDA","Hello Token. How was school today?"
5120039,512,2,"HERE COMES THE NEIGHBORHOOD","TOKEN","Mom? Dad? Why do we have a bigger house than everybody else in South Park?"
5120040,512,2,"HERE COMES THE NEIGHBORHOOD","BOB","Well, because we have more money, son."
5120041,512,2,"HERE COMES THE NEIGHBORHOOD","TOKEN","I know. But why?"
5120042,512,2,"HERE COMES THE NEIGHBORHOOD","BOB","...W-well, because we went to graduate school and therefore have more lucrative jobs than most people in town. For instance, your mother is a chemist for a pharmaceutical company, whereas your friend Eric Cartman's mother is a crack whore. One pays more than the other."
5120043,512,2,"HERE COMES THE NEIGHBORHOOD","LINDA","Why, sweetie? What's the matter?"
5120044,512,2,"HERE COMES THE NEIGHBORHOOD","TOKEN","All the kids at school made fun of me today because I'm rich."
5120045,512,2,"HERE COMES THE NEIGHBORHOOD","BOB","...Oh."
5120046,512,2,"HERE COMES THE NEIGHBORHOOD","TOKEN","I don't wanna be rich anymore! I wanna eat macaroni and cheese for dinner and, and and wear clothes from J mart!"
5120047,512,2,"HERE COMES THE NEIGHBORHOOD","LINDA","J mart?"
5120048,512,2,"HERE COMES THE NEIGHBORHOOD","BOB","Son, you, you don't know what you're saying."
5120049,512,2,"HERE COMES THE NEIGHBORHOOD","TOKEN","I just wanna be like all the other kids in South Park. Please, Mom and Dad, please."
5120050,512,3,"HERE COMES THE NEIGHBORHOOD","description","J mart, later. A small SUV pulls into the J mart lot. Token takes his first look at J mart. He is awed by it and pleased at the chance to shop there."
5120051,512,3,"HERE COMES THE NEIGHBORHOOD","BOB","You... sure you want to do this, son?"
5120052,512,3,"HERE COMES THE NEIGHBORHOOD","TOKEN","I'm sure."
5120053,512,3,"HERE COMES THE NEIGHBORHOOD","LINDA","Hmmm..."
5120054,512,3,"HERE COMES THE NEIGHBORHOOD","BOB","Where's the... valet?"
5120055,512,3,"HERE COMES THE NEIGHBORHOOD","LINDA","He must be parkiing someone else's car."
5120056,512,3,"HERE COMES THE NEIGHBORHOOD","BOB","Ah, here we go.  Take good care of it, please.  Here's twenty dollars.  Hoh? They've activated some kind of alien blinding device."
5120057,512,3,"HERE COMES THE NEIGHBORHOOD","TOKEN","That's not a blinding device, Dad. It's flourescent lighting."
5120058,512,3,"HERE COMES THE NEIGHBORHOOD","BOB","Oh."
5120059,512,3,"HERE COMES THE NEIGHBORHOOD","LINDA","Excuse me, where can where would we find young men's fashion apparel?"
5120060,512,3,"HERE COMES THE NEIGHBORHOOD","OBESE WOMAN","Aisle 6, next to the pretzels."
5120061,512,3,"HERE COMES THE NEIGHBORHOOD","BOB","Next to the-?!"
5120062,512,3,"HERE COMES THE NEIGHBORHOOD","TOKEN","Come on!  Hey look: there pants are only five bucks apiece. They must really suck. What do ya think?"
5120063,512,3,"HERE COMES THE NEIGHBORHOOD","LINDA","What, what brand are they?"
5120064,512,3,"HERE COMES THE NEIGHBORHOOD","TOKEN","It doesn't matter, Mom. They're poor people pants."
5120065,512,3,"HERE COMES THE NEIGHBORHOOD","RANDY","Hey, uh, Sharon? Isn't that the Williamses?"
5120066,512,3,"HERE COMES THE NEIGHBORHOOD","SHARON","Huh?  Oh. Yeah, it is.  What are they doing here? They can afford to shop at Cherry Creek."
5120067,512,3,"HERE COMES THE NEIGHBORHOOD","LIANE","Do you see that, Sheila? The Williamses are shopping here."
5120068,512,3,"HERE COMES THE NEIGHBORHOOD","KYLE'S MOTHER","I don't get it. He must pull in at least two hundred thousand a year."
5120069,512,3,"HERE COMES THE NEIGHBORHOOD","BOB","S-son, can you just hurry it up? I don't think we quite fit n here."
5120070,512,3,"HERE COMES THE NEIGHBORHOOD","CARTMAN","Oh, looks like you landed on Park Avenue, Stan. You own me ten million dollars."
5120071,512,3,"HERE COMES THE NEIGHBORHOOD","TOKEN","Hey you guys."
5120072,512,3,"HERE COMES THE NEIGHBORHOOD","STAN","Oh hey, dude. Did you bring the movie?"
5120073,512,3,"HERE COMES THE NEIGHBORHOOD","CARTMAN","Hey, you changed your clothes, Token."
5120074,512,3,"HERE COMES THE NEIGHBORHOOD","TOKEN","Yeah, well, you know, I did a little shopping at J mart."
5120075,512,3,"HERE COMES THE NEIGHBORHOOD","STAN","Alright, well, let's just watch the Lion King. Cartman's cheating anyway."
5120076,512,3,"HERE COMES THE NEIGHBORHOOD","TOKEN","Here you go."
5120077,512,3,"HERE COMES THE NEIGHBORHOOD","STAN","What's that?"
5120078,512,3,"HERE COMES THE NEIGHBORHOOD","TOKEN","It's a DVD of the Lion King"
5120079,512,3,"HERE COMES THE NEIGHBORHOOD","STAN","DVD? We don't own a DVD player."
5120080,512,3,"HERE COMES THE NEIGHBORHOOD","KYLE","Yeah, dude.  Nobody does. They're too expensive."
5120081,512,3,"HERE COMES THE NEIGHBORHOOD","CARTMAN","Not too expensive for Token's rich ass family, apparently."
5120082,512,3,"HERE COMES THE NEIGHBORHOOD","CRAIG","Don't you have a VHS of it?"
5120083,512,3,"HERE COMES THE NEIGHBORHOOD","TOKEN","I only have this."
5120084,512,3,"HERE COMES THE NEIGHBORHOOD","CARTMAN","Oh, well, let me take this disk up to the Enterprise and see if Captain Kirk can decrypt it."
5120085,512,3,"HERE COMES THE NEIGHBORHOOD","TOKEN","What's a VHS?"
5120086,512,3,"HERE COMES THE NEIGHBORHOOD","CARTMAN","Oh, Jesus, dude."
5120087,512,3,"HERE COMES THE NEIGHBORHOOD","STAN","Come on, guys. We'll jsut have to find other stuff to do."
5120088,512,3,"HERE COMES THE NEIGHBORHOOD","KYLE","What's a VHS?"
5120089,512,4,"HERE COMES THE NEIGHBORHOOD","description","Token looks at the DVD, then at the boys, then at the DVD. He lets the DVD case fall to the floor on top of the DVD and leaves the house. Music comes up as he leaves the Marsh house"
5120090,512,4,"HERE COMES THE NEIGHBORHOOD","TOKEN","Why can't I be like all the other kids?"
