"id","ep_num","segment","title","role","text"
3120001,312,1,"HOOKED ON MONKEY FONICS","description","The Cartman house, night. Sharon brings a box into the dining room."
3120002,312,1,"HOOKED ON MONKEY FONICS","LIANE","Eric, Mommy got you a present!"
3120003,312,1,"HOOKED ON MONKEY FONICS","CARTMAN","A present?? Is it a rocket racer?? No, let me guess: It's a Froagman Jay doll! No wait, I know! It's a police power chopper!"
3120004,312,1,"HOOKED ON MONKEY FONICS","LIANE","Nnno, I got you something that's going to help you win the big spelling bee tomorrow."
3120005,312,1,"HOOKED ON MONKEY FONICS","CARTMAN","Mom, I'm not going to win the spelling bee; I never do."
3120006,312,1,"HOOKED ON MONKEY FONICS","LIANE","This year is gonna be different. Look! I got you ""Hooked On Monkey Fonics."""
3120007,312,1,"HOOKED ON MONKEY FONICS","CARTMAN","What the hell is ""Hooked On Monkey Fonics?"""
3120008,312,1,"HOOKED ON MONKEY FONICS","LIANE","It's a new way to learn how to read and spell. And it comes with everything you need to help win that speling bee. It says we just put the cassette into a tape player"
3120009,312,1,"HOOKED ON MONKEY FONICS","FEMALE VOICE","Welcome to ""Hooked On Monkey Fonics,"" level 1. I will read the sounds and the monkey will help keep the beat. If your monkey arrived in the box dead, call 1-800-555-4500 to get a new monkey. Ready? Let's begin."
3120010,312,1,"HOOKED ON MONKEY FONICS","The learning monkey is here to say",""
3120011,312,1,"HOOKED ON MONKEY FONICS","That reading is easy and it's okay.",""
3120012,312,2,"HOOKED ON MONKEY FONICS","description","Liane starts swaying like a metronome"
3120013,312,2,"HOOKED ON MONKEY FONICS","Work with the monkey and you will learn",""
3120014,312,2,"HOOKED ON MONKEY FONICS","To spell hard words, like ""morbid"" and ""burn.""",""
3120015,312,2,"HOOKED ON MONKEY FONICS","Start with Card 1. [Liane holds it up] Ready? Begin! [glissant] ","C, H. [a ""ch"" sound] Chalk. [the monkey plays four beats more, then turns to Cartman. One more beat...]"
3120016,312,2,"HOOKED ON MONKEY FONICS","CARTMAN","C, H. ""Ch."" Chalk."
3120017,312,2,"HOOKED ON MONKEY FONICS","FEMALE VOICE","Good. Card 2.  T, H.  There."
3120018,312,2,"HOOKED ON MONKEY FONICS","CARTMAN","T, H. ""Th."" There. Hey, this is easy! I'm gonna win the spelling bee for sure, Mom!"
3120019,312,2,"HOOKED ON MONKEY FONICS","The 15th Annual South Park Spelling Bee Finals",""
3120020,312,3,"HOOKED ON MONKEY FONICS","description","On stage, back row, are Wendy, Kevin, Jordan, Clyde, Butters and Bebe. In the front row are Token, a new boy, an empty chair, Kyle, Stan, and Cartman. Off to the left, Mr. Mackey will keep score, but doesn't look at all happy about it. The Mayor is front and center"
3120021,312,3,"HOOKED ON MONKEY FONICS","MAYOR","All right, everyone. Welcome to the 15th Annual South Park Spelling Bee Finals!  This should be very interesting. We have with us twelve of the brightest spellers from South Park Elementary."
3120022,312,3,"HOOKED ON MONKEY FONICS","JIMBO","Kyle, Kyle, he's our man. If he can't win it, I'm out 50 bucks."
3120023,312,3,"HOOKED ON MONKEY FONICS","KYLE'S FATHER","You bet money on my son to win?!"
3120024,312,3,"HOOKED ON MONKEY FONICS","JIMBO","Sure! When it comes to spelling bees, always bet on the Jew."
3120025,312,3,"HOOKED ON MONKEY FONICS","CARTMAN","You're going down, bitch!"
3120026,312,3,"HOOKED ON MONKEY FONICS","KYLE","Shut up, fatass! Everyone knows I can spell better than you."
3120027,312,3,"HOOKED ON MONKEY FONICS","CARTMAN","Yeah, well this year I have a secret weapon!"
3120028,312,3,"HOOKED ON MONKEY FONICS","MAYOR","And, joining us this year, are the two home-schooled children, Rebecca and Mark Cotswolds!"
3120029,312,3,"HOOKED ON MONKEY FONICS","JIMBO","What?!"
3120030,312,3,"HOOKED ON MONKEY FONICS","CARTMAN","Home-schooled kids? Who the hell are they?"
3120031,312,3,"HOOKED ON MONKEY FONICS","JIMBO","Ey, that's not fair! You can't let home-schooled kids into a public-school spelling bee!"
3120032,312,3,"HOOKED ON MONKEY FONICS","KYLE","What's a ""home-schooled kid""?"
3120033,312,3,"HOOKED ON MONKEY FONICS","STAN","I don't know, dude. I've never seen them before."
3120034,312,3,"HOOKED ON MONKEY FONICS","THE COTSWOLDS","Go, Mark! Go, Rebecca!"
3120035,312,3,"HOOKED ON MONKEY FONICS","MAYOR","Our first contestant is Mark Cotswolds, from home school.  All right, Mark. Your word is ""conscientious."""
3120036,312,3,"HOOKED ON MONKEY FONICS","CARTMAN","What?! What the fuck that that mean?"
3120037,312,3,"HOOKED ON MONKEY FONICS","MARK","""Conscientious."" May I have the definition, please?"
3120038,312,3,"HOOKED ON MONKEY FONICS","MAYOR","Closely attentive to details. Careful."
3120039,312,3,"HOOKED ON MONKEY FONICS","MARK","""Conscientious."" Could you use it in a sentence, please?"
3120040,312,3,"HOOKED ON MONKEY FONICS","MAYOR","Mary's analysis of the spreadsheet was... conscientious."
3120041,312,3,"HOOKED ON MONKEY FONICS","MARK","""Conscientious."" C O N S C I E N T I O U S."
3120042,312,3,"HOOKED ON MONKEY FONICS","CARTMAN","Holy crap!"
3120043,312,3,"HOOKED ON MONKEY FONICS","THE COTSWOLDS","Way to go, Mark! Alright!"
3120044,312,3,"HOOKED ON MONKEY FONICS","MAYOR","Okay, our next contestant is Eric Cartman. Alright, Eric, here's your word: chair. Chaaiirr."
3120045,312,3,"HOOKED ON MONKEY FONICS","CARTMAN","Come on, Fonics Monkey, drum!  Come on!"
3120046,312,3,"HOOKED ON MONKEY FONICS","MAYOR","Eric, your word is ""chair."""
3120047,312,3,"HOOKED ON MONKEY FONICS","CARTMAN","Uuh. Definition?"
3120048,312,3,"HOOKED ON MONKEY FONICS","MAYOR","Something you sit on."
3120049,312,3,"HOOKED ON MONKEY FONICS","CARTMAN","Country of origin?"
3120050,312,3,"HOOKED ON MONKEY FONICS","MAYOR","English!"
3120051,312,3,"HOOKED ON MONKEY FONICS","CARTMAN","Could you please use it in a sentence?"
3120052,312,3,"HOOKED ON MONKEY FONICS","MAYOR","Oh, for Christ's sake, kid! The word is ""chair""!!"
3120053,312,3,"HOOKED ON MONKEY FONICS","CARTMAN","Uh- chair. C H A R E  God damnit, how come I get the hard ones?!  Get over here, you son of a bitch Fonics Monkey!"
3120054,312,4,"HOOKED ON MONKEY FONICS","description","The spelling bee. After several rounds, the other kids are eliminated. The Cotswolds kids and Kyle are the only ones left."
3120055,312,4,"HOOKED ON MONKEY FONICS","MAYOR","All right, we're down to just three finalists. First up is Rebecca Cotswolds from home school.  Alright, Rebecca. Here's your word: littoral."
