"id","ep_num","segment","title","role","text"
5100001,510,1,"HOW TO EAT WITH YOUR BUTT","description","South Park Elementary School Gym, day. Stan is seated on a stool none too pleased before a backdrop of a meadow. Behind the photographer are the kindergartners and Mr. Adler's class"
5100002,510,1,"HOW TO EAT WITH YOUR BUTT","PHOTOGRAPHER","Okay, now lift your chin a little. Look right here. Right here.  Hey, where's my smile? Come on, I bet you got a smile for me. I-I'm startin' to see a smile. There it is.  Okay great next."
5100003,510,1,"HOW TO EAT WITH YOUR BUTT","STAN","I didn't smile."
5100004,510,1,"HOW TO EAT WITH YOUR BUTT","KYLE","I hate picture day at school! It's always some gay-ass photographer with some gay-ass backdrop of New England!"
5100005,510,1,"HOW TO EAT WITH YOUR BUTT","BUTTERS","Ah, hang on a second. My mom said to make sure I look good this time in... the school pictures."
5100006,510,1,"HOW TO EAT WITH YOUR BUTT","PHOTOGRAPHER","Okay, smile  Okay, next?"
5100007,510,1,"HOW TO EAT WITH YOUR BUTT","STAN","Did you go yet?"
5100008,510,1,"HOW TO EAT WITH YOUR BUTT","KYLE","No. This is taking forever."
5100009,510,1,"HOW TO EAT WITH YOUR BUTT","CARTMAN","You guys! You guys! This is sooo funny!"
5100010,510,1,"HOW TO EAT WITH YOUR BUTT","KYLE","What, Cartman?"
5100011,510,1,"HOW TO EAT WITH YOUR BUTT","CARTMAN","Dude, check it out: for picture day, Kenny got into hiis parka backwards, so that his ass shows through his hood. Look! . Kenny, Kenny, over here!"
5100012,510,1,"HOW TO EAT WITH YOUR BUTT","KYLE","It isn't that funny, Cartman."
5100013,510,1,"HOW TO EAT WITH YOUR BUTT","CARTMAN","Yes it is!"
5100014,510,1,"HOW TO EAT WITH YOUR BUTT","MS. CHOKSONDIK","Next in line! Come on, let's keep it moving, kids!"
5100015,510,1,"HOW TO EAT WITH YOUR BUTT","CARTMAN","...Don't listen to that Jew, Kenny, it's totally funny."
5100016,510,1,"HOW TO EAT WITH YOUR BUTT","PHOTOGRAPHER","Take off your hat, please?"
5100017,510,1,"HOW TO EAT WITH YOUR BUTT","KYLE","But I never take off my hat."
5100018,510,1,"HOW TO EAT WITH YOUR BUTT","PHOTOGRAPHER","Come on now, I bet your parents want a picture of YOU lookin' natural."
5100019,510,1,"HOW TO EAT WITH YOUR BUTT","KYLE","This is how I look natural."
5100020,510,1,"HOW TO EAT WITH YOUR BUTT","MS. CHOKSONDIK","Kyle, we're taking pictures without hats today!"
5100021,510,1,"HOW TO EAT WITH YOUR BUTT","KYLE","Crap!"
5100022,510,1,"HOW TO EAT WITH YOUR BUTT","PHOTOGRAPHER","Snile! Come on, where's that smile? Is it gonna kill you to smile? I see a smile."
5100023,510,1,"HOW TO EAT WITH YOUR BUTT","KYLE","Gayass!"
5100024,510,1,"HOW TO EAT WITH YOUR BUTT","PHOTOGRAPHER","Very nice. Okay, last one?"
5100025,510,1,"HOW TO EAT WITH YOUR BUTT","CARTMAN","Uh oh."
5100026,510,1,"HOW TO EAT WITH YOUR BUTT","PHOTOGRAPHER","Okay, have a seat, young man.  Well, okay, lookin' great.Now where's that smile? Come on, give me a nice, wide smile. Wider. Perfect!"
5100027,510,1,"HOW TO EAT WITH YOUR BUTT","CARTMAN","Huh, how long 'til we get the pictures back?"
5100028,510,1,"HOW TO EAT WITH YOUR BUTT","PHOTOGRAPHER","Should be about four days."
5100029,510,1,"HOW TO EAT WITH YOUR BUTT","CARTMAN","Four days?? Oh man, I can't wait that long!"
5100030,510,2,"HOW TO EAT WITH YOUR BUTT","description","South Park Elementary, four days later, day. Inside, in Ms. Choksondik's class, Cartman is fidgeting rather loudly in his desk"
5100031,510,2,"HOW TO EAT WITH YOUR BUTT","CARTMAN","Heh, c'mon! C'mon c'mon c'mon c'mon! C'mon c'mon! C'mon c'mon c'mon!"
5100032,510,2,"HOW TO EAT WITH YOUR BUTT","MS. CHOKSONDIK","Alright, class, I have your school photos to hand out-"
5100033,510,2,"HOW TO EAT WITH YOUR BUTT","CARTMAN","YES! YES!"
5100034,510,2,"HOW TO EAT WITH YOUR BUTT","MS. CHOKSONDIK","Most of them are very nice. But, apparently, one of you thinks it's fun to spoil their school pictures , and thinks he's a comedian. That person will be spending the afternoon in the principal's office!"
5100035,510,2,"HOW TO EAT WITH YOUR BUTT","KENNY",":	(Aww, that's bullshit!)"
5100036,510,2,"HOW TO EAT WITH YOUR BUTT","MS. CHOKSONDIK","School photos aren't for joking around, so you aren't getting your photo back, Butters!"
