"id","ep_num","segment","title","role","text"
7040001,704,1,"I M A LITTLE BIT COUNTRY","description","South Park Elementary, day. The bell rings. The fourth graders are still chatting as Mr. Garrison enters."
7040002,704,1,"I M A LITTLE BIT COUNTRY","MR. GARRISON","Okay, children, let's take our seats. Did you take attendance, Mr. Slave?"
7040003,704,1,"I M A LITTLE BIT COUNTRY","MR. SLAVE","All donesy wunsy."
7040004,704,1,"I M A LITTLE BIT COUNTRY","MR. GARRISON","Okay, let's all take out our math homework and go over the problems."
7040005,704,1,"I M A LITTLE BIT COUNTRY","CARTMAN","Mmmath homework, Mmmath homework. Where did I file that?"
7040006,704,1,"I M A LITTLE BIT COUNTRY","MR. GARRISON","Oh, and by the way, children, there's a walkout scheduled today to protest the war in Iraq. So, uh, if you're against the war, run along outside, and if you're for the war, uh, stay here and we'll do math problems."
7040007,704,2,"I M A LITTLE BIT COUNTRY","description","South Park Elementary, front entrance. The door open and all the kids run out. A cloud of paper signals their exit. Some of them twirl with delight. The boys come out singing"
7040008,704,2,"I M A LITTLE BIT COUNTRY","THE BOYS","We got out of schoo-l! No more school toda-ay!"
7040009,704,2,"I M A LITTLE BIT COUNTRY","KYLE","What should we do?"
7040010,704,2,"I M A LITTLE BIT COUNTRY","STAN","Let's go see a movie!"
7040011,704,2,"I M A LITTLE BIT COUNTRY","PROTESTERS","No war! No war!  No war! No war!  No war! No war!  No war! No war! No war!"
7040012,704,2,"I M A LITTLE BIT COUNTRY","COUNSELOR MACKEY","No war, m'kay?! No war, m'kay?! Oh uh, here you go, boys.  These will help you protest. It's good to see that you care about peace, boys, m'kay? No war, m'kay?!"
7040013,704,2,"I M A LITTLE BIT COUNTRY","A VOICE","Excuse me, boys.  Tom Stansel, HBC news. Can you kids tell me why you marched out of school today?"
7040014,704,2,"I M A LITTLE BIT COUNTRY","STAN","Uh... war?"
7040015,704,2,"I M A LITTLE BIT COUNTRY","TOM","Right. What about the war?"
7040016,704,2,"I M A LITTLE BIT COUNTRY","KYLE","Ih ih ih-t's g-gay?"
7040017,704,2,"I M A LITTLE BIT COUNTRY","TOM","Uh huh, and what aspect of it do you think is most gay?"
7040018,704,2,"I M A LITTLE BIT COUNTRY","KYLE","Uuuh, n-no blood for oil."
7040019,704,2,"I M A LITTLE BIT COUNTRY","STAN","Yeah.  War is not my voice."
7040020,704,2,"I M A LITTLE BIT COUNTRY","CARTMAN","Bush is a Naizi"
7040021,704,2,"I M A LITTLE BIT COUNTRY","SKEETER","Hey all you unAmerican bastards! If you don't like America, why don't you git out?!"
7040022,704,2,"I M A LITTLE BIT COUNTRY","COUNSELOR MACKEY","Don't you call us unAmerican! This country was founded on the right to protest! M'kay?"
7040023,704,2,"I M A LITTLE BIT COUNTRY","PROTESTERS","Yeah! Right!"
7040024,704,2,"I M A LITTLE BIT COUNTRY","STUART","If the Founding Fathers saw you burning your flag an' callin' the President a Nazi, they'd roll over in their grave!"
7040025,704,2,"I M A LITTLE BIT COUNTRY","SUPPORTERS","Yeah! Right!"
7040026,704,2,"I M A LITTLE BIT COUNTRY","RANDY","The Founding Fathers would agree with our right to protest!"
7040027,704,2,"I M A LITTLE BIT COUNTRY","SKEETER","Foundin' Fathers would kick all your asses!"
7040028,704,2,"I M A LITTLE BIT COUNTRY","TOM","Boys, what do you think the Founding Fathers would say?"
7040029,704,2,"I M A LITTLE BIT COUNTRY","CARTMAN","...Eh the... Founding who?"
7040030,704,3,"I M A LITTLE BIT COUNTRY","description","South Park Elementary, Garrison's classroom. He stares at the children angrily, his arms crossed"
7040031,704,3,"I M A LITTLE BIT COUNTRY","MR. GARRISON","Well, I hope you little Commies are pretty pleased with yourselves!  Going out there and protesting America, and then saying on national television that you don't even know who the Founding Fathers are! You kids don't know squat about America, do you?!"
7040032,704,3,"I M A LITTLE BIT COUNTRY","BUTTERS","Mmuh well, not really, no."
7040033,704,3,"I M A LITTLE BIT COUNTRY","MR. GARRISON","Well that's just jingles! Because I'm assigning all you little flag-burners a full report on seventeen seventy-siyix, and the Founding Fathers!"
7040034,704,3,"I M A LITTLE BIT COUNTRY","CLASS","Awwwwww!"
7040035,704,3,"I M A LITTLE BIT COUNTRY","MR. GARRISON","SHUT UP! I want you all in your study groups of four, and if you can't give an outstanding report on what the Founding Fathers would have to say about all this protesting, then it's Fs for you!"
7040036,704,3,"I M A LITTLE BIT COUNTRY","CARTMAN","Ugh. UGHuh.  I can't do it! This is waaay too much material for a nine-year-old!"
7040037,704,3,"I M A LITTLE BIT COUNTRY","KYLE","Oh no you don't, Cartman! Every time we get put in a study group, you sit on your ass while the rest of us do all the work!"
7040038,704,3,"I M A LITTLE BIT COUNTRY","CARTMAN","But you guys are such better studiers than me. I know you can pull it off."
7040039,704,3,"I M A LITTLE BIT COUNTRY","STAN","You're gonna read this stuff and study like the rest of us!"
7040040,704,3,"I M A LITTLE BIT COUNTRY","CARTMAN","Maaaa. M-maaaa."
7040041,704,3,"I M A LITTLE BIT COUNTRY","KYLE","Shut up and study!"
7040042,704,3,"I M A LITTLE BIT COUNTRY","CARTMAN","Maaaa. Mah mah mh.  Hmmm, 1776. When our Founding Fathers created America. I wonder what it used to be like in those days?  In those days? In those days? In those days?"
7040043,704,3,"I M A LITTLE BIT COUNTRY","KYLE","What are you doing?"
7040044,704,3,"I M A LITTLE BIT COUNTRY","CARTMAN","I'm trying to have a flashback."
7040045,704,3,"I M A LITTLE BIT COUNTRY","KENNY","(A what?)"
7040046,704,3,"I M A LITTLE BIT COUNTRY","CARTMAN","You know. If I have a flashback, then I can see what 1776 was like first-hand!"
7040047,704,3,"I M A LITTLE BIT COUNTRY","STAN","No, you just have to study."
