"id","ep_num","segment","title","role","text"
2040001,204,1,"IKE S WEE WEE","lecture by your school counselor, Mr. ","Mackey"
2040002,204,1,"IKE S WEE WEE","STAN","Booooo!"
2040003,204,1,"IKE S WEE WEE","COUNSELOR MACKEY","Nuh-now, who was that?  That is not appropriate behavior, okay?"
2040004,204,1,"IKE S WEE WEE","STAN","I'm sorry Mr. Mackey, mkay?"
2040005,204,1,"IKE S WEE WEE","COUNSELOR MACKEY","Uh. That's okay, just don't let it happen again."
2040006,204,1,"IKE S WEE WEE","KYLE","We won't let it happen again, Mr. Mackey, mkay?"
2040007,204,1,"IKE S WEE WEE","COUNSELOR MACKEY","Uh, okay, okay, that's fine."
2040008,204,1,"IKE S WEE WEE","CARTMAN","Okay?"
2040009,204,1,"IKE S WEE WEE","COUNSELOR MACKEY","Okay.  Now, uh, as your counselor, I'm here to tell you about drugs and alcohol and why they're bad, mkay? Uhso, first of all, uh, smokin's bad.  You shouldn't smoke. Anduh, alcohol is bad.  You shouldn't drink alcohol. Anduh, as for drugs, well, drugs are bad. You shouldn't do drugs. Okay, that about wraps up my introduction, now uh, are there any questions?  Yes, Stan?"
2040010,204,1,"IKE S WEE WEE","STAN","Why do dogs have cold noses?"
2040011,204,1,"IKE S WEE WEE","COUNSELOR MACKEY","Uuuuh, well I'm not sure."
2040012,204,1,"IKE S WEE WEE","STAN","Oooh."
2040013,204,1,"IKE S WEE WEE","COUNSELOR MACKEY","Now-uh, let's focus our discussion first on marijawana . Marijawana's bad, and it also has a very distinct smell, mkay? I'm gonna pass around just a little tiny bit and I want you all to take a smell , so you know when someone is smoking marijawana near you. Mkay, just take a smell, pass it on,  and when it gets back up to me,  we'll finish talking about it. In the meantime, I want to get into alcohol a little, okay? Uh, Alcohol is bad, Uh-if you drink alcohol you"
2040014,204,1,"IKE S WEE WEE","KYLE","Hey, are you guys gonna come to Ike's party this weekend?"
2040015,204,1,"IKE S WEE WEE","STAN","Your little brother's having a party? Why, is it his birthday?"
2040016,204,1,"IKE S WEE WEE","KYLE","No, it's his bris."
2040017,204,1,"IKE S WEE WEE","CARTMAN","What the hell is a bris?"
2040018,204,1,"IKE S WEE WEE","KYLE","I don't know. But there's gonna be lots of food. And a band."
2040019,204,1,"IKE S WEE WEE","CARTMAN","Ah, kick ass! I wanna have a bris."
2040020,204,1,"IKE S WEE WEE","COUNSELOR MACKEY","and so uh, that's why alcohol is bad. Uh, ha- has that marijawana made it back up here yet?  No-oh, okay. Let's talk about LSD . Uh, children, LSD ih-is bad. It's a drug made famous by John Lennon and Paul McCartney"
2040021,204,1,"IKE S WEE WEE","STAN","Hey, are we supposed to get your little brother presents for a bris?"
2040022,204,1,"IKE S WEE WEE","KYLE","Uuuh. I'm not sure."
2040023,204,1,"IKE S WEE WEE","STAN","Welluh dude, you'd better find out!"
2040024,204,1,"IKE S WEE WEE","COUNSELOR MACKEY","Boys, are you paying attention?"
2040025,204,1,"IKE S WEE WEE","STAN","Sorry, Mr. Mackey, okay?"
2040026,204,1,"IKE S WEE WEE","COUNSELOR MACKEY","Okay. Now, children, has that marijawana made it around yet?  Uuuh, who-? Who has the marijawana now?  Um mm mkay, whoeh, whoever has the marijawana, just- pass it up to the front roww, mkay? Whoa oh."
2040027,204,2,"IKE S WEE WEE","description","Principal Victoria's office. Somebody's gonna get it"
2040028,204,2,"IKE S WEE WEE","PRINCIPAL VICTORIA","I am very disappointed in you, young man. You should be ashamed of yourself. What could have possessed you to be so stupid?"
2040029,204,2,"IKE S WEE WEE","COUNSELOR MACKEY","I'm sorry, Prinshipal Victoria."
2040030,204,2,"IKE S WEE WEE","PRINCIPAL VICTORIA","We-hell, 'sorry' isn't going to cut the cheese this time, mister! I'm afraid I'm going to have to suspend you from school."
2040031,204,2,"IKE S WEE WEE","COUNSELOR MACKEY","You mean I'm fired?"
2040032,204,2,"IKE S WEE WEE","PRINCIPAL VICTORIA","Well, I guess that's a grown-up way to put it, yes."
2040033,204,2,"IKE S WEE WEE","COUNSELOR MACKEY","But- but it was an honest error of judgment, nkay? I- I really thought it was important for the kids to know the smell of marijawana, okay?"
2040034,204,2,"IKE S WEE WEE","PRINCIPAL VICTORIA","It was an error of judgment, Mr. Mackey, but I'm afraid I have to let you go for it. We searched each one of those kids, but came up empty."
2040035,204,2,"IKE S WEE WEE","COUNSELOR MACKEY","Buh-"
2040036,204,2,"IKE S WEE WEE","PRINCIPAL VICTORIA","We had to let them go home, and one of them now has half a lid of Jamaican grass because of you!"
2040037,204,2,"IKE S WEE WEE","COUNSELOR MACKEY","Huh, how am I going to make ends meet? M- mkay? Wha-what will I do for money??"
2040038,204,2,"IKE S WEE WEE","PRINCIPAL VICTORIA","There, there, now. Maybe this will all blow over some day and we can give you a job as a janitor cleaning up vomit with that pink sawdust stuff."
2040039,204,2,"IKE S WEE WEE","COUNSELOR MACKEY","No-uho-uho-uho! I'm  not o-uho-uhokay!"
2040040,204,3,"IKE S WEE WEE","description","Bus stop. The kids leave the bus and Mrs. Crabtree peels away screaming"
2040041,204,3,"IKE S WEE WEE","STAN","Man! That sucked, getting searched."
2040042,204,3,"IKE S WEE WEE","CARTMAN","Yeah, my ass is killing me."
2040043,204,3,"IKE S WEE WEE","KYLE","Why did they search us? That marijawana never even made it to us."
2040044,204,3,"IKE S WEE WEE","CARTMAN","I wonder who took it"
2040045,204,4,"IKE S WEE WEE","description","Garrison's house. He's looking sleepily at Teletubbies"
2040046,204,4,"IKE S WEE WEE","A TELETUBBY","Bye."
2040047,204,4,"IKE S WEE WEE","VOICE-OVER","And now it's almost time for bye-bye."
2040048,204,5,"IKE S WEE WEE","description","The boys are walking home when Chef drives up to them"
2040049,204,5,"IKE S WEE WEE","CHEF","Hello there, children!"
2040050,204,5,"IKE S WEE WEE","BOYS","Hey, Chef."
2040051,204,5,"IKE S WEE WEE","KYLE","How's it going?"
2040052,204,5,"IKE S WEE WEE","CHEF","Bad."
2040053,204,5,"IKE S WEE WEE","KYLE","Why bad?"
2040054,204,5,"IKE S WEE WEE","CHEF","Children, I heard about what happened at school today. Now, none of you took that nasty marijuana, did you?"
2040055,204,5,"IKE S WEE WEE","STAN","No, dude! We never even saw it!"
2040056,204,5,"IKE S WEE WEE","CHEF","Okay. Because I just want to tell you that DRUGS ARE BAD!"
