"id","ep_num","segment","title","role","text"
5010001,501,1,"IT HITS THE FAN","description","Morning, bus stop. Stan and Kyle wait for the bus, and Kyle arrives"
5010002,501,1,"IT HITS THE FAN","KYLE","Hey you guys! Look what I have!"
5010003,501,1,"IT HITS THE FAN","STAN","What?"
5010004,501,1,"IT HITS THE FAN","KYLE","Four tickets to The Lion King on stage!"
5010005,501,1,"IT HITS THE FAN","STAN, KENNY","...Oh."
5010006,501,1,"IT HITS THE FAN","KYLE","Aww, come on, you guys! It's supposed to be really cool."
5010007,501,1,"IT HITS THE FAN","STAN","Yeah - no - I'd, it, it sounds really cool."
5010008,501,1,"IT HITS THE FAN","CARTMAN","You goys!!! Hey you guys!!! Oh my God!! Oh my God, you guys!!"
5010009,501,1,"IT HITS THE FAN","KYLE","What, doughboy?!"
5010010,501,1,"IT HITS THE FAN","CARTMAN","I was just-  I was just watching the TV! They had this commercial."
5010011,501,1,"IT HITS THE FAN","STAN","So?"
5010012,501,1,"IT HITS THE FAN","CARTMAN","So, guess what they're gonna say tonight on that show, Cop Drama."
5010013,501,1,"IT HITS THE FAN","KYLE","What?"
5010014,501,1,"IT HITS THE FAN","Cartman	No, come on! Guess! They're gonna say something that's ","never been said on television."
5010015,501,1,"IT HITS THE FAN","KYLE","What?!"
5010016,501,1,"IT HITS THE FAN","CARTMAN","You'll never guess."
5010017,501,1,"IT HITS THE FAN","STAN","What?!"
5010018,501,1,"IT HITS THE FAN","CARTMAN","Guess."
5010019,501,1,"IT HITS THE FAN","KYLE","Goddamnit, Cartman! What are they gonna say on Cop Drama?"
5010020,501,1,"IT HITS THE FAN","CARTMAN","You ready?  Tonight, on Cop Drama, on TV, they're gonna say,  ""Shit."""
5010021,501,1,"IT HITS THE FAN","KYLE","They're gonna say ""shit"" on television?"
5010022,501,1,"IT HITS THE FAN","STAN","They can't say ""shit"" on television!"
5010023,501,1,"IT HITS THE FAN","CARTMAN","It was just on the news! People are freaking out, dude."
5010024,501,1,"IT HITS THE FAN","STAN","Holy fucking shit!"
5010025,501,1,"IT HITS THE FAN","KENNY","(Dude! We've gotta watch!)"
5010026,501,1,"IT HITS THE FAN","CARTMAN","Yeah. I'm gonna have people over to my house to see it."
5010027,501,1,"IT HITS THE FAN","KYLE","Bu- but I got these tickets to see Lion King on stage!"
5010028,501,1,"IT HITS THE FAN","CARTMAN","Maybe you didn't hear me, Kyle: I said ""shit!"" On television!"
5010029,501,1,"IT HITS THE FAN","KYLE","It's just a marketing ploy by the network. Like that time they had the first male-to-male kiss with Terrance and Phillip?"
5010030,501,1,"IT HITS THE FAN","STAN","Aw, come, on dude! This is history."
5010031,501,1,"IT HITS THE FAN","KYLE","It's stupid!"
5010032,501,1,"IT HITS THE FAN","CARTMAN","Jeez, you're a little irritable, Kyle. What's the matter? You got some sand in your vagina?"
5010033,501,1,"IT HITS THE FAN","KYLE","No, I don't have sand in my vagina! I just think it's a little immature for us to be standing around talking about one dumb word being on TV!"
5010034,501,2,"IT HITS THE FAN","description","Day, South Park Center for Seismic Activity, water cooler. Randy Marsh and three others shoot the breeze there"
5010035,501,2,"IT HITS THE FAN","RANDY","Hey, uh, Sam, did you hear the news?"
5010036,501,2,"IT HITS THE FAN","SAM","Yeah, they're gonna say ""shit"" on television."
5010037,501,2,"IT HITS THE FAN","COLLEAGUE 1","And we should all get together and watch it at the bar."
5010038,501,2,"IT HITS THE FAN","COLLEAGUE 2","Yeaaahhh!"
5010039,501,2,"IT HITS THE FAN","SAM","Yeah."
5010040,501,2,"IT HITS THE FAN","RANDY","Yeah."
5010041,501,2,"IT HITS THE FAN","COLLEAGUE 2","Hey, are you guys gonna let your kids watch?"
5010042,501,2,"IT HITS THE FAN","RANDY","Oh, sure, I mean, you know, Cop Drama is a very artsy, dramatic show."
5010043,501,2,"IT HITS THE FAN","SAM","And they're gonna say ""shit."""
5010044,501,3,"IT HITS THE FAN","description","Day, sidewalk. Butters is tagging TELE's as Kyle walks up to him"
5010045,501,3,"IT HITS THE FAN","KYLE","Hey! Butters!  I got tickets to go see Lion King tonight, and I decided to invite  YOU before anybody else."
5010046,501,3,"IT HITS THE FAN","BUTTERS","Oh, sorry, I can't.  They're gonna say ""shit"" on Cop Drama, and my mom and dad say I have to watch it with them so that I don't take it the wrong way."
5010047,501,3,"IT HITS THE FAN","KYLE","How many ways are there to take it?! It's just a stupid word!"
5010048,501,3,"IT HITS THE FAN","MR. GARRISON","Hey everybody, it's on in thirty minutes!"
5010049,501,4,"IT HITS THE FAN","description","Night, the town bar. Many of the town's men, including Randy and his coworkers, are inside watching ""Cop Drama."" The officers in the show speak in hushed tones"
5010050,501,4,"IT HITS THE FAN","COP","Listen, Mitchell, I put my life on the line every day. How dare you accuse me!"
5010051,501,4,"IT HITS THE FAN","MR. GARRISON","Oh, I bet this is it! Here it comes..."
5010052,501,4,"IT HITS THE FAN","MITCHELL","I'm doing my job, Frank! We have to know where that evidence was shipped!"
5010053,501,4,"IT HITS THE FAN","JIMBO","Oh! Was that it? Was that it?!"
5010054,501,4,"IT HITS THE FAN","RANDY","Shipped. He said ""shipped."""
5010055,501,4,"IT HITS THE FAN","FRANK","I told you, we don't have a record of that. And besides, -"
5010056,501,5,"IT HITS THE FAN","description","Cut to Cartman's house, night. Cartman sits on the sofa with Stan, Kyle and Kenny, and he's eating from a box of Cheesy Poofs"
5010057,501,5,"IT HITS THE FAN","FRANK","- your job is to protect the men who serve this force."
5010058,501,5,"IT HITS THE FAN","CARTMAN","Goddamnit, when are they gonna say ""shit""?!"
5010059,501,5,"IT HITS THE FAN","STAN","Sshhh!"
5010060,501,5,"IT HITS THE FAN","MITCHELL","Maybe... maybe protect them from you?"
5010061,501,6,"IT HITS THE FAN","description","Cut to Chef's house, bedroom. He and Principal Victoria watch the show together in bed"
5010062,501,6,"IT HITS THE FAN","FRANK","Maybe you're forgetting who you're talking to!"
5010063,501,6,"IT HITS THE FAN","MITCHELL","Then maybe you're forgetting how I used to be a cop, too!"
5010064,501,7,"IT HITS THE FAN","description","Cut to the Broflovski house, living room. Sheila and Sharon are enjoying some popcorn as they view the show. Sheila is in the arnchair"
5010065,501,7,"IT HITS THE FAN","FRANK","Yeah? You used to be a lot of things."
5010066,501,7,"IT HITS THE FAN","KYLE'S MOTHER","Oh, he doesn't know Mitchell slept with his wife, does he?"
5010067,501,8,"IT HITS THE FAN","description","Cut to the old folks home."
5010068,501,8,"IT HITS THE FAN","MITCHELL","That's it, I've had enough of this."
5010069,501,8,"IT HITS THE FAN","FRANK","Don't you turn your back on me, you!"
5010070,501,9,"IT HITS THE FAN","description","Cut to New York's Times Square, in which a large crowd watches the show from behind a N.Y.P.D. police line"
5010071,501,9,"IT HITS THE FAN","MITCHELL","I said, enough!"
5010072,501,10,"IT HITS THE FAN","description","Cut back to Cartman's house."
5010073,501,10,"IT HITS THE FAN","FRANK","Will it... ever be enough?"
5010074,501,10,"IT HITS THE FAN","ANNOUNCER","Cop Drama will return after these messages."
5010075,501,10,"IT HITS THE FAN","STAN","Jesus Christ! Another commercial? Are they ever gonna say ""shit?"""
5010076,501,10,"IT HITS THE FAN","CARTMAN","I'm sure they're just holding it till the very last scene."
5010077,501,10,"IT HITS THE FAN","STAN, KYLE","Eugh!"
5010078,501,10,"IT HITS THE FAN","STAN","Where are you going, Kyle?"
5010079,501,10,"IT HITS THE FAN","KYLE","I'm going to the kitchen! This is stupid!"
5010080,501,10,"IT HITS THE FAN","STAN","But you're gonna miss it! The, they're gonna say ""shit"" and you're gonna miss it!"
5010081,501,10,"IT HITS THE FAN","KYLE","I don't really give a fuck!"
5010082,501,10,"IT HITS THE FAN","STAN","Oh."
5010083,501,11,"IT HITS THE FAN","description","The bar, later."
5010084,501,11,"IT HITS THE FAN","MITCHELL","Just understand that it's my job. I still think you're a good cop."
5010085,501,11,"IT HITS THE FAN","FRANK","Well, Mitchell. I guess you're goin'ta do what you're gonna do. Let's just try and stay friends no matter what."
5010086,501,11,"IT HITS THE FAN","MITCHELL","You're right. Maybe I'll ss-see you around."
5010087,501,11,"IT HITS THE FAN","FRANK","Goodbye. Oh, and Mitchell?  You... got some shit on the side of your mouth right there."
5010088,501,11,"IT HITS THE FAN","MITCHELL","Oh, yeah, that ole thing, yeah."
5010089,501,11,"IT HITS THE FAN","BAR PATRONS","...Wwooww!!!"
5010090,501,12,"IT HITS THE FAN","description","Cartman's house..."
5010091,501,12,"IT HITS THE FAN","THE BOYS","Whoa!!!"
5010092,501,13,"IT HITS THE FAN","description","Chef's bedroom..."
5010093,501,13,"IT HITS THE FAN","CHEF","Oh!!"
5010094,501,14,"IT HITS THE FAN","description","The old folks home..."
5010095,501,14,"IT HITS THE FAN","OLD FOLKS","Whoa!"
5010096,501,15,"IT HITS THE FAN","description","Times Square... the crowd there cheers"
5010097,501,16,"IT HITS THE FAN","description","The bar..."
5010098,501,16,"IT HITS THE FAN","JIMBO","They did it!"
5010099,501,17,"IT HITS THE FAN","description","Cartman's house..."
5010100,501,17,"IT HITS THE FAN","STAN","I can't believe they actually said it."
5010101,501,17,"IT HITS THE FAN","CARTMAN","Dude! You missed it, Kyle! It was so awesome!"
5010102,501,17,"IT HITS THE FAN","KYLE","Well! I hope it lived up to all the hype! You must feel sooo much better now!"
5010103,501,17,"IT HITS THE FAN","CARTMAN","Kyle, we've gotta get that sand out of your vagina. It's making you cranky. Does it itch?"
5010104,501,17,"IT HITS THE FAN","KYLE","Do you really think anything's gonna be any different now?!  Do you really think that this will have the tiniest, smallest effect on the world?  It's still the same old world out there. Look.  What the hell?"
5010105,501,17,"IT HITS THE FAN","CARTMAN","Whoa, dude, it's raining frogs."
5010106,501,17,"IT HITS THE FAN","KYLE","Oh, whatever."
5010107,501,18,"IT HITS THE FAN","description","Channel 4 News"
5010108,501,18,"IT HITS THE FAN","ANCHOR TOM","Last night, the daring and bold show, Cop Drama , broke new ground by saying ""SHIT"" on television, making ""shit"" officially okay to say around the country. A recent poll shows that 24% of Americans think the show has pushed the envelope too far, while a whopping 76% say they don't really give a shit.  In other news, a strange virus which causes victims to vomit up their intestines is making life shitty for a small farming community. Rick Watts has the story."
5010109,501,18,"IT HITS THE FAN","RICK WATTS","Thanks, Tom. Shit is certainly going down here in the small tow-"
5010110,501,18,"IT HITS THE FAN","TOM","Whoa, shit!"
5010111,501,19,"IT HITS THE FAN","description","South Park Elementary, day. The school bell rings"
5010112,501,19,"IT HITS THE FAN","MS. CHOKSONDIK","Alright, children, in lieu of the common usage, I'm s'posed to clarify the school's position on the word, ""shit."""
5010113,501,19,"IT HITS THE FAN","STAN","Wow! We can say ""shit"" in school now?!"
5010114,501,19,"IT HITS THE FAN","KYLE","This is ridiculous! Just because they say it on TV it's alright."
5010115,501,19,"IT HITS THE FAN","MS. CHOKSONDIK","Yes, but only in the figurative noun form or the adjective form"
5010116,501,19,"IT HITS THE FAN","CARTMAN","Huh?"
