"id","ep_num","segment","title","role","text"
3040001,304,1,"JAKOVASAURS","description","The boys are camping near Stark's Pond. They've set up a campfire and are roasting marshmallows. Cartman plays a harmonica"
3040002,304,1,"JAKOVASAURS","CARTMAN","You guys, listen to this song I just wrote. It's called, ""I Hate You Guys"":"
3040003,304,2,"JAKOVASAURS","description","plays four notes before each line"
3040004,304,2,"JAKOVASAURS","I hate you guys.",""
3040005,304,2,"JAKOVASAURS","You guys are assholes.",""
3040006,304,2,"JAKOVASAURS","Specially Kenny.",""
3040007,304,2,"JAKOVASAURS","[the other three glare at him] I hate him the most.",""
3040008,304,2,"JAKOVASAURS","I hate you guys. Come on, you guys know the words.",""
3040009,304,2,"JAKOVASAURS","Specially Kenny.",""
3040010,304,2,"JAKOVASAURS","KYLE","This is sweet, being rugged outdoorsmen. Facing the wilderness, not having to be home until 8:30,..."
3040011,304,2,"JAKOVASAURS","STAN","Where are you going?"
3040012,304,2,"JAKOVASAURS","CARTMAN","I'm going home for a minute. I have to go to the bathroom."
3040013,304,2,"JAKOVASAURS","KYLE","Just go behind a tree."
3040014,304,2,"JAKOVASAURS","CARTMAN","I have to go number two."
3040015,304,2,"JAKOVASAURS","STAN","So? You can poo in the wilderness."
3040016,304,2,"JAKOVASAURS","CARTMAN","No way, dude! What would I wipe with?"
3040017,304,2,"JAKOVASAURS","KYLE","Cartman, don't be such a baby! We're supposed to be rugged outdoorsmen!"
3040018,304,2,"JAKOVASAURS","CARTMAN","Well what do I sit on?"
3040019,304,2,"JAKOVASAURS","KYLE","You just squat, stupid!"
3040020,304,2,"JAKOVASAURS","STAN","Not here! Go further away!"
3040021,304,2,"JAKOVASAURS","CARTMAN","God, I'm glad you guys know all these ""pooping outside"" rules!  Urgh. Come on, now."
3040022,304,2,"JAKOVASAURS","KYLE","Watch out for ground eels!"
3040023,304,2,"JAKOVASAURS","CARTMAN","Stop, you guys! I can't think!"
3040024,304,2,"JAKOVASAURS","KYLE","What do you have to think about?"
3040025,304,2,"JAKOVASAURS","CARTMAN","I have to think about... planes dropping bombs, and dump trucks, and self-serve ice cream...  Oh, that did it."
3040026,304,2,"JAKOVASAURS","STAN","Sick, dude!"
3040027,304,3,"JAKOVASAURS","description","In the lake, the water becomes agitated, and a bubble comes up. Cartman pulls out his harmonica and plays again"
3040028,304,3,"JAKOVASAURS","CARTMAN","Poopin' outside,"
3040029,304,3,"JAKOVASAURS","[a rear shot] Makin' self-serve ice cream",""
3040030,304,3,"JAKOVASAURS","For my friends",""
3040031,304,3,"JAKOVASAURS","Specially Kenny.",""
3040032,304,3,"JAKOVASAURS","Hey, Kenny, Can I borrow one of your gloves? [a yellow creature ","peeks out between the trees. It is the one looking at Cartman's rear.]"
3040033,304,3,"JAKOVASAURS","KENNY","(Here you go.)  (No way!)"
3040034,304,3,"JAKOVASAURS","CARTMAN","What the?"
3040035,304,3,"JAKOVASAURS","CREATURE","Oohma poota!"
3040036,304,3,"JAKOVASAURS","CARTMAN","Oh my God! Come on, you guys, come look at this!"
3040037,304,3,"JAKOVASAURS","STAN","We don't wanna look at it, Cartman!"
3040038,304,3,"JAKOVASAURS","CARTMAN","You guys, get over here!"
3040039,304,3,"JAKOVASAURS","KYLE","No way, dude!"
3040040,304,3,"JAKOVASAURS","CARTMAN","I'm serious now!  Look. Over by those bushes."
3040041,304,3,"JAKOVASAURS","KYLE","What?"
3040042,304,3,"JAKOVASAURS","CREATURE","Meesa scared!"
3040043,304,3,"JAKOVASAURS","STAN","I see it!"
3040044,304,3,"JAKOVASAURS","CARTMAN","Come on! Let's kill it!"
3040045,304,3,"JAKOVASAURS","KYLE","Aw, Cartman! You're supposed to bury it!"
3040046,304,4,"JAKOVASAURS","description","Jimbo's lodge. This is where Huntin' and Killin' is shot. Inside, Jimbo is watching TV and Ned, in a short kimono, looks for something."
3040047,304,4,"JAKOVASAURS","ANNOUNCER","Look at this sword. Only on House Shopping Network. It has a dragon on the blade. It's got a dragon painted right on the blade! You should buy the samurai sw-"
3040048,304,4,"JAKOVASAURS","JIMBO","Ned, how the hell could you lose your voice box?!  I can't hear you, Ned. You don't have a trachea. You smoked too much and you had it removed. And then you drank too much and you lost your god-damned voice box, Ned!"
3040049,304,4,"JAKOVASAURS","NED","Shut... up... Jimbo."
3040050,304,4,"JAKOVASAURS","JIMBO","Aw, Ned, don't burp-talk. That just sicks me out."
3040051,304,4,"JAKOVASAURS","STAN","I saw it this way!"
3040052,304,4,"JAKOVASAURS","KYLE","Over here!"
3040053,304,4,"JAKOVASAURS","CARTMAN","Come on, you guys!"
3040054,304,5,"JAKOVASAURS","description","the boys reach the lodge"
3040055,304,5,"JAKOVASAURS","JIMBO","What the hell's goin' on?!"
3040056,304,5,"JAKOVASAURS","STAN","Uncle Jimbo, Cartman found a big animal creature and it ran over that way!"
3040057,304,5,"JAKOVASAURS","JIMBO","Hold on, I'll get my shotgun! Ned! Ned, come on!  Where did it go?"
3040058,304,5,"JAKOVASAURS","KYLE","It just ran by here a second ago."
3040059,304,5,"JAKOVASAURS","JIMBO","Sounds like it ran into the ostrich trap!  Sshh. Now keep quiet. All right. I'm gonna turn my flashlight on. It may get startled, so be ready."
3040060,304,5,"JAKOVASAURS","CREATURE","Ooba jaaga!"
3040061,304,5,"JAKOVASAURS","JIMBO","Holy Crow! I've never seen anything like it!"
3040062,304,5,"JAKOVASAURS","CREATURE","Meesa gonna die? Wooo-wowoop!"
3040063,304,5,"JAKOVASAURS","CARTMAN","Heheh. Hey-heh, that thing's funny."
3040064,304,5,"JAKOVASAURS","KYLE","It's stupid"
3040065,304,5,"JAKOVASAURS","JIMBO","Well, let's kill it."
3040066,304,5,"JAKOVASAURS","CARTMAN","No! No. Don't."
3040067,304,5,"JAKOVASAURS","JIMBO","Huh?"
3040068,304,5,"JAKOVASAURS","CARTMAN","I like it."
3040069,304,5,"JAKOVASAURS","KYLE","You don't like anything, Cartman!"
3040070,304,5,"JAKOVASAURS","JIMBO","Well, all right. Ned, get the Mayor on the phone, tell her that we... hoh yeah, he can't talk. All right, never mind, I'll do it."
3040071,304,6,"JAKOVASAURS","description","South Park, the next day"
3040072,304,6,"JAKOVASAURS","JIMBO","Yeah, it was like wrestling a Lousiana alligator, this thing. Put up one hell of a fight."
3040073,304,6,"JAKOVASAURS","KYLE'S MOTHER","Hello there. Who's the cute baby? Who's the fuzzy, huh? Yes, that's a cutie."
3040074,304,6,"JAKOVASAURS","FED","Mayor, we're from the Department of Interior."
3040075,304,6,"JAKOVASAURS","MAYOR","Ooh, yes. How are you?"
3040076,304,6,"JAKOVASAURS","DOI 1","Fine, just fine."
3040077,304,6,"JAKOVASAURS","DOI 2","Fine, just fine."
3040078,304,6,"JAKOVASAURS","DOI 3","Fine."
3040079,304,6,"JAKOVASAURS","MAYOR","Right over here."
3040080,304,6,"JAKOVASAURS","DOI 2","My God, McClanahan, do you believe it?"
3040081,304,6,"JAKOVASAURS","CREATURE","Meesa needa Jakov.  Dwooooooo!"
3040082,304,6,"JAKOVASAURS","DOI 1","Mm-it's amazing."
3040083,304,6,"JAKOVASAURS","MAYOR","What?"
3040084,304,6,"JAKOVASAURS","DOI 1","Mayor, this is a jakovasaur. A live one has never been seen."
3040085,304,6,"JAKOVASAURS","MAYOR","Oh, neato."
3040086,304,6,"JAKOVASAURS","DOI 2","Incredible.  We know of this creature only from remains frozen in snow."
3040087,304,6,"JAKOVASAURS","DOI 1","Do you realize what this means? We could use its DNA and have a chance of bringing the entire jakovasaur species back from extinction."
3040088,304,6,"JAKOVASAURS","CARTMAN","Wow! Cool!"
3040089,304,6,"JAKOVASAURS","NED","Is... there... re... ward... money?"
3040090,304,6,"JAKOVASAURS","JIMBO","Huh, cut it out, Ned! That's just disgusting!"
3040091,304,6,"JAKOVASAURS","DOI 2","This one jakovasaur can mother an entire population of the animals."
3040092,304,6,"JAKOVASAURS","WOMAN","Well, in that case, I think we should name it... Hope."
3040093,304,6,"JAKOVASAURS","WOMAN 2","Hope."
3040094,304,6,"JAKOVASAURS","MAN","Yes, Hope."
3040095,304,6,"JAKOVASAURS","""HOPE""","Meesa name Junjun."
3040096,304,6,"JAKOVASAURS","STAN","I think his name is Junjun."
3040097,304,6,"JAKOVASAURS","MAYOR","Hope. Why, that's a perfectly beautiful name!"
3040098,304,6,"JAKOVASAURS","DOI 1","Now we must find a safe place for it."
3040099,304,6,"JAKOVASAURS","MR. GARRISON","I'll keep it at my house."
3040100,304,6,"JAKOVASAURS","MAYOR","No, Garrison, you'll just try to have sex with it!"
3040101,304,6,"JAKOVASAURS","JUNJUN","Uuh?!"
3040102,304,6,"JAKOVASAURS","MR. GARRISON","What?! How dare you say that?!"
3040103,304,6,"JAKOVASAURS","MAYOR","Garrison, you remember what happened to the wounded pigeon you were supposed to take care of?!"
3040104,304,6,"JAKOVASAURS","MR. GARRISON","Oh, come on! You all know that pigeon was a total slut."
3040105,304,6,"JAKOVASAURS","RANCHER","Oh, I got a barn it can stay in. It ain't much, but it's heated."
3040106,304,6,"JAKOVASAURS","DOI 1","Well, that sounds fine, just fine."
3040107,304,6,"JAKOVASAURS","DOI 3","Fine, just fine."
3040108,304,6,"JAKOVASAURS","DOI 2","Fine."
3040109,304,6,"JAKOVASAURS","MR. GARRISON","Now, wait a minute. I wanna clear the air here. We all know that pigeon was a whore. Raise your hand if you didn't sleep with that pigeon?  Oh, whatever!"
3040110,304,6,"JAKOVASAURS","But Cartman is at home looking at the House Shopping Network ","on TV]"
3040111,304,6,"JAKOVASAURS","ANNOUNCER","It's got a dragon painted on the blade. This is the Sumatomi sword-"
3040112,304,6,"JAKOVASAURS","CARTMAN","Wow, a dragon right on the blade. Mom, can I get a Sumatomi sword used by the ancient Tokugawa soldiers??"
3040113,304,6,"JAKOVASAURS","LIANE","I'll think about it, hon."
3040114,304,6,"JAKOVASAURS","CARTMAN","Sweet.  Mom, somebody's at the door."
3040115,304,6,"JAKOVASAURS","LIANE","Mommy's busy, boopie-kins."
3040116,304,6,"JAKOVASAURS","CARTMAN","Should I get it?"
3040117,304,6,"JAKOVASAURS","LIANE","Go ahead, snookums. It's probably one of your little friends."
3040118,304,6,"JAKOVASAURS","CARTMAN","Okay."
3040119,304,6,"JAKOVASAURS","LIANE","Hmmm."
3040120,304,7,"JAKOVASAURS","description","the knocking continues"
3040121,304,7,"JAKOVASAURS","CARTMAN","Okay, okay, hold your horses! God! Mom, it's another Stark's Pond creature!"
3040122,304,7,"JAKOVASAURS","LIANE","That's nice, muffin."
3040123,304,7,"JAKOVASAURS","JAKOVASAUR","Please help me. Whoa-oh-oh-oh.  Please help me find Junjun. She has been gone since last night, and I'm worried sick."
3040124,304,7,"JAKOVASAURS","CARTMAN","You mean the other jakovasaur?"
3040125,304,7,"JAKOVASAURS","JAKOVASAUR","What means a jakovasaur?"
3040126,304,7,"JAKOVASAURS","CARTMAN","You're a jakovasaur; that's what they call you."
3040127,304,7,"JAKOVASAURS","JAKOVASAUR","Oh. Cool beans."
3040128,304,7,"JAKOVASAURS","CARTMAN","But the other jakovasaur talked different."
3040129,304,7,"JAKOVASAURS","JAKOVASAUR","That's 'cause Junjun's a girl. Girls talk different."
3040130,304,7,"JAKOVASAURS","CARTMAN","I have to call my friends over; they're never gonna believe it."
3040131,304,7,"JAKOVASAURS","JAKOVASAUR","Please take me to Junjun. We're the last of our kind. There are only two of us left."
3040132,304,8,"JAKOVASAURS","description","Cartman's room. He's telling his friends what he learned"
3040133,304,8,"JAKOVASAURS","CARTMAN","He's the last of his kind, you guys. There's only two of them left."
3040134,304,8,"JAKOVASAURS","KYLE","Did you smoke some of your mom's crack?"
3040135,304,8,"JAKOVASAURS","CARTMAN","Will you stop with the whole ""mom smoking crack"" thing?! It's a old joke!"
3040136,304,8,"JAKOVASAURS","JAKOVASAUR","Eric, do you have any more cookies?"
3040137,304,8,"JAKOVASAURS","STAN","Who's that? One of your mom's boyfriends?"
3040138,304,8,"JAKOVASAURS","CARTMAN","No, that was a jakovasaur. It's okay to come in."
3040139,304,8,"JAKOVASAURS","STAN","Wow"
3040140,304,8,"JAKOVASAURS","CARTMAN","Jakov, I want you to meet my friends."
3040141,304,8,"JAKOVASAURS","JAKOV","Huhello, guys. I love new friends."
3040142,304,8,"JAKOVASAURS","CARTMAN","Hahahahaheh, isn't he funny?"
3040143,304,8,"JAKOVASAURS","STAN","No, he's annoying."
3040144,304,8,"JAKOVASAURS","KYLE","What are we supposed to do with him?"
3040145,304,8,"JAKOVASAURS","CARTMAN","We have to take him to that rancher's barn to see his girlfriend."
3040146,304,8,"JAKOVASAURS","STAN","Why don't we just tell our parents?"
3040147,304,8,"JAKOVASAURS","CARTMAN","No! Why don't you wanna to understand? We have to do this ourselves."
3040148,304,9,"JAKOVASAURS","description","The rancher's barn, that same night. The boys break into the barn with Jakov"
3040149,304,9,"JAKOVASAURS","STAN","Sshh! Be quit. We could get in big trouble for being here."
3040150,304,9,"JAKOVASAURS","JAKOV","Junjun!"
3040151,304,9,"JAKOVASAURS","STAN","Sh! Keep quiet, stupid!"
3040152,304,9,"JAKOVASAURS","JAKOV","Oh, Junjun, I'm so glad you're okay!"
3040153,304,9,"JAKOVASAURS","KYLE","Dude, have you ever heard of whispering?!"
3040154,304,9,"JAKOVASAURS","JAKOV","I am whispering!  Yyeow!"
3040155,304,9,"JAKOVASAURS","CARTMAN","Haaahahahah. You're so funny, Jakov."
3040156,304,9,"JAKOVASAURS","JAKOV","I am?"
3040157,304,9,"JAKOVASAURS","STAN","Okay, uh, Jakov, why don't you just take bunga here and go back to Stark's Pond?"
3040158,304,9,"JAKOVASAURS","JAKOV","Oh, I don't know. This place is kinda nicer than Stark's Pond."
3040159,304,9,"JAKOVASAURS","JUNJUN","Aw, we's in big doodoo now."
3040160,304,9,"JAKOVASAURS","JAKOV","Uh oh."
3040161,304,10,"JAKOVASAURS","description","Jimbo's lodge, daytime. Ned is on the phone"
3040162,304,10,"JAKOVASAURS","OPERATOR","Hello, and welcome to Voice Box Express, your #1 source for voice boxes. I'm Amanda. How may I help you?"
3040163,304,10,"JAKOVASAURS","NED","Yes... Hello..., um..., I... lost... my... voice... box..."
3040164,304,10,"JAKOVASAURS","AMANDA","Excuse me?"
3040165,304,10,"JAKOVASAURS","NED","I... lost... my... voice... box..."
3040166,304,10,"JAKOVASAURS","AMANDA","Excuse me?"
3040167,304,10,"JAKOVASAURS","NED","I... lost... my... voice... box..."
3040168,304,10,"JAKOVASAURS","JIMBO","Hey Ned, look what I bought you! A new voice box!  You want it? You want it? Yeah! Do you? Yeah! You want it? All right, here you go.  Well, try it out!"
3040169,304,10,"JAKOVASAURS","NED","Mmm. Aw, Jimbo, I can't thank you enough for the new voice box. Gmmm, now, what in the devil is this thing?"
3040170,304,10,"JAKOVASAURS","JIMBO","Oh, no, I must have picked up the Irish model by mistake."
3040171,304,10,"JAKOVASAURS","NED","Mmm-aw, what a bloody pickle this is! Did you keep the receipt, then?"
3040172,304,10,"JAKOVASAURS","MAN","You guys come quick! I've only just heard!"
3040173,304,10,"JAKOVASAURS","JIMBO","What? What is it?"
3040174,304,10,"JAKOVASAURS","MAN","They've found another one! They've found another jakovasaur!"
3040175,304,10,"JAKOVASAURS","NED","Gmmm, blimey."
3040176,304,11,"JAKOVASAURS","description","South Park Square. The Mayor stands on stage with the DOI agents and the two jakovasaurs as the townsfolk filter in. The boys stand in front of the steps on the left side of the stage"
3040177,304,11,"JAKOVASAURS","MAYOR","Here with more on the status of the jakovasaurs is Department of Interior guy."
3040178,304,11,"JAKOVASAURS","DOI 1","Thank you, Mayor.  The noble jakovasaur is on the brink of extinction. And now, you, as a community, have a chance to bring them back."
3040179,304,11,"JAKOVASAURS","CARTMAN","""Thank you, Mayor, for this distinctive honor..."""
