"id","ep_num","segment","title","role","text"
6010001,601,1,"JARED HAS AIDES","description","Cartman's hosue, living room, day. Cartman, Stan, and Kyle are on the sofa laughing as Cartman does some prank calls"
6010002,601,1,"JARED HAS AIDES","CARTMAN","Shu- shut up you gurs, shut up you guys."
6010003,601,1,"JARED HAS AIDES","CITY WOK OWNER","Herro, Shitty Wok, take your order prease."
6010004,601,1,"JARED HAS AIDES","CARTMAN","Hello, is this City Wok?"
6010005,601,1,"JARED HAS AIDES","CITY WOK OWNER","Yes, this Shitty Wok."
6010006,601,1,"JARED HAS AIDES","CARTMAN","Uh, yes, we'd like one order of the City Beef."
6010007,601,1,"JARED HAS AIDES","CITY WOK OWNER","Shitty Beef..."
6010008,601,1,"JARED HAS AIDES","KYLE","Aha, and I'll have the City Chicken."
6010009,601,1,"JARED HAS AIDES","CITY WOK OWNER","Shitty Chicken..."
6010010,601,1,"JARED HAS AIDES","STAN","Oh, dude, look!  It's that commercial with the guy that lost 400 pounds eating at Subway Sandwiches!"
6010011,601,2,"JARED HAS AIDES","description","Commercial. The first thing on the screen is a submarine sandwich. It pans across the screen."
6010012,601,2,"JARED HAS AIDES","SINGER","He's still lookin' good!"
6010013,601,3,"JARED HAS AIDES","description","a man appears eating a footlong subway sandwich. The name ""JARED VOGLE"" appears on the screen near the bottom"
6010014,601,3,"JARED HAS AIDES","His name is Jared",""
6010015,601,4,"JARED HAS AIDES","description","he struts down a sidewalk. ""LOST 262 LBS."" appears on the screen"
6010016,601,4,"JARED HAS AIDES","His name is Jared and he likes to eat the sandwiches...",""
6010017,601,5,"JARED HAS AIDES","description","a side shot of Jared walking smoothly behind a white picket fence in Downtown, then of slices of a party sub, then of the first sandwich"
6010018,601,6,"JARED HAS AIDES","description","Cartman living room. Butters walks in"
6010019,601,6,"JARED HAS AIDES","BUTTERS","Uh hey, fellas."
6010020,601,6,"JARED HAS AIDES","STAN","Hey Kenny"
6010021,601,6,"JARED HAS AIDES","BUTTERS","Now gosh darnit, my name's not Kenny! Kenny's dead, and you're all gonna have to learn to deal with it!"
6010022,601,6,"JARED HAS AIDES","KYLE","Okay, Not-Kenny."
6010023,601,7,"JARED HAS AIDES","description","Commercial continues"
6010024,601,7,"JARED HAS AIDES","ANNOUNCER","Hey South Park!  You can meet Jared IN PERSON March 6th at the Kenny McCormick Memorial Town Square!"
6010025,601,7,"JARED HAS AIDES","BUTTERS","Woh, boy! Jared's comin' to town!"
