"id","ep_num","segment","title","role","text"
3090001,309,1,"JEWBILEE","description","The Broflovski house. Gerald and Sheila are with Ike at his changing table in his room."
3090002,309,1,"JEWBILEE","KYLE'S MOTHER","Hold still, Ike! We have to get you dressed! Where the heck is Kyle?"
3090003,309,1,"JEWBILEE","KYLE'S FATHER","I don't kow. Come on, Kyle! You're gonna be late for Jew Scouts!"
3090004,309,2,"JEWBILEE","description","Kyle looks in the bathroom mirror to make sure everything is set, and hums. Both he and Kyle have little pigtails hanging from their hair."
3090005,309,2,"JEWBILEE","KYLE'S MOTHER","Kyle!"
3090006,309,2,"JEWBILEE","KYLE","I'm coming, Ma!"
3090007,309,2,"JEWBILEE","KYLE'S MOTHER","Go get the door, Kyle!"
3090008,309,2,"JEWBILEE","KYLE","""Get ready,"" ""answer the door,"" Jesus Christ, make up your frickin' mind!"
3090009,309,3,"JEWBILEE","description","The living room. Kyle walks across to the front door and opens it"
3090010,309,3,"JEWBILEE","KYLE","Oh! Hey, Kenny."
3090011,309,3,"JEWBILEE","KENNY","(Kyle, I'm gonna camp and watch the meteor shower. Do you wanna come and see it with me?)"
3090012,309,3,"JEWBILEE","KYLE","I can't watch the meteor shower with you, Kenny. I have to go to Jewbilee."
3090013,309,3,"JEWBILEE","KENNY","(What's that?)"
3090014,309,3,"JEWBILEE","KYLE","It's what we do in Jew Scouts. Usually we just sit around and make stuff. But tonight, because there's a meteor shower, we're gonna do some big thing out in the woods. It's gonna suck ass, I'm sure."
3090015,309,3,"JEWBILEE","KENNY","(Oh, that's alright.)"
3090016,309,3,"JEWBILEE","KYLE","Hey! Maybe you can come with me. Then it won't suck so hard."
3090017,309,3,"JEWBILEE","KENNY","(Really?)"
3090018,309,3,"JEWBILEE","KYLE","Mom? Can Kenny go to Jewbilee with me?"
3090019,309,3,"JEWBILEE","KYLE'S MOTHER","...Uhwell, Kyle, Jewbilee is sort of a ...special thing."
3090020,309,3,"JEWBILEE","KYLE","...Oh. Kenny isn't special?"
3090021,309,3,"JEWBILEE","KENNY","(Aw.)"
3090022,309,3,"JEWBILEE","KYLE'S MOTHER","No, no, you're very special, Kenny. It's just that... well, Jewbilee is... for Jewish kids."
3090023,309,3,"JEWBILEE","KYLE'S FATHER","You see boys, Jew Scouts is a special group that borrows a little bit from all different Jewish denominations. From the Orthodox Jews, from the Hasidic Jews, from the Northern Italy Cave Jews... But you have to believe the basic tenets of Judaism to be a Scout."
3090024,309,3,"JEWBILEE","KYLE","Kenny'll believe whatever you want him to."
3090025,309,3,"JEWBILEE","KENNY","(Yeah.)"
3090026,309,3,"JEWBILEE","KYLE'S MOTHER","Kyle, eh, the problem is-"
