"id","ep_num","segment","title","role","text"
5130001,513,1,"KENNY DIES","description","Unplanned Parenthood, day. It has undergone renovation, so it looks softer. It's snowing outside"
5130002,513,2,"KENNY DIES","description","Inside, operating room. A woman is waiting on a hospital bed. She's quite pregnant. A doctor enters the room with a cart housing everything he needs for his work, and approaches the bed"
5130003,513,2,"KENNY DIES","DOCTOR","Alright, Ms. Sanders, all ready for your abortion?"
5130004,513,2,"KENNY DIES","MS. SANDERS","Ready as I'm ever going to be, I guess."
5130005,513,2,"KENNY DIES","DOCTOR","Well, try to relax; It will all be over very soon."
5130006,513,2,"KENNY DIES","MS. SANDERS","Docter, can we turn off that television?"
5130007,513,2,"KENNY DIES","DOCTOR","Oh yes, I 'm sorry."
5130008,513,2,"KENNY DIES","Now, there is one more thing.",""
5130009,513,2,"KENNY DIES","MS. SANDERS","What?"
5130010,513,2,"KENNY DIES","DOCTOR","Have you heard of stem-cell research?"
5130011,513,2,"KENNY DIES","MS. SANDERS","Uh-I've heard of it on the news, but... I don't know what it is."
5130012,513,2,"KENNY DIES","DOCTOR","Well basically, a lot of amazing studies have shown that stem cells might be used to fight cancer and a myriad of other diseases. Right now, a lot of stem cells come from the tissue of aborted fetuses-  ah I'm sorry, unwanted children. And if you sign a release, that tissue can go to studies"
5130013,513,2,"KENNY DIES","MS. SANDERS","Oh well, I suppose, if it can help others."
5130014,513,2,"KENNY DIES","DOCTOR","The hope is that someday it might."
5130015,513,2,"KENNY DIES","MS. SANDERS","Well okay."
5130016,513,2,"KENNY DIES","DOCTOR","Great.  Well, here we go."
5130017,513,3,"KENNY DIES","description","Hallway outside operating room. The sounds of abortion are heard, but the operation itself isn't seen. A janitor passes by with a vacuuum cleaner. The OR door opens and the doctor steps out with a small container"
5130018,513,3,"KENNY DIES","DOCTOR","Nurse?  This is to go to Alder's Labs for stem-cell research."
5130019,513,3,"KENNY DIES","NURSE","Yes, Doctor."
5130020,513,4,"KENNY DIES","description","The highway, moments later. The truck rolls along to ""On The Road Again."" and the driver joins in the singing"
5130021,513,4,"KENNY DIES","TRUCK DRIVER","...going places that I've never been"
5130022,513,4,"KENNY DIES","Seeing things that I may never see a- Uuugh! [a deer leaps into ","the read ahead of him and looks at him] Jesus Christ!! [swerves to avoid the deer and goes over a cliff, tumbling down its side. It lands somewhere below with its contents spilled all over the place. The driver is killed on impact, but the song continues to play...]"
5130023,513,5,"KENNY DIES","description","The highway, moments later. A Big Wheel rounds a corner..."
5130024,513,5,"KENNY DIES","CARTMAN","My baby takes the morning train and she takes another home again. Hmm. What do we have heah?"
5130025,513,6,"KENNY DIES","description","A cow pasture, later. Stan, Kyle, and Kenny sit among the cows burning cow dung. Kenny holds the match and lighter. The cows around them are grazing"
5130026,513,6,"KENNY DIES","STAN","Well that burned a long time."
5130027,513,6,"KENNY DIES","KYLE","Yeah, that was pretty good."
5130028,513,6,"KENNY DIES","STAN","Oh dude, there goes one."
5130029,513,6,"KENNY DIES","KYLE","'K go!"
5130030,513,6,"KENNY DIES","STAN, KYLE","Alright!"
5130031,513,6,"KENNY DIES","KENNY","(That's awesome)"
5130032,513,6,"KENNY DIES","KYLE","You've had that cough a while, Kenny. You okay?"
5130033,513,6,"KENNY DIES","KENNY","(All right. I'm fine.)"
5130034,513,6,"KENNY DIES","BUTTERS","Hehehey, fellas! Ah, hey fellas!"
5130035,513,6,"KENNY DIES","STAN","What, Butters?"
5130036,513,6,"KENNY DIES","BUTTERS","Eric says you gotta come to his house right away."
5130037,513,6,"KENNY DIES","STAN","Tell him we're busy."
5130038,513,6,"KENNY DIES","BUTTERS","Oh, ah, well, he knew you'd say that, so, he told me to tell you that you don't wanna miss this."
5130039,513,6,"KENNY DIES","KYLE","What, did he lose a hundred pounds?"
5130040,513,6,"KENNY DIES","BUTTERS","Yeah, he ah knew you'd say that, too, so he said t'say, ah, up your ass, Jew. Yeah."
5130041,513,6,"KENNY DIES","STAN","Alright, let's go see what he wants."
5130042,513,6,"KENNY DIES","BUTTERS","Oh, it's all sticky."
5130043,513,7,"KENNY DIES","description","Cartman's house, minutes later. The three other boys approach him in the living room. Cartman can barely contain his glee."
5130044,513,7,"KENNY DIES","KYLE","Alright, Cartman! What's so important you had to pull us away from lighting cow crap on fire?!"
5130045,513,7,"KENNY DIES","CARTMAN","Oh you guys, you're not gonna believe it!"
5130046,513,7,"KENNY DIES","STAN","What?"
5130047,513,7,"KENNY DIES","CARTMAN","Guess what I have sitting in my back yard?"
5130048,513,7,"KENNY DIES","KYLE","A trampoline?"
5130049,513,7,"KENNY DIES","CARTMAN","Better."
5130050,513,7,"KENNY DIES","STAN","A boat?"
5130051,513,7,"KENNY DIES","CARTMAN","Better."
5130052,513,7,"KENNY DIES","KENNY","(A football machine?)"
5130053,513,7,"KENNY DIES","CARTMAN","Better."
5130054,513,7,"KENNY DIES","STAN","Well WHAT, Cartman?"
5130055,513,7,"KENNY DIES","CARTMAN","Thirty-three aborted fetuses.  Oh yes."
5130056,513,7,"KENNY DIES","KYLE","...What?"
5130057,513,7,"KENNY DIES","CARTMAN","Mint condition, tax free."
5130058,513,7,"KENNY DIES","STAN","Cartman, what the hell are you doing with aborted fetuses?!"
5130059,513,7,"KENNY DIES","KYLE","I'm leaving right now!"
5130060,513,7,"KENNY DIES","CARTMAN","Oh, I guess you don't watch the news, Kyle!"
5130061,513,7,"KENNY DIES","KYLE","You've never watched the news, fatass! And what the hell does that have to do with anything?!"
5130062,513,7,"KENNY DIES","CARTMAN","Stem cells, numbnuts!"
5130063,513,7,"KENNY DIES","STAN","Stem cells?"
5130064,513,7,"KENNY DIES","KYLE","Oh, and what do you know about stem cells?!"
5130065,513,7,"KENNY DIES","KENNY","(What the fuck are stem cells?)"
5130066,513,7,"KENNY DIES","KYLE","They're cells that come from fetuses, and some research show that they could be used to treat diseases."
5130067,513,7,"KENNY DIES","CARTMAN","It's been proven, Jew! I saw it on 3-2-1 Contact. With all the research that's going on, stem cells are worth three times their weight in gold. What I have in my back yard is an aborted treasure chest."
5130068,513,7,"KENNY DIES","KYLE","...I hate you so much."
5130069,513,7,"KENNY DIES","CARTMAN","Fine! I don't need you assholes! I can sell these fetuses all on my own!"
5130070,513,8,"KENNY DIES","description","Cartman's house, later. He's up in his room placing cold calls to business he finds in the Yellow Pages."
5130071,513,8,"KENNY DIES","CARTMAN","Hello. Is this theee University of Colorado Biology Department? ...Great, uh I understand you're corrently doing research on stem cells? Kewl, because I'm currently in possession of somesah aborted fetuses that I'm looking to unload? ...Uh, how much do you pay? ...No, no, come on, ah I got a guy who's gonna give me eighty dollars a pound right now. ...How about a hundred? ...Oh you're breaking my balls- I, I'll think about it."
5130072,513,9,"KENNY DIES","description","later"
5130073,513,9,"KENNY DIES","Bosnod Medical Group? ...Yeah, I called earlier about the stem ","cells and the fetuses? ...Okay, hi Randy, yeah. ...Oh yes, they've been kept in a cool temperature, yeah. ...These are primo fetuses, Randy, I wouldn't jerk you around. ...So what can your company give me for 'em? ...Oh Randy, you're breaking my balls here. ...You're breaking my balls, Randy."
5130074,513,10,"KENNY DIES","description","later"
5130075,513,10,"KENNY DIES","Oh plehease! Okay, you tell me where you can get aborted fetuses ","for seventy cents on the dollar? You tell me, Chuck? ...Yeah, I didn't think so-You know, I'm just like the fetuses, Chuck. I wasn't born yesterday, either. Uh huh. ...So are you gonna talk to me, or are we just gonna keep bullshitting each other? Breakin' my balls, Chuck."
5130076,513,11,"KENNY DIES","description","later"
5130077,513,11,"KENNY DIES","I gotta unload these fetuses, you wannan do some research. Are ","we talkin' here or what? You're breaking my balls. ...I'm telling you, if you let this deal pass you by, you're making a fetal mistake. [suddenly grins and covers the receiver with his right hand] That's a joke [removes his hand from the receiver] ...A hundred ten. ...Alright, alright, we got a deal. ...Good bye. [hangs up and relaxes, putting his feet up on his desk and his hands behind his head] Damn I'm good."
5130078,513,12,"KENNY DIES","description","Alder Research Group, some days later. Cartman enters, hauling the thirty-three aborted fetuses behind him in a wagon. Workers around the lab move stuff around"
5130079,513,12,"KENNY DIES","RECEPTIONIST","Can I help you?"
5130080,513,12,"KENNY DIES","CARTMAN","Yes, I'm making a delivery of these fetuses hyam?"
5130081,513,12,"KENNY DIES","RECEPTIONIST","Oh, right, the fetuses. We were very lucky you called. Our last shipment of fetuses was lost in a truck accident."
5130082,513,12,"KENNY DIES","CARTMAN","Gee, that's terrible. So, uh who do I talk to about payment?"
5130083,513,12,"KENNY DIES","RESEARCHER","This is awful, just awful!"
5130084,513,12,"KENNY DIES","RECEPTIONIST","Oh Larry! This young man has some new fetuses for research."
5130085,513,12,"KENNY DIES","CARTMAN","You're gonna love these fetuses, Larry. They're top notch"
5130086,513,12,"KENNY DIES","LARRY","Oh well, I'm sorry, but we can't buy those from you now."
5130087,513,12,"KENNY DIES","CARTMAN","...What?! We made a deal, Larry! I brought them all the way down here already!"
5130088,513,12,"KENNY DIES","LARRY","I'm afraid the government has just put a ban on stem-cell research."
5130089,513,12,"KENNY DIES","RECEPTIONIST","A ban? Why?"
5130090,513,12,"KENNY DIES","LARRY","Too many people were upset about using aborted fetal tissue for a study. It's too bad, too. We really coulda helped a lot of people."
5130091,513,12,"KENNY DIES","CARTMAN","Ay! What the hell am I supposed to do with these things, huh?! God-damnit!"
5130092,513,13,"KENNY DIES","description","South Park Elementary, next day. The kids are filling their seats. Stan and Kyle enter the classroom"
5130093,513,13,"KENNY DIES","STAN","Dude, it looks like Cartman and Kenny are ditching school again."
5130094,513,13,"KENNY DIES","KYLE","Yeah, they're gonna get busted again."
5130095,513,13,"KENNY DIES","MS. CHOKSONDIK","Alright, class, let's take our seats. Now, uh, before we get started, Stan and Kyle? Uh, the principal needs to see you in her office."
5130096,513,13,"KENNY DIES","STAN","The principal? Aw, come on!"
5130097,513,13,"KENNY DIES","KYLE","We don't know where Cartman is, Ms. Choksondik!"
5130098,513,13,"KENNY DIES","MS. CHOKSONDIK","She needs to see you now!"
5130099,513,13,"KENNY DIES","KYLE","Aw man, here we go again! Use the Jew as a scapegoat."
