"id","ep_num","segment","title","role","text"
7020001,702,1,"KRAZY KRIPPLES","description","South Park, day. Now showing at the South Park Community Theatre"
7020002,702,2,"KRAZY KRIPPLES","description","Fanfare begins with a drumroll, a spotlight hits its mark on stage and an announcer speaks"
7020003,702,2,"KRAZY KRIPPLES","ANNOUNCER","Ladies and Gentlemen, give it up for JIMMY!  Thank you! Wow. What a terrific audience.  I know what most of you are thinking. ""Hey, uh-that guy stole my show...""  Wow, what a great audience. And how about this Michael Jackson guy, huh? I mean, come on...  Wow, what a great audience.  Uh... l... lights, please?"
7020004,702,2,"KRAZY KRIPPLES","BUTTERS","Hey Jimmy."
7020005,702,2,"KRAZY KRIPPLES","JIMMY","Butters, w-where is everybody?"
7020006,702,2,"KRAZY KRIPPLES","BUTTERS","Oh yeah, well, about that... Christopher Reeve came to town to do some kind of show, and everyone went to see him."
7020007,702,2,"KRAZY KRIPPLES","JIMMY","Christopher Reeve? Christopher Reeve?!"
7020008,702,2,"KRAZY KRIPPLES","BUTTERS","You know, Christopher Reeve, the guy who played Superman."
7020009,702,2,"KRAZY KRIPPLES","JIMMY","I know who he is! But why is everyone ditching my comedy show to see him?!"
7020010,702,2,"KRAZY KRIPPLES","BUTTERS","Ww-well, because he got crippled, but now he can move his finger. He is an inspiration to us all. That's why everyone ditched on your show."
7020011,702,2,"KRAZY KRIPPLES","JIMMY","So then, how come you came?"
7020012,702,2,"KRAZY KRIPPLES","BUTTERS","Well, because I said I would. Oh, I'm a dork, huh?"
7020013,702,3,"KRAZY KRIPPLES","description","South Park Town Sq... Kenny McCormick Memorial Town Square. Mayor McDaniels is on stage with her aides. Above them a banner reads ""STEM CELL RESEARCH."" A crowd of people has formed in front of the stage"
7020014,702,3,"KRAZY KRIPPLES","MAYOR MCDANIELS","And so without further ado, here's the most courageous, most amazing man on the planet, Christopher Reeve."
7020015,702,3,"KRAZY KRIPPLES","REEVE","Thank you, thank you, wow, what a great audience.  I just flew into South Park. Used to be I didn't need an airplane."
7020016,702,3,"KRAZY KRIPPLES","TOWNSPEOPLE","Awwwww."
7020017,702,3,"KRAZY KRIPPLES","REEVE","As most of you know,  I am a strong supporter of stem-cell research."
7020018,702,3,"KRAZY KRIPPLES","JIMMY","Say, fellas! Thanks a lot for goin' to my ...c-comedy show!"
7020019,702,3,"KRAZY KRIPPLES","CARTMAN","We didn't go to your comedy show."
7020020,702,3,"KRAZY KRIPPLES","JIMMY","I know that, I was being f-f-f-fa...cetious!"
7020021,702,3,"KRAZY KRIPPLES","STAN","Look, dude. Christopher Reeve, dude."
7020022,702,3,"KRAZY KRIPPLES","JIMMY","Ooh, Christopher Reeve! Whoop-de-freakin-do!"
7020023,702,3,"KRAZY KRIPPLES","KYLE","Dude, that's not cool. You shouldn't make fun of Christopher Reeve."
7020024,702,3,"KRAZY KRIPPLES","STAN","Yeah dude, not cool."
7020025,702,3,"KRAZY KRIPPLES","REEVE","Though it is controversial,  stem cell research is critical  in the quest for helping  the disabled."
7020026,702,3,"KRAZY KRIPPLES","JIMMY","I put together a comedy show and I was crippled from BIRTH!"
7020027,702,3,"KRAZY KRIPPLES","STAN","Uh, hoo. Guys, I think we'd better stay out of this one."
7020028,702,3,"KRAZY KRIPPLES","KYLE","Yeah, this is starting to look like something we shouldn't be any part of. Let's go play with trucks or something."
7020029,702,3,"KRAZY KRIPPLES","TIMMY","Ha-a-aaa-haaa-a."
7020030,702,3,"KRAZY KRIPPLES","JIMMY","Can you believe this asswipe, Timmy?"
7020031,702,3,"KRAZY KRIPPLES","TIMMY","Timmeh!!"
7020032,702,3,"KRAZY KRIPPLES","JIMMY","Why is a celebrity who became crippled more important than us that were born that way, very much."
7020033,702,3,"KRAZY KRIPPLES","TIMMY","Rrruh Timmeh!"
7020034,702,3,"KRAZY KRIPPLES","REEVE","In the coming days  I will prove to the world  that stem-cell research is a miracle."
7020035,702,4,"KRAZY KRIPPLES","description","The bus stop, day. The boys are on the snow playing with their trucks."
7020036,702,4,"KRAZY KRIPPLES","CARTMAN","Beep beep beep. Move it, Kenny! Beep."
7020037,702,4,"KRAZY KRIPPLES","JIMMY","Hey there fellas."
7020038,702,4,"KRAZY KRIPPLES","STAN","Oh hey Jimmy, hey Timmy."
7020039,702,4,"KRAZY KRIPPLES","TIMMY","Timmih!"
7020040,702,4,"KRAZY KRIPPLES","JIMMY","Say, would you guys like to join our club? Oh, I'm sorry. You can't. You aren't crippled."
7020041,702,4,"KRAZY KRIPPLES","KYLE","What?"
7020042,702,4,"KRAZY KRIPPLES","JIMMY","To be in our club, not only do you have to be c-c-crippled, but you have to have been born that way. Do you know what that means? No butthole Superman asswipe Christopher Reeve!"
7020043,702,4,"KRAZY KRIPPLES","STAN","That's nice, guys. We're just gonna stay out of this one."
7020044,702,4,"KRAZY KRIPPLES","CARTMAN","Hey, wait a minute!  You guys can't just start a club and tell me I can't be in it!"
7020045,702,4,"KRAZY KRIPPLES","JIMMY","Sorry, able-bodied, you can't join."
7020046,702,4,"KRAZY KRIPPLES","CARTMAN","Can too!"
7020047,702,4,"KRAZY KRIPPLES","JIMMY","Hey Timmy. How many able-bodied people does it take to screw in a light bulb? One.  You know what you call an able-bodied guy on the doorstep? Whatever his name is."
7020048,702,4,"KRAZY KRIPPLES","CARTMAN","Oh God-damnit!!"
