"id","ep_num","segment","title","role","text"
7060001,706,1,"LIL  CRIME STOPPERS","description","South Park neighborhood, day. The boys walk up to Butters' house. Stan knocks on the door. The door opens and Butters' father looks out"
7060002,706,1,"LIL  CRIME STOPPERS","CHRIS","Yes?  Oh, hello, boys."
7060003,706,1,"LIL  CRIME STOPPERS","CARTMAN","Hello, sir. South Park Junior Detectives. We're wondering if you have any crimes to be solved, for a dollar."
7060004,706,1,"LIL  CRIME STOPPERS","CHRIS","Oooo, little crime stoppers, huh? Well, I'm afraid I don't have any crimes I need solved right now."
7060005,706,1,"LIL  CRIME STOPPERS","KYLE","Awww, shit!"
7060006,706,1,"LIL  CRIME STOPPERS","STAN","All right, sir, well, please call us if you need anything."
7060007,706,1,"LIL  CRIME STOPPERS","CHRIS","I'll do that. Have fun, boys."
7060008,706,1,"LIL  CRIME STOPPERS","CARTMAN","Stupid assholes!  How come nobody has a crime to solve?"
7060009,706,1,"LIL  CRIME STOPPERS","KYLE","Yeah, maybe starting a detective club isn't such a bright idea."
7060010,706,1,"LIL  CRIME STOPPERS","STAN","It's a great idea, we just have to keep working at it."
7060011,706,1,"LIL  CRIME STOPPERS","OLD WOMAN","Oh, hello there boys."
7060012,706,1,"LIL  CRIME STOPPERS","STAN","Hello, ma'am, we're detectives with the South Park Crime Unit. Do you have any crimes you need to be solved, for a dollar?"
7060013,706,1,"LIL  CRIME STOPPERS","OLD WOMAN","Ohh, neighborhood detectives, huh? Well let me thi-oh yes! There is something!"
7060014,706,1,"LIL  CRIME STOPPERS","KYLE","Really?"
7060015,706,1,"LIL  CRIME STOPPERS","OLD WOMAN","Yes. Two days ago I put a fresh baked cherry pie out on my window sill to cool.  And later, when I went to get it, it was gone."
7060016,706,1,"LIL  CRIME STOPPERS","CARTMAN","My God..."
7060017,706,1,"LIL  CRIME STOPPERS","STAN","Have you reported this to any other authorities?"
7060018,706,1,"LIL  CRIME STOPPERS","OLD WOMAN","Noo, but I think it's a perfect case for you kids."
7060019,706,1,"LIL  CRIME STOPPERS","KYLE","Cool! We'll see what we can find, ma'am."
7060020,706,1,"LIL  CRIME STOPPERS","STAN","We're on the case."
7060021,706,2,"LIL  CRIME STOPPERS","description","The old woman's house, backyard."
7060022,706,2,"LIL  CRIME STOPPERS","CARTMAN","What have you got, Marsh?"
7060023,706,2,"LIL  CRIME STOPPERS","STAN","Detective McCormick found something interesting."
7060024,706,2,"LIL  CRIME STOPPERS","CARTMAN","Jesus, we're too late."
7060025,706,2,"LIL  CRIME STOPPERS","KYLE","I think we can piece this case together now."
7060026,706,3,"LIL  CRIME STOPPERS","description","The old woman's house, living room. She and her husband sit back in arm chairs looking at news. The door opens and the boys rush in with the pie tin"
7060027,706,3,"LIL  CRIME STOPPERS","OLD WOMAN","My pie tin! Oooh, but what happened to the pie?"
7060028,706,3,"LIL  CRIME STOPPERS","KYLE","Well, we've all talked it through and we've come up with a theory."
7060029,706,3,"LIL  CRIME STOPPERS","OLD MAN","Well, what do you thnk happened, little detectives?"
7060030,706,3,"LIL  CRIME STOPPERS","STAN","You said you set the pie in the window sill, where it must have sat for some time.  But its sweet smell attracted the attention of somebody."
7060031,706,3,"LIL  CRIME STOPPERS","KYLE","Your husband.  He wanted that pie badly, but he knew that he was not allowed to eat it yet."
