"id","ep_num","segment","title","role","text"
1120001,112,1,"Mecha Striesand","and girls.",""
1120002,112,1,"Mecha Striesand","ANTHROPOLOGIST","And so, these ancient arrowheads are buried deep down in the Earth's crust! We dig 'em up, polish 'em off and find over twelve new arrowheads every month!"
1120003,112,1,"Mecha Striesand","CARTMAN","Booorrrring."
1120004,112,1,"Mecha Striesand","The kids all laugh.",""
1120005,112,1,"Mecha Striesand","MR. GARRISON","Eric, keep quiet! I'm trying to sleep!"
1120006,112,1,"Mecha Striesand","Garrison is lying on rock with a newspaper over his face.",""
1120007,112,1,"Mecha Striesand","ANTHROPOLOGIST","Now, can anybody tell me WHO left these arrowheads here?"
1120008,112,1,"Mecha Striesand","STAN","(Hand raised) Isn't that YOUR job?"
1120009,112,1,"Mecha Striesand","ANTHROPOLOGIST","Well, yes, but I want to see if you're learning anything."
1120010,112,1,"Mecha Striesand","STAN","(This is new) Oh."
1120011,112,1,"Mecha Striesand","ANTHROPOLOGIST","Okay, I tell you what, why don't we all grab our little anthropology pic axes that were handed out, and we'll dig for our very own Indian Arrowheads!!"
1120012,112,1,"Mecha Striesand","The kids all cheer and start digging.",""
1120013,112,1,"Mecha Striesand","As Cartman swings his pic axe, he immediately starts to sing.",""
1120014,112,1,"Mecha Striesand","CARTMAN","(Singing) Day is never finished Masa got me working Some day masa set me free..."
1120015,112,1,"Mecha Striesand","STAN","Dude, shut up, Cartman!"
1120016,112,1,"Mecha Striesand","PIP","OOH! OOH! I think I found one!!"
1120017,112,1,"Mecha Striesand","But Cartman has hold of the other end.",""
1120018,112,1,"Mecha Striesand","CARTMAN","No, I found it!"
1120019,112,1,"Mecha Striesand","Cartman and Pip hold the large arrowhead by opposite ends.",""
1120020,112,1,"Mecha Striesand","PIP","Oh, I do believe I found it first."
1120021,112,1,"Mecha Striesand","CARTMAN","No, I did, Pip!!"
1120022,112,1,"Mecha Striesand","PIP","Oh, dear..."
1120023,112,1,"Mecha Striesand","CARTMAN","Well, guess we'll have to Roshambo for it."
1120024,112,1,"Mecha Striesand","PIP","What do you mean?"
1120025,112,1,"Mecha Striesand","CARTMAN","Well, first I kick you in the nuts as hard as I can. Then you kick ME in the nuts as hard as YOU can. And we keep going back and forth until somebody falls. Last one standing gets the arrowhead."
1120026,112,1,"Mecha Striesand","PIP","Oh, my. Well, I suppose if I must..."
1120027,112,1,"Mecha Striesand","CARTMAN","Okay, ready? I'll go first."
1120028,112,1,"Mecha Striesand","Cartman takes a step and hauls off, kicking Pip square in ","the balls. Pip immediately turns blue and falls to the ground coughing."
1120029,112,1,"Mecha Striesand","Cartman looks pleased.",""
1120030,112,1,"Mecha Striesand","After Pip stops coughing, he finally manages to speak.",""
1120031,112,1,"Mecha Striesand","PIP","Well, I guess you win."
1120032,112,1,"Mecha Striesand","CARTMAN","Oh, I don't care, you can have the stupid arrowhead. I don't want it."
1120033,112,1,"Mecha Striesand","Cartman tosses the arrowhead down to Pip, who is still lying ","painfully in the dirt."
1120034,112,1,"Mecha Striesand","The kids all go back to digging.",""
1120035,112,1,"Mecha Striesand","CARTMAN","Day is never finished Masa got me working... Oh, look I found another one!"
1120036,112,1,"Mecha Striesand","Cartman cleans off the dirt, and sees that he is actually ","holding a large, stone triangle with ancient symbols and writing on it."
1120037,112,1,"Mecha Striesand","CARTMAN","Aw, this is just a stupid triangle!"
1120038,112,1,"Mecha Striesand","Cartman tosses the triangle over his shoulder. It hits the ","ground and Kyle picks it up."
1120039,112,1,"Mecha Striesand","KYLE","Woa, check it out, dude. It's got little drawings on it."
1120040,112,1,"Mecha Striesand","Kyle holds up the large, stone triangle revealing that it ","does have a strange symbol on it."
1120041,112,1,"Mecha Striesand","STAN","What's is it?"
1120042,112,1,"Mecha Striesand","KYLE","I don't know."
1120043,112,1,"Mecha Striesand","Suddenly, the triangle lets out a small yellow glow.",""
1120044,112,1,"Mecha Striesand","STAN","Woa!"
1120045,112,1,"Mecha Striesand","KYLE","That was cool!"
1120046,112,1,"Mecha Striesand","CARTMAN","Hey, give me that back!"
1120047,112,1,"Mecha Striesand","KYLE","You threw it away, Cartman! It's MINE now!"
1120048,112,1,"Mecha Striesand","CARTMAN","We'll Roshambo for it."
1120049,112,1,"Mecha Striesand","KYLE","No way, fatty! It's mine!!"
1120050,112,1,"Mecha Striesand","CARTMAN","Anthropologist!!!!!!"
1120051,112,1,"Mecha Striesand","The Anthropologist walks over.",""
1120052,112,1,"Mecha Striesand","ANTHROPOLOGIST","How's it going, boys?"
1120053,112,1,"Mecha Striesand","CARTMAN","I found a magic triangle and this greedy son of a bitch took it from me!!"
1120054,112,1,"Mecha Striesand","KYLE","You threw it away, fatso!!"
1120055,112,1,"Mecha Striesand","ANTHROPOLOGIST","Let me see that."
1120056,112,1,"Mecha Striesand","Kyle gives him the triangle.",""
1120057,112,1,"Mecha Striesand","ANTHROPOLOGIST","Why, this is Anastasi writing! My God, this must must be thousands of years old!!"
1120058,112,1,"Mecha Striesand","CARTMAN","Come on! Let me kick you in the nuts for it!!"
1120059,112,1,"Mecha Striesand","INT. TELEVISION SET - NEWS STUDIO",""
1120060,112,1,"Mecha Striesand","ANCHOR","And finally tonight, a young boy from South Park, Colorado found something very interesting during a field trip today. Here with a special report is a quadriplegic Swiss man on a pony."
1120061,112,1,"Mecha Striesand","EXT. ARCHAEOLOGICAL DIG - DAY",""
1120062,112,1,"Mecha Striesand","A Quadriplegic Swiss man sits on a pony with another person ","holding a mic in front of his face."
1120063,112,1,"Mecha Striesand","QUADRIPLEGIC FIREMAN ON PONY","Thanks Tom, the little eight year old was very shocked indeed when he came across a very ancient triangular object."
1120064,112,1,"Mecha Striesand","CUT TO:",""
1120065,112,1,"Mecha Striesand","CLOSE UP on Kyle with a mic in his face.",""
1120066,112,1,"Mecha Striesand","KYLE","Well, I was just digging around and I was all like 'Dude, I found this triangle'. And my friends were all like, 'dude'. And I was all 'Dude'."
1120067,112,1,"Mecha Striesand","CUT TO:",""
1120068,112,1,"Mecha Striesand","CLOSE UP on Cartman with the mic on him.",""
1120069,112,1,"Mecha Striesand","CARTMAN","And I told him I said Kyle, I will kick you in the nuts. But he didn't give it back to me. So I kicked him square in the nuts... And he cried like Nancy Kerrigan."
1120070,112,1,"Mecha Striesand","KYLE (O.S.)","YOU LIAR, CARTMAN!!!"
1120071,112,1,"Mecha Striesand","CARTMAN","Screw you, triangle thief!!"
1120072,112,1,"Mecha Striesand","QUADRIPLEGIC FIREMAN ON PONY","And so the little boy will take his discovery home, and perhaps donate it to science... A little later. Back to you, Dave."
1120073,112,1,"Mecha Striesand","INT. TELEVISION SET - NEWS STUDIO",""
1120074,112,1,"Mecha Striesand","Back in the studio, the guy is at his desk, with a live image ","of the reporter behind him."
1120075,112,1,"Mecha Striesand","ANCHOR","Thanks, Tom. Those are some cute, cute kids. Except for that last one, he's a little tubby."
1120076,112,1,"Mecha Striesand","The image WHIPS to Cartman.",""
1120077,112,1,"Mecha Striesand","CARTMAN","HEY!!"
1120078,112,1,"Mecha Striesand","EXT. KYLE'S HOUSE - DAY",""
1120079,112,1,"Mecha Striesand","Establishing.",""
1120080,112,1,"Mecha Striesand","INT. KYLE'S HOUSE - DAY",""
1120081,112,1,"Mecha Striesand","The boys walk into Kyle's house.",""
1120082,112,1,"Mecha Striesand","STAN","What are you gonna do with it, dude?"
1120083,112,1,"Mecha Striesand","KYLE","I'm gonna put it in my room, where Cartman can't find it!!"
1120084,112,1,"Mecha Striesand","CARTMAN","Oh I'll find it, don't worry!!"
1120085,112,1,"Mecha Striesand","Kyle goes into his room and slams the door. Cartman tries ","the knob, but the door is locked."
1120086,112,1,"Mecha Striesand","CARTMAN","Goddammit! Give my triangle! Kyle! Seriously!"
1120087,112,1,"Mecha Striesand","STAN","You DID throw it away, Cartman."
1120088,112,1,"Mecha Striesand","CARTMAN","I was just setting it aside."
1120089,112,1,"Mecha Striesand","STAN","Well, you might as well let it go."
1120090,112,1,"Mecha Striesand","CARTMAN","Never! I'll get that triangle if it's the last thing I do!!"
1120091,112,1,"Mecha Striesand","INT. CAFETERIA - DAY",""
1120092,112,1,"Mecha Striesand","Chef is in the kitchen, stirring up a large bowl of something ","indistinguishable."
1120093,112,1,"Mecha Striesand","CHEF","(Rap/Singing) Gimme a little bit of that pepper. Gimme a little bit of that salt. Put it in the skillet and cook it-"
1120094,112,1,"Mecha Striesand","VOICE","Excuse me, sir..."
1120095,112,1,"Mecha Striesand","Chef turns around to see a plain looking man with a beard.",""
1120096,112,1,"Mecha Striesand","CHEF","Can I help -- Hey, you're that movie critic guy on TV!"
1120097,112,1,"Mecha Striesand","LEONARD MALTIN","Leonard Maltin, yes."
1120098,112,1,"Mecha Striesand","CHEF","Well I'll be a teenage girl backstage at an Aerosmith concert! Leonard Maltin in MY cafeteria! I'm Chef."
1120099,112,1,"Mecha Striesand","LEONARD MALTIN","I know who you are. You must listen to me, Chef. We have precious little time. Have you seen Barbara Streisand recently?"
1120100,112,1,"Mecha Striesand","CHEF","Barbara Streisand? You mean like, THE Barbara Streisand?"
1120101,112,1,"Mecha Striesand","LEONARD MALTIN","(Snapping) HAVE YOU SEEN HER?!?!"
