"id","ep_num","segment","title","role","text"
2160001,216,1,"MERRY CHRISTMAS  CHARLIE MANSON","STAN","But Mom, all the guys are going to Cartman's Grandma's for the weekend!"
2160002,216,1,"MERRY CHRISTMAS  CHARLIE MANSON","SHARON","I'm sorry, Stanley. I can't let you go all the way to Nebraska by yourself. It's the holidays."
2160003,216,1,"MERRY CHRISTMAS  CHARLIE MANSON","STAN","But all the other guys get to go to Cartman's Grandma's; why can't I?"
2160004,216,1,"MERRY CHRISTMAS  CHARLIE MANSON","SHARON","I'll leave it up to your father."
2160005,216,1,"MERRY CHRISTMAS  CHARLIE MANSON","RANDY","Eh, it's fine with me."
2160006,216,1,"MERRY CHRISTMAS  CHARLIE MANSON","SHARON","The answer is no, Stanley! Now go wash up for supper!"
2160007,216,1,"MERRY CHRISTMAS  CHARLIE MANSON","STAN","I don't want your lame-ass supper!"
2160008,216,1,"MERRY CHRISTMAS  CHARLIE MANSON","SHELLEY","Ew! You're gonna get it now!"
2160009,216,1,"MERRY CHRISTMAS  CHARLIE MANSON","SHARON","Go to your room, Stanley! Right now!"
2160010,216,1,"MERRY CHRISTMAS  CHARLIE MANSON","STAN","Can't tell me what to do! I'm eight years old!  I don't need this stupid family anyway!"
2160011,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","description","Outside the Cartman house. Liane is packing the boys' gear into her station wagon. Kyle's parents and Kenny's parents are seeing them off"
2160012,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","KYLE'S MOTHER","It's so nice of you to take all the boys with you"
2160013,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","LIANE","Oh, it's my pleasure. Eric loves his little friends."
2160014,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","CARTMAN","Every time I go to my Grandma's house, she gives me a present. You watch: as soon as I walk in the door she'll hand me a biiig present, for no reason, except that I'm cool."
2160015,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","KYLE","That's nice, Cartman."
2160016,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","STUART","Now, remember, if they have left-over turkey, put some in a bag and bring it home, okay?"
2160017,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","KENNY","(Okay.)"
2160018,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","STAN","Okay, let's go!"
2160019,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","CARTMAN","Oh, I didn't think you were coming, Stan."
2160020,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","STAN","'Course I'm coming! Come on, let's hurry!"
2160021,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","KYLE'S MOTHER","Goodbye, bubbe! Be careful!"
2160022,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","STUART","See you in a couple of days, son."
2160023,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","CARTMAN","Shotgun! It's my car, I call it first: shotgun!  Kenny, I called it shotgun! Damn it, Kenny, get in the back!  Hey, Kenny, there's a sale on orange jackets over there.  Look, Kenny, there's an elephant parade!  Ken-ny. Kenny, look. Look! Go get it , Go get it!  ha ha ha, you poor piece o'crap."
2160024,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","STAN","So, how far is it to Nebraska?"
2160025,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","LIANE","Around six hours."
2160026,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","KYLE","Oh my God! What the hell are we gonna do for six hours?"
2160027,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","LIANE","Well, I've got an idea. We could sing."
2160028,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","STAN","Yeah. Or, we could not."
2160029,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","CARTMAN","Let's sing that one Grandma song, Ma. How does it go?"
2160030,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","LIANE","Over the meadow and through the woods,"
2160031,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","Liane and Cartman	To Grandmother's house we go.",""
2160032,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","The horse knows the way to carry the sleigh",""
2160033,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","Through white and drifted snow.",""
2160034,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","4 HOURS LATER",""
2160035,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","Liane and Cartman	Over the meadow and through the woods,",""
2160036,216,2,"MERRY CHRISTMAS  CHARLIE MANSON","To Grandmother's house we go.",""
