"id","ep_num","segment","title","role","text"
9010001,901,1,"MR GARRISON S FANCY NEW VAGINA","description","Trinidad Medical Center, day. A very modern, futuristic-looking building is seen behind the sign. Inside, a doctor approaches a patient"
9010002,901,1,"MR GARRISON S FANCY NEW VAGINA","DOCTOR","Hello, Mr. Garrison, I'm Dr. Biber. I'll be performing your surgery today."
9010003,901,1,"MR GARRISON S FANCY NEW VAGINA","MR. GARRISON","God bless you, Doctor. I know you'll make me well again."
9010004,901,1,"MR GARRISON S FANCY NEW VAGINA","DR. BIBER","Now, you're absolutely sure you want a vaginoplasty?"
9010005,901,1,"MR GARRISON S FANCY NEW VAGINA","MR. GARRISON","My whole life I've been a woman trapped in a man's body. A sex-change operation is my last chance at happiness."
9010006,901,1,"MR GARRISON S FANCY NEW VAGINA","DR. BIBER","All right, then let's begin.  Just relax, Mr. Garrison. I think if more people could just see a sex-change operation, they would know how perfectly natural it is. The first thing I'm going to do is slice your balls."
9010007,901,1,"MR GARRISON S FANCY NEW VAGINA","MR. GARRISON","Ough, ergh. Eww."
9010008,901,1,"MR GARRISON S FANCY NEW VAGINA","DR. BIBER","With the scrotum open, I can now discard of your testicles."
9010009,901,1,"MR GARRISON S FANCY NEW VAGINA","MR. GARRISON","So long, balls."
9010010,901,1,"MR GARRISON S FANCY NEW VAGINA","DR. BIBER","Now, I'll just continue the incision up the shaft of the penis."
9010011,901,1,"MR GARRISON S FANCY NEW VAGINA","MR. GARRISON","Oh, that stings."
9010012,901,1,"MR GARRISON S FANCY NEW VAGINA","DR. BIBER","Now I'll just... turn your... penis inside out."
9010013,901,1,"MR GARRISON S FANCY NEW VAGINA","MR. GARRISON","OH! Oh jeez."
9010014,901,1,"MR GARRISON S FANCY NEW VAGINA","DR. BIBER","All we need to do now is ...stuff the ...unskinned penis inside your... pelvis... And now I'll use the skin from your penis to make vaginal lips."
9010015,901,1,"MR GARRISON S FANCY NEW VAGINA","MR. GARRISON","Do I look like a woman?"
9010016,901,1,"MR GARRISON S FANCY NEW VAGINA","DR. BIBER","Pretty much."
9010017,901,2,"MR GARRISON S FANCY NEW VAGINA","description","Denver Convention Center, day. All-State Basketball Tryouts are being held there. TODAY! Stan, Kyle, Cartman and Kenny show up courtside through entrance 51A. Kyle, #4, is in South Park Elementary's basketball uniform."
