"id","ep_num","segment","title","role","text"
1100001,110,1,"MR  HANKEY THE CHRISTMAS POO","KIDS","(Singing) We wish you a merry Christmas, We wish you a merry Christmas, We wish you a merry Christmas and a happy New Year!"
1100002,110,1,"MR  HANKEY THE CHRISTMAS POO","The SONG ENDS and little Stan steps out in front of the group.",""
1100003,110,1,"MR  HANKEY THE CHRISTMAS POO","STAN","Lights please?"
1100004,110,1,"MR  HANKEY THE CHRISTMAS POO","The lights dim, and a small spotlight appears on Stan.",""
1100005,110,1,"MR  HANKEY THE CHRISTMAS POO","STAN","(echoing) And there were in the same country shepherds abiding in the field, keeping watch over their flock by night. And, lo, the angel of the Lord came upon them, and they were so afraid. And the angel said unto them, fear not: for, behold, I bring you good tidings of great joy. For born unto you this day in the city of David is a Savior, 'tis Christ the Lord. Glory to God in the highest, and on earth peace, good will toward men. (Louder) And now, SOUTH PARK ELEMENTARY PRESENTS -- THE BIRTH OF JESUS!"
1100006,110,1,"MR  HANKEY THE CHRISTMAS POO","Stan gestures with his hand to another area of the stage, ","where --"
1100007,110,1,"MR  HANKEY THE CHRISTMAS POO","A curtain opens and we see that Wendy is dressed like Mary. ","She is lying on her back, with her legs up in the air, moaning horrifically."
1100008,110,1,"MR  HANKEY THE CHRISTMAS POO","Cartman, Kenny and some other children surround her in this ","adorable little nativity."
1100009,110,1,"MR  HANKEY THE CHRISTMAS POO","WENDY","Oooh!! Oooh!!"
1100010,110,1,"MR  HANKEY THE CHRISTMAS POO","Dressed as Joseph, Kyle stands between Wendys legs, waiting ","for the fetus."
1100011,110,1,"MR  HANKEY THE CHRISTMAS POO","KYLE","Come on, Mary, PUSH!! I can see its head!!!"
1100012,110,1,"MR  HANKEY THE CHRISTMAS POO","WENDY","UGGHHH!!!"
1100013,110,1,"MR  HANKEY THE CHRISTMAS POO","WENDY","AAGHAGAH!!!"
1100014,110,1,"MR  HANKEY THE CHRISTMAS POO","Wendy pushes some more and a small, plastic blood covered ","fetus pops out. Kyle holds it up by the head."
1100015,110,1,"MR  HANKEY THE CHRISTMAS POO","KYLE","It's a boy!!"
1100016,110,1,"MR  HANKEY THE CHRISTMAS POO","CARTMAN","Oooh!"
1100017,110,1,"MR  HANKEY THE CHRISTMAS POO","The kids all go 'Oooh!' Kenny is dressed like an angel.",""
1100018,110,1,"MR  HANKEY THE CHRISTMAS POO","KENNY","Mph mph mph rm!!"
1100019,110,1,"MR  HANKEY THE CHRISTMAS POO","MR. GARRISON","WAIT A MINUTE!!!! WAIT, WAIT, WAIT!!!!"
1100020,110,1,"MR  HANKEY THE CHRISTMAS POO","Suddenly, the lights come up and we see that we are actually ","in the school gymnasium."
1100021,110,1,"MR  HANKEY THE CHRISTMAS POO","Mr. Garrison is in front of the stage, directing. He has a ","director's megaphone and is sitting in a director's chair."
1100022,110,1,"MR  HANKEY THE CHRISTMAS POO","MR. GARRISON","Kyle, what the hell was that? You need to hold the baby by the legs, not by the head... What kind of sick weirdo are you?"
1100023,110,1,"MR  HANKEY THE CHRISTMAS POO","KYLE","Sorry."
1100024,110,1,"MR  HANKEY THE CHRISTMAS POO","MR. GARRISON","And Wendy, I'm STILL not believing the labor pains."
1100025,110,1,"MR  HANKEY THE CHRISTMAS POO","WENDY","Okay."
1100026,110,1,"MR  HANKEY THE CHRISTMAS POO","Just then, Kyle's irate mother walks up to Garrison.",""
