"id","ep_num","segment","title","role","text"
3150001,315,1,"MR HANKEY S CHRISTMAS CLASSICS","description","A WSPK Channel 2 news anchorman appears"
3150002,315,1,"MR HANKEY S CHRISTMAS CLASSICS","ANCHOR","Fighting the frizzies at 11."
3150003,315,2,"MR HANKEY S CHRISTMAS CLASSICS","description","Intro. Mailman Timmy, tall and lanky with a very long cheek, walks into view"
3150004,315,2,"MR HANKEY S CHRISTMAS CLASSICS","MAILMAN TIMMY","We've all heard of Rudolph and his shiny nose,"
3150005,315,2,"MR HANKEY S CHRISTMAS CLASSICS","And we all know Frosty, who's made out of snow.",""
3150006,315,2,"MR HANKEY S CHRISTMAS CLASSICS","But all of those stories seem kind of... gay",""
3150007,315,2,"MR HANKEY S CHRISTMAS CLASSICS","'Cause we all know who brightens up our holiday. [twirls]",""
3150008,315,2,"MR HANKEY S CHRISTMAS CLASSICS","Robert T. Pooner Presents",""
3150009,315,2,"MR HANKEY S CHRISTMAS CLASSICS","Mr. Hankey Chrismas Classics",""
3150010,315,2,"MR HANKEY S CHRISTMAS CLASSICS","MAILMAN TIMMY","Small and brown, he comes from you."
3150011,315,2,"MR HANKEY S CHRISTMAS CLASSICS","A Collection of 10 Holiday Songs",""
3150012,315,2,"MR HANKEY S CHRISTMAS CLASSICS","MAILMAN TIMMY","Squeezin' 'tween your festive buns."
3150013,315,3,"MR HANKEY S CHRISTMAS CLASSICS","description","A boy dances on his ass on the toilet"
3150014,315,3,"MR HANKEY S CHRISTMAS CLASSICS","A present from down below,",""
3150015,315,4,"MR HANKEY S CHRISTMAS CLASSICS","description","Timmy dances with some kids"
3150016,315,4,"MR HANKEY S CHRISTMAS CLASSICS","Spreading joy with a",""
3150017,315,4,"MR HANKEY S CHRISTMAS CLASSICS","MAILMAN TIMMY","He's seen the love inside of you, 'cause"
3150018,315,4,"MR HANKEY S CHRISTMAS CLASSICS","MAILMAN TIMMY","Sometimes he's notty ,"
3150019,315,4,"MR HANKEY S CHRISTMAS CLASSICS","sometimes he's corny [she shows the next drawing].",""
3150020,315,4,"MR HANKEY S CHRISTMAS CLASSICS","He can be brown or greenish brown [Timmy holds two sheets of ","construction paper]."
3150021,315,4,"MR HANKEY S CHRISTMAS CLASSICS","KIDS","Mmm-hmm."
3150022,315,4,"MR HANKEY S CHRISTMAS CLASSICS","MAILMAN TIMMY","But if you eat fiber on Christmas Eve,"
3150023,315,4,"MR HANKEY S CHRISTMAS CLASSICS","He might come to your town.",""
3150024,315,5,"MR HANKEY S CHRISTMAS CLASSICS","description","a boy has made a Hankeyman and added smudges of real poo"
3150025,315,5,"MR HANKEY S CHRISTMAS CLASSICS","MAILMAN TIMMY","He loves me, I love you."
3150026,315,5,"MR HANKEY S CHRISTMAS CLASSICS","Therefore, vicariously he loves you",""
3150027,315,5,"MR HANKEY S CHRISTMAS CLASSICS","BOY","I can make a Mr. Hankey, too!"
3150028,315,5,"MR HANKEY S CHRISTMAS CLASSICS","MR. HANKEY","HOWDY HO!"
3150029,315,5,"MR HANKEY S CHRISTMAS CLASSICS","I'm Mr. Hankey, the Christmas Poo.",""
3150030,315,5,"MR HANKEY S CHRISTMAS CLASSICS","Season's greetings to all of you.",""
3150031,315,5,"MR HANKEY S CHRISTMAS CLASSICS","Let's sing songs and dance and play",""
3150032,315,6,"MR HANKEY S CHRISTMAS CLASSICS","description","moves in between two kids and holds hands with them"
3150033,315,6,"MR HANKEY S CHRISTMAS CLASSICS","Now, before I melt away",""
3150034,315,7,"MR HANKEY S CHRISTMAS CLASSICS","description","hops onto Timmy and kisses his cheek"
3150035,315,8,"MR HANKEY S CHRISTMAS CLASSICS","description","skips onto every open mouth"
3150036,315,8,"MR HANKEY S CHRISTMAS CLASSICS","Stick me in your mouth and try to say,",""
3150037,315,8,"MR HANKEY S CHRISTMAS CLASSICS","ALL","""Howdy ho ho, yum yum yum."""
3150038,315,8,"MR HANKEY S CHRISTMAS CLASSICS","MR. HANKEY","Christmas Time has come!"
3150039,315,8,"MR HANKEY S CHRISTMAS CLASSICS","GIRL 1","Sometimes he's runny."
3150040,315,8,"MR HANKEY S CHRISTMAS CLASSICS","BOY 1","Sometimes he's firm."
3150041,315,8,"MR HANKEY S CHRISTMAS CLASSICS","GIRL 2","Sometimes he's practically water."
3150042,315,8,"MR HANKEY S CHRISTMAS CLASSICS","MAN ON PORTO POTTY","Sometimes he hangs off the end of your ass"
3150043,315,8,"MR HANKEY S CHRISTMAS CLASSICS","And won't fall in the toilet",""
3150044,315,8,"MR HANKEY S CHRISTMAS CLASSICS","'Cause he's just clinging to your sphincter",""
3150045,315,8,"MR HANKEY S CHRISTMAS CLASSICS","And he won't drop out and so you ...shake you ass around",""
3150046,315,8,"MR HANKEY S CHRISTMAS CLASSICS","And try to get it to drop into the toilet",""
3150047,315,8,"MR HANKEY S CHRISTMAS CLASSICS","And finally it does... [Timmy closes the door]",""
3150048,315,8,"MR HANKEY S CHRISTMAS CLASSICS","MAILMAN TIMMY","Christmas leaves; he most leave too."
3150049,315,9,"MR HANKEY S CHRISTMAS CLASSICS","description","Mr. Hankey hops on and waves good-bye. They wave good-bye back"
3150050,315,9,"MR HANKEY S CHRISTMAS CLASSICS","Flush him down, but he's [slowing] never gone!",""
3150051,315,9,"MR HANKEY S CHRISTMAS CLASSICS","[nornal. Santa takes off] His smell and his spirit ling-er on!",""
3150052,315,9,"MR HANKEY S CHRISTMAS CLASSICS","KIDS","Howdy Ho!"
3150053,315,10,"MR HANKEY S CHRISTMAS CLASSICS","description","Mr. Hankey is now shown seated on an armchair next to the crackling fireplace. Next to him is a small table with a gifts on it. Behind him is a Christmas tree with gifts at its base"
3150054,315,10,"MR HANKEY S CHRISTMAS CLASSICS","MR. HANKEY","Howdy-ho, folks. We're gonna do somethin' a little bit different tonight. Instead of our normal thing, we're just gonna sit back and enjoy some holiday songs. And if ya don't like it, well, I guess you can suck my tiny little balls. So let's start off with a festive Channukah song, sung by my favorite Jewish person in the whole world."
3150055,315,11,"MR HANKEY S CHRISTMAS CLASSICS","description","The Broflovski house, decorated for Channukah. A dreidel spins on the living room rug. Kyle and Ike warch it spin and fall"
3150056,315,11,"MR HANKEY S CHRISTMAS CLASSICS","KYLE","Okay, Ike. You're my little brother, so I have to show you how to celebrate a Channukah.  This is called a dreidel. You spin it and see where it lands. And you sing this song:"
3150057,315,11,"MR HANKEY S CHRISTMAS CLASSICS","I have a little dreidel; I made it out of clay.",""
3150058,315,11,"MR HANKEY S CHRISTMAS CLASSICS","And when it's dry and ready, with dreidel I shall play. Hoh,",""
3150059,315,11,"MR HANKEY S CHRISTMAS CLASSICS","Dreidel, dreidel, dreidel, I made you out of clay.",""
3150060,315,11,"MR HANKEY S CHRISTMAS CLASSICS","Dreidel, dreidel, dreidel, with dreidel I shall play.",""
3150061,315,12,"MR HANKEY S CHRISTMAS CLASSICS","description","gives the dreidel to Ike. Cartman walks in"
