"id","ep_num","segment","title","role","text"
6160001,616,1,"MY FUTURE SELF N ME","description","South Park, woods, night. Six boys look at a tree stump surrounded by litter. They are Jimmy, Toke, Craig, Clyde, Kyle, and Cartman. Kyle is carrying a black trash bag. On the stump is a marijuana joint and some paper"
6160002,616,1,"MY FUTURE SELF N ME","KYLE","Throw it away, Clyde!"
6160003,616,1,"MY FUTURE SELF N ME","CLYDE","I'm not gonna touch it. You throw it away."
6160004,616,1,"MY FUTURE SELF N ME","STAN","What's going on?"
6160005,616,1,"MY FUTURE SELF N ME","KYLE","Some high schoolers left their marijuana cigarette behind. Uh we have to throw it away before some kids find it or something."
6160006,616,1,"MY FUTURE SELF N ME","STAN","So throw it away."
6160007,616,1,"MY FUTURE SELF N ME","CLYDE","Nobody wants to touch it."
6160008,616,1,"MY FUTURE SELF N ME","KYLE","What if the residue gets on our hands and it leads to harder drugs like those commercials say."
6160009,616,1,"MY FUTURE SELF N ME","CRAIG","Yeah, didn't you see that commercial where it says that if you have pot you could become a terrorist?"
6160010,616,1,"MY FUTURE SELF N ME","CLYDE","And the commercial where the two kids have pot and the one kids shoots the other. Harmless?"
6160011,616,1,"MY FUTURE SELF N ME","STAN","You guys, those commercials are just exaggerations."
6160012,616,1,"MY FUTURE SELF N ME","TOKEN","How do you know? None of us had ever had any drugs before."
6160013,616,1,"MY FUTURE SELF N ME","JIMMY","Well, I did Ecstacy once.  Me and my girlfriend took it and we stayed up all night having... sex."
6160014,616,1,"MY FUTURE SELF N ME","KYLE","...Where did you have sex with her?"
6160015,616,1,"MY FUTURE SELF N ME","JIMMY","In her... va-vagina.  Thank you, thank you. What a terrific audience."
6160016,616,1,"MY FUTURE SELF N ME","STAN","It's just a stupid plant that makes you dumb. Touching it won't hurt you."
6160017,616,1,"MY FUTURE SELF N ME","CARTMAN","Then you throw it away, smartass."
6160018,616,1,"MY FUTURE SELF N ME","STAN","Fine, I will.  There, see? I touched marijuana. I'm not a terrorist, I didn't shoot anybody, and I don't feel like doing more drugs now. No big deal."
6160019,616,2,"MY FUTURE SELF N ME","description","South Park, night. To the sound of dramatic music, lightning relentlessly flashes all over town. Stan's house is shown as lightning strikes it. In the living room Stan watches ""The Osbournes"" with his grandfather. Ozzy is shown in his living room talking to his kids"
6160020,616,2,"MY FUTURE SELF N ME","OZZY","You kids  don't  around with your  mom!"
6160021,616,2,"MY FUTURE SELF N ME","JACK","Dad, we ing can't! It's a big ick a"
6160022,616,2,"MY FUTURE SELF N ME","SHARON","Stan, what did I tell you about watching The Osbournes?"
6160023,616,2,"MY FUTURE SELF N ME","STAN","Aw, come on, Mom."
6160024,616,2,"MY FUTURE SELF N ME","SHARON","It's going to make you retarded!"
6160025,616,2,"MY FUTURE SELF N ME","STAN","It's just a show! It doesn't have any fucking effect on me, for fuck's sake!"
6160026,616,2,"MY FUTURE SELF N ME","GRANDPA MARVIN","Oh goody. Now we can watch the news."
6160027,616,2,"MY FUTURE SELF N ME","TOM","In other news, South Park police are still looking for a craaazy man who terrorized the town one hour ago.  The man claimed to be from the future and ran naked through the city streets screaming ""The past! The past! Oh my God, it's the past!"" Which is what one would expect someone in the future to yell."
6160028,616,2,"MY FUTURE SELF N ME","NAKED MAN","Oh my God, it's the past!  Oh, whoa man, it's you!"
6160029,616,2,"MY FUTURE SELF N ME","SHARON","Who are you?"
6160030,616,2,"MY FUTURE SELF N ME","NAKED MAN","It's me, Mom, your son Stan."
6160031,616,2,"MY FUTURE SELF N ME","RANDY","Who is it, Sharon?"
6160032,616,2,"MY FUTURE SELF N ME","NAKED MAN","Dad!"
6160033,616,2,"MY FUTURE SELF N ME","RANDY","Dad?? Look! We don't know you and you don't know us! Just go away before we call the police!"
6160034,616,2,"MY FUTURE SELF N ME","STAN","Who the fuck is is, Mom and Dad?"
6160035,616,2,"MY FUTURE SELF N ME","NAKED MAN","No way, it's me from the past!"
6160036,616,2,"MY FUTURE SELF N ME","STAN","I'm me from the past?"
6160037,616,2,"MY FUTURE SELF N ME","NAKED MAN","No, I'm you from the future!  Oh man, this is so messed up."
6160038,616,2,"MY FUTURE SELF N ME","RANDY","Okay, we've had enough!"
6160039,616,2,"MY FUTURE SELF N ME","NAKED MAN","Your name's Randy Marsh, you're a geologist, and you don't like chicken. Mom, your maiden name is Kimble and you have a scar on your left knee from when you slipped in the swimming pool."
6160040,616,2,"MY FUTURE SELF N ME","SHARON","Randy, what's going on?"
6160041,616,2,"MY FUTURE SELF N ME","RANDY","I don't know."
6160042,616,2,"MY FUTURE SELF N ME","NAKED MAN","Dude, just let me talk to you for like, five minutes. After that I'll bail."
6160043,616,3,"MY FUTURE SELF N ME","description","The Marsh dining room. The naked man is now dressed in street clothes and seated at the head of the table. He's emjoying a beer and regular cigarette. The others look dazed and confused at the man as he recounts his memories"
6160044,616,3,"MY FUTURE SELF N ME","FUTURE STAN","I can still remember when I was five and you both found that squirrel I'd been keeping in the closet and, you let me keep it for another week and then it ran away but... I know that's just what you told me. I know that Mom had actually let it out."
6160045,616,3,"MY FUTURE SELF N ME","RANDY","How could he possibly know all that unless... he is our son from the future."
6160046,616,3,"MY FUTURE SELF N ME","SHARON","But why are you back in this time with us, son?"
